Kannada,Tamil
ಎಸಿ ಸಮಾನ ಸರ್ಕ್ಯೂಟ್,ஏசி சமமான சுற்று
ಸಂಖ್ಯಾ ಪರಿವರ್ತಕಕ್ಕೆ ಅನಲಾಗ್,எண் மாற்றிக்கு ஒப்புமை
ಸಂಪೂರ್ಣ ಶೂನ್ಯ,முழுமையான பூஜ்ஜியம்
ಹೀರಿಕೊಳ್ಳುವ ಗುಣಾಂಕ,உறிஞ்சுதல் குணகம்
ಹೀರಿಕೊಳ್ಳುವ ವರ್ಣಪಟಲ,உறிஞ்சுதல் நிறமாலை
ಗ್ರಾಹಕ ಪರಮಾಣು,ஏற்பி அணு
ಪರ್ಯಾಯ ವಿದ್ಯುತ್ ಜೋಡಣೆ,மாற்று மின்னோட்ட இணைப்பு
ಎಲೆಕ್ಟ್ರಾನ್ ಕೊಯ್ಲು,எலக்ட்ரான் அறுவடை
ರಂಧ್ರ ಸಂಗ್ರಹಣೆ,துளை சேமிப்பு
ಸಕ್ರಿಯಗೊಳಿಸುವ ಶಕ್ತಿ,செயல்படுத்தும் ஆற்றல்
ಸಕ್ರಿಯ ಆಂಪ್ಲಿಫಯರ್,செயலில் பெருக்கி
ಸಕ್ರಿಯ ಡಯೋಡ್ ಸರ್ಕ್ಯೂಟ್,செயலில் உள்ள டையோடு சுற்று
ಸಕ್ರಿಯ ಫಿಲ್ಟರ್,செயலில் வடிகட்டி
ಸಕ್ರಿಯ ಹೈ ಫ್ರೀಕ್ವೆನ್ಸಿ ಪ್ಯಾರ್ಕ್ವೆಟ್ ಫಿಲ್ಟರ್,செயலில் உள்ள உயர் அதிர்வெண் பார்க்வெட் வடிகட்டி
ಸಕ್ರಿಯ ಲೋಡ್,செயலில் சுமை
ಸಕ್ರಿಯ ಕಡಿಮೆ ಆವರ್ತನ ಪಾರ್ಸ್ ಫಿಲ್ಟರ್,செயலில் குறைந்த அதிர்வெண் பாகுபடுத்தும் வடிகட்டி
ಸಕ್ರಿಯ ಪ್ರದೇಶ,செயலில் உள்ள பகுதி
ಹೊಂದಾಣಿಕೆಯ ಎಲೆಕ್ಟ್ರಾನಿಕ್ಸ್,தகவமைப்பு மின்னணுவியல்
ಸೇರಿಸುವವನು,சேர்ப்பான்
ಹೊಂದಾಣಿಕೆ ಬ್ಯಾಂಡ್ ವಿಸ್ತರಣೆ,சரிசெய்யக்கூடிய இசைக்குழு நீட்டிப்பு
ನುಗ್ಗುವಿಕೆ,ஊடுருவல்
ಏರಿಯಲ್,ஏரியல்
ಪೆಪ್ ಆವರ್ತನ,பெப் அதிர்வெண்
ಹವಾ ನಿಯಂತ್ರಣ ಯಂತ್ರ,காற்றுச்சீரமைப்பி
ಜೋಡಣೆ,சீரமைப்பு
ಅಲ್ಗಾರಿದಮ್,அல்காரிதம்
ಎಲ್ಲಾ ಪಾಸ್ ಫಿಲ್ಟರ್,அனைத்து பாஸ் வடிகட்டி
ಮಿಶ್ರಲೋಹ ಜಂಕ್ಷನ್,அலாய் சந்திப்பு
ಕ್ಷೀಣತೆ,தணிவு
ಪರ್ಯಾಯ ಪ್ರವಾಹ,மாறுதிசை மின்னோட்டம்
ಹೊರಗಿನ ತಾಪಮಾನ,சுற்றுப்புற வெப்பநிலை
ಬೈಪೋಲಾರ್,இருமுனை
ವರ್ಧನೆ,பெருக்கம்
ಆಂಪ್ಲಿಫಯರ್,பெருக்கி
ಆಂಪ್ಲಿಫಯರ್ ದಕ್ಷತೆ,பெருக்கி செயல்திறன்
ಆಯಾಮಗಳು,பரிமாணங்கள்
ವೈಶಾಲ್ಯ ಕ್ಷೀಣತೆ,வீச்சு குறைதல்
ಆಂಪ್ಲಿಟ್ಯೂಡ್ ಮಾಡ್ಯುಲೇಟೆಡ್ AM ಆಂದೋಲಕ,அலைவீச்சு மாடுலேட்டட் AM ஆஸிலேட்டர்
ವೈಶಾಲ್ಯ ಮಾಡ್ಯುಲೇಶನ್,வீச்சு பண்பேற்றம்
ವೈಶಾಲ್ಯ ಮಾಡ್ಯುಲೇಟರ್,வீச்சு மாடுலேட்டர்
ಆಂಗ್ಸ್ಟ್ರಾಮ್ ಘಟಕ,angstrom அலகு
ಅನಲಾಗ್ ಸರ್ಕ್ಯೂಟ್,அனலாக் சுற்று
ಅನಲಾಗ್ ಕಂಪ್ಯೂಟರ್,அனலாக் கணினி
ಅನಲಾಗ್ ಫಿಲ್ಟರ್,அனலாக் வடிகட்டி
ಅನಲಾಗ್ ಮಲ್ಟಿಮೀಟರ್,அனலாக் மல்டிமீட்டர்
ಅನಲಾಗ್ ಸ್ವಿಚ್,அனலாக் சுவிட்ச்
ಮತ್ತು ಗೇಟ್,மற்றும் வாயில்
ಕೋನೀಯ ಆವರ್ತನ,கோண அதிர்வெண்
"ಅಯಾನ್, ಅಯಾನ್","அயனி, அயனி"
ಅನೆಲಿಂಗ್ ತಾಪಮಾನ,அனீலிங் வெப்பநிலை
ಆನೋಡ್,நேர்மின்முனை
ಆನೋಡ್ ಆಂಪ್ಲಿಫಯರ್,அனோட் பெருக்கி
ಅನೋಡೈನ್,அனோடைன்
ಆಂಟೆನಾ,ஆண்டெனா
ಆಂಟೆನಾ ಘಟಕ,ஆண்டெனா கூறு
ವಿರೋಧಿ ಪ್ರತಿಫಲಿತ ಲೇಪನ,எதிர்ப்பு பிரதிபலிப்பு பூச்சு
ಪ್ರತಿಲೋಜಿನ್ ಆಂಪ್ಲಿಫಯರ್,ஆன்டிலோகின் பெருக்கி
ಆಂಟಿರೆಸೋನೆಂಟ್ ಸರ್ಕ್ಯೂಟ್,எதிரொலி சுற்று
ದ್ವಾರಕ ಕಾಲ,துவாரகர் காலம்
ವರ್ಚುವಲ್ ಶಕ್ತಿ,மெய்நிகர் சக்தி
ತಂತಿ ಸಂಪರ್ಕ,கம்பி இணைப்பு
ಅಂದಾಜು ವೋಲ್ಟೇಜ್ ಲಾಭ,தோராயமான மின்னழுத்த ஆதாயம்
ಆರ್ಮ್ಸ್ಟ್ರಾಂಗ್ ಮಾಡ್ಯುಲೇಟರ್,ஆர்ம்ஸ்ட்ராங் மாடுலேட்டர்
ಆಂಟೆನಾ ರಚನೆ,ஆண்டெனா வரிசை
"ಗಾತ್ರ ಅನುಪಾತ, ಆಕಾರ ಅನುಪಾತ","அளவு விகிதம், தோற்ற விகிதம்"
ತೇಲುವ ಸರ್ಕ್ಯೂಟ್ (ಉಚಿತ ಆಪರೇಟಿಂಗ್ ಸರ್ಕ್ಯೂಟ್),மிதக்கும் சுற்று (இலவச இயக்க சுற்று)
ಸ್ವಯಂಚಾಲಿತ ಮಲ್ಟಿವೈಬ್ರೇಟರ್,தானியங்கி மல்டிவிபிரேட்டர்
ತೇಲುವ ಮಲ್ಟಿವೈಬ್ರೇಟರ್,மிதக்கும் மல்டிவிபிரேட்டர்
ಅಸಮಪಾರ್ಶ್ವದ ಜಂಕ್ಷನ್,சமச்சீரற்ற சந்திப்பு
ಅಸಮಕಾಲಿಕ ಕ್ಯಾಲ್ಕುಲೇಟರ್,ஒத்திசைவற்ற கால்குலேட்டர்
ಪರಮಾಣು,அணுக்கரு
ಪರಮಾಣು ಸಂಖ್ಯೆ,அணு எண்
ಪರಮಾಣು ರಚನೆ,அணு அமைப்பு
ಆಡಿಯೋ ಆಂಪ್ಲಿಫಯರ್,ஒலி பெருக்கி
ಆಡಿಯೋ ಆಂಪ್ಲಿಫಯರ್,ஒலி பெருக்கி
ಆಡಿಯೋ ಕ್ಯಾಸೆಟ್,ஆடியோ கேசட்
ಆಡಿಯೋ ಸರ್ಕ್ಯೂಟ್,ஒலி சுற்று
ಶ್ರವ್ಯ ಆವರ್ತನ,கேட்கக்கூடிய அதிர்வெண்
ಸ್ವಯಂಚಾಲಿತ ವೋಲ್ಟೇಜ್ ನಿಯಂತ್ರಣ,தானியங்கி மின்னழுத்த கட்டுப்பாடு
ಹಿಮಕುಸಿತ,பனிச்சரிவு
ಸರಾಸರಿ ಡಿಟೆಕ್ಟರ್,சராசரி கண்டுபிடிப்பான்
ಅಕ್ಷೀಯ ಮೋಡ್,அச்சு முறை
ಅಕ್ಷೀಯ ಅನುಪಾತ,அச்சு விகிதம்
ಆಂಟೆನಾ,ஆண்டெனா
ಹಿಂದೆ ಎಲೆಕ್ಟ್ರೋಮೋಟಿವ್ ಫೋರ್ಸ್,பின் மின்னோட்ட விசை
ಹಿಂಭಾಗದ ಪ್ರದೇಶ,பின் பகுதி
ಮತ್ತೆ ಚದುರುವಿಕೆ,மீண்டும் சிதறல்
ಹಿನ್ನೆಲೆ ಶುಲ್ಕ,பின்னணி கட்டணம்
ಅಡ್ಡ ಶಬ್ದ,பக்க சத்தம்
ಹಿಮ್ಮೆಟ್ಟುವಿಕೆ,பின்னடைவு
ಹಿಂಭಾಗದ ವಿಕಿರಣ,பின்புற கதிர்வீச்சு
ಬ್ಯಾಕ್‌ವರ್ಡ್ ಡಯೋಡ್ / ಬ್ಯಾಕ್‌ವರ್ಡ್ ಡಯೋಡ್,பின்னோக்கி டையோடு / பின்தங்கிய டையோடு
ಹಿಂದುಳಿದ ತರಂಗ ಆಂದೋಲಕ,பின்னோக்கி அலை ஆஸிலேட்டர்
"ಅಡಚಣೆ, ಅಡಚಣೆ","தடை, தடை"
ಅಡಚಣೆ,தடை
ಸಮತೋಲಿತ ಸೇತುವೆ,சீரான பாலம்
ಸಮತೋಲಿತ ಮಾಡ್ಯುಲೇಟರ್,சமநிலை மாடுலேட்டர்
ಸಮತೋಲಿತ ಮಾಡ್ಯುಲೇಟರ್,சமநிலை மாடுலேட்டர்
ಸಮತೋಲಿತ ಸರ್ಕ್ಯೂಟ್,சமநிலை சுற்று
ಸಮತೋಲಿತ ಗ್ರೇಡಿಯಂಟ್ ಡಿಟೆಕ್ಟರ್,சமச்சீர் சாய்வு கண்டறிதல்
ಪ್ರಸ್ತುತ ಸ್ಥಿರೀಕಾರಕ ಪ್ರತಿರೋಧ,தற்போதைய நிலைப்படுத்தி எதிர்ப்பு
ಬೋಲೋಮೀಟರ್,போலோமீட்டர்
ಬೋಲೋಮೀಟರ್ ಸೇತುವೆ,போலோமீட்டர் பாலம்
ಬಲೂನ್,பலூன்
ಬನಾನಾ ಜ್ಯಾಕ್,வாழை பலா
ಬಾಳೆಹಣ್ಣಿನ ಪ್ಲಗ್,வாழை பிளக்
"ಬ್ಯಾಂಡ್, ಬ್ಯಾಂಡೇಜ್","பட்டை, கட்டு"
ಬ್ಯಾಂಡ್ ಚಾಲಕ,இசைக்குழு இயக்கி
ಬ್ಯಾಂಡ್ ಶಕ್ತಿ,இசைக்குழு ஆற்றல்
ಬ್ಯಾಂಡ್ ಅಂತರ,பட்டை இடைவெளியை
ಬ್ಯಾಡ್‌ಪಾರ್ಕ್ ಆಂಪ್ಲಿಫಯರ್,பேட்பார்க் பெருக்கி
ಬ್ಯಾಂಡ್ ಪಾಸ್ ಫಿಲ್ಟರ್,பேண்ட் பாஸ் வடிகட்டி
ಬಾಡ್ ದರ ಜನರೇಟರ್,பாட் ரேட் ஜெனரேட்டர்
ಬ್ಯಾಂಡ್ ಡಿಸ್ಪರ್ಶನ್,பட்டை பரவல்
ಬ್ಯಾಂಡ್ ರೆಸಿಸ್ಟರ್,இசைக்குழு மின்தடை
ಬ್ಯಾಂಡ್ ಬ್ರೇಕರ್ ಫಿಲ್ಟರ್,பேண்ட் பிரேக்கர் வடிகட்டி
ಬ್ಯಾಂಡ್ ವಿಸ್ತರಣೆ,இசைக்குழு விரிவாக்கம்
ಬ್ಯಾಂಡ್ ಹೋಗಲಾಡಿಸುವ ಫಿಲ್ಟರ್,பேண்ட் ரிமூவர் வடிகட்டி
ಬ್ಯಾಂಡ್ ವಿಸ್ತರಣೆ ಡಿಫ್ಲೆಕ್ಷನ್ ಮಲ್ಟಿಪ್ಲೈಯರ್,பேண்ட் விரிவாக்கம் விலகல் பெருக்கி
ಬ್ಯಾಂಡ್ ವಿಸ್ತರಣೆ ದೂರ ಗುಣಕ,பேண்ட் நீட்டிப்பு தூரம் பெருக்கி
"ಬೀಮ್ ಕೆಪಾಸಿಟರ್, ಬ್ಯಾಂಕ್ ಕೆಪಾಸಿಟರ್","பீம் மின்தேக்கி, வங்கி மின்தேக்கி"
"ಬಾರ್ಕರ್ ಕೋಡ್, ಬಾರ್ಕರ್ ಕೋಡ್","குரைக்கும் குறியீடு, குரைக்கும் குறியீடு"
barravaugen ಮಾನದಂಡ,barravaugen அளவுகோல்
ನ್ಯಾಯವಾದಿ,பார்ப்பனர்
ತಡೆಗೋಡೆ,தடை
ನಿರೋಧಕ ಕೆಪಾಸಿಟರ್,இன்சுலேடிங் மின்தேக்கி
ತಡೆ ಶಕ್ತಿ,தடை ஆற்றல்
ಪ್ರತಿರೋಧಕ ವೋಲ್ಟೇಜ್,மின்தடை மின்னழுத்தம்
ಬಾರ್ಟ್ಲೆಟ್ ಕಿಟಕಿ,பார்ட்லெட் ஜன்னல்
"ಬೇಸ್, ಬೇಸ್","அடிப்படை, அடிப்படை"
ಬೇಸ್ ಬ್ಯಾಂಡ್,அடிப்படை இசைக்குழு
ಬೇಸ್ ಬ್ಯಾಂಡ್ ಪ್ರಸರಣ,அடிப்படை இசைக்குழு பரிமாற்றம்
ಮೂಲ ಶುಲ್ಕ,அடிப்படை கட்டணம்
ಮೂಲ ಪ್ರಸ್ತುತ,அடிப்படை மின்னோட்டம்
ಮೂಲ ಪ್ರಸ್ತುತ ಮೂಲ,அடிப்படை தற்போதைய ஆதாரம்
ಬೇಸ್ ಕತ್ತರಿಸುವುದು,அடிப்படை வெட்டுதல்
ಆಧಾರ್ ಮದನ್,ஆதார் மதன்
ಬೇಸ್ ಎಮಿಟರ್ ಫೀಡ್,அடிப்படை உமிழ்ப்பான் ஊட்டம்
ಬೇಸ್ ಎಮಿಟರ್ ಜಂಕ್ಷನ್,அடிப்படை உமிழ்ப்பான் சந்திப்பு
ಬೇಸ್ ಇಂಜೆಕ್ಷನ್,அடிப்படை ஊசி
ನೆಲದ ರೇಖೆ,தரை வரி
ಮೂಲ ಪ್ರತಿರೋಧ,அடிப்படை எதிர்ப்பு
ಮೂಲ ಮೂಲ,அடிப்படை ஆதாரம்
ಬೇಸ್ ವಿಸ್ತರಣೆ ಪ್ರತಿರೋಧ,அடிப்படை விரிவாக்க எதிர்ப்பு
ಬೇಸ್ ವಿಸ್ತರಣೆ ಪ್ರತಿರೋಧ,அடிப்படை விரிவாக்க எதிர்ப்பு
ಬೇಸ್ ದಪ್ಪ,அடிப்படை தடிமன்
ಮೂಲ ಪ್ರವೇಶ,அடிப்படை அணுகல்
"ಬೇಸ್ ವಿಡ್ತ್ ಮಾಡ್ಯುಲೇಶನ್, ಬೇಸ್ ಎಕ್ಸ್ಪಾನ್ಶನ್ ಮಾಡ್ಯುಲೇಶನ್","அடிப்படை அகல பண்பேற்றம், அடிப்படை விரிவாக்க மாடுலேஷன்"
ಮೂಲ ಸಂಗ್ರಾಹಕ ಒಪ್ಪಂದ,அடிப்படை சேகரிப்பாளர் ஒப்பந்தம்
ವಾಸನೆ,வாசனை
ಬಾಸ್ ಆವರ್ತನ,பாஸ் அதிர்வெண்
ಬ್ಯಾಟರಿ,மின்கலம்
ಬಾಡ್,பாட்
ಬೌಡ್ ದರ,பாட் விகிதம்
ಬಾಡ್ ದರ ಜನರೇಟರ್,பாட் ரேட் ஜெனரேட்டர்
ಬೋಡೋ ಕೋಡ್,போடோ குறியீடு
"ಸಂಕೇತ, ದಾರಿದೀಪ","சமிக்ஞை, கலங்கரை விளக்கம்"
"ಮಾಣಿಕ, ಬೀಡು","மாணிக்கா, பீட்"
ಉನ್ಮಾದ ಕೆಪಾಸಿಟರ್,பித்து மின்தேக்கி
ಮಣಿಕರ್ತಾಪಿ ಪ್ರತಿರೋಧಕ,மணிகர்தாபி எதிர்ப்பாளர்கள்
"ಬೀಮ್ ಆಂಟೆನಾ, ಬೀಮ್ ಆಂಟೆನಾ","பீம் ஆண்டெனா, பீம் ஆண்டெனா"
ಕಿರಣ ಶೋಧಕ,பீம் டிடெக்டர்
ಕಿರಣದ ವಿದ್ಯುತ್ ಮೆದುಗೊಳವೆ,பீம் சக்தி குழாய்
ಕಿರಣದ ಸ್ವಿಚಿಂಗ್ ನಳಿಕೆಗಳು,பீம் மாறுதல் முனைகள்
ಕಿರಣದ ವಿಸ್ತರಣೆ,கற்றை விரிவாக்கம்
ಬೀಟ್ ಆವರ್ತನ,துடிப்பு அதிர்வெண்
ಬೀಟ್-ಫ್ರೀಕ್ವೆನ್ಸಿ ಆಂದೋಲಕ,துடிப்பு-அதிர்வெண் ஆஸிலேட்டர்
ನಾಡಿ ಆಂದೋಲಕ,துடிப்பு ஆஸிலேட்டர்
ಗಂಟೆ,மணி
ಬಾಗುವ ನಷ್ಟ,வளைக்கும் இழப்பு
ಬೆಸೆಲ್ ಫಿಲ್ಟರ್,பெசல் வடிகட்டி
ಬೀಟಾ,பீட்டா
b-h ಕರ್ವ್,b-h வளைவு
"ಪಕ್ಷಪಾತ, ಪಕ್ಷಪಾತ","சார்பு, சார்பு"
ಪಕ್ಷಪಾತ ಪ್ರಸ್ತುತ,சார்பு மின்னோட்டம்
ಪಕ್ಷಪಾತ ಪ್ರತಿರೋಧ,சார்பு எதிர்ப்பு
ಡಬಲ್ ಆಂಟೆನಾ,இரட்டை ஆண்டெனா
ದ್ವಿಮುಖ ಲೋಡ್ ಪ್ರಸ್ತುತ,இருதரப்பு சுமை மின்னோட்டம்
ದ್ವಿಮುಖ ಆಂಟೆನಾ,இருதரப்பு ஆண்டெனா
ದ್ವಿಮುಖ ಬೆಳಕಿನ ಹೊರಸೂಸುವ ಡಯೋಡ್,இருதரப்பு ஒளி உமிழும் டையோடு
ದ್ವಿಮುಖ ಥೈರಿಸ್ಟರ್,இருதரப்பு தைரிஸ்டர்
ದ್ವಿ FET ತಂತ್ರಜ್ಞಾನ,இரு FET தொழில்நுட்பம்
ಬೈ ಪಾಯಿಂಟ್ ಟ್ರಾನ್ಸ್ಫಾರ್ಮರ್,இரு புள்ளி மின்மாற்றி
ಡಬಲ್ ಸಮ್ಮಿಳನ,இரட்டை இணைவு
ದ್ವಿಪಕ್ಷೀಯ ಸರ್ಕ್ಯೂಟ್,இருதரப்பு சுற்று
ಅವಳಿ,பைனரி
ಬೈನರಿ ಮೊತ್ತ,பைனரி தொகை
ಬೈನರಿ ಸರ್ಕ್ಯೂಟ್,பைனரி சுற்று
ಬೈನರಿ ಕೋಡೆಡ್ ದಶಮಾಂಶ,பைனரி குறியிடப்பட்ட தசம
ಬೈನರಿ ಕೋಡೆಡ್ ದಶಮಾಂಶ ವ್ಯವಸ್ಥೆ,பைனரி குறியிடப்பட்ட தசம அமைப்பு
