Assamese,English
"১.এবাকাছ, ২. গণনা কৰি আছে",abacus
অস্বাভাৱিক অন্ত,abnormal termination
ইন্টাৰচেপ্ট,abort
"১.নিৰপেক্ষ, ২. পৰম",absolute
নিৰপেক্ষ ঠিকনা,absolute address
নিৰপেক্ষ ঠিকনাযোগ্যতা,absolute addressing
নিৰপেক্ষ এছেম্বলাৰ,absolute assembler
"১.নিৰপেক্ষ ক&#39;ড, ২. নিৰপেক্ষ ক&#39;ড",absolute code
নিৰপেক্ষ আদেশ,absolute command
"১.নিৰপেক্ষ চিত্ৰ, ২. নিৰপেক্ষ তথ্য",absolute data
নিৰপেক্ষ নিৰ্দেশনা,absolute instruction
নিৰপেক্ষ ধৰণ,absolute mode
নিৰপেক্ষ পথ,absolute path
"1. নিৰপেক্ষ প্ৰগ্ৰেমিং, 2. নিৰপেক্ষ প্ৰগ্ৰেমিং",absolute programming
বিমূৰ্ত শ্ৰেণী,abstract class
বিমূৰ্ত তথ্যৰ ধৰণ,abstract data type
বিমূৰ্ত মেচিন,abstract machine
বিমূৰ্ত চিহ্ন,abstract symbol
বিমূৰ্ত বাক্যবিন্যাস,abstract syntax
গ্ৰহণযোগ্যতা পৰীক্ষা,acceptance testing
প্ৰৱেশ প্ৰমাণীকৰণ,access authentication
"1. প্ৰৱেশ ক&#39;ড, 2. প্ৰৱেশ ক&#39;ড",access code
প্ৰৱেশ নিয়ন্ত্ৰণ,access control
অভিগম স্কেনিং,access scan
আনুষংগিক বস্তু,accessory
হিচাপ-নিকাচ,account
"1. একাউণ্ট আইডি, 2. একাউণ্টিং চিনাক্তকৰণ",account ID
এক্যুলেটৰ,accumulator
"১/ সঠিকতা, ২. শুদ্ধতা",accuracy
প্ৰৱেশাধিকাৰ,acess
অভিগম নিয়ন্ত্ৰণ বাইটসমূহ,acess control byte
প্ৰৱেশ সূচক,acess index
অভিগম কি&#39;,acess key
"1. অভিগম মেট্ৰিক্স, 2. অভিগম মেট্ৰিক্স",acess matrix
অভিগম ধৰণ,acess mode
অভিগম বিশেষাধিকাৰসমূহ,acess privilege
অভিগম সুৰক্ষা,acess security
"1. অভিগম চাৰ্ভাৰ, 2. অভিগম চাৰ্ভাৰ",acess server
প্ৰৱেশ সময়,acess time
স্বীকৃতি,acknowledgement
শব্দবিজ্ঞান,acoustics
"১. সংক্ষিপ্ত ৰূপ, ২. সংক্ষিপ্ত ৰূপ, ৩. ৰ পৰা চুটি",acronym
কাৰ্য্য বাৰ্তা,action message
সক্ৰিয়কৰণ,activation
সক্ৰিয় চাৰ্ভাৰ পৃষ্ঠা,active server page (ASP)
