Malayalam,Tamil
ശീതീകരണം,குறைப்பு
ചുരുക്കല്,சுருக்கம்
പിടിച്ചുകൊണ്ടുപോകല്,கடத்தல்
Aveyne,நிறுத்துதல்
കഴിവ്,திறன்
Ab initio,Ab initio
കഴിവുള്ള,முடியும்
വിലക്ഷണമായ,அசாதாரணமானது
നിർത്തലാക്കൽ,ஒழிப்பு
നിർത്തലാക്കൽ പോസ്റ്റ്,இடுகை ஒழிப்பு
മുകളിൽ സൂചിപ്പിച്ച,மேலே குறிப்பிட்டுள்ள
മുകളിൽ ഉദ്ധരിച്ചത്,மேலே மேற்கோள் காட்டப்பட்டுள்ளது
മുകളിൽ പറഞ്ഞത്,மேலே கூறினார்
അസാന്നിദ്ധം,இல்லாதது
ഹാജരാകാത്ത,வராதவர்
ഹാജരാകാത്തീയത,இல்லாதது
ഹാജരാകാതിരിക്കുക,இல்லாத அறிக்கை
കേശവം,அறுதி
കേവല കുത്തക,முழுமையான ஏகபோகம்
കേവല ഉടമസ്ഥാവകാശം,முழுமையான உரிமை
ആഗിരണം,உறிஞ்சுதல்
വേര്പെട്ടുനില്ക്കുന്ന,சுருக்கம்
അനുഗമിക്കുന്നു,சுருக்கம்
അസംബന്ധം,அபத்தமான
സമൃദ്ധി,ஏராளமாக
അധികാര ദുരുപയോഗം,அதிகார துஷ்பிரயோகம்
അധിക്ഷേപകരമായ ഭാഷ,தவறான மொழி
പണ്ഡിതോചിതമായ,கல்வி
അക്കാദമിക് ചർച്ച,கல்வி விவாதம்
അക്കാദമിക് അവധി,கல்வி விடுப்பு
വിദ്യാഭ്യാസ യോഗ്യത,கல்வி தகுதி
അക്കാദമിക് റെക്കോർഡ്,கல்வி சாதனையை
നിര്വഹിക്കുക,ஏற்றுக்கொள்ளுங்கள்
അംഗീകരിക്കുക,ஏற்றுக்கொள்
കൈക്കൊള്ളല്,ஏற்றுக்கொள்ளல்
ഓഫീസിന്റെ സ്വീകാര്യത,பதவியை ஏற்றுக்கொள்வது
ടെണ്ടർ സ്വീകാര്യത,டெண்டரை ஏற்றுக்கொள்வது
പ്രവേശനം,அணுகல்
അപേക്ഷ,அணுகல்
ഉപസാധനം,துணை
ആകസ്മികത,விபத்து
ACCLIMATIES,பழக்கவழக்கமயமாக்கல்
സ്ഥലസൗകരം,தங்குமிடம்
അനുഗമിച്ചു,துணையுடன்
അക്കോര്,உடன்பாடு
അഭാവം,ஒப்புதல்
അക്കാരണത്താല്,அதன்படி
കണക്ക്,கணக்கு
ഉത്തരവാദിത്തം,பொறுப்புக்கூறல்
ഉത്തരവാദിയായ,பொறுப்பு
അക്കൗണ്ടൻസി,கணக்கியல்
കണക്കെഴുത്തുകാരി,கணக்காளர்
അക്കൗണ്ട്,கணக்கு
അക്കൗണ്ട് തല,கணக்கு தலை
വർദ്ധിച്ച ആനുകൂല്യം,திரட்டப்பட்ட நன்மை
വർദ്ധിച്ച പെൻഷൻ,திரட்டப்பட்ட ஓய்வூதியம்
കൂന്വാരം,குவிப்பு
കൃതത,துல்லியம்
സൂക്ഷ്മമായ,துல்லியமானது
ബോധിപ്പിക്കുന്ന,குற்றம்
കുറ്റക്കാരന്,குற்றம் சாட்டப்பட்டவர்
നേട്ടം,சாதனை
അംഗീകാരം,ஒப்புதல்
അംഗീകാരത്തിന്റെ,ஒப்புதல் காரணமாக
പരിചയം,அறிமுகம்
കൈവശപ്പെടുത്തൽ,கையகப்படுத்தல்
കുറ്റപാട്വിൽപ്പന,விடுவித்தல்
പവര്ത്തിക്കുക,நாடகம்
അഭിനയ അലവൻസ്,நடிப்பு கொடுப்பனவு
പവര്ത്തി,செயல்
പ്രവർത്തന പദ്ധതി,செயல் திட்டம்
സജീവമായ,செயலில்
സജീവമായി,சுறுசுறுப்பாக
ചുറുചുറുക്കുള്ളവള്,ஆர்வலர்
ദൈവിക പ്രവൃത്തി,கடவுளின் செயல்
ദുരാചാരത്തിന്റെ പ്രവർത്തനം,தவறான நடத்தை செயல்
കമ്മീഷന്റെയും ഒഴിവാക്കലിന്റെയും നിയമം,கமிஷன் மற்றும் விடுபடுதல் சட்டம்
യഥാര്ത്ഥത്തിലുള്ള,உண்மையான
വാസ്തവങ്ങൾ,உண்மையான
പൊരുത്തപ്പെടുത്തൽ,தழுவல்
കൂട്ടല്,கூடுதலாக
അധിക നിരക്ക്,கூடுதல் கட்டணம்
അധിക ഫണ്ട്,கூடுதல் நிதி
അധിക ഗ്രാന്റ്,கூடுதல் மானியம்
അധിക വിവരം,கூடுதல் தகவல்
അധിക വേതനം,கூடுதல் ஊதியம்
കൂട്ടിച്ചേർക്കലും മാറ്റവും,கூட்டல் மற்றும் மாற்றம்
അഭിസംബോധന ചെയ്യുക,முகவரி
വിലാസശാല,முகவரி
സ്വാഗത വിലാസം,வரவேற்பின் முகவரி
പരാപ്തമായ,போதுமானது
ഇത് പാലിക്കുക,பின்பற்றவும்
ആഡ് ഹോക്ക്,தற்காலிக
AD HOC ക്ലെയിം,தற்காலிக உரிமைகோரல்
താൽക്കാലിക സമിതി,தற்காலிக குழு
താൽക്കാലിക വർദ്ധനവ്,தற்காலிக அதிகரிப்பு
പരസ്യ ഹോക് പേയ്മെന്റ്,தற்காலிக கட்டணம்
തൊട്ടുകിടക്കുന്ന,அருகில்
