Odiya,English
ଏକ ବି ଶ୍ରେଣୀ ଏମ୍ପ୍ଲିଫାୟର୍ |,A B amplifier
ଘୃଣ୍ୟତା |,aberration
ଅସ୍ୱାଭାବିକ ସଂକ୍ରମଣ,abnormal propagation
"ସଂଲଗ୍ନ ହୋଇନଥିବା, ସାଧାରଣତ ,, ପିଟ୍, ଆମ୍ପ୍ୟୁଟେଡ୍, ଭଙ୍ଗା |",abrupt
ସ୍ପେକ୍ଟ୍ରମ୍ ଅନୁପସ୍ଥିତ |,absent spectrum
"ସଂପୂର୍ଣ୍ଣ, ସଂପୂର୍ଣ୍ଣ, ସ୍ଥିର, ସିଦ୍ଧ |",absolute
ସଂପୂର୍ଣ୍ଣ ଆର୍ଦ୍ରତା |,absolute humidity
ସଂପୂର୍ଣ୍ଣ ଗତି,absolute motion
ସଂପୂର୍ଣ୍ଣ ନିରୀକ୍ଷଣ |,absolute observation
ସଂପୂର୍ଣ୍ଣ ତାପମାତ୍ରା |,absolute temperature
ସଂପୂର୍ଣ୍ଣ ଶୂନ,absolute zero
ଶୋଷଣ,absorb
"ଶୋଷକ, ଶୋଷକ",absorber
ଅବଶୋଷଣ କ୍ଷମତା |,absorbing power
ଅବସାଦ |,absorptance
ଶୋଷକ,absorptive
ଶୋଷଣ,absorptivity
ବହୁଗୁଣ ଅନୁପାତ |,abundance ratio
ତ୍ୱରାନ୍ୱିତ କର |,accelerate
ଶୀଘ୍ର ଶୀଘ୍ର,accelerated
ତ୍ୱରଣ,acceleration
ମାଧ୍ୟାକର୍ଷଣର ତ୍ୱରଣ,acceleration of gravity
ତ୍ୱରକ,accelerative
ତ୍ୱରକ,accelerator
ଆକ୍ସିଲେରୋମିଟର,accelerometer
ସମ୍ମାନ,accentuator
ଗ୍ରହଣୀୟ ପରୀକ୍ଷା,acceptance test
ଗ୍ରହଣକାରୀ,acceptor
ଦାତା ଅଣୁ,acceptor molecule
"ପ୍ରବେଶ, ଅପେକ୍ଷା, ଅଭିଗମ୍ୟତା |",access
ଅଭିଗମ୍ୟତା,accessibility
"ଅତିରିକ୍ତ, ଆନୁଷଙ୍ଗିକ, ଆନୁଷଙ୍ଗିକ (v।), ଆସେସୋରିଜ୍ (ଏଡି।)",accessory
ପ୍ରବେଶ ସମୟ,access time
ପରିଦର୍ଶକ ତ୍ରୁଟି |,accidental error
ଆଡଜଷ୍ଟେସନ୍,accommodation
ସଂଗୃହିତ,accumulated
"ଜମା, ଜମା",accumulation
ଜମାକାରୀ,accumulator
ସଠିକତା,accuracy
ବାସ୍ତବତା,accurate
ଆକ୍ରୋମାଟିକ୍ ଲେନ୍ସ |,achromat
ଆକ୍ରୋମାଟିକ୍ |,achromatic
ଆକ୍ରୋମାଟିଟି,achromatism
ଶବ୍ଦ,acoustical
ସାଉଣ୍ଡ ପ୍ରୁଫ୍ |,acoustically insulated
ଆକାଶବାଣୀ ଫୋନନ୍ |,acoustical phonon
ଧ୍ୱନି ଏକକ |,acoustical unit
ଶବ୍ଦ,acoustic
ଶବ୍ଦ ଜେନେରେଟର,acoustic generator
କାର୍ଯ୍ୟ ଏବଂ ପ୍ରତିକ୍ରିୟା,action and reaction
ସକ୍ରିୟ,activation
ସକ୍ରିୟ ଶକ୍ତି,"activation, energy"
"ସକ୍ରିୟକାରୀ, ସକ୍ରିୟକାରୀ |",activator
ସକ୍ରିୟ |,active
ସକ୍ରିୟତା,activity
ପ୍ରକୃତ ଚାପ,actual stress
ଫୁସ୍ଫୁସ୍,acute exposure
ସଂକ୍ଷେପରେ,add
"ରାଶି, ଯୋଗ, ସମୁଦାୟ (ଏଡି।), ଯୋଗୀ (v।)",addition
"ସଂଯୋଗ ସ୍ୱର, ଅତିରିକ୍ତ ସ୍ୱର (ସ୍ ow ର)",additional tone
ଯୋଗୀ,additive
ଆଡିଶିନ୍ |,adhesion
ଆଡେସିଭ୍ ଶକ୍ତି |,adhesional energy
adiabat,adiabat
ଆଡିଆବାଟିକ୍ |,adiabatic
ଉତ୍ତାପ ଇନସୁଲେଟିଂ,adiathermanous
ସଂଲଗ୍ନ,adjacent
ନିୟନ୍ତ୍ରିତ,adjustable
ଅନୁପ୍ରବେଶ,admittance
ବିଜ୍ or ାପନ,adsorption
ଆଗକୁ,advanced
ପ୍ରଗତିଶୀଳ |,advancing
"akashi, air (v।), aerial (ed।)",aerial
ଆଣ୍ଟେନା ଷ୍ଟ୍ରିମ୍ |,aerial current
ବାୟୁ ସର୍ବେକ୍ଷଣ |,aerial survey
ବାୟୁ ବେଗ,aerial velocity
ଏରୋଡାଇନାମିକ୍ କୋଏଫିସିଏଣ୍ଟ୍ |,aerodynamic coefficient
ଏରୋଡାଇନାମିକ୍ |,aerodynamic
ଏରୋଡାଇନାମିକ୍ସ |,aerodynamics
ଏରୋନେଟିକାଲ୍ |,aeronautical
ଏରୋନେଟିକ୍ସ |,aeronautics
ବାୟୁ ନାଡ,aeropulse
"ବାୟୁମଣ୍ଡଳ, ଗ୍ୟାସୋସଫର |",aerosphere
ଫୋକସ୍ ସିଷ୍ଟମ୍ |,afocal system
ପଛ ଇଗ୍ନିସନ୍ |,after burning
ପଛ ଆଲୋକ,after glow
ସଂକଟ,aftershock
"ବୟସ, ବୟସ, ବୟସ, ଯୁଗ (ଏଡି।), ସମୟ (ver।), ସମୟ, ସମୟ ଦ୍ୱାରା ପ୍ରଭାବିତ ହେବା |",age
ସମୟ ପ୍ରଭାବିତ |,aged
"ବାର୍ଦ୍ଧକ୍ୟ, ବାର୍ଦ୍ଧକ୍ୟ",ageing (aging)
ସମୟ ପ୍ରଭାବ,aging (=ageing)
ସମୟ ପ୍ରଭାବ ପରୀକ୍ଷା,aging test
ମାଧ୍ୟାକର୍ଷଣ |,agravic
ପୁନ iliation ନିର୍ମାଣ,aim
"ବାୟୁବାହୀ ରାଡାର, ଏରିଆଲ୍ ରାଡାର୍ |",airborne radar
"ଏରିଲ୍ ଟାର୍ଗେଟ୍, ଏରିଲ୍ ଟାର୍ଗେଟ୍ |",airborne target
ବାୟୁ ଶ୍ ir ାସକ୍ରିୟା,air breather
ଶୀତତାପ ନିୟନ୍ତ୍ରଣ,air conditioning
ଏୟାରକ୍ରାଫ୍ ଟ୍ରାନ୍ସଫର୍ମର |,aircore transformer
ବିମାନ,aircraft
ଶ୍ରେଣୀବଦ୍ଧତା |,alignment
ଶ୍ରେଣୀବଦ୍ଧ ତ୍ରୁଟି |,alignment error
ଲାଇଭ୍ ସର୍କିଟ୍ |,alive circuit
ପୂର୍ଣ୍ଣ ଗ୍ଲାସ୍ ଟ୍ୟୁବ୍ |,all glass tube
ପୁରା ଧାତୁ ଟ୍ୟୁବ୍ |,all metal tube
ଠିକ କରିବା ପାଇଁ,allocate
"ମିସ୍ରାଟୁ (ଏଡି।), ମିଶ୍ରଭାନ୍ (କ୍ର।)",alloy
ମିଶ୍ର,alloying
ସର୍ବବ୍ୟାପୀ ମାଧ୍ୟମ |,all-pervading medium
omni ଆଣ୍ଟେନା |,all-wave antenna
ଆଲମାନାକ |,almanac
ଆଲଫା,alpha
ଆଲଫା-କାର୍ଯ୍ୟକଳାପ |,alpha-activity
ବର୍ଣ୍ଣମାଳା,alphabetical
ଆଲଫା ରଶ୍ମି |,alpha ray
ପରିବର୍ତ୍ତନ କରନ୍ତୁ |,alteration
"ବିକଳ୍ପ, ବିକଳ୍ପ",alternating
ବିକଳ୍ପ,alternator
ଉଚ୍ଚତା,altigraph
ଉଚ୍ଚତା,altimeter
ଉଚ୍ଚତା,altimetry
"ଉଚ୍ଚତା, ଉଚ୍ଚତା, ଉଚ୍ଚତା, ଉଚ୍ଚତା |",altitude
ଗାଣିତିକ ଯୁକ୍ତିଯୁକ୍ତ ୟୁନିଟ୍ (ALU),ALU (Arithmatic Logic Unit)
amaget ନିୟମ |,Amagat law
ପରିବେଶ,ambient
ଆମିକ୍ରନ୍ |,amicron
ଆମ୍ମିଟର,amméter
ଆମ୍ପେର୍,ampere
ampere-law,Ampere's rule
ଆମ୍ଫିବିଆନ୍ ଆୟନ |,amphoteric ion
ବୃଦ୍ଧି,amplification
ଏମ୍ପ୍ଲିଫାୟର୍,amplifier
"କୋଣ, ପରିମାପ",amplitude
a। M. U. (ପରମାଣୁ ମାସ ଏକକ),a. m. u. (atomic mass unit)
ସୁସଙ୍ଗତ,analog (=analogue)
ଅନୁରୂପ,analogy
ବିଶ୍ଳେଷକ |,analyser
ବିଶ୍ଳେଷଣ |,analysis
ବିଶ୍ଳେଷଣାତ୍ମକ |,analytical
ଅଣ-ବିନ୍ଦୁ |,anastigmatic
ଅସନ୍ତୁଷ୍ଟ |,anastigmatism
ଏବଂ ଦ୍ୱାର,AND gate
ଅଣ-ଆକାଶବାଣୀ |,anechoic
ଅନୋମାଲ୍ ଇଲାସ୍ଟିସିଟି |,anelasticity
ଆନ୍ହାଇଡ୍ରସ୍,aneroid
କୋଣ,angle
ଆଙ୍ଗଷ୍ଟ୍ରମ୍ ୟୁନିଟ୍ |,Angstrom unit
କୋଣାର୍କ |,angular
ପ୍ରୋଟ୍ରାକ୍ଟର ଭର୍ନିଅର୍ |,angular vernier
ବିବାଦୀୟ |,anharmonic
ସମ୍ମାନଜନକ |,anharmonicity
ଆକ୍ରୋମାଟିକ୍ ଚୁମ୍ବକୀୟକରଣ |,anhysteresis
ଅଳସୁଆ |,anhysteretic
ଆୟନ,anion
ଅସୀମିତ |,anisodimensional
ଆଇସୋଟ୍ରୋପିକ୍ |,anisotropic
ଆଇସୋଟ୍ରୋପିଜିମ୍ |,anisotropy
ବିଲୋପ,annihilation
ଷଡଯନ୍ତ୍ରକାରୀ,annunciator
anode,anode
ଆନାଡାଇଜେସନ୍ |,anodize
ଅସଙ୍ଗତ,anomalous
ଅପ୍ଟିକାଲ୍ ସିଷ୍ଟମ୍ |,anoptic system
ଆଣ୍ଟେନା |,antenna
ଆଣ୍ଟିବାୟର୍,antibaryon
ଆଣ୍ଟି-ବଣ୍ଡିଂ ଗୁଣ |,antibinding property
କାଉଣ୍ଟର ବଣ୍ଡ |,anitibonding
ଓଲଟା ଶକ୍ତି |,antiferroelectricity
ଡାଇମାଗ୍ନେଟିକ୍ |,antiferromagnetic
ହୀରା ଚୁମ୍ବକୀୟ ପଦାର୍ଥ |,antiferromagnetics
ଆଣ୍ଟି-ଇନଫ୍ଲାମେଟୋରୀ |,antifoggant
ଆଣ୍ଟିଗ୍ରାଭିଟି,antigravity
ଆଣ୍ଟିଲାମଡା କଣିକା |,anti-lambda particle
ଆଲେଲେପଟନ୍ |,anti-lepton
ଡାଇମାଗ୍ନେଟିକ୍ |,antimagnetic
ଆଣ୍ଟିମାଟର୍ |,antimatter
ଆଣ୍ଟି ମିସାଇଲ୍,antimissile
ଆଣ୍ଟିନାଟ୍ରନ୍ |,antineutron
ପଲସିଂ,antinode
ଆଣ୍ଟିନ୍ୟୁକ୍ଲିଅନ୍ |,antinucleon
ଆଣ୍ଟିପାର୍ଟିକଲ୍ |,antiparticle
ଆଣ୍ଟିପ୍ରୋଟନ୍ |,antiproton
ଆଣ୍ଟିରେଫ୍ଲେକ୍ଟିଭ୍ |,antireflection
ଆଣ୍ଟିସାଇମେଟ୍ରିକ୍ |,antisymmetric
ପୁନରାବୃତ୍ତି ନୁହେଁ |,aperiodical
ଆନାକ୍ରୋନିଜିମ୍ |,aperiodicity
ଛିଦ୍ର ହୋଇଥିବା ସ୍କାନିଂ ଡିସ୍କ |,apertural disc
ଦ୍ୱାରକ,aperture
"ଉପର, ଉପର, ଆଗ",apex
"ସୂର୍ଯ୍ୟ ଉଚ୍ଚ, ସୂର୍ଯ୍ୟ ଉଚ୍ଚ, ଆପସୋର୍ |",aphelion
ଉଦାସୀନ ଲେସ୍ |,aplanat
ଅଣ-ଦୁ hetic ଖଦାୟକ |,aplanatic
ଅକ୍ଷମତା |,aplanatism
ବହୁତ ଆକ୍ରୋମାଟିକ୍ |,apochromatic
"ଭୂମି ଉଚ୍ଚ, ଆପୋଜି |",apogee
"ଅଣପୋଲାର୍, ସର୍କମ୍ପୋଲାର୍ |",apolar
ପାରାପୋଲାରିଟି |,apolarity
ଉପକରଣ,apparatus
"ଭର୍ଚୁଆଲ୍, ଭିଜୁଆଲ୍ |",apparent
ଦୃଶ୍ୟମାନ ସୂର୍ଯ୍ୟ |,apparent sun
ଭିଜୁଆଲ୍ ସମୟ |,apparent time
ଉଦୀୟମାନ ରୂପ,appearance
ଆବେଦନ,appliance
ପ୍ରଯୁଜ୍ୟତା |,applicability
ପ୍ରୟୋଗ ହୋଇଛି |,applied
ପର୍ଯ୍ୟବେକ୍ଷଣଯୋଗ୍ୟ |,appreciable
ଉପାୟ,approach
"ପାଖାପାଖି, ପାଖାପାଖି",approximate
ଆନୁମାନିକତା,approximation
ବାଷ୍ପ ଚାପ,aqueous tension
ସ୍ବେଚ୍ଛାକୃତ,arbitrary
