Punjabi,Marathi
ਅਧੂਰਾ ਛੱਡਣਾ,गर्भपात
ਅਧੂਰਾ ਛੱਡੋ,गर्भपात टाइमर
निरपेक्ष an s,परिपूर्ण पत्ता
ਪੂਰਨ ਪਤਾ,परिपूर्ण पत्ता
ਸੰਪੂਰਨ ਸੰਜਮ,परिपूर्ण असेंबलर
ਸੰਪੂਰਨ ਕੋਡ,परिपूर्ण कोड
ਸੰਪੂਰਨ ਕੋਡਿੰਗ,परिपूर्ण कोडिंग
ਸੰਪੂਰਨ ਕਮਾਂਡ,परिपूर्ण आज्ञा
ਸੰਪੂਰਨ ਕੋਆਰਡੀਨੇਟ,परिपूर्ण समन्वय
ਸੰਪੂਰਨ ਡੇਟਾ,परिपूर्ण डेटा
ਪੂਰੀ ਗਲਤੀ,परिपूर्ण त्रुटी
ਪੂਰਨ ਸਮੀਕਰਨ,परिपूर्ण अभिव्यक्ती
ਪੂਰਨ ਹਦਾਇਤ,परिपूर्ण सूचना
ਸੰਪੂਰਨ ਲੋਡਰ,परिपूर्ण लोडर
ਸੰਪੂਰਨ ਕ੍ਰਮ,परिपूर्ण ऑर्डर
ਸੰਪੂਰਨ ਪ੍ਰੋਗਰਾਮਿੰਗ,परिपूर्ण प्रोग्रामिंग
ਸੰਪੂਰਨ ਅਵਧੀ,परिपूर्ण संज्ञा
ਸਹੀ ਮੁੱਲ,परिपूर्ण मूल्य
ਸੰਪੂਰਨ ਵੈਕਟਰ,परिपूर्ण वेक्टर
ਸਾਰ,गोषवारा
ਐਬਸਟ੍ਰੈਕਟਿੰਗ,अमूर्त
ਸੰਖੇਪ ਪ੍ਰਤੀਕ,अमूर्त प्रतीक
ਪ੍ਰਵੇਗ ਦੀ ਮਿਆਦ,प्रवेग कालावधी
ਪ੍ਰਵੇਗ ਟਾਈਮ,प्रवेग वेळ
ਲਹਿਜ਼ਾ,उच्चारण
ਪ੍ਰਵਾਨਗੀ ਟੈਸਟ,स्वीकृती चाचणी
ਪਹੁੰਚ,प्रवेश
ਐਗ ਬਾਂਹ ਨੂੰ ਐਕਸੈਸ ਕਰੋ,प्रवेश आर्म
ਐਕਸੈਸ ਪ੍ਰਬੰਧ,प्रवेश व्यवस्था
ਪਹੁੰਚ ਅਥਾਰਟੀ,प्रवेश प्राधिकरण
ਐਕਸੈਸ ਚਾਰਜ,प्रवेश शुल्क
ਐਕਸੈਸ ਕਲਾਸ,प्रवेश वर्ग
ਐਕਸੈਸ ਡੇਟਾ ਬੇਸ ਪ੍ਰਬੰਧਨ,प्रवेश डेटा बेस व्यवस्थापन
ਐਕਸੈਸ ਵਾਤਾਵਰਣ,प्रवेश वातावरण
ਐਕਸੈਸ ਪਾੜਾ,प्रवेश अंतर
ਐਕਸੈਸ ਇੰਡੈਕਸ,प्रवेश निर्देशांक
ਐਕਸੈਸ ਲਾਈਨ,Line क्सेस लाइन
ਐਕਸੈਸ ਵਿਧੀ,प्रवेश यंत्रणा
ਐਕਸੈਸ ਵਿਧੀ,प्रवेश पद्धत
ਐਕਸੈਸ ਵਿਧੀ ਰੁਟੀਨ,प्रवेश पद्धत दिनचर्या
ਐਕਸੈਸ ਮੋਡ,प्रवेश मोड
ਸਹੀ ਪਹੁੰਚ,प्रवेश बरोबर
ਐਕਸੈਸ ਸਕੈਨ,प्रवेश स्कॅन
ਐਕਸੈਸ ਟਾਈਮ,प्रवेश वेळ
ਲੇਖਾ,लेखा
ਲੇਖਾ ਵਿੱਤ ਸਿਸਟਮ,लेखा वित्त प्रणाली
ਲੇਖਾ ਮਸ਼ੀਨ,लेखा मशीन
ਅਕਾਊਂਟ ਨੰਬਰ,खाते क्रमांक
ਦੁਬਾਰਾ ਪੈਦਾ ਕਰਨ ਵਾਲਾ,पुनरुत्पादक संचय
ਇਕੱਤਰ ਕਰਨ ਵਾਲਾ,संचयक
ਇਕੱਤਰ ਕਰਨ ਵਾਲਾ ਰਜਿਸਟਰ,संचयक नोंदणी
ਇਕੱਤਰ ਕਰਨ ਵਾਲੀ ਸ਼ਿਫਟ ਹਦਾਇਤਾਂ,संचयक शिफ्ट सूचना
ਸ਼ੁੱਧਤਾ,अचूकता
ਸ਼ੁੱਧਤਾ ਕੰਟਰੋਲ ਅੱਖਰ,अचूकता नियंत्रण वर्ण
ਸ਼ੁੱਧਤਾ ਕੰਟਰੋਲ ਪ੍ਰਣਾਲੀ,अचूकता नियंत्रण प्रणाली
ਏਸ ਪਾਇਲਟ,ऐस पायलट
ਅੱਖਰ ਮੰਨੋ,चरित्र कबूल करा
ਧੁਨੀ ਕਥਾ,ध्वनिक कपलर
ਧੁਨੀ,ध्वनिक कपलिंग
ਧੁਨੀ ਦੇਰੀ ਨਾਲ,ध्वनिक विलंब रेखा
ਧੁਨੀ ਯਾਦਦਾਸ਼ਤ,ध्वनिक मेमरी
ਧੁਨੀ ਮਾਡਮ,ध्वनिक मॉडेम
ਧੁਨੀ ਸੰਕੇਤ,ध्वनिक सिग्नल
ਧੁਨੀ ਸਟੋਰੇਜ,ध्वनिक संचयन
ਐਕਰੋਨਾਈਮ,परिवर्णी शब्द
ਕਾਰਵਾਈ,क्रिया
ਐਕਸ਼ਨ ਚੱਕਰ,कृती चक्र
ਐਕਸ਼ਨ ਲਾਈਨ,कृती ओळ
ਐਕਸ਼ਨ ਸੰਦੇਸ਼,कृती संदेश
ਐਕਸ਼ਨ ਨਿਰਧਾਰਨ,कृती तपशील
ਸਰਗਰਮੀ,सक्रियकरण
ਕਿਰਿਆਸ਼ੀਲ,सक्रिय
