Tamil,Kannada
"1.அபாகஸ், 2. எண்ணும்","1.ಅಬ್ಯಾಕಸ್, 2. ಎಣಿಕೆ"
அசாதாரண முடிவு,ಅಸಹಜ ಅಂತ್ಯ
இடைமறிக்கவும்,ತಡೆಹಿಡಿಯಿರಿ
"1. முழுமையான, 2. உச்சம்","1. ಸಂಪೂರ್ಣ, 2. ಸುಪ್ರೀಂ"
முழுமையான முகவரி,ಸಂಪೂರ್ಣ ವಿಳಾಸ
முழுமையான முகவரித்திறன்,ಸಂಪೂರ್ಣ ವಿಳಾಸ ಸಾಮರ್ಥ್ಯ
முழுமையான அசெம்பிளர்,ಸಂಪೂರ್ಣ ಅಸೆಂಬ್ಲರ್
"1. முழுமையான குறியீடு, 2. முழுமையான குறியீடு","1. ಸಂಪೂರ್ಣ ಕೋಡ್, 2. ಸಂಪೂರ್ಣ ಕೋಡ್"
முழுமையான கட்டளை,ಸಂಪೂರ್ಣ ಆಜ್ಞೆ
"1. முழுமையான புள்ளிவிவரங்கள், 2. முழுமையான தரவு","1. ಸಂಪೂರ್ಣ ಅಂಕಿಅಂಶಗಳು, 2. ಸಂಪೂರ್ಣ ಡೇಟಾ"
முழுமையான அறிவுறுத்தல்,ಸಂಪೂರ್ಣ ಸೂಚನೆ
முழுமையான பயன்முறை,ಸಂಪೂರ್ಣ ಮೋಡ್
முழுமையான பாதை,ಸಂಪೂರ್ಣ ಮಾರ್ಗ
"1. முழுமையான நிரலாக்கம், 2. முழுமையான நிரலாக்கம்","1. ಸಂಪೂರ್ಣ ಪ್ರೋಗ್ರಾಮಿಂಗ್, 2. ಸಂಪೂರ್ಣ ಪ್ರೋಗ್ರಾಮಿಂಗ್"
சுருக்க வர்க்கம்,ಅಮೂರ್ತ ವರ್ಗ
சுருக்க தரவு வகை,ಅಮೂರ್ತ ಡೇಟಾ ಪ್ರಕಾರ
சுருக்க இயந்திரம்,ಅಮೂರ್ತ ಯಂತ್ರ
சுருக்க சின்னம்,ಅಮೂರ್ತ ಚಿಹ್ನೆ
சுருக்க தொடரியல்,ಅಮೂರ್ತ ಸಿಂಟ್ಯಾಕ್ಸ್
ஏற்பு சோதனை,ಸ್ವೀಕಾರ ಪರೀಕ್ಷೆ
அணுகல் சான்றிதழ்,ಪ್ರವೇಶ ಪ್ರಮಾಣೀಕರಣ
"1. அணுகல் குறியீடு, 2. அணுகல் குறியீடு","1. ಪ್ರವೇಶ ಕೋಡ್, 2. ಪ್ರವೇಶ ಕೋಡ್"
நுழைவு கட்டுப்பாடு,ಪ್ರವೇಶ ನಿಯಂತ್ರಣ
அணுகல் ஸ்கேனிங்,ಪ್ರವೇಶ ಸ್ಕ್ಯಾನಿಂಗ್
பாகங்கள்,ಬಿಡಿಭಾಗಗಳು
கணக்கியல்,ಲೆಕ್ಕಪತ್ರ
"1. கணக்கு ஐடி, 2. கணக்கியல் அடையாளம்","1. ಖಾತೆ ಐಡಿ, 2. ಲೆಕ್ಕಪತ್ರ ಗುರುತಿಸುವಿಕೆ"
திரட்டி,ಸಂಚಯಕ
"1. துல்லியம், 2. துல்லியம்","1. ನಿಖರತೆ, 2. ನಿಖರತೆ"
அணுகல்,ಪ್ರವೇಶ
அணுகல் கட்டுப்பாட்டு பைட்டுகள்,ಪ್ರವೇಶ ನಿಯಂತ್ರಣ ಬೈಟ್‌ಗಳು
அணுகல் காட்டி,ಪ್ರವೇಶ ಸೂಚಕ
அணுகல் விசை,ಪ್ರವೇಶ ಕೀ
"1. அணுகல் அணி, 2. அணுகல் அணி","1. ಪ್ರವೇಶ ಮ್ಯಾಟ್ರಿಕ್ಸ್, 2. ಪ್ರವೇಶ ಮ್ಯಾಟ್ರಿಕ್ಸ್"
அணுகல் முறை,ಪ್ರವೇಶ ಮೋಡ್
