Gujarati,Tamil
વેસ્ટમિન્સ્ટરના એબી,வெஸ்ட்மின்ஸ்டர் அபே
ત્યાગી,துறவு
ગુલામી નાબૂદી,அடிமைத்தனத்தை ஒழித்தல்
એબોરિજિનલ,பழங்குடியினர்
અબ્રાહમ યુગ,ஆபிரகாம் சகாப்தம்
ગેરહાજર મકાનમાલિકો,இல்லாத நில உரிமையாளர்கள்
એકેડમી,கலைக்கூடம்
અકરા કોન્ફરન્સ,அக்ரா மாநாடு
સંસાધનો,திரட்டல்கள்
સંવર્ધન,வளர்ப்பு
એસેલડામા,அசெல்டாமா
અચેઅન (=અચિયન),அச்சேயன் (=ஆச்சியன்)
આચિયન લીગ (=એચિયન લીગ),அச்சேயன் லீக் (=ஆச்சியன் லீக்)
એક્રોપોલિસ,அக்ரோபோலிஸ்
એક્ટા દીર્ના,ஆக்டா டைர்னா
એક્ટા સેનાટસ,ஆக்டா செனடஸ்
એક્ટ એડિશનલ,Acte Additionel
સક્રિય રેકોર્ડ (=વર્તમાન રેકોર્ડ),செயலில் உள்ள பதிவு (=தற்போதைய பதிவு)
પ્રાપ્ત કરનારનું કાર્ય,அடையும் செயல்
ક્ષતિપૂર્તિ અને વિસ્મૃતિનું કાર્ય,இழப்பீடு மற்றும் மறதியின் செயல்
સમાધાનનો અધિનિયમ,தீர்வு சட்டம்
જાહેરાત કરાર સીલ,விளம்பர ஒப்பந்த முத்திரை
અદુલ્લામાઈટસ,அதுலமைட்டுகள்
વિરોધી,எதிரி
વિરોધી,எதிரி
એઓન,ஏயோன்
એરેરિયમ,ஏரேரியம்
હવાઈ યુદ્ધ,வான்வழிப் போர்
એટોલિયન લીગ,ஏட்டோலியன் லீக்
ઉંમર,வயது
વૃદ્ધત્વ (=વૃદ્ધત્વ),முதுமை (=வயதான)
વૃદ્ધત્વ પ્રક્રિયા,வயதான செயல்முறை
અગેલાઈ,அகெலாய்
શૌર્યની ઉંમર,வீரத்தின் வயது
જ્ઞાનની ઉંમર,அறிவாற்றல் வயது
પેરિકલ્સની ઉંમર,பெரிக்கிள்ஸ் வயது
કારણની ઉંમર,பகுத்தறிவு வயது
કૃષિવાદ,விவசாயம்
કૃષિ આંદોલન,விவசாய இயக்கம்
એલ્બિયન,அல்பியன்
આલ્બમ,ஆல்பம்
એલ્ડરમેન,ஆல்டர்மேன்
મોહક શસ્ત્રો,கவர்ச்சியான ஆயுதங்கள்
સૌમ્યતા,அமிட்டி
એમ્ફિક્ટિઓનિક કાઉન્સિલ,ஆம்ஃபிக்டியோனிக் கவுன்சில்
એમ્ફિક્ટિઓનિક લીગ,ஆம்ஃபிக்டியோனிக் லீக்
એમ્ફીથિયેટર,ஆம்பிதியேட்டர்
અમરી નલ જૂથ (માટીના વાસણો),அம்ரி நல் குழு (மட்பாண்டங்கள்)
અનાક્રોનિઝમ,அனாக்ரோனிசம்
એનાક્રોનિસ્ટિક,காலமற்ற
પૂર્વજ,மூதாதையர்
પૂર્વજની પૂજા,முன்னோர் வழிபாடு
વંશ,பரம்பரை
વંશ,பரம்பரை
વંશ,பரம்பரை
વંશ,பரம்பரை
પ્રાચીન શાસન,பண்டைய ஆட்சி
પ્રાચીન,பண்டைய
પ્રાચીન લોકગીત,பழங்கால பாலாட்
પ્રાચીન માન્યતા,பண்டைய நம்பிக்கை
પ્રાચીન રિવાજ,பண்டைய வழக்கம்
પ્રાચીન ઇતિહાસ,பண்டைய வரலாறு
પ્રાચીન સ્મારકો,பழங்கால நினைவுச்சின்னங்கள்
ટુચકો,சிறுகதை
એન્જેલોટ,ஏஞ்சலோட்
એન્જલસ,ஏஞ்சலஸ்
એન્જેવિન (=એન્જેવિન),ஆஞ்செவின் (=அஞ்செவின்)
ખૂણો,கோணங்கள்
એંગ્લિકન,ஆங்கிலிகன்
એંગ્લિકન કોમ્યુનિયન,ஆங்கிலிகன் ஒற்றுமை
અંગ્રેજવાદ,ஆங்கிலிக்கனிசம்
એંગ્લો-ફોબ,ஆங்கிலோ-போப்
એંગ્લો-ફોબિયા,ஆங்கிலோ-ஃபோபியா
એંગ્લો-સેક્સન,ஆங்கிலோ-சாக்சன்
એંગ્લો-સેક્સોનિઝમ,ஆங்கிலோ-சாக்சோனிசம்
એનાલિસ્ટ,அன்னாலிஸ்ட்
ઇતિહાસ,அன்னல்
જોડાણ,இணைப்பு
એન્ટિ-બેલમ,ஆன்டி-பெல்லம்
તારીખ પહેલાં,முன் தேதி
ક્લેરિકલિઝમ વિરોધી,மதகுருத்துவத்திற்கு எதிரானது
કારકુની વિરોધી કાયદો,மதகுருவுக்கு எதிரான சட்டம்
પ્રાચીનકાળ,பழமை
વિરોધી ભાડા,எதிர்ப்பு வாடகை
વિરોધી ભાડા,எதிர்ப்பு வாடகை
વિરોધી સેમિટિઝમ,யூத எதிர்ப்பு
એન્ઝેક,அன்சாக்
અપેલા,அப்பெல்லா
અરાલુ,அரலு
આર્ક બિશપ,பேராயர்
કમાન ડચી,ஆர்ச் டச்சி
આર્ક ડ્યુક,ஆர்ச் டியூக்
આર્કાઇફ (=આર્કાઇવલ સંગ્રહ),காப்பகம் (=காப்பக சேகரிப்பு)
આર્કિપીસ્કોપેટ,ஆர்க்கிபிஸ்கோபேட்
કુલીન વર્ગ,பிரபுத்துவம்
કુલીન,பிரபு
કુલીન સ્નોબરી,பிரபுத்துவ ஸ்னோபரி
એરિસ્ટોટેલિયન,அரிஸ்டாட்டிலியன்
આર્માડા,அர்மடா
આર્મડા (=ધ સ્પેનિશ આર્મડા),அர்மடா (=ஸ்பானிய அர்மடா)
આર્મોરિસ્ટ (=આર્મરિસ્ટ),கவசக்காரர் (=கவசக்காரர்)
બખ્તર (=બખ્તર),கவசம் (=கவசம்)
આર્મરિસ્ટ,ஆயுதக்கடைக்காரர்
આર્યન,ஆர்யன்
આર્યન,ஆர்யன்
અસ્કરી,அஸ்காரி
સોંપણી,ஒதுக்கு
સહાય કરો,உதவு
સહાય કરો,உதவு
સહાય કરો,உதவு
આર્મ્સ એક્ટની સહાય,ஆயுதச் சட்டம்
ડેરેન પ્રેઝન્ટમેન્ટની સહાય,அசிஸ் ஆஃப் டேரின் பிரசன்ட்மென்ட்
મોર્ટ &#39;ડી&#39; પૂર્વજની સહાય,மோர்ட் &#39;டி&#39; மூதாதையரின் அசிஸ்
નવલકથા ડીસીસીનની સહાય,நாவல் Disseisin Assize
અત્યાચાર,கொடுமை
હુમલો,தாக்குதல்
ઓલિક કાઉન્સિલ,ஆலிக் கவுன்சில்
દેવીની કુહાડી (=દેવીની કુહાડી),கோடரியின் கோடாரி (=கெடெஸ் கோடாரி)
એક્સિસ (=ધ રોમ-બર્લિન-ટોક્યો એક્સિસ),அச்சு (=ரோம்-பெர்லின்-டோக்கியோ அச்சு)
બેબીલોન,பாபிலோன்
બેબીલોનીયન કેદ (=બેબીલોનીશ કેદ),பாபிலோனிய சிறைப்பிடிப்பு (=பாபிலோனிய சிறைப்பிடிப்பு)
બચનલ ભક્ત,பச்சனல் பக்தர்
બચ્ચનલિયા,பச்சனாலியா
સ્નાતક,இளங்கலை
બગદાદ કરાર,பாக்தாத் ஒப்பந்தம்
બાલ્કન લીગ,பால்கன் லீக்
બાલ્કન કરાર,பால்கன் ஒப்பந்தம்
