English,Odiya
Abnormal,ଅସ୍ୱାଭାବିକ |
Abort,ପରିତ୍ୟାଗ
Abrasion,ଅଳିଆ ଆବେଗ
Abrupt,ଆକସ୍ମିକ
Absolute field strength,ସଂପୂର୍ଣ୍ଣ କ୍ଷେତ୍ର ଶକ୍ତି |
Absolute temperature,ସଂପୂର୍ଣ୍ଣ ତାପମାତ୍ରା |
Absolute value,ସଂପୂର୍ଣ୍ଣ ମୂଲ୍ୟ
Absorb,ଶୋଷଣ
Absorption co-efficient,ଅବଶୋଷଣ ସହ-ଦକ୍ଷ |
Absorption loss,ଶୋଷଣୀୟ କ୍ଷତି |
Abstract,ବିସ୍ତୃତ
Accelerometer,ଆକ୍ସଲେରୋମିଟର |
Acceptance test,ଗ୍ରହଣ ପରୀକ୍ଷା
Access,ପ୍ରବେଶ
Access control,ପ୍ରବେଶ ନିୟନ୍ତ୍ରଣ
Access point,ପ୍ରବେଶ ବିନ୍ଦୁ
Access time,ସମୟ ପ୍ରବେଶ କରନ୍ତୁ |
Accessibility,ଅଭିଗମ୍ୟତା |
Accumulator cell,ଆକ୍ୟୁଲେଟର କକ୍ଷ |
Accuracy,ସଠିକତା
Accurate,ସଠିକ୍
Achromatic lens,ଆଖୋଟୋମାଟିକ୍ ଲେନ୍ସ |
Acid,ଏସିଡ୍ |
Acid proof,ଏସିଡ୍ ପ୍ରମାଣ |
Acidity,ଅମ୍ଳତା
Acknowledgement bit,ସ୍ୱୀକୃତି ବିଟ୍
Acoustic,ଆକାଶବାଣୀ |
Acoustic communication,ଆକାଶବାଣୀ ଯୋଗାଯୋଗ |
Acoustic diffusion,ଆକାଶବାଣୀ ବିସ୍ତାର
Acoustic equalizer,ଆକାଶବାଣୀ ସମାନତା |
Acoustic feedback,ଆକାଶବାଣୀ ମତାମତ |
Acoustic filter,ଆକାଶବାଣୀ ଫିଲ୍ଟର |
Acoustic impedance,ଆକାଶବାଣୀ ପ୍ରତିରୋଧ |
Acoustic masking,ଆକାଶବାଣୀ ମାସ୍କିଂ |
Acoustic power,ଆକାଶବାଣୀ ଶକ୍ତି |
Acoustic property,ଆକାଶବାଣୀ ସମ୍ପତ୍ତି |
Acoustic reactance,ଆକାଶବାଣୀ ପ୍ରତିକ୍ରିୟା |
Acoustic reflex,ଆକାଶବାଣୀ ପ୍ରତିଫଳନ |
Acoustic tile,ଆକାଶବାଣୀ ଟାଇଲ୍ |
Acoustic wave,ଆକାଶବାଣୀ ତରଙ୍ଗ |
Acoustical absorption,ଆକାଶବାଣୀ ଅବଶୋଷଣ |
Acoustical attenuation constant,ଆକାଶବାଣୀ ଆଟେନେସନ୍ ସ୍ଥିର |
Acoustical damping,ଆକାଶବାଣୀ ଡମ୍ପିଂ |
Acoustical delay line,ଆକାଶବାଣୀ ବିଳମ୍ବ ରେଖା |
Acoustical distortion,ଆକାଶବାଣୀ ବିକୃତି |
Acoustical duct,ଆକାଶବାଣୀ ନଳୀ |
Acoustical energy,ଆକାଶବାଣୀ ଶକ୍ତି |
Acoustical feedback,ଆକାଶବାଣୀ ମତାମତ |
Acoustical filter,ଆକାଶବାଣୀ ଫିଲ୍ଟର |
Acoustical impedance,ଆକାଶବାଣୀ ପ୍ରତିରୋଧକ |
Acoustical propagation constant,ଆକାଶବାଣୀ ପ୍ରଚାର ସ୍ଥିର |
Acoustical resistance,ଆକାଶବାଣୀ ପ୍ରତିରୋଧ |
Acoustically insulated,ଆକାଶ ଭାବରେ ଇନସୁଲେଡ୍ |
Acoustics,ଆକାଶବାଣୀ |
Acquisition,ଅଧିଗ୍ରହଣ
Acronym,ଆକ୍ରୋନିମ୍ |
Action area,କ୍ରିୟା କ୍ଷେତ୍ର
Activated filament,ସକ୍ରିୟ ଚିଲାମେଣ୍ଟ |
Active,ସକ୍ରିୟ
Active area,ସକ୍ରିୟ କ୍ଷେତ୍ର
Active window,ସକ୍ରିୟ ୱିଣ୍ଡୋ |
Adaptability,ଅନୁକେତ
Adapter (adaptor),ଆଡାପ୍ଟର (ଆଡାପ୍ଟର)
Adaptive differential pulse code modulation,ଆଡାପ୍ଟିଭ୍ ଡିଫେରିଏଲ୍ ପଲ୍ସ କୋଡ୍ ମୋଡୁଲେସନ୍ |
Address book,ଠିକଣା ବହି
Address bus,ଠିକଣା ବସ୍
Address resolution,ଠିକଣା ରେଜୋଲୁସନ
Adjacent channel interference,ସଂଲଗ୍ନ ଚ୍ୟାନେଲର ହସ୍ତକ୍ଷେପ |
Adjacent channel selectivity,ସଂଲଗ୍ନ ଚ୍ୟାନେଲ ଚୟନ
Adjacent frequency,ସଂଲଗ୍ନ ଫ୍ରିକ୍ୱେନ୍ସି |
Adjacent frequency channel,ସଂଲଗ୍ନ ଫ୍ରିକ୍ୱେନ୍ସି ଚ୍ୟାନେଲ |
Adjacent picture carrier,ସଂଲଗ୍ନ ଚିତ୍ର ବାହକ |
Adjacent sound carrier,ସଂଲଗ୍ନ ସାଉଣ୍ଡ ବାହକ |
Adjacent station,ସଂଲଗ୍ନ ଷ୍ଟେସନ |
Adjustable,ନିୟନ୍ତ୍ରିତ
Adjustable condenser,ନିୟନ୍ତ୍ରିତ କଣ୍ଡେନ୍ସର୍ |
Adjusting pressure,ଚାପକୁ ସଜାଡିବା |
Adjusting wrench,ରେଞ୍ଚ ଆଡଜଷ୍ଟ କରିବା |
Adjustment,ଆଡଜଷ୍ଟମେଣ୍ଟ୍
Administrator,ପ୍ରଶାସକ
Advanced technology,ଉନ୍ନତ ଟେକ୍ନୋଲୋଜି |
Aerial,ବାୟୁ
Aerial array,ଏରିଲ୍ ଆରେ |
Aerial booster,ଏରିଲ୍ ବୁଷ୍ଟର୍ |
Aerial current,ଏରିଲ୍ କରେଣ୍ଟ୍ |
Aerial earthing switch,ଏରିଲ୍ ମାଟିଙ୍ଗ୍ ସୁଇଚ୍ |
Aerial efficiency,ଏରିଲ୍ ଦକ୍ଷତା |
Aerial impedance,ଏରିଲ୍ ଇନପେଟେନ୍ସ |
Aerial inductance,ଏରିଲ୍ ଇଣ୍ଡିକାନ୍ସ |
Aerial insulator,ଏରିଆଲ୍ ଇନସୁଲେଟର |
Aerial loading coil,ଏରିଆଲ୍ ଲୋଡିଂ କୋଇଲ୍ |
Aerial photography,ଏରିଲ୍ ଫଟୋଗ୍ରାଫି |
Aerial power,ଏରିଲ୍ ଶକ୍ତି |
Aerial radiation reistance,ଏରିଆଲ୍ ବିକିରଣର ଲାଭ |
Aerial reactance,ଏରିୟାଲ୍ ପ୍ରତିକ୍ରିୟା |
Aerodynamics,ଏରୋଡାଇନାମିକ୍ସ
Agency,ସଂସ୍ଥା
Air compressor,ବାୟୁ କମ୍ପ୍ରେସାକ୍ର
Air condenser,ବାୟୁ କଣ୍ଡନସର୍ |
Air cooled,ବାୟୁ ଥଣ୍ଡା
Air cored coil,ବାୟୁ କୋଡ୍ କୋଇଲ୍ |
Airconditioning,Accometication
Albedo,ଆଲବେଡୋ |
Algorithm,ଆଲଗୋରିଦମ
Aliasing,ଛଦ୍ମନାମ
Aligning,ମିଶ୍ରଣ
Alignment,ପରିଚାଳିତ
All wave aerial,ସମସ୍ତ ତରଙ୍ଗ ବାୟୁ |
Allocation,ଆବଣ୍ଟନ
Alphabetic,ବର୍ଣ୍ଣାନୁକ୍ରମିକ
Alphanumeric,ବର୍ଣ୍ଣମାଳା
Alphanumeric character,ବର୍ଣ୍ଣମାଳା ଚରିତ୍ର |
Alphanumeric information,ବର୍ଣ୍ଣମାଳା ସୂଚନା
Alternating current (a.c.),ବିକଳ୍ପ ସାମ୍ପ୍ରତିକ (AC.)
Alternation,ବିକଳ୍ପ
Alternator,Atternator
Altitude,ଉଚ୍ଚତା
Altitude of the apogee,ଆପୋଜି ର ଉଚ୍ଚତା |
Altitude of the perigee,PERIGEE ର ଉଚ୍ଚତା |
Amateur radio communication,ଆମୋଦିତ ରେଡିଓ ଯୋଗାଯୋଗ |
Ambience,ଅଭିଳାଷୀ |
Ambience microphone,ଆମ୍ବିଏନ୍ସ ମାଇକ୍ରୋଫୋନ୍ |
Ambient condition,ପରିବେଶ ସର୍ତ୍ତ
Ambient lighting,ପରିବେଶ ଆଲୋକ |
Ambient noise,ଆମ୍ବିକ୍ ଶବ୍ଦ
Ambient temperature,ପରିବେଶ ତାପମାତ୍ରା |
American standard code,ଆମେରିକୀୟ ମାନକ କୋଡ୍ |
Ampere,ଆମ୍ପେର୍
Ampere meter,ଆମ୍ପେର୍ ମିଟର |
Amplification,ବୃଦ୍ଧି
Amplification factor,Amplfication ଫ୍ୟାକ୍ଟର୍ |
Amplifier,ଏମ୍ପ୍ଲିଫାୟର୍
Amplifier gain,ଏମ୍ପ୍ଲିଫାୟର୍ ଲାଭ |
Amplifier noise,ଏମ୍ପ୍ଲିଫାୟର୍ ଶବ୍ଦ |
Amplifying equipment,ଯନ୍ତ୍ରପାତି ଯନ୍ତ୍ରପାତି |
Amplifying klystron,କାଲିଷ୍ଟ୍ରନ୍
Amplifying unit,Amplifying ୟୁନିଟ୍ |
Amplitude,ପ୍ରଶସ୍ତତା
Amplitude distortion,ପ୍ରସଙ୍ଗଯୁକ୍ତ ବିକୃତି |
Amplitude excursion,ପ୍ରୟୋଗ ହୋଇଥିବା ଭ୍ରମଣ |
