Bengali,Marathi
এসি সমতুল্য সার্কিট,एसी समतुल्य सर्किट
এনালগ থেকে সাংখ্যিক রূপান্তরকারী,एनालॉग ते अंकीय कनवर्टर
পরম শূন্য,पूर्ण शून्य
শোষণ গুণাঙ্ক,शोषण गुणांक
শোষণ বর্ণালী,शोषण स्पेक्ट्रम
রিসেপ্টর পরমাণু,रिसेप्टर अणू
বিকল্প বর্তমান যুগল,पर्यायी वर्तमान जोडणी
ইলেক্ট্রন সংগ্রহ,इलेक्ट्रॉन कापणी
গর্ত স্টোরেজ,भोक संचयन
অ্যাক্টিভেশন শক্তি,सक्रियता ऊर्जा
সক্রিয় পরিবর্ধক,सक्रिय अॅम्प्लीफायर
সক্রিয় ডায়োড সার্কিট,सक्रिय डायोड सर्किट
সক্রিয় ফিল্টার,सक्रिय फिल्टर
সক্রিয় উচ্চ ফ্রিকোয়েন্সি Parquet ফিল্টার,सक्रिय उच्च वारंवारता पर्केट फिल्टर
সক্রিয় লোড,सक्रिय भार
সক্রিয় নিম্ন ফ্রিকোয়েন্সি পার্স ফিল্টার,सक्रिय कमी वारंवारता पार्स फिल्टर
সক্রিয় এলাকা,सक्रिय क्षेत्र
অভিযোজিত ইলেকট্রনিক্স,अनुकूली इलेक्ट्रॉनिक्स
যোগকারী,जोडणारा
সামঞ্জস্যযোগ্য ব্যান্ড এক্সটেনশন,समायोज्य बँड विस्तार
অনুপ্রবেশ,प्रवेश
এরিয়েল,एरियल
পিপ ফ্রিকোয়েন্সি,pep वारंवारता
এয়ার কন্ডিশনার,एअर कंडिशनर
প্রান্তিককরণ,संरेखन
অ্যালগরিদম,अल्गोरिदम
সমস্ত পাস ফিল্টার,सर्व पास फिल्टर
খাদ জংশন,मिश्र धातु जंक्शन
ক্ষয়,क्षीणन
বিবর্তিত বিদ্যুৎ,पर्यायी प्रवाह
পরিবেষ্টিত তাপমাত্রা,वातावरणीय तापमान
বাইপোলার,द्विध्रुवीय
পরিবর্ধন,प्रवर्धन
পরিবর্ধক,अॅम्प्लिफायर
পরিবর্ধক দক্ষতা,एम्पलीफायर कार्यक्षमता
মাত্রা,परिमाण
প্রশস্ততা ক্ষয়,मोठेपणा क्षीणन
প্রশস্ততা মডুলেটেড এএম অসিলেটর,अॅम्प्लिट्यूड मॉड्युलेटेड एएम ऑसिलेटर
প্রশস্ততা মড্যুলেশন,मोठेपणा मॉड्यूलेशन
প্রশস্ততা মডুলেটর,मोठेपणा मॉड्युलेटर
অ্যাংস্ট্রম ইউনিট,अँग्स्ट्रोम युनिट
এনালগ সার্কিট,अॅनालॉग सर्किट
এনালগ কম্পিউটার,अॅनालॉग संगणक
এনালগ ফিল্টার,अॅनालॉग फिल्टर
এনালগ মাল্টিমিটার,अॅनालॉग मल्टीमीटर
এনালগ সুইচ,अॅनालॉग स्विच
এবং গেট,आणि गेट
কৌণিক কম্পাংক,कोनीय वारंवारता
"anion, anion","anion, anion"
অ্যানিলিং তাপমাত্রা,एनीलिंग तापमान
অ্যানোড,एनोड
অ্যানোড পরিবর্ধক,एनोड अॅम्प्लिफायर
anodyne,anodyne
অ্যান্টেনা,अँटेना
অ্যান্টেনা উপাদান,अँटेना घटक
বিরোধী প্রতিফলিত আবরণ,विरोधी परावर्तक कोटिंग
অ্যান্টিলগইন পরিবর্ধক,अँटिलॉगिन अॅम्प्लिफायर
অ্যান্টিরেজোন্যান্ট সার্কিট,अँटीरेझोनंट सर्किट
দ্বারক যুগ,द्वारक काळ
ভার্চুয়াল শক্তি,आभासी शक्ती
তারের সংযোগ,वायर कनेक्शन
আনুমানিক ভোল্টেজ লাভ,अंदाजे व्होल्टेज वाढ
আর্মস্ট্রং মডুলেটর,आर्मस्ट्राँग मॉड्युलेटर
অ্যান্টেনা অ্যারে,अँटेना अॅरे
"সাইজ রেশিও, অ্যাসপেক্ট রেশিও","आकार गुणोत्तर, गुणोत्तर"
ভাসমান সার্কিট (ফ্রি অপারেটিং সার্কিট),फ्लोटिंग सर्किट (फ्री ऑपरेटिंग सर्किट)
স্বয়ংক্রিয় মাল্টিভাইব্রেটর,स्वयंचलित मल्टीव्हायब्रेटर
ভাসমান মাল্টিভাইব্রেটর,फ्लोटिंग मल्टीव्हायब्रेटर
অপ্রতিসম জংশন,असममित जंक्शन
অ্যাসিঙ্ক্রোনাস ক্যালকুলেটর,असिंक्रोनस कॅल्क्युलेटर
পারমাণবিক,आण्विक
পারমাণবিক সংখ্যা,अणुक्रमांक
পারমাণবিক গঠন,अणु रचना
অডিও পরিবর্ধক,ऑडिओ अॅम्प्लीफायर
অডিও পরিবর্ধক,ऑडिओ अॅम्प्लीफायर
অডিও ক্যাসেট,ऑडिओ कॅसेट
অডিও সার্কিট,ऑडिओ सर्किट
শ্রবণযোগ্য ফ্রিকোয়েন্সি,ऐकण्यायोग्य वारंवारता
স্বয়ংক্রিয় ভোল্টেজ নিয়ন্ত্রণ,स्वयंचलित व्होल्टेज नियंत्रण
তুষারপাত,हिमस्खलन
গড় আবিষ্কারক,सरासरी डिटेक्टर
অক্ষীয় মোড,अक्षीय मोड
অক্ষীয় অনুপাত,अक्षीय प्रमाण
অ্যান্টেনা,अँटेना
ব্যাক ইলেক্ট্রোমোটিভ ফোর্স,बॅक इलेक्ट्रोमोटिव्ह फोर्स
