Punjabi,Hindi
ਵੈਸਟਮਿੰਸਟਰ ਦੇ ਅਬੇ,वैस्‍टम‍िन्‍स्‍टर मठ
ਨਿਮਰਤਾ,मालखाना
ਗੁਲਾਮੀ ਦਾ ਖਾਤਮਾ,दासता का उन्मूलन
ਆਦਿਵਾਸੀ,आदिवासी
ਅਬਰਾਹਮ ਯੁੱਗ,अब्राहम काल
ਗੈਰਹਾਜ਼ਰ ਮਕਾਨ ਮਾਲਕ,प्रवासी ज़मींदार
ਅਕੈਡਮੀ,अकादमी; विद्वत्परिषद
ਅਕਰਾ ਕਾਨਫਰੰਸ,अक्रा सम्मेलन
ਪ੍ਰਾਪਤੀ,"प्रोद्भूत सामग्री, उपचित सामग्री"
ਐਕਲਚਰੇਸ਼ਨ,"परसंस्कृति-ग्रहण, उत्संस्करण"
ਐਸੇਲਡਾਮਾ,एसेलडामा
ਅਚੀਅਨ (=ਅਚੀਅਨ),एकियायी
ਅਚੀਅਨ ਲੀਗ (=ਅਚੀਅਨ ਲੀਗ),एकीयायी लीग
ਐਕ੍ਰੋਪੋਲਿਸ,एक्रोपोलिस
ਐਕਟਾ ਦਿਉਰਨਾ,"शाही रोज़नामचा, दैनिक समाचार"
ਐਕਟਾ ਸੇਨੇਟਸ,सीनेट का कार्यवृत्त
ਐਕਟ ਐਡੀਸ਼ਨਲ,"अपर प्रपत्र, एक्टे एडिशनेल"
ਕਿਰਿਆਸ਼ੀਲ ਰਿਕਾਰਡ (=ਮੌਜੂਦਾ ਰਿਕਾਰਡ),सक्रिय रिकार्ड
ਪ੍ਰਾਪਤ ਕਰਨ ਵਾਲੇ ਦਾ ਕੰਮ,अपकीर्त्ति अधिनियम
ਮੁਆਵਜ਼ੇ ਅਤੇ ਭੁੱਲ ਦਾ ਕੰਮ,दंड विमुक्ति एवं विस्मरण अधिनियम
ਸੈਟਲਮੈਂਟ ਦਾ ਐਕਟ,"राज्य-व्यवस्था अधिनियम, एक्ट ऑफ सेटिलमेंट"
ਵਿਗਿਆਪਨ ਇਕਰਾਰਨਾਮੇ ਦੀ ਮੋਹਰ,संविदा मुद्रा
ਅਦੁਲਾਮਾਈਟਸ,आडुलम गुटवादी
ਵਿਰੋਧੀ,विपक्षी
ਵਿਰੋਧੀ,2. शत्रु
ਏਯੋਨ,युग
ਏਰੈਰੀਅਮ,इरेरियम
ਹਵਾਈ ਜੰਗ,"आकाशी युद्ध, हवाई लड़ाई"
ਏਟੋਲੀਅਨ ਲੀਗ,"एटोलियन लीग, एटोलियायी संघ"
ਉਮਰ,"काल, युग"
ਬੁਢਾਪਾ (=ਬੁਢਾਪਾ),"काल-प्रभावन, जीर्णन"
ਬੁਢਾਪੇ ਦੀ ਪ੍ਰਕਿਰਿਆ,जीर्णन-प्रक्रिया
ਅਗੇਲੈ,एजिलायी
ਬਹਾਦਰੀ ਦੀ ਉਮਰ,शौर्य युग
ਗਿਆਨ ਦੀ ਉਮਰ,"प्रबोध युग, ज्ञानोदय युग"
ਪੇਰੀਕਲਸ ਦੀ ਉਮਰ,पेरीक्लीज़ युग
ਕਾਰਨ ਦੀ ਉਮਰ,तर्क प्रधान युग
ਖੇਤੀਵਾਦ,भूमि सुधारवाद
ਖੇਤੀ ਅੰਦੋਲਨ,भूमि सुधारवादी आंदोलन
ਐਲਬੀਅਨ,एलबियन
ਐਲਬਮ,अलबम
ਐਲਡਰਮੈਨ,"पौर मुख्य, विशिष्ट पौर, आल्‍डर्मन"
ਲੁਭਾਉਣੇ ਹਥਿਆਰ,कुलांकित आयुध
ਦੋਸਤੀ,मैत्री
Amphictyonic ਕੌਂਸਲ,एम्फिकटिआनी परिषद
ਐਮਫਿਕਟੋਨਿਕ ਲੀਗ,ऊपर देo : Amphictyonic Council
ਅਖਾੜਾ,"रंगवाट, रंगभूमि, अखाड़ा"
ਅਮਰੀ ਨਲ ਸਮੂਹ (ਮਿੱਟੀ ਦੇ ਭਾਂਡਿਆਂ ਦਾ),(मृद्भांडों का) अमरीनाल वर्ग
ਐਨਾਕ੍ਰੋਨਿਜ਼ਮ,"काल-वैषम्य, काल-दोष"
ਐਨਾਕ੍ਰੋਨਿਸਟਿਕ,काल-वैषम्ययुक्त
ਪੂਰਵਜ,पूर्वज
ਪੂਰਵਜ ਦੀ ਪੂਜਾ,पितृ-पूजा
ਵੰਸ਼,कुल-परंपरा
ਵੰਸ਼,2. वंश
ਵੰਸ਼,3. वंश-क्रम
ਵੰਸ਼,4. उच्च कुल
ਪ੍ਰਾਚੀਨ ਸ਼ਾਸਨ,"प्राचीन शासन-व्यवस्था, क्रांति पूर्व शासन-व्यवस्था"
ਪ੍ਰਾਚੀਨ,"पुरातन, प्राचीन"
ਪ੍ਰਾਚੀਨ ਗੀਤ,प्राचीन गाथा
ਪ੍ਰਾਚੀਨ ਵਿਸ਼ਵਾਸ,प्राचीन मत
ਪ੍ਰਾਚੀਨ ਰਿਵਾਜ,प्राचीन प्रथा
ਪ੍ਰਾਚੀਨ ਇਤਿਹਾਸ,प्राचीन हतिहास
ਪ੍ਰਾਚੀਨ ਸਮਾਰਕ,प्राचीन स्मारक
ਕਿੱਸਾ,उपाख्यान
ਐਂਜਲੋਟ,एन्जिलोट
ਐਂਜਲਸ,देवदूत पूजा
ਐਂਜੇਵਿਨ (=ਅੰਜੇਵਿਨ),आन्जवै
ਕੋਣ,ऐन्गल्स
ਐਂਗਲੀਕਨ,आंग्लिक
ਐਂਗਲੀਕਨ ਕਮਿਊਨੀਅਨ,आंग्ल चर्च
ਐਂਗਲੀਕਨਵਾਦ,आंग्ल चर्चवाद
ਐਂਗਲੋ-ਫੋਬ,आंग्ल विरोधी
ਐਂਗਲੋ-ਫੋਬੀਆ,आंग्ल-दुर्भीति
ਐਂਗਲੋ-ਸੈਕਸਨ,आंग्ल सैक्सन
ਐਂਗਲੋ-ਸੈਕਸੋਨਿਜ਼ਮ,आंग्ल-सैक्सनवाद
ਐਨਾਲਿਸਟ,"आख्यान-लेखक, आख्यानकार"
ਇਤਿਹਾਸ,"वर्षवृत्त, आख्यान, ख्यात"
ਅਨੇਕਸ਼ਨ,"अधिनहन, मिला देना"
ਐਂਟੀ-ਬੇਲਮ,युद्ध पूर्व (स्थिति)
ਪਿਛਲੀ ਤਾਰੀਖ,"पूर्वतिथि-निर्धांरण, पूर्वकाल निर्धारण"
ਵਿਰੋਧੀ ਮੌਲਵੀਵਾਦ,पादरी प्रथा विरोधी
ਕਲੈਰੀਕਲ ਵਿਰੋਧੀ ਕਾਨੂੰਨ,पादरी प्रथा विरोधी विधान
ਪੁਰਾਤਨਤਾ,"पुरावशेष, पुरावस्तु"
ਵਿਰੋਧੀ ਕਿਰਾਇਆ,लगान-विरोधी
ਵਿਰੋਧੀ ਕਿਰਾਇਆ,2. एन्टी रैन्ट पार्टी
ਵਿਰੋਧੀ ਸਾਮੀਵਾਦ,"यहूदी विरोध, यहूदीवाद-विरोध, यहूदी विरोधवाद"
ਐਨਜ਼ੈਕ,ऐन्ज़ेक
ਅਪੇਲਾ,नागरिक सभा
ਅਰਲੂ,अरालू
ਆਰਕ ਬਿਸ਼ਪ,आर्च बिशप
ਆਰਕ ਡਚੀ,आर्च डची
ਆਰਕ ਡਿਊਕ,आर्च ड्यूक
ਪੁਰਾਲੇਖ (=ਪੁਰਾਲੇਖ ਸੰਗ੍ਰਹਿ),पुरालेख संग्रह
ਆਰਚੀਪੀਸਕੋਪੇਟ,महाधर्माध्यक्ष का पद
ਕੁਲੀਨ,अभिजाततंत्र
ਰਈਸ,अभिजात
ਕੁਲੀਨ ਸਨੋਬਰੀ,अभिजातीय दंभ
ਅਰਿਸਟੋਟਲੀਅਨ,अरस्तूवादी
ਆਰਮਾਡਾ,आर्मेडा
ਆਰਮਾਡਾ (= ਸਪੇਨੀ ਆਰਮਾਡਾ),स्पेन का आर्मेडा
ਸ਼ਸਤਰਧਾਰਕ (=ਸ਼ਸਤਰਧਾਰਕ),कवच-विशारद
ਸ਼ਸਤ੍ਰ (= ਸ਼ਸਤ੍ਰ),"कवच, बख्तर, वर्म"
ਸ਼ਸਤਰਧਾਰਕ,अo देo armorist
ਆਰੀਅਨ,आर्य
ਆਰੀਅਨ,2. कुलीन
ਅਸਕਰੀ,अस्कारी
ਅਸਾਈਨੈਟ,"आसिग्ना, भू-प्रतिभृत मुद्रा"
ਅਸਾਈਜ਼,अभिसत्र
ਅਸਾਈਜ਼,2. विधिपृच्छा
ਅਸਾਈਜ਼,3. अभिसत्राधिनियम
ਅਸਲਾ ਐਕਟ ਦੀ ਸਹਾਇਤਾ,आयुध अभिसत्राधिनियम
ਡੈਰੇਨ ਪ੍ਰੈਜ਼ੈਂਟਮੈਂਟ ਦੀ ਸਹਾਇਤਾ,डारेन उपस्थापन अभिसत्राधिनियम
ਮੋਰਟ &#39;ਡੀ&#39; ਪੂਰਵਜ ਦੀ ਸਹਾਇਤਾ,मृत पूर्वज अभिसत्राधिनियम
ਨਾਵਲ ਡੀਸੀਸਿਨ ਦੀ ਸਹਾਇਤਾ,अभिनव अधिधारणोत्सादन अभिसत्राधिनियम
ਅੱਤਿਆਚਾਰ,नृशंसता
ਹਮਲਾ,आक्रमण
ਔਲਿਕ ਕੌਂਸਲ,"सर्वोच्च न्यायालय, ऑलिक काउन्सिल"
ਦੇਵੀ ਦੀ ਕੁਹਾੜੀ (= ਦੇਵੀ ਦੀ ਕੁਹਾੜੀ),गेडिस समाधान
ਐਕਸਿਸ (=ਰੋਮ-ਬਰਲਿਨ-ਟੋਕੀਓ ਐਕਸਿਸ),धुरी राष्ट्र
ਬਾਬਲ,"बाबुल, बेबीलोन"
ਬਾਬਲੀ ਗ਼ੁਲਾਮੀ (=ਬੇਬੀਲੋਨ ਦੀ ਗ਼ੁਲਾਮੀ),बेबीलोनी बंदीकरण
ਬਚਨਲ ਭਗਤ,बाखुसी उपासक
ਬਚਨਲਿਆ,मद्यपानोत्सव
ਕੁਆਰਾ,युवा योद्धा
ਬਗਦਾਦ ਸਮਝੌਤਾ,"बगदाद अनुबंध, बगदाद पैक्ट"
ਬਾਲਕਨ ਲੀਗ,बाल्कन लीग
ਬਾਲਕਨ ਸਮਝੌਤਾ,बाल्कन अनुबंध
ਬਾਲਕਨ ਯੁੱਧ,बाल्कन युद्ध
ਬਾਲਟਿਕ ਸਮਝੌਤਾ,बाल्टिक अनुबंध
ਡਾਕੂ,दस्यु
ਬੈਂਡੁੰਗ ਕਾਨਫਰੰਸ,बांडुंग सम्मेलन
ਦੇਸ਼ ਨਿਕਾਲੇ,"निर्वासन, देश-निकाला"
ਬੈਨਰ,"पताका, ध्वजा"
ਵਹਿਸ਼ੀ,बर्बर
ਬਾਰਬੀਕਨ,कोट-घूँघट
