Kannada,Malayalam
ಎ ಬಿ ವರ್ಗದ ಆಂಪ್ಲಿಫಯರ್,എ ബി ക്ലാസ് ആംപ്ലിഫയർ
ವಿಪಥನ,അപഭ്രംശം
ಅಸಹಜ ಪ್ರಸರಣ,അസാധാരണമായ സംക്രമണം
"ಜೋಡಿಸದ, ಸಾಮಾನ್ಯವಾಗಿ, ಹೊಂಡ, ಕತ್ತರಿಸಿದ, ಮುರಿತ","ഘടിപ്പിക്കാത്ത, സാധാരണയായി, കുഴികളുള്ള, ഛേദിക്കപ്പെട്ട, ഒടിഞ്ഞ"
ಸ್ಪೆಕ್ಟ್ರಮ್ ಕಾಣೆಯಾಗಿದೆ,സ്പെക്ട്രം കാണുന്നില്ല
"ಸಂಪೂರ್ಣ, ಸಂಪೂರ್ಣ, ನಿರಂತರ, ಪರಿಪೂರ್ಣ","കേവല, കേവല, സ്ഥിരം, തികഞ്ഞ"
ಸಂಪೂರ್ಣ ಆರ್ದ್ರತೆ,കേവല ഈർപ്പം
ಸಂಪೂರ್ಣ ವೇಗ,കേവല വേഗത
ಸಂಪೂರ್ಣ ವೀಕ್ಷಣೆ,സമ്പൂർണ നിരീക്ഷണം
ಸಂಪೂರ್ಣ ತಾಪಮಾನ,കേവല താപനില
ಸಂಪೂರ್ಣ ಶೂನ್ಯ,കേവല പൂജ്യം
ಹೀರಿಕೊಳ್ಳುತ್ತವೆ,ആഗിരണം ചെയ്യുക
"ಹೀರಿಕೊಳ್ಳುವ, ಹೀರಿಕೊಳ್ಳುವ","ആഗിരണം, ആഗിരണം"
ಹೀರಿಕೊಳ್ಳುವ ಸಾಮರ್ಥ್ಯ,ആഗിരണം ശേഷി
ಹೀರಿಕೊಳ್ಳುವಿಕೆ,ആഗിരണം
ಹೀರಿಕೊಳ್ಳುವ,ആഗിരണം ചെയ്യാവുന്ന
ಹೀರಿಕೊಳ್ಳುವಿಕೆ,ആഗിരണം
ಬಹುಸಂಖ್ಯೆಯ ಅನುಪಾತ,ഗുണിത അനുപാതം
ವೇಗವನ್ನು,ത്വരിതപ്പെടുത്തുക
ಆತುರಪಟ್ಟರು,തിടുക്കപ്പെട്ടു
ವೇಗವರ್ಧನೆ,ത്വരണം
ಗುರುತ್ವಾಕರ್ಷಣೆಯ ವೇಗವರ್ಧನೆ,ഗുരുത്വാകർഷണ ത്വരണം
ವೇಗವರ್ಧಕ,ആക്സിലറേറ്റർ
ವೇಗವರ್ಧಕ,ആക്സിലറേറ്റർ
ವೇಗವರ್ಧಕ,ആക്സിലറോമീറ്റർ
ಪ್ರಿಸ್ಟ್ರೆಸರ್,പ്രിസ്ട്രെസർ
ಸ್ವೀಕಾರಾರ್ಹ ಪರೀಕ್ಷೆ,സ്വീകാര്യമായ പരിശോധന
ಸ್ವೀಕರಿಸುವವರು,സ്വീകർത്താവ്
ದಾನಿ ಅಣು,ദാതാവിന്റെ തന്മാത്ര
"ಪ್ರವೇಶ, ಕಾಯುವಿಕೆ, ಪ್ರವೇಶಿಸುವಿಕೆ","പ്രവേശനം, കാത്തിരിപ്പ്, പ്രവേശനക്ഷമത"
ಪ್ರವೇಶಿಸುವಿಕೆ,പ്രവേശനക്ഷമത
"ಹೆಚ್ಚುವರಿ, ಪರಿಕರ, ಪರಿಕರ (ವಿ.), ಪರಿಕರಗಳು (ಸಂ)","സ്പെയർ, ആക്സസറി, ആക്സസറി (വി.), ആക്സസറികൾ (എഡി.)"
ಪ್ರವೇಶ ಸಮಯ,പ്രവേശന സമയം
ಸಂದರ್ಶಕರ ದೋಷ,സന്ദർശക പിശക്
ಹೊಂದಾಣಿಕೆ,ക്രമീകരിക്കൽ
ಸಂಗ್ರಹಿಸಲಾಗಿದೆ,കുമിഞ്ഞുകൂടി
"ಶೇಖರಣೆ, ಶೇಖರಣೆ","ശേഖരണം, ശേഖരണം"
ಸಂಚಯಕ,ശേഖരണം
ನಿಖರತೆ,കൃത്യത
ರಿಯಾಲಿಟಿ,റിയാലിറ്റി
ವರ್ಣರಹಿತ ಮಸೂರ,അക്രോമാറ്റിക് ലെൻസ്
ವರ್ಣರಹಿತ,അക്രോമാറ്റിക്
ವರ್ಣರಹಿತತೆ,അക്രോമാറ്റിറ്റി
ಅಕೌಸ್ಟಿಕ್,അക്കോസ്റ്റിക്
ಧ್ವನಿ ನಿರೋಧಕ,ശബ്ദപ്രതിരോധം
