Assamese,Hindi
abeli গ্ৰুপ,आबेली समूह
abeli গ্ৰুপ,आबेली सामिसमूह
হাত,भुज
"নিৰপেক্ষ, নিৰপেক্ষ, ধ্ৰুৱক, নিখুঁত","निरपेक्ष, परम, अचर, परिशुद्‌ध"
নিৰপেক্ষ অভিসৰণ,निरपेक्ष अभिसरण
নিৰপেক্ষ ভুল,निरपेक्ष त्रुटि
পৰম পৰম,परम उच्चिष्ठ
নিৰপেক্ষ সৰ্বনিম্ন,परम निम्निष्ठ
নিৰপেক্ষ মূল্য,निरपेक्ष मान
নিৰপেক্ষ বেগ,निरपेक्ष वेग
বিমূৰ্ত বীজগণিত,अमूर्त बीजगणित
বিমূৰ্ত গোট তত্ত্ব,अमूर्त समूह सिद्‌धांत
বেগ বৃদ্ধি,त्वरण
মহাকৰ্ষণীয় ত্বৰণ,गुरुत्वीय त्वरण
গ্ৰহণযোগ্য নিৰ্বাচক,स्वीकार्य वरण-समुच्चय
গ্ৰহণযোগ্য গুণগত মানৰ স্তৰ,स्वीकार्य गुणता स्तर
গ্ৰহণযোগ্য চৌহদ,स्वीकार्य परिसर
বৈধ নিৰ্ভৰযোগ্যতা স্তৰ,मान्य विश्वसनीयता स्तर
গ্ৰহণযোগ্যতা নমুনা সংগ্ৰহ কৰা,स्वीकरण-प्रतिचयन
সঞ্চিত ভুল,संचित त्रुटि
শুদ্ধতা,यथार्थता
প্ৰয়োগ কৰা বল,लगा हुआ बल
"কাৰ্য্য, কাৰ্য্য","क्रिया, कर्म"
ক্ৰিয়া আৰু প্ৰতিক্ৰিয়া,क्रिया और प्रतिक्रिया
বীমা বিজ্ঞান,बीमा विज्ञान
তীব্ৰ ত্ৰিভুজ,न्यूनकोण त्रिभुज
অচক্ৰীয়,अचक्रीय
সামৰণিত,"योग करना, जोड़ना"
adder,योजक
"যোগফল, যোগ, যোগফল (c.), যোগ (v.)","योग, जोड़, संकलन (स.), योगात्मक (वि.)"
যোগৰ সূত্ৰ,योग का सूत्र
জটিল সংখ্যাৰ যোগফল,सम्मिश्र संख्याओं का योग
ফলনৰ যোগফল,फलनों का योग
মেট্ৰিক্সৰ যোগফল,आव्यूहों का योग
বহুপদৰ যোগফল,बहुपदों का योग
সম্ভাৱনাৰ যোগফল,प्रायिकताओं का योग
ভেক্টৰৰ যোগফল,सदिशों का योग
"যোগ উপপাদ্য, বেৰী তত্ত্ব,",योग प्रमेय बेरीज सिद्‌धांत
যোগকৰণ গোট,योज्य समूह
যোগকৰণৰ বিপৰীত,योज्य व्युत्क्रम
যোগযোগ্যতা,"योज्यता, योगशीलता"
যোগযোগ্যতা,योज्यता
সংলগ্নতা মেট্ৰিক্স,आसन्नता आव्यूह
"কাষৰীয়া, কাষৰীয়া, কাষৰীয়া","संलग्न, निकटवर्ती, आसन्न"
কাষৰীয়া কোণ,आसन्न कोण
কাষৰীয়া শিখৰ,आसन्न शीर्ष
to associate,सहबद्‌ध करना
"সংযুক্ত আবৃত,",संलग्न संलग्नीत
সাধাৰণ নিৰ্ণায়ক,सहखंडज सारणिक
সংযুক্ত অৱভেদ্য সমীকৰণ,संलग्न अवकल समीकरण
সংলগ্ন সমীকৰণ,संलग्न समीकरण
সহসমঞ্জস্যপূৰ্ণ মেট্ৰিক্স,सहखंडज आव्यूह
মেট্ৰিক্স সহাৱস্থান,आव्यूह सहखंडज
সহসমঞ্জস্যপূৰ্ণ মেট্ৰিক্স,सहखंडज आव्यूह
গ্ৰহণযোগ্য সিদ্ধান্ত কাৰ্য্য,ग्राह्य निर्णय फलन
গ্ৰহণযোগ্য অনুমান,ग्राह्य परिकल्पना
বায়ুগতিবিদ্যা বল,वायुगतिक बल
বায়ুগতিবিদ্যা,वायु गतिकी
সমজাতীয় জ্যামিতি,सजातीय ज्यामिति
সমজাতীয় মেপিং,सजातीय प्रतिचित्रण
সমজাতীয় ৰূপান্তৰ,सजातीय रूपांतरण
এগ্ৰিগেট ভেৰিয়েবল,समुच्चयी चर
"বীজগণিত, বীজগণিত, বীজগণিত, বীজগণিত","बीजगणित, ऐलजेब्रा, बीजावली, बीजक्रिया"
"বীজযুক্ত বন্ধ, বীজযুক্ত","बीजतः संवृत, बीजतः"
বীজগণিতীয় সমীকৰণ,बीजीय समीकरण
বীজগণিতীয় প্ৰকাশ,बीजीय व्यंजक
বীজগণিতীয় একাকাৰীতা,बीजीय समघात
বীজগণিতীয় ফলন,बीजीय फलन
বীজগণিতীয় জ্যামিতি,बीजीय ज्यामिति
বীজগণিতীয় বহুত্ব,बीजीय बहुकता
বীজগণিতীয় ব্যৱস্থা,बीजीय निकाय
সকলো-পূৰ্ণসংখ্যা সমস্যা,सर्व-पूर्णांक समस्या
"নিযুক্তিৰ সমস্যা watt প্ৰশ্ন,",नियतन समस्या वाटपप्रश्न
বৰ্ণানুক্ৰমিক সংকেত,अक्षरात्मक संकेत पद्‌धति
বৰ্ণানুক্ৰমিক আখৰ,अक्षरात्मक संप्रतीक
বিকল্প কোণ,एकांतर कोण
"বিকল্প সমজাতীয় বিকল্প ৰূপ,",एकांतर समघात प्रत्यावर्ती रूप
বিকল্প গোট,एकांतर समूह
বিকল্প মেট্ৰিক্স,एकांतर आव्यूह
বিকল্প শৃংখলা,एकांतर श्रेणी
বিকল্প অনুমান,वैकल्पिक परिकल्पना
বিকল্প অনুকূল,वैकल्पिक इष्टमत
বিকল্প ফলাফল,वैकल्पिक परिणाम
