English,Assamese
A C equivalent circuit,এ চি সমতুল্য বৰ্তনী
A to D converter,এনালগ টু সংখ্যাগত ৰূপান্তৰক
Absolute zero,নিৰপেক্ষ শূন্য
Absorption coefficient,শোষণ সহগ
Absorption spectrum,শোষণ বৰ্ণালী
Acceptor atom,ৰিচেপ্টৰ পৰমাণু
A C coupling,বিকল্প বিদ্যুৎ প্ৰবাহ সংযোজন
Accumulation of electron,ইলেক্ট্ৰন সংগ্ৰহ কৰা
Accumulation of holes,ফুটা সংৰক্ষণ
Activation energy,সক্ৰিয়কৰণ শক্তি
Active amplifier,সক্ৰিয় পৰিবৰ্ধক
Active diode circuit,সক্ৰিয় ডাইঅ&#39;ড বৰ্তনী
Active filter,সক্ৰিয় ফিল্টাৰ
Active high pass filter,সক্ৰিয় উচ্চ কম্পাঙ্ক পাৰ্কেট ফিল্টাৰ
Active load,সক্ৰিয় লোড
Active low pass filter,সক্ৰিয় কম কম্পাঙ্ক বিশ্লেষণ ফিল্টাৰ
Active region,সক্ৰিয় অঞ্চল
Adaptive electronics,অভিযোজিত ইলেক্ট্ৰনিক্স
Adder,adder
Adjustable band width,এডজাষ্টেবল বেণ্ড এক্সটেনচন
Admittance,ভেদ
Aerial,এৰিয়েল
Agility frequency,pep কম্পাঙ্ক
Air conditioner,এয়াৰ কণ্ডিচনাৰ
Alignment,প্ৰান্তিককৰণ
Algorithm,এলগৰিদম
All pass filter,সকলো পাছ ফিল্টাৰ
Alloy junction,মিশ্ৰণ সংযোগ
Attenuation,ক্ষীণকৰণ
Alternating current (AC),বিকল্প বিদ্যুৎ প্ৰবাহ
Ambient temperature,পৰিৱেশৰ উষ্ণতা
Ambipolar,বাইপোলাৰ
Amplification,এম্প্লিফিকেশন
Amplifier,এম্প্লিফায়াৰ
Amplifier efficiency,এম্প্লিফায়াৰৰ কাৰ্যক্ষমতা
Amplitude,মাত্ৰাসমূহ
Amplitude altenuation,প্ৰসাৰণ ক্ষীণকৰণ
Amplitude modulated oscillator,প্ৰসাৰণ মডুলেটেড AM দোলক
Amplitude modulation,প্ৰসাৰণ মডুলেচন
Amplitude modulator,প্ৰসাৰণ মডুলেটৰ
Angstrom unit,angstrom একক
Analog circuit,এনালগ বৰ্তনী
Analog computer,এনালগ কম্পিউটাৰ
Analog filter,এনালগ ফিল্টাৰ
Analog multimeter,এনালগ মাল্টিমিটাৰ
Analog switch,এনালগ চুইচ
AND gate,AND গেট
Angular frequency,কৌণিক কম্পাঙ্ক
Anion,"এনিয়ন, এনিয়ন"
Annealing temperature,এনিয়েলিং উষ্ণতা
Anode,এনোড
Anode amplifier,এনোড এম্প্লিফায়াৰ
Anodization,এনোডাইন
Antenna,এন্টেনা
Antenna elements,এন্টেনা উপাদান
Anti-reflection coating,এন্টি-ৰিফ্লেক্টিভ আৱৰণ
