Punjabi,Hindi
"1. ਅਬੈਕਸ, 2. ਗਿਣਤੀ","1.एबेकस, 2. गिनतारा"
ਅਸਧਾਰਨ ਅੰਤ,असामान्य समापन
ਰੁਕਾਵਟ,अवरोधन
"1. ਸੰਪੂਰਨ, 2. ਸੁਪਰੀਮ","1. निरपेक्ष, 2. परम"
ਪੂਰਾ ਪਤਾ,निरपेक्ष पता
ਸੰਪੂਰਨ ਪਤਾਯੋਗਤਾ,निरपेक्ष पताभिगमन
ਪੂਰਨ ਅਸੈਂਬਲਰ,निरपेक्ष कोडांतरक
"1. ਸੰਪੂਰਨ ਕੋਡ, 2. ਪੂਰਨ ਕੋਡ","1. निरपेक्ष कूट, 2. निरपेक्ष कोड"
ਪੂਰਨ ਹੁਕਮ,निरपेक्ष समादेश
"1. ਸੰਪੂਰਨ ਅੰਕੜੇ, 2. ਪੂਰਨ ਡਾਟਾ","1.निरपेक्ष आंकडे, 2. निरपेक्ष डाटा"
ਪੂਰਨ ਹਦਾਇਤ,निरपेक्ष अनुदेश
ਪੂਰਨ ਮੋਡ,निरपेक्ष विधा
ਪੂਰਨ ਮਾਰਗ,निरपेक्ष पथ
"1. ਸੰਪੂਰਨ ਪ੍ਰੋਗਰਾਮਿੰਗ, 2. ਸੰਪੂਰਨ ਪ੍ਰੋਗਰਾਮਿੰਗ","1. निरपेक्ष क्रमादेशन, 2. निरपेक्ष प्रोग्रामन"
ਐਬਸਟਰੈਕਟ ਕਲਾਸ,अमूर्त वर्ग
ਸੰਖੇਪ ਡਾਟਾ ਕਿਸਮ,अमूर्त आंकड़ा प्रकार
ਐਬਸਟਰੈਕਟ ਮਸ਼ੀਨ,अमूर्त मशीन
ਸੰਖੇਪ ਚਿੰਨ੍ਹ,अमूर्त प्रतीक
ਸੰਖੇਪ ਸੰਟੈਕਸ,अमूर्त वाक्य विन्यास
ਸਵੀਕ੍ਰਿਤੀ ਟੈਸਟ,स्वीकृति परीक्षण
ਪਹੁੰਚ ਪ੍ਰਮਾਣੀਕਰਣ,अभिगम प्रमाणन
"1. ਪਹੁੰਚ ਕੋਡ, 2. ਐਕਸੈਸ ਕੋਡ","1. अभिगम कूट, 2. अभिगम कोड"
ਪਹੁੰਚ ਕੰਟਰੋਲ,अभिगम नियंत्रण
ਐਕਸੈਸ ਸਕੈਨਿੰਗ,अभिगम क्रमवीक्षण
ਸਹਾਇਕ ਉਪਕਰਣ,सहयंत्र
ਲੇਖਾਕਾਰੀ,लेखा
"1. ਖਾਤਾ ID, 2. ਲੇਖਾ ਪਛਾਣ","1. एकाउंट आई डी, 2. लेखा पहचान"
ਇਕੱਠਾ ਕਰਨ ਵਾਲਾ,संचायक
"1. ਸ਼ੁੱਧਤਾ, 2. ਸ਼ੁੱਧਤਾ","1. विशुद्धता, 2. यर्थाथता"
ਪਹੁੰਚ,अभिगम
ਪਹੁੰਚ ਕੰਟਰੋਲ ਬਾਈਟ,अभिगम नियंत्रण बाइट
ਪਹੁੰਚ ਸੂਚਕ,अभिगम सूचक
ਪਹੁੰਚ ਕੁੰਜੀ,अभिगम कुंजी
"1. ਪਹੁੰਚ ਮੈਟਰਿਕਸ, 2. ਪਹੁੰਚ ਮੈਟਰਿਕਸ","1.अभिगम आव्यूह, 2. अभिगम मैट्रिक्स"
ਪਹੁੰਚ ਮੋਡ,अभिगम विधा
ਪਹੁੰਚ ਅਧਿਕਾਰ,अभिगम विशेषाधिकार
ਪਹੁੰਚ ਸੁਰੱਖਿਆ,अभिगम सुरक्षा
"1. ਐਕਸੈਸ ਸਰਵਰ, 2. ਸਰਵਰ ਤੱਕ ਪਹੁੰਚ","1. अभिगम परिसेवक, 2. अभिगम सर्वर"
ਪਹੁੰਚ ਦਾ ਸਮਾਂ,अभिगम काल
ਮਾਨਤਾ,अभिस्वीकृति
ਧੁਨੀ ਵਿਗਿਆਨ,ध्वनिकी
"1. ਸੰਖੇਪ ਰੂਪ, 2. ਸੰਖੇਪ, 3. ਤੋਂ ਛੋਟਾ","1. परिवर्णी शब्द, 2. संक्षिप्त रूप, 3. लघु रूप"
ਕਾਰਵਾਈ ਸੁਨੇਹਾ,क्रिया संदेश
ਸਰਗਰਮੀ,सक्रियण
ਸਰਗਰਮ ਸਰਵਰ ਪੰਨਾ,सक्रिय सर्वर पृष्ठ
ਕਿਰਿਆਸ਼ੀਲ ਸੰਸਕਰਣ,सक्रिय वर्जन
acyclic,अचक्रीय
"1. ਏਸਾਈਕਲਿਕ ਗ੍ਰਾਫ਼, 2. acyclic ਗ੍ਰਾਫ਼","1. अचक्रीय आलेख, 2. अचक्रीय ग्राफ"
ਅਦਾ ਕੰਪਿਊਟਰ ਭਾਸ਼ਾ,एडा कंप्यूटर भाषा
