Abatement,"ਉਪਸ਼ਮਨ, ਘਾਟ"
Abbreviation,ਸਾਰ
Abduction,ਹੁਦਾਲਾ
Abeyance,ਕਨੂੰਨ ਦੀ ਵਰਤੋਂ ਉੱਤੇ ਰੋਕ(ਕਨੂੰਨੀ) ਸਥਰਾਨ
Ability,ਯੋਗਤਾ
Ab initio,"ਮੁਢ ਤੌ, ਸ਼ੁਰੂ ਤੋਂ"
Able,ਯੋਗ
Abnormal,"ਅਸਹਿਜ, ਅਸਮਾਨ"
Abolition,"ਖਾਤਮਾ, ਖਤਮ, ਸਮਾਪਤੀ"
Abolitionof post,ਅਹੁਦੇ ਦੀ ਸਮਾਪਤੀ
Above mentioned,"ਉਪਰ ਲਿਖਿਤ, ਉੱਤੇ ਦਿੱਤਾ ਹੋਇਆ"
Above quoted,ਉਪਰ ਸੰਕੇਤਕ
Above said,"ਉੱਤੇ ਦਿੱਤਾ ਹੋਇਆ, ਉੱਤੇ ਕਿਹਾ ਹੋਇਆ"
Absence,"ਗੈਰਹਾਜ਼ਿਰੀ, ਥੋੜ"
Absentee,ਹੈਰਹਾਜ਼ਿਰ
Absenteeism,"ਗੈਰਹਾਜ਼ਿਰ ਰਹਿਣ ਦਾ ਸ਼ੁਭਾ, ਕਿਧਰੇ ਹੋਰ ਰਹਿਣਾ"
Absentee statement,ਗੈਰਹਾਜ਼ਿਰੀ ਵੇਰਵਾ
Absolute,"ਪੂਰਨ, ਨਿਰਪੱਖ"
Absolute monopoly,ਇਕ-ਅਧਿਕਾਰ
Absolute ownership,ਪੂਰਨ ਮਾਲਿਕੀ
Absorption,"ਲੀਣ ਹੋਣਾ, ਵਿੱਚੇ ਸਮਾ ਜਾਣਾ, ਸਮੋ-ਲੈਣਾ"
Abstract,ਸਾਰ
Abstractstatement,ਸਾਰ ਵੇਰਵਾ
Absurd,"ਅਰਥ ਹੀਨ, ਬੇਤੁਕਾ"
Abundance,ਬਹੁਤਾਤ
Abuse of power,ਸ਼ਕਤੀ ਦਾ ਦੁਰਉਪਯੋਗ
Abusive language,ਗਾਲੀ ਗਲੋਚ (ਦੀ ਭਾਸ਼ਾ)
Academic,"ਅਕਾਦਮਿਕ, ਵਿਦਿਅਕ"
Academic discussion,ਅਕਾਦਮਿਕ ਚਰਚਾ
Academic leave,ਅਕਾਦਮਿਕ ਛੁੱਟੀ
Academic qualification,ਅਕਾਦਮਿਕ ਯੋਗਤਾ ਸਿਖਿਅਕ ਯੋਗਤਾ
Academic record,"ਸਿਖਿਅਕ ਰਿਕਾਰਡ, ਸਿਖਿਅਕ ਅਭੀਲੇਖ"
Accede,"ਮੰਨ ਲੈਣਾ, ਗਰਹਿਣ ਕਰਨਾ, (ਖੇਤਰ ਨੂੰ) ਨਾਲ ਮਿਲਾਣਾ"
Accept,"ਸਵੀਕਾਰ ਕਰਨਾ, ਮੰਨ ਲੈਣਾ"
Acceptance,"ਮੰਜੂਰੀ, ਗਰਹਿਣ ਕਰਨਾ(ਕਨੂੰਨ) ਸਵੀਕਾਰਨ, ਪ੍ਰਵਾਗੀਤ"
Acceptance of office,ਅਹੁਦੇ ਦੀ ਮੰਜੂਰੀ
Acceptance of tender,ਨਿਵਿਦਾ(ਟੈਂਡਰ) ਦੀ ਮੰਜੂਰੀ
Access,ਪਹੁੰਚ
Accession,"ਤਾਜ ਪੋਸ਼ੀ, ਤਖਤਨਸ਼ੀਨੀ, ਰਜਿਸਟਰ ਵਿਚਚੜ੍ਹਾਨਾ(ਕਿਤਾਬਾਂ ਦਾ)"
Accessory,"ਗੌਣ ਪੂਰਕ ਚੀਜ, ਉਪਸਾਧਨ"
Accident,"ਦੁਰਘਟਨਾ, ਹਾਦਸਾ, ਨਸੰਜੋਗ"
Acclimatization,ਵਾਤਾਵਰਨ ਅਨੁਸਾਰੀ
Accommodation,"ਰਿਹਾਇਸ, ਗੁਜਾਰਾ"
Accompanist,"ਸਾਥ ਚਲਣ ਵਾਲਾ, ਸੰਗਕਾਰ"
Accord,"ਸਮਝੌਤਾ, ਪ੍ਰਦਾਨ ਕਰਨਾ, ਦੇਣਾ"
Accordance,"ਇਕ ਰੂਪਤਾ, ਸੰਗਤੀ"
Accordingly,ਉੱਸੇ ਅਨੁਸਾਰ
Account,"ਲੇਖਾ, ਖਾਤਾ, ਹਿਸਾਬ"
Accountability,ਜਵਾਬ ਦੇਹੀ
Accountable,"ਜਵਾਬ ਦੇਹ, ਦੇਨਦਾਰ"
Accountancy,"ਲੇਖਾ ਵਿਧੀ, ਲੇਖਾ ਕਾਰਜ"
Accountant,ਲੇਖਾਕਾਰ
Account for,"ਕਾਰਣ ਦੱਸਣਾ, ਲੇਖਾ-ਜੋਖਾ ਦੇਣਾ"
Account head,ਲੇਖਾ-ਸਿਰਨਾਂ
Accrued benefit,ਮਿਲਣ ਵਾਲੇ ਹਿਤਲਾਭ
Accrued pension,ਮਿਲਣ ਵਾਲੀ ਪੇਂਸ਼ਨ
Accumulation,"ਸੰਚਯ, ਸੰਚਿਤ ਕਰਨਾ, ਇਕੱਠਾ ਕਰਨਾ"
Accuracy,"ਯਥਾਰਥਤਾ, ਬਿਲਕੁਲ ਸਹੀ"
Accurate,"ਯਥਾਰਥ, ਸਹੀ, ਬਿਲਕੁਲ ਸਹੀ"
Accuse,ਇਲਜਾਮ ਲਾਉਣਾ
Accused,ਦੋਸ਼ੀ ਅਪਰਾਧੀ
Achievement,"ਪ੍ਰਾਪਤੀ, ਉਪਲਬਧੀ"
Acknowledgement,"ਰਸੀਦ, ਪ੍ਰਾਪਤੀ ਸੂਚਨਾ, ਮੰਜੂਰੀ(ਕਨੂੰਨੀ)"
Acknowledgement due,"ਪ੍ਰਾਪਤੀ ਪੱਤਰ, ਰਸੀਦੀ"
Acquaintance,"(ਵਿਅਕਤੀ) ਜਾਣੂ, ਜਾਣ-ਪਛਾਣ, ਪਰੀਚੈ"
Acquisition,"ਅਧਿਗਰਿਹਣ, ਪ੍ਰਾਪਤ ਕਰਨਾ"
Acquittance,"ਭੁਗਤਾਨ, ਭਰਪਾਈ, ਬੰਦ-ਖਲਾਸੀ(ਕਨੂੰਨੀ)"
Act,"ਕਾਰਜ, ਕ੍ਰਿਤ, ਅਧਿਨਿਯਮ"
Acting allowance,ਕਾਰਜਕਾਰੀ ਭੱਤਾ
Action,"ਕਾਰਵਾਈ, ਕ੍ਰਿਆ, ਕਾਰਜ, ਸੰਘ੍ਰਸ਼"
Action plan,ਕਾਰਜ ਯੋਜਨਾ
Active,ਸਕ੍ਰਿਅ
Actively,"ਸਕ੍ਰਿਅਤਾ, ਸਕ੍ਰਿਅਤਾ ਪੂਰਵਕ"
Activist,"ਨਿਪੁੰਨ ਕਰਮਚਾਰੀ, ਸਕ੍ਰਿਅਤਾਵਾਦੀ"
Act of God,ਦੈਵੀ ਨ੍ਰਿਤ
Act of misconduct,ਅਨਾਚਾਰ
Acts of commission and omission,ਭੁੱਲ-ਚੁੱਕ
Actual,ਵਾਸਤਵਿਕ
Actuals,ਵਾਸਵਿਕ ਆਂਕੜੇ
Adaptation,"ਅਨੁਕੂਲਣ, ਰੂਪ ਅਨੁਕੂਲ, ਰੂਪਾਂਤਰ"
Addition,"ਯੋਗ, ਜੋੜ, ਵਾਧਾ, ਵਧੀਕ"
Additional charge,ਅਤਿਰਿਕਤ ਪ੍ਰਭਾਰ
Additional fund,ਅਤਿਰਿਕਤ ਭੰਡ
Additional grant,ਅਤਿਰਿਕਤ ਅਨੁਦਾਨ
Additional information,"ਅਤਿਰਿਕਤ ਸੂਚਨਾ, ਅਤਿਰਿਕਤ ਜਾਨਕਾਰੀ"
Additional pay,ਅਤਿਰਿਕਤ ਵੇਤਨ
Addition and alteration,ਪਰਿਵਰਤਨ ਵਾਧਾ
Address,"ਪਤਾ, ਵਿਆਖਿਆਨ, ਸੰਬੋਧਨ, ਸੰਬੋਧਿਤ ਕਰਨਾ, ਮਾਣ ਪੱਤਰ, ਵਿਚਾਰ ਕਰਨਾ"
Addressee,"ਪਾਉਣ ਵਾਲਾ, ਸਿਰਨਾਵਾਂਦਾਰ"
Address of welcome,ਅਭਿਨੰਦਨ ਪੱਤਰ
Adequate,ਕਾਫੀ. ਲੋੜ ਅਨੁਸਾਰ
Adhere to,"ਕਾਇਮ ਰਹਿਣਾ, ਡਟੇ ਰਹਿਣਾ, ਦ੍ਰਿੜ੍ਹ ਰਹਿਣਾ"
Ad hoc,"ਐਡ ਹੌਕ, ਤਦ-ਅਰਥੀ"
Ad hoc claim,ਤਦ-ਅਰਥੀ ਦਾਵਾ
Ad hoc committee,ਤਦ-ਅਰਥੀ ਕਮੇਟੀ
Ad hoc increase,ਤਦ-ਅਰਥੀ ਵਾਧਾ
Ad hoc payment,ਤਦ-ਅਰਥੀ ਭੁਗਤਾਨ
Adjacent,"ਲਾਗਲਾ, ਨਜਦੀਕੀ, ਸਮੀਪ ਵਰਤੀ, ਨੇੜਲਾ"
Adjoining (=contiguous),"ਨਾਲ ਲਗਦਾ, ਕੋਲ ਦਾ, ਜੁੜਿਆ"
Adjournment,"ਮੁਲਤਵੀਕਰਨਾ, ਕਾਰਜ, -ਸਥਗਨ"
Adjournment motion,"ਸੁਲਤਵੀ ਪ੍ਰਸਤਾਵ, ਸਥਗਨ ਪ੍ਰਸਤਾਵ, ਕੰਮ ਰੋਕੋ ਪ੍ਰਸਤਾਵ"
Adjudge,"ਨਿਆਂ-ਨਿਰਣਾ ਕਰਨਾ, ਫੈਸਲਾ ਕਰਨਾ(ਕਨੂੰਨ)"
Adjudicate,ਨਿਆਂ-ਨਿਰਣਾ ਕਰਨਾ
Adjudication,"ਫੈਸਲਾ, ਨਿਆਂ ਨਿਰਣਾ, ਅਦਾਲਤੀ ਹੁਕਮ"
Adjudicator,"ਨਿਆਂ-ਨਿਰਣਾ ਕਰਨ ਵਾਲਾ, ਨਿਆਂ-ਨਿਰਣਾ ਕਰਤਾ"
Adjustment,"ਸਮਾਯੋਜਨ, ਅਨੁਕੂਲਤਾ"
Administer,"ਪ੍ਰਸ਼ਾਸਨ ਕਰਨਾ, (ਕਸਮ) ਚਕਾਉਣੀ, (ਦਵਾਈ) ਦੇਣੀ ਜਾਂ ਖਵਾਉਣੀ, ਵਿਵਸਥਾ ਕਰਨੀ, ਪ੍ਰਬੰਧ ਕਰਨਾ"
Administer oath,ਸੌਂਹ ਖਵਾਉਣੀ
Administration,ਪ੍ਰਸ਼ਾਸਨ
Administration of justice,ਨਿਆਂ ਪ੍ਰਸ਼ਾਸਨ
Administrative,ਪ੍ਰਸ਼ਾਸਨੀ
Administrative action,ਪ੍ਰਸ਼ਾਸਨੀ ਕਾਰਵਾਈ
Administrative appraisal,ਪ੍ਰਸ਼ਾਸਨੀ ਮੁਲਾਂਕਣ
Administrative approval,ਪ੍ਰਸ਼ਾਸਨੀ ਅਨੁਮੋਦਨ
Administrative authority,ਪ੍ਰਸ਼ਾਸਨੀ ਅਧਿਕਾਰੀ
Administrative control,ਪ੍ਰਸ਼ਾਸਨੀ ਨਿਯੰਤਰਣ
Administrative decision,ਪ੍ਰਸ਼ਾਸਨੀ ਨਿਆਂ
Administrative department,ਪ੍ਰਸ਼ਾਸਨੀ ਵਿਭਾਗ
Administrative head,ਪ੍ਰਸ਼ਾਸਨੀ ਪ੍ਰਧਾਨ
Administrative headquarters,ਪ੍ਰਸ਼ਾਸਨੀ ਮੁੱਖ ਦਫਤਰ
Administrative measures,ਪ੍ਰਸ਼ਾਸਨੀ ਉਪਾਅ
Administrative power,ਪ੍ਰਸ਼ਾਸਨੀ ਸ਼ਕਤੀ
