Gujarati,Punjabi
એમ્પીયર (એકમ),ਐਂਪੀਅਰ (ਯੂਨਿਟ)
એંગસ્ટ્રમ,angstrum
એ-ક્લાસ એમ્પ્લીફાયર,ਏ-ਕਲਾਸ ਐਂਪਲੀਫਾਇਰ
એએન રેડિયો સહાય,ਏਐਨ ਰੇਡੀਓ ਸਹਾਏ
a-સ્કેનીંગ પ્રસ્તુતિ,ਇੱਕ-ਸਕੈਨਿੰਗ ਪੇਸ਼ਕਾਰੀ
a-દર્શ,a-ਦਰਸ਼
A-સ્કોપ કામગીરી,ਏ-ਸਕੋਪ ਪ੍ਰਦਰਸ਼ਨ
A-T વક્ર ક્રિસ્ટલ,A-T ਕਰਵਡ ਕ੍ਰਿਸਟਲ
"એસી ડીસી લાભો, એ. સીડી. સી.લાભી, એ. સીડી. c. એમ્પ્લીફિકેશન","AC-DC ਲਾਭ, ਏ. ਸੀ.ਡੀ. ਸੀ.ਲਾਭੀ, ਏ. ਸੀ.ਡੀ. c. ਪ੍ਰਸਾਰਣ"
છું,am
AMU (અણુ સમૂહ એકમ),ਏ.ਐੱਮ.ਯੂ (ਪਰਮਾਣੂ ਪੁੰਜ ਯੂਨਿਟ)
આર્ડ-વાર્ક*,ਆਰਡ-ਵਰਕ*
એબ-એમ્પીયર,ਐਬ-ਐਂਪੀਅਰ
A-B વર્ગ એમ્પ્લીફાયર,ਏ-ਬੀ ਕਲਾਸ ਐਂਪਲੀਫਾਇਰ
અદાહ,adah
A-B શક્તિ પિટક,ਏ-ਬੀ ਸ਼ਕਤੀ ਪਿਟਕ
abc = ગોઠવણી ચાર્ટ = નોમોગ્રાફ,abc = ਅਲਾਈਨਮੈਂਟ ਚਾਰਟ = ਨਾਮੋਗ੍ਰਾਫ
અબે નંબર (અબે સતત),ਅਬੇ ਨੰਬਰ (ਆਬੇ ਸਥਿਰ)
અબે રીફ્રેક્ટોમીટર,abe refractometer
અબે સાઈન સ્ટેટ,ਅਬੇ ਸਾਈਨ ਸਟੇਟ
આપોઆપ પૂર્વગ્રહ વળતર,ਆਟੋਮੈਟਿਕ ਪੱਖਪਾਤ ਮੁਆਵਜ਼ਾ
abcoulom,abcoulom
વિકૃતિ,ਵਿਗਾੜ
વિકૃતિ સુધારક લેન્સ,ਵਿਗਾੜ ਠੀਕ ਕਰਨ ਵਾਲਾ ਲੈਂਸ
આકાશ વિકૃતિ,ਅਸਮਾਨ ਵਿਕਾਰ
અફરદ,abfarad
એબેનરી,ਈਬੇਨਰੀ
ઇબોની અસર,ਈਬੋਨੀ ਪ੍ਰਭਾਵ
અસામાન્ય ધ્રુવીકરણ,ਅਸਧਾਰਨ ਧਰੁਵੀਕਰਨ
અસામાન્ય ટ્રાન્સમિશન,ਅਸਧਾਰਨ ਸੰਚਾਰ
પેરાનોર્મલ પ્રતિબિંબ,ਅਲੌਕਿਕ ਪ੍ਰਤੀਬਿੰਬ
અસામાન્ય રીફ્રેક્શન*,ਅਸਧਾਰਨ ਅਪਵਰਤਨ*
પેરાનોર્મલ પ્રતિકાર,ਅਲੌਕਿਕ ਵਿਰੋਧ
ab-om,ab-om
"પ્રબળતા, નિષ્ફળતા","ਪ੍ਰਬਲਤਾ, ਅਸਫਲਤਾ"
"જોડાયેલ, સામાન્ય રીતે, સ્થાયી, વિચ્છેદિત, ખંડિત","ਜੁੜੇ ਹੋਏ, ਆਮ ਤੌਰ &#39;ਤੇ, ਖੜ੍ਹੇ, ਕੱਟੇ ਹੋਏ, ਖੰਡਿਤ"
ઘણી વાર કૂદકો,ਅਕਸਰ ਛਾਲ ਮਾਰਦਾ ਹੈ
હાથ*,ਹੱਥ*
પ્રતિબિંબ ગુમાવ્યું,ਗੁੰਮ ਪ੍ਰਤੀਬਿੰਬ
ગુમ થયેલ સ્પેક્ટ્રમ,ਗੁੰਮ ਸਪੈਕਟ੍ਰਮ
"નિરપેક્ષ, નિરપેક્ષ, અચળ, સંપૂર્ણ","ਪੂਰਨ, ਸੰਪੂਰਨ, ਨਿਰੰਤਰ, ਸੰਪੂਰਨ"
સંપૂર્ણ પ્રવેગક,ਪੂਰਨ ਪ੍ਰਵੇਗ
