Marathi,Malayalam
अजैविक पुनरुत्पादन,അജിയോട്ടിക് പുനരുൽപാദനം
अलौकिक,അസാധാരണമായ
1. चौथे पोट 2. इवोमासोम,1. നാലാമത്തെ വയറ് 2. ഇവോമസോം
रंध्र वाढीचा अवयव,സ്റ്റോമറ്റൽ വളർച്ച അവയവം
वाढ खुंटलेले बीज,വളർച്ച മുരടിച്ച വിത്ത്
1. गर्भपात 2. गर्भपात 3. वाढीचा प्रतिकार,1. ഗർഭച്ഛിദ്രം 2. ഗർഭം അലസൽ 3. വളർച്ചയുടെ പ്രതിരോധം
1. अवांछित तण 2. पूर्ण तण,1. ആവശ്യമില്ലാത്ത കളകൾ 2. പൂർണ്ണമായ കളകൾ
शोषलेले केशन,ആഗിരണം ചെയ്യപ്പെട്ട കാറ്റേഷൻ
शोषण,ആഗിരണം
Abyssinian मोहरी,അബിസീനിയൻ കടുക്
1. ऍकेरिसाइड,1. acaricide
केंद्राभिमुख,കേന്ദ്രാഭിമുഖം
प्रवर्धन (सेल),ആംപ്ലിഫിക്കേഷൻ (സെൽ)
मंजूर सहिष्णुता,അനുവദിച്ച സഹിഷ്ണുത
1.अतिरिक्त 2.अॅक्सेसरी 3.अॅक्सेसरी,1.അഡീഷണൽ 2.അക്സസറി 3.അക്സസറി
रुपांतर,പൊരുത്തപ്പെടുത്തൽ
जमा,ശേഖരണം
1. अचूकता 2. अचूकता,1. vaccuracy 2. കൃത്യത
1. एसरव्हुलस 2. स्पोरोफाइट,1. അസെർവുലസ് 2. സ്പോറോഫൈറ്റ്
1. एसिटायझेशन 2. व्हिनेगर बनवणे 3. एसिटिलीन,1. അസറ്റൈസേഷൻ 2. വിനാഗിരി ഉണ്ടാക്കൽ 3. അസറ്റിലിൻ
1. आम्लीकरण 2. आम्लीकरण,1. അസിഡിഫിക്കേഷൻ 2. അസിഡിഫിക്കേഷൻ
1. ऍसिडोमीटर 2. ऍसिडीमीटर,1. അസിഡോമീറ്റർ 2. അസിഡിമീറ്റർ
आंबटपणा,അസിഡിറ്റി
ऍसिडोफाइल,അസിഡോഫൈൽ
ऍसिडिफाइड रॉक फॉस्फेट,അസിഡിഫൈഡ് റോക്ക് ഫോസ്ഫേറ്റ്
आम्लीकृत,അസിഡിഫൈഡ്
जलचर,ജലാശയം
संपादन,കൈവശപ്പെടുത്തൽ
एकर,ഏക്കർ
1. क्षेत्रफळ 2. क्षेत्रफळ,1. ഏരിയ 2. ഏരിയ
