Odiya,Kannada
AC ସମାନ ସର୍କିଟ |,ಎಸಿ ಸಮಾನ ಸರ್ಕ್ಯೂಟ್
ସାଂଖ୍ୟିକ ରୂପାନ୍ତରକାରୀ ସହିତ ଅନୁରୂପ |,ಸಂಖ್ಯಾ ಪರಿವರ್ತಕಕ್ಕೆ ಅನಲಾಗ್
ସଂପୂର୍ଣ୍ଣ ଶୂନ,ಸಂಪೂರ್ಣ ಶೂನ್ಯ
ଶୋଷଣ ଗୁଣବତ୍ତା,ಹೀರಿಕೊಳ್ಳುವ ಗುಣಾಂಕ
ଅବଶୋଷଣ ସ୍ପେକ୍ଟ୍ରମ୍ |,ಹೀರಿಕೊಳ್ಳುವ ವರ್ಣಪಟಲ
ରିସେପ୍ଟର ପରମାଣୁ |,ಗ್ರಾಹಕ ಪರಮಾಣು
ବ current କଳ୍ପିକ ସାମ୍ପ୍ରତିକ ଯୋଡି |,ಪರ್ಯಾಯ ವಿದ್ಯುತ್ ಜೋಡಣೆ
ଇଲେକ୍ଟ୍ରନ୍ ଅମଳ,ಎಲೆಕ್ಟ್ರಾನ್ ಕೊಯ್ಲು
ଗର୍ତ୍ତ ସଂରକ୍ଷଣ,ರಂಧ್ರ ಸಂಗ್ರಹಣೆ
ସକ୍ରିୟ ଶକ୍ତି,ಸಕ್ರಿಯಗೊಳಿಸುವ ಶಕ್ತಿ
ସକ୍ରିୟ ଏମ୍ପ୍ଲିଫାୟର୍ |,ಸಕ್ರಿಯ ಆಂಪ್ಲಿಫಯರ್
ସକ୍ରିୟ ଡାୟୋଡ୍ ସର୍କିଟ୍ |,ಸಕ್ರಿಯ ಡಯೋಡ್ ಸರ್ಕ್ಯೂಟ್
ସକ୍ରିୟ ଫିଲ୍ଟର୍ |,ಸಕ್ರಿಯ ಫಿಲ್ಟರ್
ସକ୍ରିୟ ହାଇ ଫ୍ରିକ୍ୱେନ୍ସି ପାର୍କେଟ୍ ଫିଲ୍ଟର୍ |,ಸಕ್ರಿಯ ಹೈ ಫ್ರೀಕ್ವೆನ್ಸಿ ಪ್ಯಾರ್ಕ್ವೆಟ್ ಫಿಲ್ಟರ್
ସକ୍ରିୟ ଭାର,ಸಕ್ರಿಯ ಲೋಡ್
ସକ୍ରିୟ ନିମ୍ନ ଫ୍ରିକ୍ୱେନ୍ସି ପାର୍ସ ଫିଲ୍ଟର୍ |,ಸಕ್ರಿಯ ಕಡಿಮೆ ಆವರ್ತನ ಪಾರ್ಸ್ ಫಿಲ್ಟರ್
ସକ୍ରିୟ କ୍ଷେତ୍ର |,ಸಕ್ರಿಯ ಪ್ರದೇಶ
ଆଡାପ୍ଟିଭ୍ ଇଲେକ୍ଟ୍ରୋନିକ୍ସ |,ಹೊಂದಾಣಿಕೆಯ ಎಲೆಕ್ಟ್ರಾನಿಕ್ಸ್
ଆଡର୍,ಸೇರಿಸುವವನು
ଆଡଜଷ୍ଟେବଲ୍ ବ୍ୟାଣ୍ଡ ଏକ୍ସଟେନ୍ସନ୍ |,ಹೊಂದಾಣಿಕೆ ಬ್ಯಾಂಡ್ ವಿಸ್ತರಣೆ
ଅନୁପ୍ରବେଶ,ನುಗ್ಗುವಿಕೆ
ଆରିଏଲ,ಏರಿಯಲ್
ପେପ୍ ଫ୍ରିକ୍ୱେନ୍ସି |,ಪೆಪ್ ಆವರ್ತನ
ଶିତତାପ ନିୟନ୍ତ୍ରଣକାରି,ಹವಾ ನಿಯಂತ್ರಣ ಯಂತ್ರ
ଶ୍ରେଣୀବଦ୍ଧତା |,ಜೋಡಣೆ
ଆଲଗୋରିଦମ |,ಅಲ್ಗಾರಿದಮ್
ସମସ୍ତ ପାସ୍ ଫିଲ୍ଟର୍ |,ಎಲ್ಲಾ ಪಾಸ್ ಫಿಲ್ಟರ್
ମିଶ୍ରିତ ଜଙ୍କସନ |,ಮಿಶ್ರಲೋಹ ಜಂಕ್ಷನ್
ଆଘାତ,ಕ್ಷೀಣತೆ
ବ current କଳ୍ପିକ କରେଣ୍ଟ୍ |,ಪರ್ಯಾಯ ಪ್ರವಾಹ
ପରିବେଶର ତାପମାତ୍ରା |,ಹೊರಗಿನ ತಾಪಮಾನ
ଦ୍ୱିପାକ୍ଷିକ,ಬೈಪೋಲಾರ್
ବୃଦ୍ଧି,ವರ್ಧನೆ
