Malayalam,English
നിർത്തലാക്കിയ അവയവം,Aborted organ
നിർത്തലാക്കിയ വിത്ത്,Aborted seed
ഗര്ഭഛിദം,Abortion
കേവല കള,Absolute weed
ആഗിരണം ചെയ്യപ്പെട്ട വ്യാജം,Absorbed cation
ആഗിരണം,Absorption
അബിസീനിയൻ കടുക്,Abyssinian mustard
Ala എഴുതിയത്,Acaricide
അക്വെൻട്രിക്,Accentric
ആക്സന്റ്വേറ്റ് (സെൽ),Accentuate (cell)
അംഗീകരിച്ച സഹിഷ്ണുത,Accepted tolerance
ഉപസാധനം,Accessory
ACCLIMATIES,Acclimatization
കൂന്വാരം,Accumulation
കൃതത,Accuracy
Aiverulus,Acervulus
അസഹീകരണം,Acetification
അസിഡിറ്റി,Acidification
ആദിമീറ്റര്,Acidimeter
അസിഡിറ്റി,Acidity
അഡോഫിലിക്,Acidophilic
അസിഡിലേറ്റഡ് റോക്ക് ഫോസ്ഫേറ്റ്,Acidulated rock phosphate
അയ്യോണിക്,Aciduric
അക്വിഫർ,Aquifer
കൈവശപ്പെടുത്തൽ,Acquisition
ഏന്വുല്ല്,Acre
പസ്താര,Acreage
അക്രോസൻട്രിക് ക്രോമസോം,Acrocentric chromosome
അക്രോപോറ്റൽ,Acropetal
അക്രോസോം,Acrosome
ആക്റ്റിനോമൈസെറ്റുകൾ,Actinomycetes
സജീവ റൂട്ട് സോൺ,Active root zone
തുളച്ചുകയറുന്ന,Acute
പൊരുത്തപ്പെടലി,Adaptability
പൊരുത്തപ്പെടുത്തൽ,Adaptation
അഷൈൻ,Adhesion
അദിപ്പോസ്,Adipose
ക്രമീകരണ സമവാക്യം,Adjustment equation
അഡോബ് മണ്ണ്,Adobe soil
പ്രത്യേകത,Adulterant
സാഹസികത,Adventitious
Aecidiossoror,Aecidiospore
ഓലിയൻ പ്രക്രിയ,Aeolian process
Aiolian,Aeolian
ഓറേറ്റ്,Aerate
ഏരിയൽ,Aerial
ഏയ്റോമീറ്റർ,Aerometer
എയറോസോൾ,Aerosol
പകർച്ചവ്വാധം,Aestivation
Aetiiology (etiology),Aetiology (etiology)
വനനം,Afforestation
പ്രക്ഷോഭക്തി,Agitation
ന്വര്,Agmark
കാർഷികം,Agrarian
കാർഷിക ക്ലിനിക്,Agricultural clinic
കാർഷിക തൊഴിലാളി,Agricultural labour
കാർഷിക മാർക്കറ്റിംഗ്,Agricultural marketing
കാർഷിക സാങ്കേതികവിദ്യ,Agricultural technology
കൃഷിപ്പണി,Agriculture
അഗ്രിസിൾവികൾച്ചർ,Agrisilviculture
കാർഷികൈവൻവിറ്റി,Agrobiodiversity
അഗ്രോബയോളജിക്കൽ വൈകല്യങ്ങൾ,Agrobiological defects
അഗ്രോബയോളജി,Agrobiology
അഗ്രോകീല വൈവിധ്യമാർന്ന വൈവിധ്യമാർന്ന,Agroclimatic diversity
അഗ്രോക്ലിമാറ്റിക് സോണിംഗ്,Agroclimatic zoning
അഗ്രോഫോറസ്ട്രി,Agroforestry
ങ്ങളോട്,Agrology
അഗ്രോണമി,Agronomy
അഗ്രോപസ്റ്റോറൽ,Agropastoral
കാർഷികസംരക്ഷണം,Agroprocessing
അഗ്രോസ്റ്റോസ്റ്റിയോളജി,Agrostology
അഗ്രോട്ടിപ്പ്,Agrotype
എയർ പ്ലാന്റ്,Air plant
അക്കിയോച്ചി മണ്ണ്,Akiochi soil
ആൽബിനിസം,Albinism
ആൽഫിസോളുകൾ,Alfisols
ആല്ഗകൾ,Algae
ആൽഗൽ രോഗം,Algal disease
ക്ഷാളി വെള്ളം,Alkali water
ആൽക്കലൈൻ,Alkaline
അല്ലലേ,Allele
അല്ലോകെമിക്കലുകൾ,Allelochemicals
AllloMorph,Allelomorph
നിയോവദാതി,Allelopathy
ഓൺലൈൻ ക്രോപ്പിംഗ്,Alley cropping
അലോക്കർപി,Allocarpy
അലോഗാമി,Allogamy
അലറിരം,Allometry
Allopolyplogid,Allopolyploid
Allosynapsis (Allowsyndesis),Allosynapsis (allosyndesis)
ഇതര ബെയറിംഗ്,Alternate bearing
ഇതര ഭൂമി ഉപയോഗം,Alternate land use
ആംബിയന്റ്സ്,Ambient
സൗഹാർഭോഗം,Ameliorant
അമിറ്റോസിസ്,Amitosis
അമിനിവൽക്കരണം,Amminization
അമ്മോണിഫിക്കേഷൻ,Ammonification
അമോമോണിഫയർ,Ammonifier
അമോഫ്,Amorph
ആംഫിമിക്സിസ്,Amphimixis
ആംഫോടെക്,Amphoteric
അനാബോളിസം,Anabolism
അയ്റോബ്,Anaerobe
Aneuplogode,Aneuploid
ആംഗിൾ നടുക്കം,Angle planting
മൃഗസംരക്ഷണം,Animal husbandry
മൃഗങ്ങളെ പ്രതിഫലിപ്പിക്കൽ,Animal refuse
ആത്യന്തിക .ർജ്ജം,Animate energy
Anisoplode,Anisoploid
വാർഷിക സസ്യം,Annual plant
ആണ്ടുതോറുമുള്ള,Annual
ആന്തീസിസ്,Anthesis
ആന്ത്രാക്സ്,Anthrax
ആന്ത്രോപെനിക് ഘടകം,Anthropogenic factor
ആന്റിബിയോസിസ്,Antibiosis
രോഗനാശിനി,Antibiotic
മറുമരുന്ന്,Antidote
ആന്റിഓക്സിഡന്റുകൾ,Antioxidants
ആന്റിടോക്സിൻ,Antitoxin
അപര്യാഘാതം,Annulus
ആഫിഡ്,Aphid
അഗ്രമുദിനം,Apical bud
അഗ്ര ആധിപത്യം,Apical dominance
അപ്പോർച്ചർ (ബീ സൂപ്പർഡിംഗ്),Apiculture (bee keeping)
അപ്പോമിക്സിസ്,Apomixis
അപ്പോപ്ടോസിസ്,Apoptosis
അനുബന്ധം,Appendage
വിശപ്പ്,Appetizer
പ്രയോഗിച്ചു,Applied
അക്വാട്ടിക് കള,Aquatic weed
അർബോറിയൽ,Arboreal
അർബോറൈസേഷൻ,Arborization
ആർഎംജിയോ-ബൊട്ടാണിക്കൽ റെക്കോർഡുകൾ,Archaeo-botanical records
ഏരിയ സ്ഥിതിവിവരക്കണക്കുകൾ,Area statistics
പദേശം,Area
വരണ്ട ആവാസവ്യവസ്ഥ,Arid ecosystem
വര്ഷ്ടിക്കുക,Aril
സൗരഭം,Aroma
ആരോമാറ്റിക് പ്ലാന്റ്,Aromatic plant
ആരോമാറ്റിക് അരി,Aromatic rice
അഴുക്കുചാല്,Arrowing
അശെപ്സിസ്,Asepsis
അസെപ്ലെവ്,Aseptic
അസുഖകരമായ പ്രചരണം,Asexual propagation
അസേ,Assay
ആസ്തി,Assets
ഉറപ്പ്,Assimilation
ചങ്ങാത്തം,Association
രേണിംഗന്റ്,Astringent
അസിനാപ്സിസ്,Asynapsis
Atawavism,Atavism
ആലേറ്ററിജർ,Atomizer
അട്രോഫി,Atrophy
ഓട്ടോഗാമി,Autogamy
ഓട്ടോലിസിസ്,Autolysis
യന്തവഹനം,Autoxidation
ഓട്ടോപോളിപ്ലോയിഡ്,Autopolyploid
ഓക്സിൻസ്,Auxins
Awn (ബ്രിട്ട്),Awn (bristle)
ബദാം കായ്,Almond
കറ്റാർ,Aloe
അമരന്തസ്,Amaranthus
ആംമി,Ammi
അഞ്ജൻ പുല്ല്,Anjan grass
ആന്തറിയം,Anthurium
"ആരോള, ഇന്ത്യൻ നെല്ലിക്ക","Aonla, Indian gooseberry"
ആപ്പിൾ,Apple
ആപ്രിക്കോട്ട്,Apricot
Arbian ജാസ്മിൻ,Arbian jasmine
Arcaunt,Areca nut
അർജുൻ,Arjun
അസ്ഫോറ്റിഡ,Asfoetida
ആഷ് പൊറോട്ട,Ash gourd
അശോക ട്രീ,Ashoka tree
അഷെതർ കള (യൂഫോർബിയ),Ashthma weed (euphorbia)
ശതാവരിച്ചെടി,Asparagus
അവോക്കാഡോ,Avocado
പയറുവർഗ്ഗങ്ങൾ (ലൂസെർൻ),Alfalfa (lucerne)
ഉറുമ്പുകൾ,Ants
മുഞ്ഞ,Aphids
സൈനിക വേം,Army worm
കാർഷിക സാമ്പത്തിക ശാസ്ത്രജ്ഞൻ,Agricultural economist
കാർഷിക വിപുലീകരണവാദി,Agricultural extensionist
കാർഷിക ശാസ്ത്രജ്ഞൻ,Agricultural scientist
കാർഷിക എഞ്ചിനീയർ,Agriculture engineer
അഗ്രോബയോളജിസ്റ്റിക്,Agrobiologist
അഗ്രോണമിസ്റ്റ്,Agronomist
Agrofysicst,Agrophysicst
മൃഗങ്ങളുടെ ബ്രീഡർ,Animal breeder
ബാസിലസ് വൈറസ്,Bacillus virus
ബാസിലസ്,Bacillus
ബാക്ടീരിയ,Bacteria
ബാക്ടറോമോക്സിൻ,Bacteriotoxin
ബാഗസ്,Bagasse
ബാലൻസ് ഷീറ്റ്,Balance sheet
സമതുലിതമായ ബീജസങ്കലനം,Balanced fertilization
ബാർ ഡയഗ്രം,Bar diagram
കുര,Bark
ബാരോമീമീറ്റർ,Barometer
തരിശായ,Barren
അടിത്തറ,Base
പരന്നപാതം,Basin
അടിസ്ഥാനപരമായ,Basipetal
ബസിസ്റ്റർനം,Basisternum
ബേ മൺസൂൺ,Bay monsoon
വഹിക്കുന്ന പ്ലാന്റ്,Bearing plant
കിടക്ക,Bed
അടിദേഡർ,Bedder
ശയ്യോപകരണങ്ങള്,Bedding
ബീറ്റ്റൂട്ട് മോളസ്,Beet molasses
മണിനാദം,Bellows
അരപ്പട്ട,Belt
ആനുകൂല്യ-വില വിശകലനം,Benefit-cost analysis
പക്ഷപാതപരമായ (സാമ്പിൾ),Biased (sampling)
ബിനാത്തില്,Biennial
ബിനോമിയൽ,Binomial
ബയോജന്റ്,Bioagent
ബയോക്രിമേറ്റ്,Bioclimate
ബയോ എനെർജി,Bioenergy
ബയോണോമിക്സ്,Bionomics
BIOREACTOR,Bioreactor
ബയോസ്ഫിയർ,Biosphere
ഉപകാരന്,Biotic
ബയോട്ടിവൈപ്പ്,Biotype
ബൈസെക്ഷ്വൽ,Bisexual
ബ്ലാഞ്ചിംഗ്,Blanching
സ്ഫോടനം,Blast
സങ്കലനം,Blend
വരണ്ടതാണ,Blight
പൊള്ളല്,Blister
നീല വിപ്ലവം,Blue revolution
ചുവടെ ചൂട് ചേമ്പർ,Bottom heat chamber
ചുവടെയുള്ള താപ രീതി,Bottom heat technique
തണ്ണീര്,Bran
ശാചിനമായ,Branching
ലഘുലേഖ,Branchlet
ഇനം,Breed
പ്രജനനം,Breeding
തിളങ്ങുന്ന,Brimming
കുഞ്ഞുങ്ങള്,Brood
വളർന്നുകാരി,Budding
വരവ്ചെലവ് മതിപ്പ്,Budget
ബഫർ,Buffer
ബൾബ്,Bulb
മുണ്ടു,Bunt
ഉപോൽപ്പന്നം,By-product
ബാബുൾ അക്കേഷ്യ,Babul acacia
കുഞ്ഞ് ധാന്യം,Baby corn
ബാലിനെ,Bael
ബില്ലാൻ,Baill
ബൽസം,Balsam
മുള,Bamboo
വാഴപ്പഴം,Banana
ബനിയൻ ട്രീ,Banyan tree
യവം,Barley
ബാർയ്യാർഡ് മില്ലറ്റ്,Barnyard millet
തുളക്ടി,Basil
ബാസ്റ്റാർഡ് ദേവദാരു,Bastard cedar
ബാസ്റ്റാർഡ് മൈറോബലൻ,Bastard myrobalan
ബവായീനിയ,Bauhinia
ബേ ബെറി,Bay berry
അമര,Bean
മധുരക്കിഴങ്ങുചെടി,Beet
ബെല്ലഡോണ,Belladonna
മുളകു,Ber
പതുക്കമുള്ള,Berseem
മുയേറ്റ,Betel
ബിലിമ്പി,Bilimbi
പാവയ്ക്ക,Bitter gourd
കറുത്ത ഗ്രാം,Black gram
കറുത്ത നൈറ്റ്ഷെയ്ഡ്,Black nightshade
ബ g ഗൻവില്ല,Bougainvillea
കുപ്പി ബ്രഷ്,Bottle brush
ബോട്ടിൽ പൊറോട്ട,Bottle gourd
ബോക്സ് മരം,Box tree
ബ്രെഡ് ഫലം,Bread fruit
വധുവിന്റെ ക്രീപ്പർ,Bridal creeper
വശ്ശീല,Brinjal
വിശാലമായ ബീൻ,Broad bean
ബ്രോക്കോളി,Broccoli
ബ്രസ്സൽസ് മുള,Brussel's sprout
താനിന്നു,Buckwheat
ബദ്ധ,Butea
ബാൻഡികാൂട്ട്,Bandicoot
കരടി,Bear
വണ്ട്,Beetle
ബ്ലിസ്റ്റർ വണ്ട്,Blister beetle
നീല കാള,Blue bull
ബോൾ വേം,Boll worm
ചിതശലഭം,Butterfly
ബാക്ടീരിയോളജിസ്റ്റ്,Bacteriologist
ബയോകെമിസ്റ്റ്,Biochemist
ജീവശാസ്തജ്ഞന്,Biologist
ബയോടെക്നോളജിക്,Biotechnologist
സസ്യശാസ്ത്രജ്ഞൻ,Botanist
സി ഈർപ്പം സ്വഭാവ വക്ര,C moisture characteristic curve
കേയ്ക്ക്,Cake
കണക്കാക്കാന്വേമികമായ,Calcarious
കണക്കുകഷ്ടം,Calcification
ഫോസ്ഫേറ്റിന്റെ കാൽനികം,Calcination of phosphate
കൗണം,Callosity
ഞങ്ങളെ വിളിക്കൂ,Callus
കാലിക്സ്,Calyx
കാലിക്സ്-അവസാനം,Calyx-end
കാമ്പി,Cambium
കാൻകെറർ,Canker
കാനിംഗ്,Canning
മേലാപ്പ്,Canopy
തലസ്ഥാനം,Capital
പിസേരിഫിക്കേഷൻ,Caprification
കാപ്സ്യൂൾ,Capsule
കാർബണേറ്റഡ്,Carbonated
കാർബണലൈസേഷൻ,Carbonization
പരല്പം,Carpel
കാർപസ്,Carpus
കാസ്റ്റിംഗ്,Casting
കാറ്റബോളിസം,Catabolism
കവചലിസ്,Catalysis
ചിതശലഭപ്പുഴു,Caterpillar
സി-ഡിഎൻഎ ലൈബ്രറി,C-DNA Library
മച്ച്,Ceiling
കോശം,Cell
കേന്ദ്ര നേതാവ് സംവിധാനം,Central leader system
ഒരിനംവീപ്പ്,Centric
സെൻറ്ഫ്യൂഗേഷൻ,Centrifugation
കേന്ദ്രീകൃത,Centrifuge
സെൻട്രിയോൾ,Centriole
നൂന്കോജാനിക്,Centrogenic
നൂനിശ്ചയമുള്ള,Centrogenous
കടല്ചലട്,Cercus
ധാനം,Cereal
സാക്ഷപ്പെടുത്തല്,Certification
സാക്ഷ്യപ്പെടുത്തിയ വിത്ത്,Certified seed
ചാട്ട,Chaff
ചാലസ,Chalaza
പരോപപാതം,Chemotropism
ചിയാസ്മ,Chiasma
ചില്ലിംഗ് സമയം,Chilling hours
ചില്ലിംഗ് പരിക്ക്,Chilling injury
ചിമേര,Chimera
ക്ലോറോറാന്തി,Chloranthy
ക്ലോറോഫിൽ,Chlorophyll
ക്ലോറോസിസ്,Chlorosis
ക്ലോറോളജി,Chlorology
ക്രോമാറ്റിഡ്,Chromatid
ക്രോമാറ്റിൻ,Chromatin
ക്രോമാറ്റോഗ്രാഫി,Chromatography
ക്രോമാറ്റോളിസിസ്,Chromatolysis
ക്രോമസെന്റ്റന്റ്,Chromocentre
ക്രോമോജെനിസിസ്,Chromogenesis
ക്രോമോപ്രോട്ടൻ,Chromoprotein
ക്രോമസോം,Chromosome
വിട്ടുമാറാത്ത,Chronic
സിട്രഞ്ച്,Citrange
പചാരു,Cladode
വര്ഗീകരണം,Classification
കളിമണ്ണ്,Clay
ശുചിയാക്കല്,Cleaning
Clistogay,Cleistogamy
