Marathi,Telugu
वेस्टमिन्स्टरचे मठाधीश,అబ్బే ఆఫ్ వెస్ట్‌మినిస్టర్
निषिद्ध,పదవీ విరమణ
गुलामगिरीचे उच्चाटन,బానిసత్వ నిర్మూలన
आदिवासी,ఆదివాసి
अब्राहम युग,అబ్రహం యుగం
अनुपस्थित जमीनदार,గైర్హాజరు భూస్వాములు
अकादमी,అకాడమీ
अक्रा परिषद,అక్ర సమావేశం
जमा,సంపాదన
संवर्धन,సంస్కారము
एसेलडामा,అసెల్డామా
आचियन (=अचियन),అచెయన్ (=అచియన్)
आचियन लीग (=अचियन लीग),అచీయన్ లీగ్ (=అచియన్ లీగ్)
एक्रोपोलिस,అక్రోపోలిస్
Acta Diurna,ఆక్టా డియుర్నా
Acta Senatus,ఆక్టా సెనాటస్
ऍक्ट अॅडिशनल,యాక్టే అడిషనల్
सक्रिय रेकॉर्ड (=वर्तमान रेकॉर्ड),యాక్టివ్ రికార్డ్ (=ప్రస్తుత రికార్డు)
प्राप्तकर्त्याची कृती,సాధించేవారి చర్య
नुकसानभरपाई आणि विस्मरणाचा कायदा,నష్టపరిహారం మరియు ఉపేక్ష చట్టం
सेटलमेंटचा कायदा,సెటిల్మెంట్ చట్టం
जाहिरात करार सील,ప్రకటన ఒప్పంద ముద్ర
अदुल्लामाइट्स,అడుల్లామైట్స్
विरोधक,విరోధి
विरोधक,విరోధి
एऑन,అయాన్
एरेरियम,ఏరోరియం
हवाई युद्ध,వైమానిక యుద్ధం
एटोलियन लीग,ఏటోలియన్ లీగ్
वय,వయస్సు
वृद्धत्व (=वृद्धत्व),వృద్ధాప్యం (=వృద్ధాప్యం)
वृद्धत्व प्रक्रिया,వృద్ధాప్య ప్రక్రియ
अगेलाय,అగెలై
पराक्रमाचे वय,శౌర్య యుగం
ज्ञानाचे वय,జ్ఞానోదయం వయస్సు
पेरिकल्सचे वय,పెరికిల్స్ వయస్సు
कारण वय,కారణం వయస్సు
कृषीवाद,వ్యవసాయం
कृषी चळवळ,వ్యవసాయ ఉద్యమం
अल्बिओन,అల్బియాన్
अल्बम,ఆల్బమ్
अल्डरमन,ఆల్డర్మాన్
मोहक हात,అల్లుడు చేతులు
मैत्री,సఖ్యత
एम्फेक्टियोनिक परिषद,యాంఫిక్యోనిక్ కౌన్సిల్
एम्फेक्टियोनिक लीग,యాంఫిక్యోనిక్ లీగ్
अॅम्फिथिएटर,యాంఫీ థియేటర్
अमरी नल गट (मातीचा),అమ్రి నల్ గ్రూప్ (కుండల)
अनाक्रोनिझम,అనాక్రోనిజం
अनाक्रोनिस्टिक,అనాక్రోనిస్టిక్
पूर्वज,పూర్వీకుడు
पूर्वजांची पूजा,పూర్వీకుల ఆరాధన
वंशपरंपरा,పూర్వీకులు
वंशपरंपरा,పూర్వీకులు
वंशपरंपरा,పూర్వీకులు
वंशपरंपरा,పూర్వీకులు
प्राचीन राजवट,ప్రాచీన పాలన
प्राचीन,ప్రాచీన
प्राचीन बालगीत,పురాతన బల్లాడ్
प्राचीन श्रद्धा,పురాతన నమ్మకం
प्राचीन प्रथा,ప్రాచీన ఆచారం
प्राचीन इतिहास,పురాతన చరిత్ర
प्राचीन स्मारके,పురాతన స్మారక చిహ్నాలు
किस्सा,ఉదంతము
अँजेलोट,ఏంజెలోట్
एंजलस,ఏంజెలస్
अँजेविन (=अंजेविन),అంజివిన్ (=అంజెవిన్)
कोन,కోణాలు
अँग्लिकन,ఆంగ్లికన్
अँग्लिकन कम्युनियन,ఆంగ్లికన్ కమ్యూనియన్
अँग्लिकनवाद,ఆంగ్లికనిజం
अँग्लो-फोब,ఆంగ్లో-ఫోబ్
अँग्लो-फोबिया,ఆంగ్లో-ఫోబియా
अँग्लो-सॅक्सन,ఆంగ్లో-సాక్సన్
अँग्लो-सॅक्सोनवाद,ఆంగ్లో-సాక్సోనిజం
अॅनालिस्ट,అన్నలిస్ట్
इतिहास,అన్నల్స్
संलग्नीकरण,అనుబంధం
अँटी-बेलम,యాంటీ-బెల్లం
पूर्वीची तारीख,ముందు తేదీ
कारकुनविरोधी,మత వ్యతిరేకత
कारकुनी विरोधी कायदा,మతాధికారుల వ్యతిరేక చట్టం
पुरातन वास्तू,ప్రాచీనకాలం
विरोधी भाडे,వ్యతిరేక అద్దె
विरोधी भाडे,వ్యతిరేక అద్దె
सेमिटिझम विरोधी,సెమిటిజం వ్యతిరేకత
अँझॅक,అంజాక్
अपेला,అపెల్లా
अरालू,అరలు
आर्च बिशप,ఆర్చ్ బిషప్
आर्च डची,ఆర్చ్ డచీ
आर्च ड्यूक,ఆర్చ్ డ్యూక్
आर्काइफ (=अभिलेख संग्रह),ఆర్కైఫ్ (=ఆర్కైవల్ సేకరణ)
आर्किपिस्कोपेट,ఆర్కిపిస్కోపేట్
अभिजात वर्ग,దొర
कुलीन,దొర
खानदानी स्नोबरी,కులీన స్నోబరీ
अॅरिस्टोटेलियन,అరిస్టాటిలియన్
आरमार,ఆర్మడ
आरमार (=स्पॅनिश आरमार),ఆర్మడ (=ది స్పానిష్ ఆర్మడ)
आर्मोरिस्ट (= आर्मरिस्ट),ఆయుధాగాడు (=ఆయుధాకారుడు)
चिलखत (= चिलखत),కవచం (=కవచం)
आर्मरिस्ट,ఆయుధాగాడు
आर्यन,ఆర్యన్
आर्यन,ఆర్యన్
अस्करी,అస్కారి
नियुक्त करा,కేటాయించండి
Assize,అసైజ్ చేయండి
Assize,అసైజ్ చేయండి
Assize,అసైజ్ చేయండి
शस्त्रास्त्र कायद्याची मदत,అసైజ్ ఆఫ్ ఆర్మ్స్ యాక్ట్
डॅरेन प्रेझेंटमेंटची मदत,డారీన్ ప్రెజెంట్‌మెంట్ అసైజ్
मॉर्ट &#39;डी&#39; पूर्वजांची मदत,మోర్ట్ &#39;D&#39; పూర్వీకుల అస్సైజ్
कादंबरी Disseisin च्या Assize,అసైజ్ ఆఫ్ నవల డిస్సీసిన్
अत्याचार,దారుణం
हल्ला,దాడి
ऑलिक कौन्सिल,ఆలిక్ కౌన్సిల్
देवीची कुर्‍हाड (= देवी कुर्हाड),గెడ్డెస్ యొక్క గొడ్డలి (=ది గెడెస్ గొడ్డలి)
