Malayalam,Assamese
"1.അബാക്കസ്, 2. എണ്ണുന്നു","১.এবাকাছ, ২. গণনা কৰি আছে"
അസാധാരണമായ അവസാനം,অস্বাভাৱিক অন্ত
തടസ്സപ്പെടുത്തുക,ইন্টাৰচেপ্ট
"1. കേവലം, 2. പരമോന്നത","১.নিৰপেক্ষ, ২. পৰম"
സമ്പൂർണ്ണ വിലാസം,নিৰপেক্ষ ঠিকনা
സമ്പൂർണ്ണ വിലാസക്ഷമത,নিৰপেক্ষ ঠিকনাযোগ্যতা
കേവല അസംബ്ലർ,নিৰপেক্ষ এছেম্বলাৰ
"1. കേവല കോഡ്, 2. കേവല കോഡ്","১.নিৰপেক্ষ ক&#39;ড, ২. নিৰপেক্ষ ক&#39;ড"
സമ്പൂർണ്ണ കമാൻഡ്,নিৰপেক্ষ আদেশ
"1. കേവല കണക്കുകൾ, 2. സമ്പൂർണ്ണ ഡാറ്റ","১.নিৰপেক্ষ চিত্ৰ, ২. নিৰপেক্ষ তথ্য"
സമ്പൂർണ്ണ നിർദ്ദേശം,নিৰপেক্ষ নিৰ্দেশনা
കേവല മോഡ്,নিৰপেক্ষ ধৰণ
കേവല പാത,নিৰপেক্ষ পথ
"1. സമ്പൂർണ്ണ പ്രോഗ്രാമിംഗ്, 2. സമ്പൂർണ്ണ പ്രോഗ്രാമിംഗ്","1. নিৰপেক্ষ প্ৰগ্ৰেমিং, 2. নিৰপেক্ষ প্ৰগ্ৰেমিং"
അമൂർത്ത ക്ലാസ്,বিমূৰ্ত শ্ৰেণী
അമൂർത്ത ഡാറ്റ തരം,বিমূৰ্ত তথ্যৰ ধৰণ
അമൂർത്ത യന്ത്രം,বিমূৰ্ত মেচিন
അമൂർത്ത ചിഹ്നം,বিমূৰ্ত চিহ্ন
അമൂർത്തമായ വാക്യഘടന,বিমূৰ্ত বাক্যবিন্যাস
സ്വീകാര്യത പരിശോധന,গ্ৰহণযোগ্যতা পৰীক্ষা
പ്രവേശന സർട്ടിഫിക്കേഷൻ,প্ৰৱেশ প্ৰমাণীকৰণ
"1. ആക്സസ് കോഡ്, 2. പ്രവേശന കോഡ്","1. প্ৰৱেশ ক&#39;ড, 2. প্ৰৱেশ ক&#39;ড"
പ്രവേശന നിയന്ത്രണം,প্ৰৱেশ নিয়ন্ত্ৰণ
ആക്സസ് സ്കാനിംഗ്,অভিগম স্কেনিং
സാധനങ്ങൾ,আনুষংগিক বস্তু
അക്കൌണ്ടിംഗ്,হিচাপ-নিকাচ
"1. അക്കൗണ്ട് ഐഡി, 2. അക്കൗണ്ടിംഗ് തിരിച്ചറിയൽ","1. একাউণ্ট আইডি, 2. একাউণ্টিং চিনাক্তকৰণ"
ശേഖരണം,এক্যুলেটৰ
"1. കൃത്യത, 2. കൃത്യത","১/ সঠিকতা, ২. শুদ্ধতা"
പ്രവേശനം,প্ৰৱেশাধিকাৰ
ആക്സസ് കൺട്രോൾ ബൈറ്റുകൾ,অভিগম নিয়ন্ত্ৰণ বাইটসমূহ
പ്രവേശന സൂചകം,প্ৰৱেশ সূচক
ആക്സസ് കീ,অভিগম কি&#39;
"1. ആക്സസ് മാട്രിക്സ്, 2. ആക്സസ് മാട്രിക്സ്","1. অভিগম মেট্ৰিক্স, 2. অভিগম মেট্ৰিক্স"
ആക്സസ് മോഡ്,অভিগম ধৰণ
പ്രവേശനാവകാശങ്ങൾ,অভিগম বিশেষাধিকাৰসমূহ
ആക്സസ് സുരക്ഷ,অভিগম সুৰক্ষা
"1. ആക്സസ് സെർവർ, 2. ആക്സസ് സെർവർ","1. অভিগম চাৰ্ভাৰ, 2. অভিগম চাৰ্ভাৰ"
പ്രവേശന സമയം,প্ৰৱেশ সময়
അംഗീകാരം,স্বীকৃতি
ശബ്ദശാസ്ത്രം,শব্দবিজ্ঞান
"1. ചുരുക്കെഴുത്ത്, 2. ചുരുക്കെഴുത്ത്, 3. മുതൽ ചുരുക്കി","১. সংক্ষিপ্ত ৰূপ, ২. সংক্ষিপ্ত ৰূপ, ৩. ৰ পৰা চুটি"
പ്രവർത്തന സന്ദേശം,কাৰ্য্য বাৰ্তা
സജീവമാക്കൽ,সক্ৰিয়কৰণ
സജീവ സെർവർ പേജ്,সক্ৰিয় চাৰ্ভাৰ পৃষ্ঠা
സജീവ പതിപ്പ്,সক্ৰিয় সংস্কৰণ
അസൈക്ലിക്,অচক্ৰীয়
"1. അസൈക്ലിക് ഗ്രാഫ്, 2. അസൈക്ലിക് ഗ്രാഫ്","১.অচক্ৰীয় গ্ৰাফ, ২. অচক্ৰীয় গ্ৰাফ"
അഡാ കമ്പ്യൂട്ടർ ഭാഷ,আদা কম্পিউটাৰ ভাষা
"1. ഒപ്റ്റിമൈസർ, 2. ഒപ്റ്റിമൈസർ","১.অপ্টিমাইজাৰ, ২. অপ্টিমাইজাৰ"
ആകെ),to sum)
തുക ഫയൽ,যোগফল নথিপত্ৰ
"1. കൂട്ടിച്ചേർക്കൽ പ്രവർത്തനം, 2. ആകെ പ്രവർത്തനം","1. যোগ কাৰ্য্য, 2. যোগফল কাৰ্য্য"
ചേർക്കുന്നയാൾ,adder
അറിയുക,ঠিকনা
വിലാസം ബസ്,ঠিকনা বাছ
വിലാസ ഫയൽ,ঠিকনা নথিপত্ৰ
വിലാസ ഫോർമാറ്റ്,ঠিকনা বিন্যাস
വിലാസ ജനറേറ്റർ,ঠিকনা উৎপাদক
വിലാസ ലൈൻ,ঠিকনা ৰেখা
വിലാസ മാപ്പിംഗ്,ঠিকনা মেপিং
വിലാസ സൂചകം,ঠিকনা সূচক
വിലാസ രജിസ്റ്റർ,ঠিকনা পঞ্জীয়ন
വിലാസ തകർച്ച,ঠিকনা ভাঙি যোৱা
വിലാസ വിവർത്തനം,ঠিকনা অনুবাদ
"1. അഡ്രസ് ചെയ്യാവുന്ന മെമ്മറി, 2. അഭിസംബോധന ചെയ്യാവുന്ന മെമ്മറി","1. ঠিকনাযোগ্য স্মৃতিশক্তি, 2. ঠিকনাযোগ্য মেমৰি"
അഭിസംബോധന,সম্বোধন কৰা
"1. പര്യാപ്തത മാനദണ്ഡം, 2. പര്യാപ്തത മാനദണ്ഡം","১.পৰ্যাপ্ততাৰ মাপকাঠী, ২. পৰ্যাপ্ততাৰ মাপকাঠী"
ബന്ധം,সংলগ্ন কৰা হৈছে
"1. മാനേജ്മെന്റ്, 2. നിയന്ത്രണം","1. ব্যৱস্থাপনা, 2. নিয়ন্ত্ৰণ"
"1. മാനേജർ, 2. കണ്ട്രോളർ","১.পৰিচালক, ২. নিয়ন্ত্ৰক"
അഡോബ് അക്രോബാറ്റ്,এডোব এক্ৰ&#39;বেট
അഡോബ് ഫോട്ടോഷോപ്പ്,এডোব ফটোশ্বপ
ABAP (അഡ്വാൻസ്ഡ് ബിസിനസ് പ്രോഗ്രാമിംഗ്),ABAP (উন্নত ব্যৱসায়িক প্ৰগ্ৰেমিং)
"1. വിപുലമായ ഡാറ്റ, 2. വിപുലമായ ഡാറ്റ","1. উন্নত তথ্য, 2. উন্নত তথ্য"
വിപുലമായ വിവര സംവിധാനം,উন্নত তথ্য ব্যৱস্থা
അഡ്വാൻസ്ഡ് ടെക്നോളജി (AT),উন্নত প্ৰযুক্তি (AT)
നടപടി,কাৰ্য কৰা
സമാഹരണം,একত্ৰীকৰণ
വായുവിലൂടെയുള്ള കമ്പ്യൂട്ടർ സംവിധാനം,বায়ুমণ্ডলীয় কম্পিউটাৰ ব্যৱস্থা
