Telugu,Punjabi
అసాధారణ,ਅਸਧਾਰਨ
అబార్ట్,ਅਧੂਰਾ ਛੱਡਣਾ
అబ్రేషన్,ਘ੍ਰਿਣਾ
ఆకస్మిక,ਅਚਾਨਕ
సంపూర్ణ క్షేత్ర బలం,ਪੂਰੀ ਫੀਲਡ ਤਾਕਤ
సంపూర్ణ ఉష్ణోగ్రత,ਪੂਰਨ ਤਾਪਮਾਨ
సంపూర్ణ విలువ,ਸਹੀ ਮੁੱਲ
గ్రహించండి,ਸੋਖਣਾ
శోషణ సహ-సమర్థత,ਸਮਾਈ ਸਹਿਕਾਰਤਾ
శోషణ నష్టం,ਸਮਾਈ ਨੁਕਸਾਨ
నైరూప్య,ਸਾਰ
యాక్సిలెరోమీటర్,ਐਕਸੀਲਾਮੀਟਰ
అంగీకార పరీక్ష,ਪ੍ਰਵਾਨਗੀ ਟੈਸਟ
యాక్సెస్,ਪਹੁੰਚ
యాక్సెస్ నియంత్రణ,ਐਕਸੈਸ ਕੰਟਰੋਲ
యాక్సెస్ పాయింట్,ਐਕਸੈਸ ਪੁਆਇੰਟ
ప్రాప్యత సమయం,ਐਕਸੈਸ ਟਾਈਮ
సౌలభ్యాన్ని,ਪਹੁੰਚਯੋਗਤਾ
సంచిత కణం,ਇਕੱਤਰ ਕਰਨ ਵਾਲਾ ਸੈੱਲ
ఖచ్చితత్వం,ਸ਼ੁੱਧਤਾ
ఖచ్చితమైనది,ਸਹੀ
అచ్రోమాటిక్ లెన్స్,ਅਕੀਰੋਮੈਟਿਕ ਲੈਂਜ਼
ఆమ్లము,ਐਸਿਡ
యాసిడ్ ప్రూఫ్,ਐਸਿਡ ਦਾ ਸਬੂਤ
ఆమ్లత్వం,ਐਸਿਡਿਟੀ
రసీదు బిట్,ਪ੍ਰਵਾਨਗੀ ਬਿੱਟ
శబ్ద,ਧੁਨੀ
ఎకౌస్టిక్ కమ్యూనికేషన్,ਧੁਨੀ ਸੰਚਾਰ
శబ్ద వ్యాప్తి,ਧੁਨੀ ਫੈਲਾਉਣ
ఎకౌస్టిక్ ఈక్వలైజర్,ਧੁਨੀ ਬਰਾਬਰੀ
శబ్ద అభిప్రాయం,ਧੁਨੀ ਫੀਡਬੈਕ
శబ్ద వడపోత,ਧੁਨੀ ਫਿਲਟਰ
శబ్ద ఇంపెడెన్స్,ਧੁਨੀ ਰੁਕਾਵਟ
ఎకౌస్టిక్ మాస్కింగ్,ਧੁਨੀ ਮਾਸਕਿੰਗ
శబ్ద శక్తి,ਧੁਨੀ ਸ਼ਕਤੀ
శబ్ద ఆస్తి,ਧੁਨੀ ਸੰਪਤੀ
శబ్ద ప్రతిచర్య,ਧੁਨੀ ਪ੍ਰਤੀਕਰਮ
ఎకౌస్టిక్ రిఫ్లెక్స్,ਧੁਨੀ ਪ੍ਰਤੀਬਿੰਬ
శబ్ద టైల్,ਧੁਨੀ ਟਾਈਲ
శబ్ద వేవ్,ਧੁਨੀ ਲਹਿਰ
శబ్ద శోషణ,ਧੁਨੀ ਸਮਾਈ
శబ్ద అటెన్యుయేషన్ స్థిరాంకం,ਧੂ-ਰਹਿਤ ਅਟੁੱਟ ਨਿਰੰਤਰ
శబ్ద డంపింగ్,ਧੁਨੀ ਗਿੱਲੀ
శబ్ద ఆలస్యం రేఖ,ਧੁਨੀ ਦੇਰੀ ਦੀ ਲਾਈਨ
శబ్ద వక్రీకరణ,ਧੁਨੀ ਵਿਗਾੜ
శబ్ద వాహిక,ਧੁਨੀ ਨਲੀ
శబ్ద శక్తి,ਧੁਨੀ energy ਰਜਾ
శబ్ద అభిప్రాయం,ਧੁਨੀ ਫੀਡਬੈਕ
శబ్ద వడపోత,ਧੁਨੀ ਫਿਲਟਰ
శబ్ద ఇంపెడెన్స్,ਧਾਰਨਾ
శబ్ద ప్రచారం స్థిరాంకం,ਧੁਨੀ ਪ੍ਰਸਾਰ ਨੂੰ ਸਥਿਰ
శబ్ద నిరోధకత,ਧੁਨੀ ਪ੍ਰਤੀਰੋਧ
శబ్దపరంగా ఇన్సులేట్ చేయబడింది,ਧੁਨੀ
ధ్వని,ਧੁਨੀ
సముపార్జన,ਗ੍ਰਹਿਣ
ఎక్రోనిం,ਐਕਰੋਨਾਈਮ
కార్యాచరణ ప్రాంతం,ਕਾਰਵਾਈ ਖੇਤਰ
సక్రియం చేయబడిన ఫిలమెంట్,ਸਰਗਰਮ ਤੰਦ
క్రియాశీల,ਕਿਰਿਆਸ਼ੀਲ
క్రియాశీల ప్రాంతం,ਐਕਟਿਵ ਖੇਤਰ
క్రియాశీల విండో,ਐਕਟਿਵ ਵਿੰਡੋ
అనుకూలత,ਅਨੁਕੂਲਤਾ
అడాప్టర్,ਅਡੈਪਟਰ (ਅਡੈਪਟਰ)
అడాప్టివ్ డిఫరెన్షియల్ పల్స్ కోడ్ మాడ్యులేషన్,ਅਡੈਪਟਿਵ ਇਨਫਿਅਲ ਪਲਸ ਕੋਡ ਸੰਚਾਲਨ
చిరునామా పుస్తకం,ਐਡਰੈੱਸ ਬੁੱਕ
చిరునామా బస్సు,ਪਤਾ ਬੱਸ
చిరునామా తీర్మానం,ਪਤਾ ਹੱਲ
ప్రక్కనే ఉన్న ఛానల్ జోక్యం,ਨੇੜਲੇ ਚੈਨਲ ਦਖਲਅੰਦਾਜ਼ੀ
