Malayalam,Tamil
അബെലി ഗ്രൂപ്പ്,அபேலி குழு
അബെലി ഗ്രൂപ്പ്,அபேலி குழு
കൈ,கை
"കേവലം, കേവലം, സ്ഥിരം, കൃത്യമായ","முழுமையான, முழுமையான, நிலையான, துல்லியமான"
കേവലമായ ഒത്തുചേരൽ,முழுமையான ஒருங்கிணைப்பு
സമ്പൂർണ്ണ പിശക്,முழுமையான பிழை
പരമോന്നത പരമോന്നത,உச்ச உச்ச
ഏറ്റവും താഴ്ന്നത്,முற்றிலும் குறைந்த
യഥാർത്ഥ മൂല്യം,துல்லியமான மதிப்பு
കേവല വേഗത,முழுமையான வேகம்
അമൂർത്ത ബീജഗണിതം,சுருக்க இயற்கணிதம்
അമൂർത്തമായ ഗ്രൂപ്പ് സിദ്ധാന്തം,சுருக்க குழு கோட்பாடு
ത്വരണം,முடுக்கம்
ഗുരുത്വാകർഷണ ത്വരണം,ஈர்ப்பு முடுக்கம்
സ്വീകാര്യമായ സെലക്ടർ,ஏற்றுக்கொள்ளக்கூடிய தேர்வாளர்
സ്വീകാര്യമായ നിലവാരം,ஏற்றுக்கொள்ளக்கூடிய தர நிலை
സ്വീകാര്യമായ പരിസരം,ஏற்றுக்கொள்ளக்கூடிய வளாகம்
സാധുവായ വിശ്വാസ്യത നില,சரியான நம்பகத்தன்மை நிலை
സ്വീകാര്യത സാമ്പിൾ,ஏற்பு மாதிரி
സഞ്ചിത പിശക്,திரட்டப்பட்ட பிழை
കൃത്യത,துல்லியம்
പ്രയോഗിച്ച ബലം,பயன்படுத்தப்படும் சக்தி
"പ്രവൃത്തി, പ്രവൃത്തി","செயல், செயல்"
പ്രവർത്തനവും പ്രതികരണവും,செயல் மற்றும் எதிர்வினை
ഇൻഷുറൻസ് ശാസ്ത്രം,காப்பீட்டு அறிவியல்
നിശിത ത്രികോണം,கடுமையான முக்கோணம்
അസൈക്ലിക്,அசைக்ளிக்
സംഗ്രഹിക്കാനായി,மொத்தத்தில்
ചേർക്കുന്നയാൾ,சேர்ப்பான்
"തുക, കൂട്ടിച്ചേർക്കൽ, സംഗ്രഹം (സി.), സങ്കലനം (വി.)","தொகை, கூட்டல், கூட்டுத்தொகை (c.), கூட்டல் (v.)"
യോഗയുടെ ഫോർമുല,யோகா சூத்திரம்
സങ്കീർണ്ണ സംഖ്യകളുടെ ആകെത്തുക,கலப்பு எண்களின் கூட்டுத்தொகை
പ്രവർത്തനങ്ങളുടെ ആകെത്തുക,செயல்பாடுகளின் கூட்டுத்தொகை
മെട്രിക്സുകളുടെ ആകെത്തുക,மெட்ரிக்குகளின் கூட்டுத்தொகை
ബഹുപദങ്ങളുടെ ആകെത്തുക,பல்லுறுப்புக்கோவைகளின் தொகை
സാധ്യതകളുടെ ആകെത്തുക,நிகழ்தகவுகளின் கூட்டுத்தொகை
വെക്റ്ററുകളുടെ ആകെത്തുക,திசையன்களின் தொகை
"സം സിദ്ധാന്തം, സരസഫല സിദ്ധാന്തം,","தொகை தேற்றம், பெர்ரி கோட்பாடு"
സങ്കലന ഗ്രൂപ്പ്,சேர்க்கை குழு
വിപരീത വിപരീതം,தலைகீழ் சேர்க்கை
കൂട്ടിച്ചേർക്കൽ,சேர்க்கை
കൂട്ടിച്ചേർക്കൽ,சேர்க்கை
തൊട്ടടുത്തുള്ള മാട്രിക്സ്,அருகாமை அணி
"തൊട്ടടുത്തുള്ള, തൊട്ടടുത്തുള്ള, തൊട്ടടുത്തുള്ള","அருகாமை, அருகாமை, அருகாமை"
അടുത്തുള്ള കോൺ,அருகில் உள்ள கோணம்
തൊട്ടടുത്തുള്ള ശീർഷകം,அருகில் உள்ள உச்சி
സഹകരിക്കാൻ,தொடர்புபடுத்த
"ഘടിപ്പിച്ച വലയം,",இணைக்கப்பட்ட உறை
പൊതുവായ ഡിറ്റർമിനന്റ്,பொதுவான தீர்மானிப்பான்
ഡിഫറൻഷ്യൽ സമവാക്യം ചേർത്തു,இணைக்கப்பட்ட வேறுபாடு சமன்பாடு
ഘടിപ്പിച്ച സമവാക്യം,இணைக்கப்பட்ட சமன்பாடு
