English,Kannada
abacus,"1.ಅಬ್ಯಾಕಸ್, 2. ಎಣಿಕೆ"
abnormal termination,ಅಸಹಜ ಅಂತ್ಯ
abort,ತಡೆಹಿಡಿಯಿರಿ
absolute,"1. ಸಂಪೂರ್ಣ, 2. ಸುಪ್ರೀಂ"
absolute address,ಸಂಪೂರ್ಣ ವಿಳಾಸ
absolute addressing,ಸಂಪೂರ್ಣ ವಿಳಾಸ ಸಾಮರ್ಥ್ಯ
absolute assembler,ಸಂಪೂರ್ಣ ಅಸೆಂಬ್ಲರ್
absolute code,"1. ಸಂಪೂರ್ಣ ಕೋಡ್, 2. ಸಂಪೂರ್ಣ ಕೋಡ್"
absolute command,ಸಂಪೂರ್ಣ ಆಜ್ಞೆ
absolute data,"1. ಸಂಪೂರ್ಣ ಅಂಕಿಅಂಶಗಳು, 2. ಸಂಪೂರ್ಣ ಡೇಟಾ"
absolute instruction,ಸಂಪೂರ್ಣ ಸೂಚನೆ
absolute mode,ಸಂಪೂರ್ಣ ಮೋಡ್
absolute path,ಸಂಪೂರ್ಣ ಮಾರ್ಗ
absolute programming,"1. ಸಂಪೂರ್ಣ ಪ್ರೋಗ್ರಾಮಿಂಗ್, 2. ಸಂಪೂರ್ಣ ಪ್ರೋಗ್ರಾಮಿಂಗ್"
abstract class,ಅಮೂರ್ತ ವರ್ಗ
abstract data type,ಅಮೂರ್ತ ಡೇಟಾ ಪ್ರಕಾರ
abstract machine,ಅಮೂರ್ತ ಯಂತ್ರ
abstract symbol,ಅಮೂರ್ತ ಚಿಹ್ನೆ
abstract syntax,ಅಮೂರ್ತ ಸಿಂಟ್ಯಾಕ್ಸ್
acceptance testing,ಸ್ವೀಕಾರ ಪರೀಕ್ಷೆ
access authentication,ಪ್ರವೇಶ ಪ್ರಮಾಣೀಕರಣ
access code,"1. ಪ್ರವೇಶ ಕೋಡ್, 2. ಪ್ರವೇಶ ಕೋಡ್"
access control,ಪ್ರವೇಶ ನಿಯಂತ್ರಣ
access scan,ಪ್ರವೇಶ ಸ್ಕ್ಯಾನಿಂಗ್
accessory,ಬಿಡಿಭಾಗಗಳು
account,ಲೆಕ್ಕಪತ್ರ
account ID,"1. ಖಾತೆ ಐಡಿ, 2. ಲೆಕ್ಕಪತ್ರ ಗುರುತಿಸುವಿಕೆ"
accumulator,ಸಂಚಯಕ
accuracy,"1. ನಿಖರತೆ, 2. ನಿಖರತೆ"
acess,ಪ್ರವೇಶ
acess control byte,ಪ್ರವೇಶ ನಿಯಂತ್ರಣ ಬೈಟ್‌ಗಳು
acess index,ಪ್ರವೇಶ ಸೂಚಕ
acess key,ಪ್ರವೇಶ ಕೀ
acess matrix,"1. ಪ್ರವೇಶ ಮ್ಯಾಟ್ರಿಕ್ಸ್, 2. ಪ್ರವೇಶ ಮ್ಯಾಟ್ರಿಕ್ಸ್"
acess mode,ಪ್ರವೇಶ ಮೋಡ್
acess privilege,ಪ್ರವೇಶ ಸವಲತ್ತುಗಳು
