Telugu,Malayalam
గర్భస్రావం చేసిన అవయవం,നിർത്തലാക്കിയ അവയവം
గర్భస్రావం చేసిన విత్తనం,നിർത്തലാക്കിയ വിത്ത്
గర్భస్రావం,ഗര്ഭഛിദം
సంపూర్ణ కలుపు,കേവല കള
గ్రహించిన కేషన్,ആഗിരണം ചെയ്യപ്പെട്ട വ്യാജം
శోషణ,ആഗിരണം
అబిస్సినియన్ ఆవాలు,അബിസീനിയൻ കടുക്
అకారిసైడ్,Ala എഴുതിയത്
యాక్సెంట్రిక్,അക്വെൻട്രിക്
ఉచ్ఛారణ (సెల్),ആക്സന്റ്വേറ്റ് (സെൽ)
అంగీకరించబడిన సహనం,അംഗീകരിച്ച സഹിഷ്ണുത
అనుబంధ,ഉപസാധനം
అలవాటు,ACCLIMATIES
చేరడం,കൂന്വാരം
ఖచ్చితత్వం,കൃതത
అసర్వులస్,Aiverulus
ఎసిటిఫికేషన్,അസഹീകരണം
ఆమ్లీకరణ,അസിഡിറ്റി
అసిడిమీటర్,ആദിമീറ്റര്
ఆమ్లత్వం,അസിഡിറ്റി
అసిడోఫిలిక్,അഡോഫിലിക്
ఆమ్లీకృత రాక్ ఫాస్ఫేట్,അസിഡിലേറ്റഡ് റോക്ക് ഫോസ്ഫേറ്റ്
యాసిడ్యూరిక్,അയ്യോണിക്
జలాశయం,അക്വിഫർ
సముపార్జన,കൈവശപ്പെടുത്തൽ
ఎకరాలు,ഏന്വുല്ല്
ఎకరాల,പസ്താര
అక్రోసెంట్రిక్ క్రోమోజోమ్,അക്രോസൻട്രിക് ക്രോമസോം
అక్రోపెటల్,അക്രോപോറ്റൽ
అక్రోసోమ్,അക്രോസോം
ఆక్టినోమైసెట్స్,ആക്റ്റിനോമൈസെറ്റുകൾ
యాక్టివ్ రూట్ జోన్,സജീവ റൂട്ട് സോൺ
తీవ్రమైన,തുളച്ചുകയറുന്ന
అనుకూలత,പൊരുത്തപ്പെടലി
అనుసరణ,പൊരുത്തപ്പെടുത്തൽ
సంశ్లేషణ,അഷൈൻ
కొవ్వు,അദിപ്പോസ്
సర్దుబాటు సమీకరణం,ക്രമീകരണ സമവാക്യം
అడోబ్ నేల,അഡോബ് മണ്ണ്
కల్తీ,പ്രത്യേകത
సాహసోపేతమైనది,സാഹസികത
Aecidiospore,Aecidiossoror
అయోలియన్ ప్రక్రియ,ഓലിയൻ പ്രക്രിയ
అయోలియన్,Aiolian
ఎఫరేట్,ഓറേറ്റ്
ఆకాశయాన,ഏരിയൽ
ఏరోమీటర్,ഏയ്റോമീറ്റർ
ఏరోసోల్,എയറോസോൾ
ఎస్టివేషన్,പകർച്ചവ്വാധം
పశ్చాత్తాప విజ్ఞానము,Aetiiology (etiology)
అటవీ నిర్మూలన,വനനം
ఆందోళన,പ്രക്ഷോഭക്തി
అగ్మార్క్,ന്വര്
వ్యవసాయం,കാർഷികം
వ్యవసాయ క్లినిక్,കാർഷിക ക്ലിനിക്
వ్యవసాయ శ్రమ,കാർഷിക തൊഴിലാളി
వ్యవసాయ మార్కెటింగ్,കാർഷിക മാർക്കറ്റിംഗ്
వ్యవసాయ సాంకేతిక పరిజ్ఞానం,കാർഷിക സാങ്കേതികവിദ്യ
వ్యవసాయం,കൃഷിപ്പണി
అగ్రిసిల్వికల్చర్,അഗ്രിസിൾവികൾച്ചർ
అగ్రోబియోడివైవర్సిటీ,കാർഷികൈവൻവിറ്റി
అగ్రోబయోలాజికల్ లోపాలు,അഗ്രോബയോളജിക്കൽ വൈകല്യങ്ങൾ
అగ్రోబయాలజీ,അഗ്രോബയോളജി
అగ్రోక్లిమాటిక్ వైవిధ్యం,അഗ്രോകീല വൈവിധ്യമാർന്ന വൈവിധ്യമാർന്ന
అగ్రోక్లిమాటిక్ జోనింగ్,അഗ്രോക്ലിമാറ്റിക് സോണിംഗ്
అగ్రోఫారెస్ట్రీ,അഗ്രോഫോറസ്ട്രി
వ్యవసాయ శాస్త్రం,ങ്ങളോട്
వ్యవసాయ శాస్త్రం,അഗ്രോണമി
అగ్రోపాస్టోరల్,അഗ്രോപസ്റ്റോറൽ
అగ్రోప్రాసెసింగ్,കാർഷികസംരക്ഷണം
అగ్రోస్టాలజీ,അഗ്രോസ്റ്റോസ്റ്റിയോളജി
అగ్రోటైప్,അഗ്രോട്ടിപ്പ്
ఎయిర్ ప్లాంట్,എയർ പ്ലാന്റ്
అకియోచి నేల,അക്കിയോച്ചി മണ്ണ്
అల్బినిజం,ആൽബിനിസം
ఆల్ఫిసోల్స్,ആൽഫിസോളുകൾ
ఆల్గే,ആല്ഗകൾ
ఆల్గల్ వ్యాధి,ആൽഗൽ രോഗം
క్షార నీరు,ക്ഷാളി വെള്ളം
ఆల్కలీన్,ആൽക്കലൈൻ
యుగ్మ వికల్పం,അല്ലലേ
అల్లెలోకెమికల్స్,അല്ലോകെമിക്കലുകൾ
అల్లెలోమోర్ఫ్,AllloMorph
అల్లెలోపతి,നിയോവദാതി
అల్లే క్రాపింగ్,ഓൺലൈൻ ക്രോപ്പിംഗ്
కేటాయింపు,അലോക്കർപി
అయోగాగమి,അലോഗാമി
అలోమెట్రీ,അലറിരം
అల్లోపాలిప్లోయిడ్,Allopolyplogid
(అలోసిన్సిస్ఐలు,Allosynapsis (Allowsyndesis)
ప్రత్యామ్నాయ బేరింగ్,ഇതര ബെയറിംഗ്
ప్రత్యామ్నాయ భూ వినియోగం,ഇതര ഭൂമി ഉപയോഗം
పరిసర,ആംബിയന്റ്സ്
అమేలియోరెంట్,സൗഹാർഭോഗം
అమిటోసిస్,അമിറ്റോസിസ്
అమినైజేషన్,അമിനിവൽക്കരണം
అమ్మోనిఫికేషన్,അമ്മോണിഫിക്കേഷൻ
అమ్మోనిఫైయర్,അമോമോണിഫയർ
AMORFH,അമോഫ്
యాంఫిమిక్సిస్,ആംഫിമിക്സിസ്
యాంఫోటెరిక్,ആംഫോടെക്
అనాబాలిజం,അനാബോളിസം
Anaerobe,അയ്റോബ്
అనూప్లోయిడ్,Aneuplogode
యాంగిల్ నాటడం,ആംഗിൾ നടുക്കം
పశుసంరక్షణ,മൃഗസംരക്ഷണം
