Assamese,Odiya
abeli গ্ৰুপ,ଆବେଲି ଗୋଷ୍ଠୀ |
abeli গ্ৰুপ,ଆବେଲି ଗୋଷ୍ଠୀ |
হাত,ହାତ
"নিৰপেক্ষ, নিৰপেক্ষ, ধ্ৰুৱক, নিখুঁত","ସଂପୂର୍ଣ୍ଣ, ସଂପୂର୍ଣ୍ଣ, ସ୍ଥିର, ସଠିକ୍ |"
নিৰপেক্ষ অভিসৰণ,ସଂପୂର୍ଣ୍ଣ ସମ୍ମିଶ୍ରଣ |
নিৰপেক্ষ ভুল,ସଂପୂର୍ଣ୍ଣ ତ୍ରୁଟି |
পৰম পৰম,ସର୍ବୋଚ୍ଚ ସର୍ବୋଚ୍ଚ
নিৰপেক্ষ সৰ্বনিম্ন,ସଂପୂର୍ଣ୍ଣ ସର୍ବନିମ୍ନ |
নিৰপেক্ষ মূল্য,ସଂପୂର୍ଣ୍ଣ ମୂଲ୍ୟ
নিৰপেক্ষ বেগ,ସଂପୂର୍ଣ୍ଣ ବେଗ
বিমূৰ্ত বীজগণিত,ବିସ୍ତୃତ ବୀଜ ବର୍ଣ୍ଣନା |
বিমূৰ্ত গোট তত্ত্ব,ବିସ୍ତୃତ ଗୋଷ୍ଠୀ ସିଦ୍ଧାନ୍ତ |
বেগ বৃদ্ধি,ତ୍ୱରଣ
মহাকৰ্ষণীয় ত্বৰণ,ମାଧ୍ୟାକର୍ଷଣ ତ୍ୱରଣ |
গ্ৰহণযোগ্য নিৰ্বাচক,ଗ୍ରହଣୀୟ ଚୟନକର୍ତ୍ତା |
গ্ৰহণযোগ্য গুণগত মানৰ স্তৰ,ଗ୍ରହଣୀୟ ଗୁଣବତ୍ତା ସ୍ତର |
গ্ৰহণযোগ্য চৌহদ,ଗ୍ରହଣୀୟ ପରିସର
বৈধ নিৰ্ভৰযোগ্যতা স্তৰ,ବ valid ଧ ବିଶ୍ୱସନୀୟତା ସ୍ତର |
গ্ৰহণযোগ্যতা নমুনা সংগ্ৰহ কৰা,ଗ୍ରହଣ ନମୁନା
সঞ্চিত ভুল,ସଂଗୃହିତ ତ୍ରୁଟି |
শুদ্ধতা,ସଠିକତା
প্ৰয়োগ কৰা বল,ପ୍ରୟୋଗ ଶକ୍ତି
"কাৰ্য্য, কাৰ্য্য","କାର୍ଯ୍ୟ, କାର୍ଯ୍ୟ"
ক্ৰিয়া আৰু প্ৰতিক্ৰিয়া,କାର୍ଯ୍ୟ ଏବଂ ପ୍ରତିକ୍ରିୟା
বীমা বিজ্ঞান,ବୀମା ବିଜ୍ଞାନ |
তীব্ৰ ত্ৰিভুজ,ତୀବ୍ର ତ୍ରିରଙ୍ଗା |
অচক্ৰীয়,acyclic
সামৰণিত,ସଂକ୍ଷେପରେ
adder,ଆଡର୍
"যোগফল, যোগ, যোগফল (c.), যোগ (v.)","ରାଶି, ଯୋଗ, ସମୀକରଣ (ଗ।), ଯୋଗୀ (v।)"
যোগৰ সূত্ৰ,ଯୋଗର ସୂତ୍ର
জটিল সংখ্যাৰ যোগফল,ଜଟିଳ ସଂଖ୍ୟାଗୁଡ଼ିକର ସମଷ୍ଟି |
ফলনৰ যোগফল,କାର୍ଯ୍ୟଗୁଡ଼ିକର ସମଷ୍ଟି
মেট্ৰিক্সৰ যোগফল,ମାଟ୍ରିକ୍ସର ରାଶି
বহুপদৰ যোগফল,ବହୁଜନର ସମଷ୍ଟି |
সম্ভাৱনাৰ যোগফল,ସମ୍ଭାବ୍ୟତାର ସମଷ୍ଟି
ভেক্টৰৰ যোগফল,ଭେକ୍ଟରର ରାଶି
"যোগ উপপাদ্য, বেৰী তত্ত্ব,","ଯୋଗ ଥିଓରେମ୍, ବିରି ଥିଓରୀ"
যোগকৰণ গোট,ଯୋଗୀ ଗୋଷ୍ଠୀ |
যোগকৰণৰ বিপৰীত,ଯୋଗୀ ଓଲଟା |
যোগযোগ্যতা,ଯୋଗନୀୟତା |
যোগযোগ্যতা,ଯୋଗନୀୟତା |
সংলগ্নতা মেট্ৰিক্স,ସଂଲଗ୍ନ ମ୍ୟାଟ୍ରିକ୍ସ |
"কাষৰীয়া, কাষৰীয়া, কাষৰীয়া","ସଂଲଗ୍ନ, ସଂଲଗ୍ନ, ସଂଲଗ୍ନ"
কাষৰীয়া কোণ,ସଂଲଗ୍ନ କୋଣ
কাষৰীয়া শিখৰ,ସଂଲଗ୍ନ ଭର୍ଟେକ୍ସ |
to associate,ସହଯୋଗ କରିବାକୁ
"সংযুক্ত আবৃত,",ସଂଲଗ୍ନ ଏନକ୍ଲୋଜର
সাধাৰণ নিৰ্ণায়ক,ସାଧାରଣ ନିର୍ଣ୍ଣୟକାରୀ |
সংযুক্ত অৱভেদ্য সমীকৰণ,ସଂଲଗ୍ନ ଡିଫେରିଏଲ୍ ସମୀକରଣ |
সংলগ্ন সমীকৰণ,ସଂଲଗ୍ନ ସମୀକରଣ
সহসমঞ্জস্যপূৰ্ণ মেট্ৰিক্স,କୋହୋମୋଜେନସ୍ ମ୍ୟାଟ୍ରିକ୍ସ |
মেট্ৰিক্স সহাৱস্থান,ମ୍ୟାଟ୍ରିକ୍ସ କୋଭାରିଆନ୍ସ |
সহসমঞ্জস্যপূৰ্ণ মেট্ৰিক্স,କୋହୋମୋଜେନସ୍ ମ୍ୟାଟ୍ରିକ୍ସ |
গ্ৰহণযোগ্য সিদ্ধান্ত কাৰ্য্য,ଗ୍ରହଣୀୟ ନିଷ୍ପତ୍ତି କାର୍ଯ୍ୟ
গ্ৰহণযোগ্য অনুমান,ଗ୍ରହଣୀୟ ଅନୁମାନ
বায়ুগতিবিদ্যা বল,ଏରୋଡାଇନାମିକ୍ ଫୋର୍ସ |
বায়ুগতিবিদ্যা,ଏରୋଡାଇନାମିକ୍ସ |
সমজাতীয় জ্যামিতি,ଏକମାତ୍ର ଜ୍ୟାମିତି |
সমজাতীয় মেপিং,ଏକମାତ୍ର ମ୍ୟାପିଙ୍ଗ୍ |
