Gujarati,Kannada
એસી સમકક્ષ સર્કિટ,ಎಸಿ ಸಮಾನ ಸರ್ಕ್ಯೂಟ್
આંકડાકીય કન્વર્ટર માટે એનાલોગ,ಸಂಖ್ಯಾ ಪರಿವರ್ತಕಕ್ಕೆ ಅನಲಾಗ್
સંપૂર્ણ શૂન્ય,ಸಂಪೂರ್ಣ ಶೂನ್ಯ
શોષણ ગુણાંક,ಹೀರಿಕೊಳ್ಳುವ ಗುಣಾಂಕ
શોષણ સ્પેક્ટ્રમ,ಹೀರಿಕೊಳ್ಳುವ ವರ್ಣಪಟಲ
રીસેપ્ટર અણુ,ಗ್ರಾಹಕ ಪರಮಾಣು
વૈકલ્પિક વર્તમાન જોડાણ,ಪರ್ಯಾಯ ವಿದ್ಯುತ್ ಜೋಡಣೆ
ઇલેક્ટ્રોન લણણી,ಎಲೆಕ್ಟ್ರಾನ್ ಕೊಯ್ಲು
છિદ્ર સંગ્રહ,ರಂಧ್ರ ಸಂಗ್ರಹಣೆ
સક્રિયકરણ ઊર્જા,ಸಕ್ರಿಯಗೊಳಿಸುವ ಶಕ್ತಿ
સક્રિય એમ્પ્લીફાયર,ಸಕ್ರಿಯ ಆಂಪ್ಲಿಫಯರ್
સક્રિય ડાયોડ સર્કિટ,ಸಕ್ರಿಯ ಡಯೋಡ್ ಸರ್ಕ್ಯೂಟ್
સક્રિય ફિલ્ટર,ಸಕ್ರಿಯ ಫಿಲ್ಟರ್
સક્રિય ઉચ્ચ આવર્તન લાકડું ફિલ્ટર,ಸಕ್ರಿಯ ಹೈ ಫ್ರೀಕ್ವೆನ್ಸಿ ಪ್ಯಾರ್ಕ್ವೆಟ್ ಫಿಲ್ಟರ್
સક્રિય લોડ,ಸಕ್ರಿಯ ಲೋಡ್
સક્રિય ઓછી આવર્તન પાર્સ ફિલ્ટર,ಸಕ್ರಿಯ ಕಡಿಮೆ ಆವರ್ತನ ಪಾರ್ಸ್ ಫಿಲ್ಟರ್
સક્રિય વિસ્તાર,ಸಕ್ರಿಯ ಪ್ರದೇಶ
અનુકૂલનશીલ ઇલેક્ટ્રોનિક્સ,ಹೊಂದಾಣಿಕೆಯ ಎಲೆಕ್ಟ್ರಾನಿಕ್ಸ್
ઉમેરનાર,ಸೇರಿಸುವವನು
એડજસ્ટેબલ બેન્ડ એક્સ્ટેંશન,ಹೊಂದಾಣಿಕೆ ಬ್ಯಾಂಡ್ ವಿಸ್ತರಣೆ
પ્રવેશ,ನುಗ್ಗುವಿಕೆ
એરિયલ,ಏರಿಯಲ್
