English,Bengali
A (Ampere unit of current),অ্যাম্পিয়ার (একক)
A (angstrom),অ্যাংস্ট্রাম
A amplifier,A-শ্রেণীর পরিবর্ধক
A-N radio range,এএন রেডিও সহায়
A-scan presentation,একটি-স্ক্যানিং উপস্থাপনা
A-scope,a-দর্শ
A-scope display,A-স্কোপ কর্মক্ষমতা
A-T Cut crystal,A-T বাঁকা স্ফটিক
A.c-d.c. gain,"এসি ডিসি উপকারিতা, ক. সিডি। সি.লাভী, এ. সিডি। গ. পরিবর্ধন"
A.M. (ante meridiem),am
A.m.u. (atomic mass unit),এএমইউ (পারমাণবিক ভর একক)
Aard-vark,আর্ড-ওয়ার্ক*
Ab ampere,ab-ampere
AB amplifier,A-B শ্রেণীর পরিবর্ধক
Ab initio,adah
AB power pack,A-B শক্তি পিটক
Abac=alignment chart=nomograph,abc = প্রান্তিককরণ চার্ট = নোমোগ্রাফ
Abbe number (=Abbe constant),আবে নম্বর (আবে ধ্রুবক)
ABBE refractometer,abe রিফ্র্যাক্টোমিটার
Abbe sine condition,অ্যাবে সাইন স্টেট
Abc (automatic bias compensation),স্বয়ংক্রিয় পক্ষপাত ক্ষতিপূরণ
Abcoulomb,abcoulom
Aberration,"aberration, aberration"
Aberration corrector lens,বিকৃতি সংশোধনকারী লেন্স
Aberration of light,আকাশ বিকৃতি
Abfarad,আবফারদ
Abhenry,ইবেনরি
Abney effect (=Abney law),আবলুস প্রভাব
Abnormal polarisation,অস্বাভাবিক মেরুকরণ
Abnormal propagation,অস্বাভাবিক সংক্রমণ
Abnormal reflection,অলৌকিক প্রতিফলন
Abnormal refraction,অস্বাভাবিক প্রতিসরণ*
Abnormal resistance,অস্বাভাবিক প্রতিরোধ
Abohm,ab-om
Abortion,"preponderance, ব্যর্থতা"
Abrupt,"সংযুক্ত, সাধারণত, দাঁড়ানো, বিচ্ছিন্ন, খণ্ডিত"
Abrupt jump,প্রায়ই লাফ দেয়
Abscissa,হাত*
Absent reflection,হারিয়ে যাওয়া প্রতিফলন
Absent spectrum,অনুপস্থিত বর্ণালী
Absolute,"পরম, পরম, ধ্রুবক, নিখুঁত"
Absolute acceleration,পরম ত্বরণ
Absolute accuracy,পরম বাস্তবতা
Absolute address-specific address,পরম ঠিকানা
Absolute altimeter,ভূ-আপেক্ষিক উচ্চতা মিটার
Absolute altitude,ভূতাত্ত্বিক উচ্চতা
Absolute ampere,পরম অ্যাম্পিয়ার
Absolute boilling point,পরম ফুটন্ত বিন্দু
Absolute bolometric luminosity,পরম আলোকসজ্জা
Absolute capacity,পরম ক্ষমতা
Absolute ceiling,পরম উচ্চতা
Absolute colour index,পরম রঙ্গক
Absolute configuration,"পরম কনফিগারেশন, দ্ব্যর্থহীন কনফিগারেশন"
Absolute coulomb,পরম কুলম্ব
Absolute darkness,সম্পূর্ণ অন্ধকার
Absolute dating,পরম সময়সূচী
Absolute density,পরম ঘনত্ব*
Absolute drift,পরম নিষ্কাশন
Absolute e.m.u.,পরম ইএমইউ (ইলেক্ট্রোম্যাগনেটিক ইউনিট)
Absolute e.s.u.,পরম ESU (স্থির শক্তি ইউনিট)
Absolute efficiency,পরম দক্ষতা
Absolute electrometer,পরম ইলেক্ট্রোমিটার
Absolute frequency,পরম ফ্রিকোয়েন্সি পরম ফ্রিকোয়েন্সি
Absolute humidity,পরম আর্দ্রতা
Absolute incidence,পরম ঘটনা
Absolute index of refraction,পরম প্রতিসরাঙ্ক সূচক
Absolute instability,পরম অস্থিরতা
Absolute intensity,পরম অস্থিরতা
Absolute length,"পরম তীব্রতা, পরম তীব্রতা"
Absolute limit of hysteresis,অ্যাথেনিয়ার পরম সীমা
Absolute luminance threshold,পরম আলোকসজ্জা সিল
Absolute luminosity curve,পরম হালকা বক্ররেখা
Absolute magnitude,পরম মাত্রা
Absolute manometer,পরম ব্যারোমিটার
Absolute maximum,সর্বোচ্চ সর্বোচ্চ
Absolute maximum rating,পরম চরম
Absolute minimum,পরম সর্বনিম্ন
Absolute momentum,পরম গতিবেগ
Absolute motion,পরম গতি
Absolute music=pure music,পরম সঙ্গীত
Absolute observation,পরম পর্যবেক্ষণ
Absolute ohm,পরম ওম
Absolute orientation,পরম অভিযোজন
Absolute permittivity,পরম বৈদ্যুতিক ঋণাত্মকতা
Absolute pitch,পরম মাধ্যাকর্ষণ
Absolute pressure = true pressure,পরম চাপ
Absolute property,পরম সম্পত্তি
Absolute scalar,পরম স্কেলার
Absolute scale of temperature,তাপমাত্রার পরম স্কেল*
Absolute simultancity,"পরম সমলয়, পরম সমলয়"
Absolute stress,পরম চাপ
Absolute symmetry,পরম প্রতিসাম্য
Absolute system of motion,পরম গতি শরীর
Absolute system of units,পরম ইউনিট সিস্টেম
Absolute temperature,পরম তাপমাত্রা
Absolute time,পরম সময়
Absolute unit,পরম একক
Absolute value,পরম মান
Absolute value computer,পূর্ণসংখ্যা ক্যালকুলেটর
Absolute velocity,পরম বেগ
Absolute viscosity,পরম সান্দ্রতা
Absolute weight,পরম ওজন
Absolute zero,পরম শূন্য*
Absolute zero devisor,শূন্যের পরম ভাজক
Absorb,শোষণ করা
Absorbance,শোষণ সূচক*
Absorbed energy,শোষিত শক্তি
Absorber,"শোষক, শোষক"
Absorbing medium,শোষক মাধ্যম*
Absorbing power,শোষণ ক্ষমতা
Absorptance,শোষণ
Absorptiometer,শোষণ যন্ত্র*
Absorptiometry,শোষণমিতি*
Absorption,শোষণ
Absorption band,শোষণ - ব্যান্ড*
Absorption circuit,শোষণ সার্কিট
Absorption coeffieient,শোষণ গুণাঙ্ক
Absorption column,শোষণ কলাম
Absorption constant,শোষণ ধ্রুবক
Absorption continua,শোষণ ধারাবাহিকতা
Absorption cross section,শোষণ অঞ্চল
Absorption current,শোষণ বর্তমান
Absorption curve (=transmission curve),শোষণ বক্ররেখা*
Absorption discontinuity,শোষণ ফ্র্যাকচার
Absorption edge,শোষণ কোর
Absorption factor,শোষণ ফ্যাক্টর
Absorption filter,শোষণ ফিল্টার
Absorption flame photometry,শোষণ শিখা ফটোমেট্রি*
Absorption hygrometer,শোষণ হাইগ্রোমিটার
Absorption index,শোষণ সূচক
Absorption limit,শোষণ প্রান্তিক
Absorption line,শোষণ লাইন
Absorption loss,শোষণ ক্ষতি
Absorption modulation=loss modulation,শোষণ মড্যুলেশন
Absorption of light,আলো শোষণ
Absorption of radiant energy,বিকিরণ শক্তি শোষণ
Absorption peak,শোষণ শিখর
Absorption photometry,শোষণ ফটোমেট্রি
Absorption ratio,শোষণ অনুপাত
Absorption series,শোষণ পরিসীমা*
Absorption spectro photometry,শোষণ স্পেকট্রাম ফটোমেট্রি*
Absorption spectrum,শোষণ বর্ণালী*
Absorption tube,"শোষণ নল, শোষণ নল"
Absorption vavemeter,শোষণ হাইগ্রোমিটার
Absorptive,শোষক*
Absorptive attenuator,শোষক বাষ্পীভবনকারী
Absorptive law,শোষণ আইন*
Absorptive medium,শোষণ মাধ্যম
Absorptive power,"শোষণ ক্ষমতা, শোষণ*"
Absorptivity,শোষণ*
Abstract set=studio decoration,স্টুডিও সজ্জা
Abundance ratio,বহুগুণ অনুপাত
Abvolt,বিভ্রান্তি
Abwatt,সম্পর্কিত
Accelerate,ত্বরান্বিত করা
Accelerate-stop distance,ত্বরণ-স্টপ দূরত্ব
Accelerated,তাড়াতাড়ি
Accelerated ageing test,দ্রুত সময়ের প্রভাব পরীক্ষা
Accelerated flow,দ্রুত প্রবাহ
Accelerated motion,দ্রুত গতি
Accelerated system,দ্রুত শরীর
Accelerating balance,এক্সিলারেটর ওজনকারী
Accelerating electrode,এক্সিলারেটর ইলেক্ট্রোড*
Accelerating period,এক্সিলারেটরের সময়*
Accelerating phase,এক্সিলারেটর ফেজ
Accelerating rate,অ্যাক্সিলারেটর হার
Accelerating voltage,এক্সিলারেটর ভোল্টেজ*
Acceleration,ত্বরণ
Acceleration blowout=rich extinction=flame out,ত্বরিত জ্বলন
Acceleration coefficient,ত্বরণ সহগ
Acceleration component,ত্বরণ উপাদান
Acceleration due to gravity,মাধ্যাকর্ষণ বলের প্রভাবে গতি বৃদ্ধি
Acceleration factor,ত্বরণ ফ্যাক্টর
Acceleration feedback,ত্বরিত চার্জ
Acceleration of gravity,অভিকর্ষের ত্বরণ
Acceleration potential,ত্বরণ সম্ভাবনা
Acceleration principle,ত্বরণ আইন
Acceleration process,ত্বরণ প্রক্রিয়া
Acceleration space,ত্বরণ অঞ্চল
Acceleration technique,ত্বরণ পদ্ধতি
Acceleration tolerance,"ত্বরণ সহনশীলতা, ত্বরণ সহনশীলতা"
Acceleration vector,ত্বরণ ভেক্টর
Acceleration voltage,ত্বরণ-ভোল্টেজ
Acceleration wave,ত্বরণ তরঙ্গ
Accelerative,এক্সিলারেটর
Accelerator,"ত্বরণ, ত্বরণক*"
Accelerator equation,অ্যাক্সিলারেটর সমীকরণ
Accelerograph,এক্সিলারেটর*
Accelerometer,অ্যাক্সিলোমিটার
Accelerometer matching,অ্যাক্সিলোমিটার মিল
Accentuator,prestresser
Acceptable character,বৈধ অক্ষর
Acceptance angle,গ্রহণযোগ্যতা কোণ
Acceptance specifications,গ্রহণযোগ্যতা স্পেসিফিকেশন
Acceptance test,গ্রহণযোগ্য পরীক্ষা
Acceptor,"গ্রহণকারী*, গ্রহণকারী"
Acceptor atom,রিসেপ্টর পরমাণু
Acceptor bond,রিসেপ্টর বন্ড
Acceptor circuit,রিসিভার সার্কিট
Acceptor level,রিসেপ্টর স্তর
Acceptor molecule,দাতা অণু
Acceptor property,রিসেপ্টর সম্পত্তি
Acceptor property level,রিসেপ্টর সম্পত্তি স্তর
Accererating tube,অ্যাক্সিলারেটর পায়ের পাতার মোজাবিশেষ
Access,"অ্যাক্সেস, অপেক্ষা, অ্যাক্সেস"
Access arm,ভুজ অ্যাক্সেস করুন
Access mechanism,অ্যাক্সেস সিস্টেম
Access time,প্রবেশাধিকার সময়
Accessibility,অ্যাক্সেসযোগ্যতা
Accessory,"অতিরিক্ত, সহায়ক, আনুষঙ্গিক (v, ), আনুষাঙ্গিক"
Accessory condition,অতিরিক্ত সীমাবদ্ধতা
Accidental coincidence,কাকতালীয়
Accidental correction,আকস্মিক সংশোধন
Accidental degeneracy,দুর্ঘটনাজনিত বায়োজেনেসিস
Accidental double refraction,আকস্মিক ডাইভারশন
Accidental error,ভিজিটর ত্রুটি
Accidental jamming,"হঠাৎ বন্ধ, হঠাৎ বাতা"
Accidental transmission,দুর্ঘটনাজনিত সংক্রমণ
Accidental variation,এলোমেলো পার্থক্য
Accommodation,সমন্বয়
Accumbent,অবস্থিত
Accumulated error,সঞ্চিত ত্রুটি
Accumulation,"accumulation, accumulation"
Accumulation of energy,শক্তি সঞ্চয়
Accumulator,সঞ্চয়ক*
Accuracy,সঠিকতা
Accurate,বাস্তবতা
Accurate instrumental observation,বাস্তব যন্ত্র পর্যবেক্ষণ
Accurate range marker,সঠিক পরিসীমা চিহ্নিতকারী
Accurate scanning,নির্ভুলতা স্ক্যানিং
Accustomisation,অনুশীলন করা
Acdelerating chamber,এক্সিলারেটর সেল*
Achromat,অ্যাক্রোমেটিক লেন্স*
Achromatic,অ্যাক্রোমেটিক*
Achromatic analyser,অ্যাক্রোম্যাটিক বিশ্লেষক
Achromatic antenna,ফ্রিকোয়েন্সি নিরপেক্ষ অ্যান্টেনা
Achromatic figure,অ্যাক্রোমেটিক আকৃতি
Achromatic fringe,অ্যাক্রোম্যাটিক ফ্রিঞ্জ
Achromatic lens,অ্যাক্রোমেটিক লেন্স*
Achromatic locus,অ্যাক্রোম্যাটিক পয়েন্ট পাথ
Achromatic object lens,অ্যাক্রোম্যাটিক লেন্স
Achromatic prism,অ্যাক্রোমেটিক প্রিজম
Achromatic telescope,অ্যাক্রোম্যাটিক টেলিস্কোপ
Achromaticity,বর্ণহীনতা*
Achromatisation,অ্যাক্রোমাটাইজেশন*
Achromatism,বর্ণহীনতা*
Aclastic,"স্থিতিস্থাপক, অবাধ্য, অবাধ্য"
Acorn tube,"আকর্ণ হোস, বানজু হোস"
Acorn valve,ক্ষুদ্রাকৃতির ভালভ
Acouphony,ইকোফোনি
Acoustic,শাব্দিক
Acoustic absorptivity,শাব্দ শোষণ
Acoustic attenuation coeffcient,অ্যাকোস্টিক অ্যাটেন্যুয়েশন সহগ
Acoustic attenuation constant,অ্যাকোস্টিক অ্যাটেন্যুয়েশন
Acoustic burglar alarm,শাব্দ চোর অ্যালার্ম
Acoustic capacitance,অ্যাকোস্টিক ক্যাপাসিট্যান্স
Acoustic centre,শ্রবণ কেন্দ্র
Acoustic clarifier,শাব্দ ব্যাখ্যা
Acoustic cloud,শাব্দ আবরণ
Acoustic compliance,শাব্দ প্রতিক্রিয়া
Acoustic component,শাব্দিক উপাদান
Acoustic conductivity,শাব্দ পরিবাহিতা
Acoustic damping,শাব্দ স্যাঁতসেঁতে
Acoustic dispersion,শাব্দ বিচ্ছুরণ
Acoustic dissipation element,শব্দ হ্যাকার
Acoustic energy,শাব্দ শক্তি*
Acoustic energy equation,শাব্দ শক্তি সমীকরণ
Acoustic equation,শাব্দিক সমীকরণ
Acoustic feedback,শাব্দ পুনঃস্থাপন
Acoustic figures (Chladni figures),ক্ল্যাডনি আকার
Acoustic filter,শাব্দ ফিল্টার
Acoustic generator,শব্দ জেনারেটর
Acoustic grating,শাব্দ ঝাঁঝরি
Acoustic impedance,শব্দের সংরোধ*
Acoustic inertance,শাব্দিক জড়তা
Acoustic intensity,শাব্দ তীব্রতা
Acoustic interferometer,শাব্দ হস্তক্ষেপ মিটার
Acoustic intrusion detector,শাব্দ হস্তক্ষেপ আবিষ্কারক
Acoustic lens,শাব্দ লেন্স
Acoustic line,শব্দ লাইন
Acoustic mass,শাব্দ ভর
Acoustic material,শাব্দ উপাদান
Acoustic mean free path,অ্যাকোস্টিক মানে মুক্ত পথ
Acoustic mode,শাব্দ মোড
Acoustic noise,শাব্দিক শব্দ
Acoustic ohm,শাব্দিক ওহম*
Acoustic panel,"অ্যাকোস্টিক প্যানেল, অ্যাকোস্টিক বোর্ড"
Acoustic phase constant,শাব্দ ফেজ ধ্রুবক
Acoustic pickup (sound box),শাব্দ রিসিভার
Acoustic pressure,শাব্দ চাপ
