Bengali,Hindi
অস্বাভাবিক,अपसामान्य
গর্ভপাত,विफलन
ঘর্ষণ,"अपघर्षण, घिसाई"
আকস্মিক,"असंलग्न, अचानक, सहसा, विच्छिन्न"
পরম ক্ষেত্র শক্তি,निरपेक्ष क्षेत्र सामर्थ्य
পরম তাপমাত্রা,परम ताप
পরম মান,निरपेक्ष मान
শোষণ,"अवशोषित करना, अवशोषण करना"
শোষণ গুণাঙ্ক,अवशोषण गुणांक
শোষণ ক্ষতি,अवशोषण हानि
বিমূর্ত,"अमूर्त, सारांश, सार, संक्षेप"
অ্যাক্সিলোমিটার,त्वरणमापी
স্বীকৃতি পরীক্ষা,स्वीकृति परीक्षण
অ্যাক্সেস,अभिगम
প্রবেশাধিকার নিয়ন্ত্রণ,अभिगम नियंत्रण
এক্সেস পয়েন্ট,अभिगम बिंदु
প্রবেশাধিকার সময়,अभिगम काल
অ্যাক্সেসযোগ্যতা,अभिगम्यता
একুমুলেটর সেল,संचायक सेल
সঠিকতা,यथार्थता
নির্ভুল,यथार्थ
অ্যাক্রোমেটিক লেন্স,अवर्णक लेन्स
অ্যাসিড,"अम्ल, ऐसिड"
অ্যাসিড প্রুফ,अम्लसह
অম্লতা,अम्लता
স্বীকৃতি বিট,"पावती द्वयंक, पावती बिट"
অ্যাকোস্টিক,ध्वानिक
অ্যাকোস্টিক যোগাযোগ,ध्वानिक संचार
অ্যাকোস্টিক প্রসারণ,ध्वानिक विसरण
অ্যাকোস্টিক ইকুয়ালাইজার,ध्वानिक समकारी
অ্যাকোস্টিক প্রতিক্রিয়া,"ध्वानिक पुनर्भरण, ध्वानिक पुनर्निवेश"
অ্যাকোস্টিক ফিল্টার,"ध्वानिक फिल्टर, ध्वानिक निस्यंदक"
শব্দের সংরোধ,ध्वानिक प्रतिबाधा
অ্যাকোস্টিক মাস্কিং,"ध्वानिक आवरण, ध्वानिक प्रच्छादन"
অ্যাকোস্টিক শক্তি,ध्वानिक षक्ति
অ্যাকোস্টিক সম্পত্তি,ध्वानिक गुणधर्म
অ্যাকোস্টিক রিঅ্যাক্ট্যান্স,ध्वानिक प्रतिघात
অ্যাকোস্টিক রিফ্লেক্স,ध्वानिक प्रतिवर्त
অ্যাকোস্টিক টাইল,ध्वानिक टाइल
অ্যাকোস্টিক তরঙ্গ,ध्वानिक तरंग
শাব্দিক শোষণ,ध्वानिक अवशोषण गुणांक
শাব্দিক মনোযোগ ধ্রুবক,ध्वानिक                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            क्षीणनांक
শাব্দিক স্যাঁতসেঁতে,ध्वानिक अवमंदन
শাব্দিক বিলম্ব লাইন,ध्वानिक विलंब लाइन
শাব্দিক বিকৃতি,ध्वानिक विरूपण
শাব্দিক নালী,ध्वनि-वाहिनी
শাব্দিক শক্তি,ध्वानिक ऊर्जा
শাব্দিক প্রতিক্রিয়া,ध्वानिक पुनर्निवेश
শাব্দিক ফিল্টার,"ध्वानिक फिल्टर, ध्वानिक  निस्यंदक"
শাব্দিক প্রতিবন্ধকতা,ध्वानिक प्रतिबाधा
শাব্দিক প্রচার ধ্রুবক,ध्वानिक संचरण नियतांक
শাব্দিক প্রতিরোধের,ध्वानिक प्रतिरोध
শাব্দিকভাবে অন্তরক,ध्वानिकतः रुद्ध
অ্যাকোস্টিকস,"ध्वानिकी, ध्वनि विज्ञान"
অধিগ্রহণ,"अधिग्रहण, अर्जन, उपार्जन"
সংক্ষিপ্ত বিবরণ,संक्षिप्त रूप
অ্যাকশন এরিয়া,कार्य क्षेत्र
সক্রিয় ফিলামেন্ট,"सक्रियकृत तंतु, सक्रियित तंतु"
সক্রিয়,सक्रिय
সক্রিয় এলাকা,सक्रिय क्षेत्र
সক্রিয় উইন্ডো,सक्रिय विंडो
