Assamese,Tamil
ৱেষ্টমিনিষ্টাৰৰ এবে,வெஸ்ட்மின்ஸ்டர் அபே
এবডিটৰী,துறவு
দাসত্ব বিলুপ্ত কৰা,அடிமைத்தனத்தை ஒழித்தல்
আদিবাসী,பழங்குடியினர்
আব্ৰাহাম যুগ,ஆபிரகாம் சகாப்தம்
অনুপস্থিত ঘৰৰ মালিক,இல்லாத நில உரிமையாளர்கள்
একাডেমী,கலைக்கூடம்
আক্ৰা সন্মিলন,அக்ரா மாநாடு
এক্ৰুৱেল,திரட்டல்கள்
সংস্কৃতিকৰণ,வளர்ப்பு
এচেলডামা,அசெல்டாமா
আখিয়ান (=আচিয়ান),அச்சேயன் (=ஆச்சியன்)
আচায়ান লীগ (=আচিয়ান লীগ),அச்சேயன் லீக் (=ஆச்சியன் லீக்)
এক্ৰ&#39;পলিছ,அக்ரோபோலிஸ்
এক্টা ডিউৰ্না,ஆக்டா டைர்னா
এক্টা চেনেটাছ,ஆக்டா செனடஸ்
এক্টে এডিচনেল,Acte Additionel
সক্ৰিয় ৰেকৰ্ড (=বৰ্তমান ৰেকৰ্ড),செயலில் உள்ள பதிவு (=தற்போதைய பதிவு)
প্ৰাপ্তিৰ কাৰ্য্য,அடையும் செயல்
ক্ষতিপূৰণ আৰু বিস্মৃতিৰ আইন,இழப்பீடு மற்றும் மறதியின் செயல்
বন্দোবস্তৰ আইন,தீர்வு சட்டம்
এড কন্ট্ৰেক্টাছ ছীল,விளம்பர ஒப்பந்த முத்திரை
এডুলামাইটছ,அதுலமைட்டுகள்
বিৰোধী,எதிரி
বিৰোধী,எதிரி
ইয়ন,ஏயோன்
এৰেৰিয়াম,ஏரேரியம்
আকাশী যুদ্ধ,வான்வழிப் போர்
এটলিয়ান লীগ,ஏட்டோலியன் லீக்
বয়স,வயது
বয়স বৃদ্ধি (=বৃদ্ধাৱস্থা),முதுமை (=வயதான)
বয়স বৃদ্ধিৰ প্ৰক্ৰিয়া,வயதான செயல்முறை
আগেলাই,அகெலாய்
অশ্বাৰোহীৰ যুগ,வீரத்தின் வயது
এজ অৱ ইংলাইটমেণ্ট,அறிவாற்றல் வயது
পেৰিক্লিছৰ বয়স,பெரிக்கிள்ஸ் வயது
যুক্তিৰ বয়স,பகுத்தறிவு வயது
কৃষিবাদ,விவசாயம்
কৃষি আন্দোলন,விவசாய இயக்கம்
এলবিয়ন,அல்பியன்
এলবাম,ஆல்பம்
এলডাৰমেন,ஆல்டர்மேன்
আলোকসজ্জা বাহু,கவர்ச்சியான ஆயுதங்கள்
এমিটি,அமிட்டி
এম্ফিক্টয়নিক কাউন্সিল,ஆம்ஃபிக்டியோனிக் கவுன்சில்
এম্ফিক্টয়নিক লীগ,ஆம்ஃபிக்டியோனிக் லீக்
এম্ফিথিয়েটাৰ,ஆம்பிதியேட்டர்
অমৰি নল গোট (মৃৎশিল্পৰ),அம்ரி நல் குழு (மட்பாண்டங்கள்)
এনাক্ৰ’নিজম,அனாக்ரோனிசம்
