Hindi,Kannada
आबेली समूह,ಅಬೆಲಿ ಗುಂಪು
आबेली सामिसमूह,ಅಬೆಲಿ ಗುಂಪು
भुज,ಕೈ
"निरपेक्ष, परम, अचर, परिशुद्‌ध","ಸಂಪೂರ್ಣ, ಸಂಪೂರ್ಣ, ಸ್ಥಿರ, ನಿಖರ"
निरपेक्ष अभिसरण,ಸಂಪೂರ್ಣ ಒಮ್ಮುಖ
निरपेक्ष त्रुटि,ಸಂಪೂರ್ಣ ದೋಷ
परम उच्चिष्ठ,ಸರ್ವೋಚ್ಚ ಸರ್ವೋಚ್ಚ
परम निम्निष्ठ,ಸಂಪೂರ್ಣ ಕಡಿಮೆ
निरपेक्ष मान,ಸಂಪೂರ್ಣ ಮೌಲ್ಯ
निरपेक्ष वेग,ಸಂಪೂರ್ಣ ವೇಗ
अमूर्त बीजगणित,ಅಮೂರ್ತ ಬೀಜಗಣಿತ
अमूर्त समूह सिद्‌धांत,ಅಮೂರ್ತ ಗುಂಪು ಸಿದ್ಧಾಂತ
त्वरण,ವೇಗವರ್ಧನೆ
गुरुत्वीय त्वरण,ಗುರುತ್ವಾಕರ್ಷಣೆಯ ವೇಗವರ್ಧನೆ
स्वीकार्य वरण-समुच्चय,ಸ್ವೀಕಾರಾರ್ಹ ಆಯ್ಕೆಗಾರ
स्वीकार्य गुणता स्तर,ಸ್ವೀಕಾರಾರ್ಹ ಗುಣಮಟ್ಟದ ಮಟ್ಟ
स्वीकार्य परिसर,ಸ್ವೀಕಾರಾರ್ಹ ಆವರಣ
मान्य विश्वसनीयता स्तर,ಮಾನ್ಯವಾದ ವಿಶ್ವಾಸಾರ್ಹತೆಯ ಮಟ್ಟ
स्वीकरण-प्रतिचयन,ಸ್ವೀಕಾರ ಮಾದರಿ
संचित त्रुटि,ಸಂಚಿತ ದೋಷ
यथार्थता,ನಿಖರತೆ
लगा हुआ बल,ಅನ್ವಯಿಸಿದ ಬಲ
" क्रिया , कर्म","ಕ್ರಿಯೆ, ಕಾರ್ಯ"
क्रिया और प्रतिक्रिया,ಕ್ರಿಯೆ ಮತ್ತು ಪ್ರತಿಕ್ರಿಯೆ
बीमा विज्ञान,ವಿಮಾ ವಿಜ್ಞಾನ
न्यूनकोण त्रिभुज,ತೀವ್ರ ತ್ರಿಕೋನ
अचक्रीय,ಅಸೈಕ್ಲಿಕ್
"योग करना, जोड़ना",ಒಟ್ಟುಗೂಡಿಸಲು
योजक,ಸೇರಿಸುವವನು
"योग, जोड़, संकलन (स.), योगात्मक (वि.)","ಮೊತ್ತ, ಸಂಕಲನ, ಸಂಕಲನ (ಸಿ.), ಸಂಯೋಜಕ (ವಿ.)"
योग का सूत्र,ಯೋಗದ ಸೂತ್ರ
सम्मिश्र संख्याओं का योग,ಸಂಕೀರ್ಣ ಸಂಖ್ಯೆಗಳ ಮೊತ್ತ
फलनों का योग,ಕಾರ್ಯಗಳ ಮೊತ್ತ
आव्यूहों का योग,ಮ್ಯಾಟ್ರಿಕ್ಸ್ ಮೊತ್ತ
बहुपदों का योग,ಬಹುಪದಗಳ ಮೊತ್ತ
प्रायिकताओं का योग,ಸಂಭವನೀಯತೆಗಳ ಮೊತ್ತ
सदिशों का योग,ವಾಹಕಗಳ ಮೊತ್ತ
"योग प्रमेय बेरीज सिद्‌धांत,","ಯೋಗ ಪ್ರಮೇಯ, ಬೆರ್ರಿ ಸಿದ್ಧಾಂತ"
योज्य समूह,ಸಂಯೋಜಕ ಗುಂಪು
योज्य व्युत्क्रम,ಸಂಯೋಜಕ ವಿಲೋಮ
"योज्यता, योगशीलता",ಸೇರಿಸುವಿಕೆ
योज्यता,ಸೇರಿಸುವಿಕೆ
आसन्नता आव्यूह,ಪಕ್ಕದ ಮ್ಯಾಟ್ರಿಕ್ಸ್
" संलग्न, निकटवर्ती , आसन्न","ಪಕ್ಕದ, ಪಕ್ಕದ, ಪಕ್ಕದ"
आसन्न कोण,ಪಕ್ಕದ ಕೋನ
आसन्न शीर्ष,ಪಕ್ಕದ ಶೃಂಗ
सहबद्‌ध करना,ಸಂಯೋಜಿಸಲು
"संलग्न संलग्नीत,",ಲಗತ್ತಿಸಲಾದ ಸುತ್ತುವರಿದ
सहखंडज सारणिक,ಸಾಮಾನ್ಯ ನಿರ್ಣಾಯಕ
संलग्न अवकल समीकरण,ಲಗತ್ತಿಸಲಾದ ಭೇದಾತ್ಮಕ ಸಮೀಕರಣ
संलग्न समीकरण,ಲಗತ್ತಿಸಲಾದ ಸಮೀಕರಣ
सहखंडज आव्यूह,ಏಕರೂಪದ ಮ್ಯಾಟ್ರಿಕ್ಸ್
आव्यूह सहखंडज,ಮ್ಯಾಟ್ರಿಕ್ಸ್ ಒಗ್ಗಟ್ಟು
सहखंडज आव्यूह,ಏಕರೂಪದ ಮ್ಯಾಟ್ರಿಕ್ಸ್
ग्राह्य निर्णय फलन,ಸ್ವೀಕಾರಾರ್ಹ ನಿರ್ಧಾರ ಕಾರ್ಯ
ग्राह्य परिकल्पना,ಸ್ವೀಕಾರಾರ್ಹ ಊಹೆ
वायुगतिक बल,ವಾಯುಬಲವೈಜ್ಞಾನಿಕ ಶಕ್ತಿ
वायु गतिकी,ವಾಯುಬಲವಿಜ್ಞಾನ
सजातीय ज्यामिति,ಏಕರೂಪದ ಜ್ಯಾಮಿತಿ
सजातीय प्रतिचित्रण,ಏಕರೂಪದ ಮ್ಯಾಪಿಂಗ್
सजातीय रूपांतरण,ಏಕರೂಪದ ರೂಪಾಂತರ
समुच्चयी चर,ಒಟ್ಟು ವೇರಿಯಬಲ್
" बीजगणित, ऐलजेब्रा , बीजावली , बीजक्रिया","ಬೀಜಗಣಿತ, ಬೀಜಗಣಿತ, ಬೀಜಗಣಿತ, ಬೀಜಗಣಿತ"
"बीजतः संवृत, बीजतः","ಬೀಜದ ಮುಚ್ಚಿದ, ಬೀಜದ"
बीजीय समीकरण,ಬೀಜಗಣಿತದ ಸಮೀಕರಣ
बीजीय व्यंजक,ಬೀಜಗಣಿತದ ಅಭಿವ್ಯಕ್ತಿ
बीजीय समघात,ಬೀಜಗಣಿತದ ಏಕರೂಪತೆ
बीजीय फलन,ಬೀಜಗಣಿತದ ಕಾರ್ಯ
बीजीय ज्यामिति,ಬೀಜಗಣಿತದ ರೇಖಾಗಣಿತ
बीजीय बहुकता,ಬೀಜಗಣಿತದ ಬಹುತ್ವ
बीजीय निकाय,ಬೀಜಗಣಿತ ವ್ಯವಸ್ಥೆ
सर्व-पूर्णांक समस्या,ಎಲ್ಲಾ ಪೂರ್ಣಾಂಕ ಸಮಸ್ಯೆ
"नियतन समस्या वाटपप्रश्न,",ನಿಯೋಜನೆ ಸಮಸ್ಯೆ ವ್ಯಾಟ್ ಪ್ರಶ್ನೆ
अक्षरात्मक संकेत पद्‌धति,ವರ್ಣಮಾಲೆಯ ಸಂಕೇತ
अक्षरात्मक संप्रतीक,ವರ್ಣಮಾಲೆಯ ಅಕ್ಷರ
एकांतर कोण,ಪರ್ಯಾಯ ಕೋನಗಳು
"एकांतर समघात प्रत्यावर्ती रूप,",ಪರ್ಯಾಯ ಏಕರೂಪದ ಪರ್ಯಾಯ ರೂಪ
एकांतर समूह,ಪರ್ಯಾಯ ಗುಂಪು
एकांतर आव्यूह,ಪರ್ಯಾಯ ಮ್ಯಾಟ್ರಿಕ್ಸ್
एकांतर श्रेणी,ಪರ್ಯಾಯ ಸರಣಿ
वैकल्पिक परिकल्पना,ಪರ್ಯಾಯ ಕಲ್ಪನೆ
