English,Telugu
Abbey of Westminster,అబ్బే ఆఫ్ వెస్ట్‌మినిస్టర్
Abditory,పదవీ విరమణ
Abolition of slavery,బానిసత్వ నిర్మూలన
Aboriginal,ఆదివాసి
Abraham Era,అబ్రహం యుగం
Absentee landlords,గైర్హాజరు భూస్వాములు
Academy,అకాడమీ
Accra conference,అక్ర సమావేశం
Accruals,సంపాదన
Acculturation,సంస్కారము
Aceldama,అసెల్డామా
Achaean (=Achian),అచెయన్ (=అచియన్)
Achaean League (=Achian League),అచీయన్ లీగ్ (=అచియన్ లీగ్)
Acropolis,అక్రోపోలిస్
Acta Diurna,ఆక్టా డియుర్నా
Acta Senatus,ఆక్టా సెనాటస్
Acte Additionel,యాక్టే అడిషనల్
Active record (=current record),యాక్టివ్ రికార్డ్ (=ప్రస్తుత రికార్డు)
Act of attainder,సాధించేవారి చర్య
Act of Indemnity and oblivion,నష్టపరిహారం మరియు ఉపేక్ష చట్టం
Act of Settlement,సెటిల్మెంట్ చట్టం
Ad contractus seal,ప్రకటన ఒప్పంద ముద్ర
Adullamites,అడుల్లామైట్స్
Adversary,విరోధి
Adversary,విరోధి
Aeon,అయాన్
Aerarium,ఏరోరియం
Aerial warfare,వైమానిక యుద్ధం
Aetolian League,ఏటోలియన్ లీగ్
Age,వయస్సు
Ageing (=aging),వృద్ధాప్యం (=వృద్ధాప్యం)
Ageing process,వృద్ధాప్య ప్రక్రియ
Agelai,అగెలై
Age of chivalry,శౌర్య యుగం
Age of Englightment,జ్ఞానోదయం వయస్సు
Age of Pericles,పెరికిల్స్ వయస్సు
Age of reason,కారణం వయస్సు
Agrarianism,వ్యవసాయం
Agrarian movement,వ్యవసాయ ఉద్యమం
Albion,అల్బియాన్
Album,ఆల్బమ్
Alderman,ఆల్డర్మాన్
Allusive arms,అల్లుడు చేతులు
Amity,సఖ్యత
Amphictyonic Council,యాంఫిక్యోనిక్ కౌన్సిల్
Amphictyonic League,యాంఫిక్యోనిక్ లీగ్
Amphitheatre,యాంఫీ థియేటర్
Amri Nal group (of pottery),అమ్రి నల్ గ్రూప్ (కుండల)
Anachronism,అనాక్రోనిజం
Anachronistic,అనాక్రోనిస్టిక్
Ancestor,పూర్వీకుడు
Ancestor Worship,పూర్వీకుల ఆరాధన
Ancestry,పూర్వీకులు
Ancestry,పూర్వీకులు
Ancestry,పూర్వీకులు
Ancestry,పూర్వీకులు
Ancien regime,ప్రాచీన పాలన
Ancient,ప్రాచీన
Ancient ballad,పురాతన బల్లాడ్
Ancient belief,పురాతన నమ్మకం
Ancient custom,ప్రాచీన ఆచారం
Ancient history,పురాతన చరిత్ర
Ancient monuments,పురాతన స్మారక చిహ్నాలు
Anecdote,ఉదంతము
Angelot,ఏంజెలోట్
Angelus,ఏంజెలస్
Angevin (=anjevin),అంజివిన్ (=అంజెవిన్)
Angles,కోణాలు
Anglican,ఆంగ్లికన్
Anglican Communion,ఆంగ్లికన్ కమ్యూనియన్
Anglicanism,ఆంగ్లికనిజం
Anglo-phobe,ఆంగ్లో-ఫోబ్
Anglo-phobia,ఆంగ్లో-ఫోబియా
Anglo-Saxon,ఆంగ్లో-సాక్సన్
Anglo-Saxonism,ఆంగ్లో-సాక్సోనిజం
Annalist,అన్నలిస్ట్
Annals,అన్నల్స్
Annexation,అనుబంధం
Ante-bellum,యాంటీ-బెల్లం
Ante date,ముందు తేదీ
Anti-clericalism,మత వ్యతిరేకత
Anti-clerical legislation,మతాధికారుల వ్యతిరేక చట్టం
