Bengali,English
অ্যাব্যাক্সিয়াল পৃষ্ঠ,Abaxial surface
পেট,Abdomen
পেটের মহাধমনী,Abdominal aorta
পেটের গ্যাংলিয়া,Abdominal ganglia
আবেলমোসচাস এসকুলেন্টাস,Abelmoschus esculentus
অবসন্নতা,Aberration
Abies,Abies
অ্যাবিংডন কচ্ছপ,Abingdon tortoise
অ্যাবোজেনেসিস,Abiogenesis
অ্যাবায়োটিক,Abiotic
জীবক্রিয়া ফ্যাক্টর,Abiotic factor
অস্বাভাবিক প্রস্রাব,Abnormal urine
আবো ব্লাড গ্রুপ,ABO blood group
অ্যাবসিসিক অ্যাসিড,Abscisic acid
অ্যাবসিশন,Abscission
শোষণ,Absorb
শোষণ শিখর,Absorption peak
শোষণ,Absorption
বাবলা ক্যাটেকু,Acacia catechu
অ্যাকারিয়া আরবিকা,Acaria arabica
অ্যাকাপ্রিন,Acaprin
গ্রহণযোগ্য যৌন আচরণ,Acceptable sexual behaviour
আনুষঙ্গিক গ্রন্থি,Accessory gland
আনুষঙ্গিক গ্রন্থি,Accessory gland
আনুষঙ্গিক অঙ্গ,Accessory organ
প্রশংসাপত্র,Acclimatization
প্রশংসিত,Acclimatize
আবাসন (ফোকাসিং),Accommodation (focusing)
চোখের থাকার ব্যবস্থা,Accommodation of eye
স্বীকৃত বৃদ্ধি,Accretionary growth
জমা,Accumulation
জৈব পদার্থ জমে,Accumulation of organic matter
মাটি জমে,Accumulation of soil
অ্যাসেলুলার,Acellular
অ্যাসেলুলার জীব,Acellular organism
অ্যাসিটাবুলাম,Acetabulum
অ্যাসিটালডিহাইড,Acetaldehyde
এসিটাইল কোএনজাইম,Acetyl coenzyme
আছাটিনা,Achatina
অ্যাকিন টাইপ,Achene type
আচিন,Achene
Achlamydosporye,Achlamydosporeae
এসিড বৃষ্টি,Acid rain
অ্যাসিডিক,Acidic
অ্যাসিডিক গ্যাস,Acidic gas
অম্লতা,Acidity
অ্যাকিনার সেল,Acinar cell
অ্যাকোলোমেট,Acoelomate
অ্যাকোনিটাম,Aconitum
অ্যাকর্ন কৃমি,Acorn worm
অ্যাকোস্টিক জোনিং,Acoustic zoning
অর্জিত চরিত্র,Acquired character
অনাক্রম্যতা অর্জিত,Acquired immunity
অর্জিত ইমিউনো ঘাটতি সিন্ড্রোম (এইডস),Acquired immuno deficiency syndrome (AIDS)
অ্যাক্রানিয়া,Acrania
অ্যাক্রিডিন ডাই,Acridine dye
অ্যাক্রোসেন্ট্রিক,Acrocentric
অ্যাক্রোমিয়ন,Acromion
অ্যাক্রোপেটাল সিকোয়েন্স,Acropetal sequence
অ্যাক্রোপেটাল অর্ডার,Acropetal order
অ্যাক্রোসিন,Acrosin
অ্যাক্টিন,Actin
অ্যাক্টিনের মতো প্রোটিন,Actin-like protein
অ্যাক্টিনোমর্ফিক,Actinomorphic
অ্যাক্টিনোমাইসেটস,Actinomycetes
কর্ম সম্ভাব্য,Action potential
সক্রিয় কর্দম,Activated sludge
সক্রিয় স্ল্যাজ ফ্লক,Activated sludge floc
অ্যাক্টিভেশন শক্তি,Activation energy
সক্রিয় শোষণ,Active absorption
সক্রিয় অনাক্রম্যতা,Active immunity
সক্রিয় বিকিরণ,Active radiation
সক্রিয় সাইট,Active site
অ্যাক্টিভিন,Activin
একুমিনেট,Acuminate
অ্যাডামসিয়া,Adamsia
অভিযোজনযোগ্যতা,Adaptability
অভিযোজন,Adaptation
হালকা শাসনের সাথে অভিযোজন,Adaptation to light regime
জলের ঘাটতির সাথে অভিযোজন,Adaptation to water scarcity
অভিযোজিত বৈশিষ্ট্য,Adaptive characteristics
অভিযোজিত অনাক্রম্যতা,Adaptive immunity
অভিযোজিত বিকিরণ,Adaptive radiation
অভিযোজিত বৈশিষ্ট্য,Adaptive trait
অ্যাড্যাক্সিয়াল পৃষ্ঠ,Adaxial surface
আসক্তিজনিত ব্যাধি,Addictive disorder
অ্যাডেনিন,Adenine
অ্যাডেনোকোর্টিকোট্রপিন,Adenocorticotropin
অ্যাডেনোহাইপোফাইসিস,Adenohypophysis
অ্যাডেনোসিন ডিফোসফেট,Adenosin diphosphate
