Assamese,Tamil
এচিড’ইড,அமிலத்தன்மை
ইঅ’লিয়ান মাটি,அயோலியன் மண்
গোট খোৱা,மதிப்பீட்டு
সংগ্ৰহ,திரட்டுதல்
কৃষি বিজ্ঞান,வேளாண்மை
কৃষি বিজ্ঞান,வேளாண்மை
এ-দিগন্ত,A- அடிவானம்
আও-দিগন্ত,Ao- அடிவானம்
আও-দিগন্ত,Aoo- அடிவானம்
মাটিৰ বায়ু ক্ষমতা,மண்ணின் காற்று திறன்
মাটিৰ বায়ুৰ পৰিমাণ,மண்ணின் காற்றின் உள்ளடக்கம்
এয়াৰ পিকনোমিটাৰ,காற்று பிக்னோமீட்டர்
এলিটিক মাটি,அல்லிடிக் மண்
জলজ মাটি,வண்டல் மண்
এম্ফোলাইট’ইড,ஆம்போலிடாய்டு
এনিয়ন,அயன்
"আপাত নিৰ্দিষ্ট মাধ্যাকৰ্ষণৰ আয়তনৰ ওজন বা বাল্ক নিৰ্দিষ্ট মাধ্যাকৰ্ষণ,&quot;","வெளிப்படையான குறிப்பிட்ட ஈர்ப்பு அளவு எடை அல்லது மொத்த குறிப்பிட்ட ஈர்ப்பு,&quot;"
আৰিছ,அரிஸ்
আছলাৰ মিহি শিলৰ কাম,Ashlar நன்றாக கொத்து
আছলাৰ শিলৰ কাম,ஆஷ்லர் கொத்து
এজ’নেল মাটি,அசோனல் மண்
পিঠিৰ অভিনেতা,பின் நடிகர்
পিছফালৰ খোলা,பின் வளைவு
বেক বেণ্ড,பின் இசைக்குழு
পিছফালৰ ব্ৰাছ,பின் தூரிகை
বেক চেক,மீண்டும் சரிபார்க்கவும்
বেক কাউণ্টাৰ,பின் கவுண்டர்
পিঠি কাটি থকা,முதுகு வெட்டுதல்
বেক ড্ৰাফ্ট ডেম্পাৰ,பின் வரைவு damper
বেক ড্ৰেইন,பின் வடிகால்
বেক ড্ৰপ,பின் துளி
বেক ফিল,பின் நிரப்பவும்
