Malayalam,Tamil
എ ബി ക്ലാസ് ആംപ്ലിഫയർ,A B வகுப்பு பெருக்கி
അപഭ്രംശം,பிறழ்வு
അസാധാരണമായ സംക്രമണം,அசாதாரண பரிமாற்றம்
"ഘടിപ്പിക്കാത്ത, സാധാരണയായി, കുഴികളുള്ള, ഛേദിക്കപ്പെട്ട, ഒടിഞ്ഞ","இணைக்கப்படாத, பொதுவாக, குழி, துண்டிக்கப்பட்ட, எலும்பு முறிவு"
സ്പെക്ട്രം കാണുന്നില്ല,ஸ்பெக்ட்ரம் காணவில்லை
"കേവല, കേവല, സ്ഥിരം, തികഞ്ഞ","முழுமையான, முழுமையான, நிலையான, சரியான"
കേവല ഈർപ്പം,முழுமையான ஈரப்பதம்
കേവല വേഗത,முழுமையான வேகம்
സമ്പൂർണ നിരീക്ഷണം,முழுமையான கவனிப்பு
കേവല താപനില,முழுமையான வெப்பநிலை
കേവല പൂജ്യം,முழுமையான பூஜ்ஜியம்
ആഗിരണം ചെയ്യുക,உறிஞ்சி
"ആഗിരണം, ആഗിരണം","உறிஞ்சும், உறிஞ்சும்"
ആഗിരണം ശേഷി,உறிஞ்சும் திறன்
ആഗിരണം,உறிஞ்சுதல்
ആഗിരണം ചെയ്യാവുന്ന,உறிஞ்சக்கூடியது
ആഗിരണം,உறிஞ்சும் தன்மை
ഗുണിത അനുപാതം,பன்மடங்கு விகிதம்
ത്വരിതപ്പെടുത്തുക,முடுக்கி
തിടുക്കപ്പെട്ടു,விரைந்தார்
ത്വരണം,முடுக்கம்
ഗുരുത്വാകർഷണ ത്വരണം,ஈர்ப்பு முடுக்கம்
ആക്സിലറേറ്റർ,முடுக்கி
ആക്സിലറേറ്റർ,முடுக்கி
ആക്സിലറോമീറ്റർ,முடுக்கமானி
പ്രിസ്ട്രെസർ,முன் அழுத்தம் கொடுப்பவர்
സ്വീകാര്യമായ പരിശോധന,ஏற்றுக்கொள்ளக்கூடிய சோதனை
സ്വീകർത്താവ്,ஏற்பவர்
ദാതാവിന്റെ തന്മാത്ര,நன்கொடையாளர் மூலக்கூறு
"പ്രവേശനം, കാത്തിരിപ്പ്, പ്രവേശനക്ഷമത","அணுகல், காத்திருப்பு, அணுகல்"
പ്രവേശനക്ഷമത,அணுகல்
"സ്പെയർ, ആക്സസറി, ആക്സസറി (വി.), ആക്സസറികൾ (എഡി.)","கூடுதல், துணை, துணை (v.), துணைக்கருவிகள் (ed.)"
പ്രവേശന സമയം,அணுகல் நேரம்
സന്ദർശക പിശക്,பார்வையாளர் பிழை
ക്രമീകരിക്കൽ,சரிசெய்தல்
കുമിഞ്ഞുകൂടി,திரட்டப்பட்டது
"ശേഖരണം, ശേഖരണം","திரட்சி, குவிப்பு"
ശേഖരണം,திரட்டி
കൃത്യത,துல்லியம்
റിയാലിറ്റി,யதார்த்தம்
അക്രോമാറ്റിക് ലെൻസ്,நிறமற்ற லென்ஸ்
അക്രോമാറ്റിക്,வண்ணமயமான
അക്രോമാറ്റിറ്റി,வண்ணமயமான தன்மை
അക്കോസ്റ്റിക്,ஒலியியல்
ശബ്ദപ്രതിരോധം,ஒலி எதிர்ப்பு
അക്കോസ്റ്റിക് ഫോണോൺ,ஒலி ஃபோனான்
ശബ്ദ യൂണിറ്റ്,ஒலி அலகு
അക്കോസ്റ്റിക്,ஒலியியல்
ശബ്ദ ജനറേറ്റർ,ஒலி ஜெனரேட்டர்
പ്രവർത്തനവും പ്രതികരണവും,செயல் மற்றும் எதிர்வினை
സജീവമാക്കൽ,செயல்படுத்துதல்
സജീവമാക്കൽ ഊർജ്ജം,செயல்படுத்தும் ஆற்றல்
"ആക്റ്റിവേറ്റർ, ആക്റ്റിവേറ്റർ","செயல்படுத்துபவர், செயல்படுத்துபவர்"
സജീവമാണ്,செயலில்
ആക്ടിവിസം,செயற்பாடு
യഥാർത്ഥ സമ്മർദ്ദം,உண்மையான மன அழுத்தம்
മന്ത്രിക്കുന്നു,கிசுகிசுத்தல்
സംഗ്രഹിക്കാനായി,மொத்தத்தில்
