Assamese,Bengali
এ চি সমতুল্য বৰ্তনী,এসি সমতুল্য সার্কিট
এনালগ টু সংখ্যাগত ৰূপান্তৰক,এনালগ থেকে সাংখ্যিক রূপান্তরকারী
নিৰপেক্ষ শূন্য,পরম শূন্য
শোষণ সহগ,শোষণ গুণাঙ্ক
শোষণ বৰ্ণালী,শোষণ বর্ণালী
ৰিচেপ্টৰ পৰমাণু,রিসেপ্টর পরমাণু
বিকল্প বিদ্যুৎ প্ৰবাহ সংযোজন,বিকল্প বর্তমান যুগল
ইলেক্ট্ৰন সংগ্ৰহ কৰা,ইলেক্ট্রন সংগ্রহ
ফুটা সংৰক্ষণ,গর্ত স্টোরেজ
সক্ৰিয়কৰণ শক্তি,অ্যাক্টিভেশন শক্তি
সক্ৰিয় পৰিবৰ্ধক,সক্রিয় পরিবর্ধক
সক্ৰিয় ডাইঅ&#39;ড বৰ্তনী,সক্রিয় ডায়োড সার্কিট
সক্ৰিয় ফিল্টাৰ,সক্রিয় ফিল্টার
সক্ৰিয় উচ্চ কম্পাঙ্ক পাৰ্কেট ফিল্টাৰ,সক্রিয় উচ্চ ফ্রিকোয়েন্সি Parquet ফিল্টার
সক্ৰিয় লোড,সক্রিয় লোড
সক্ৰিয় কম কম্পাঙ্ক বিশ্লেষণ ফিল্টাৰ,সক্রিয় নিম্ন ফ্রিকোয়েন্সি পার্স ফিল্টার
সক্ৰিয় অঞ্চল,সক্রিয় এলাকা
অভিযোজিত ইলেক্ট্ৰনিক্স,অভিযোজিত ইলেকট্রনিক্স
adder,যোগকারী
এডজাষ্টেবল বেণ্ড এক্সটেনচন,সামঞ্জস্যযোগ্য ব্যান্ড এক্সটেনশন
ভেদ,অনুপ্রবেশ
এৰিয়েল,এরিয়েল
pep কম্পাঙ্ক,পিপ ফ্রিকোয়েন্সি
এয়াৰ কণ্ডিচনাৰ,এয়ার কন্ডিশনার
প্ৰান্তিককৰণ,প্রান্তিককরণ
এলগৰিদম,অ্যালগরিদম
সকলো পাছ ফিল্টাৰ,সমস্ত পাস ফিল্টার
মিশ্ৰণ সংযোগ,খাদ জংশন
ক্ষীণকৰণ,ক্ষয়
বিকল্প বিদ্যুৎ প্ৰবাহ,বিবর্তিত বিদ্যুৎ
পৰিৱেশৰ উষ্ণতা,পরিবেষ্টিত তাপমাত্রা
বাইপোলাৰ,বাইপোলার
এম্প্লিফিকেশন,পরিবর্ধন
এম্প্লিফায়াৰ,পরিবর্ধক
এম্প্লিফায়াৰৰ কাৰ্যক্ষমতা,পরিবর্ধক দক্ষতা
মাত্ৰাসমূহ,মাত্রা
প্ৰসাৰণ ক্ষীণকৰণ,প্রশস্ততা ক্ষয়
প্ৰসাৰণ মডুলেটেড AM দোলক,প্রশস্ততা মডুলেটেড এএম অসিলেটর
প্ৰসাৰণ মডুলেচন,প্রশস্ততা মড্যুলেশন
প্ৰসাৰণ মডুলেটৰ,প্রশস্ততা মডুলেটর
angstrom একক,অ্যাংস্ট্রম ইউনিট
এনালগ বৰ্তনী,এনালগ সার্কিট
এনালগ কম্পিউটাৰ,এনালগ কম্পিউটার
এনালগ ফিল্টাৰ,এনালগ ফিল্টার
এনালগ মাল্টিমিটাৰ,এনালগ মাল্টিমিটার
এনালগ চুইচ,এনালগ সুইচ
AND গেট,এবং গেট
কৌণিক কম্পাঙ্ক,কৌণিক কম্পাংক
"এনিয়ন, এনিয়ন","anion, anion"
এনিয়েলিং উষ্ণতা,অ্যানিলিং তাপমাত্রা
এনোড,অ্যানোড
এনোড এম্প্লিফায়াৰ,অ্যানোড পরিবর্ধক
এনোডাইন,anodyne
এন্টেনা,অ্যান্টেনা
এন্টেনা উপাদান,অ্যান্টেনা উপাদান
এন্টি-ৰিফ্লেক্টিভ আৱৰণ,বিরোধী প্রতিফলিত আবরণ
এন্টিলগিন এম্প্লিফায়াৰ,অ্যান্টিলগইন পরিবর্ধক
এন্টিৰেজোনেণ্ট চাৰ্কিট,অ্যান্টিরেজোন্যান্ট সার্কিট
দ্বাৰক যুগ,দ্বারক যুগ
ভাৰ্চুৱেল শক্তি,ভার্চুয়াল শক্তি
তাঁৰৰ সংযোগ,তারের সংযোগ
আনুমানিক ভোল্টেজ লাভ,আনুমানিক ভোল্টেজ লাভ
আৰ্মষ্ট্ৰং মডুলেটৰ,আর্মস্ট্রং মডুলেটর
এন্টেনা এৰে,অ্যান্টেনা অ্যারে
"আকাৰৰ অনুপাত, দৃষ্টি অনুপাত","সাইজ রেশিও, অ্যাসপেক্ট রেশিও"
