Kannada,Marathi
ಅಬೆಲಿ ಗುಂಪು,abeli गट
ಅಬೆಲಿ ಗುಂಪು,अबेली गट
ಕೈ,हात
"ಸಂಪೂರ್ಣ, ಸಂಪೂರ್ಣ, ಸ್ಥಿರ, ನಿಖರ","निरपेक्ष, निरपेक्ष, स्थिर, अचूक"
ಸಂಪೂರ್ಣ ಒಮ್ಮುಖ,परिपूर्ण अभिसरण
ಸಂಪೂರ್ಣ ದೋಷ,परिपूर्ण त्रुटी
ಸರ್ವೋಚ್ಚ ಸರ್ವೋಚ್ಚ,सर्वोच्च सर्वोच्च
ಸಂಪೂರ್ಣ ಕಡಿಮೆ,परिपूर्ण सर्वात कमी
ಸಂಪೂರ್ಣ ಮೌಲ್ಯ,परिपूर्ण मूल्य
ಸಂಪೂರ್ಣ ವೇಗ,परिपूर्ण वेग
ಅಮೂರ್ತ ಬೀಜಗಣಿತ,अमूर्त बीजगणित
ಅಮೂರ್ತ ಗುಂಪು ಸಿದ್ಧಾಂತ,अमूर्त गट सिद्धांत
ವೇಗವರ್ಧನೆ,प्रवेग
ಗುರುತ್ವಾಕರ್ಷಣೆಯ ವೇಗವರ್ಧನೆ,गुरुत्वाकर्षण प्रवेग
ಸ್ವೀಕಾರಾರ್ಹ ಆಯ್ಕೆಗಾರ,स्वीकार्य निवडकर्ता
ಸ್ವೀಕಾರಾರ್ಹ ಗುಣಮಟ್ಟದ ಮಟ್ಟ,स्वीकार्य गुणवत्ता पातळी
ಸ್ವೀಕಾರಾರ್ಹ ಆವರಣ,स्वीकार्य परिसर
ಮಾನ್ಯವಾದ ವಿಶ್ವಾಸಾರ್ಹತೆಯ ಮಟ್ಟ,वैध विश्वसनीयता पातळी
ಸ್ವೀಕಾರ ಮಾದರಿ,स्वीकृती नमुना
ಸಂಚಿತ ದೋಷ,संचित त्रुटी
ನಿಖರತೆ,अचूकता
ಅನ್ವಯಿಸಿದ ಬಲ,शक्ती लागू
"ಕ್ರಿಯೆ, ಕಾರ್ಯ","कृती, कृती"
ಕ್ರಿಯೆ ಮತ್ತು ಪ್ರತಿಕ್ರಿಯೆ,क्रिया आणि प्रतिक्रिया
ವಿಮಾ ವಿಜ್ಞಾನ,विमा विज्ञान
ತೀವ್ರ ತ್ರಿಕೋನ,तीव्र त्रिकोण
ಅಸೈಕ್ಲಿಕ್,अॅसायक्लिक
ಒಟ್ಟುಗೂಡಿಸಲು,बेरीज करणे
ಸೇರಿಸುವವನು,जोडणारा
"ಮೊತ್ತ, ಸಂಕಲನ, ಸಂಕಲನ (ಸಿ.), ಸಂಯೋಜಕ (ವಿ.)","बेरीज, बेरीज, बेरीज (c.), बेरीज (v.)"
ಯೋಗದ ಸೂತ್ರ,योगाचे सूत्र
ಸಂಕೀರ್ಣ ಸಂಖ್ಯೆಗಳ ಮೊತ್ತ,जटिल संख्यांची बेरीज
ಕಾರ್ಯಗಳ ಮೊತ್ತ,कार्यांची बेरीज
ಮ್ಯಾಟ್ರಿಕ್ಸ್ ಮೊತ್ತ,मॅट्रिक्सची बेरीज
ಬಹುಪದಗಳ ಮೊತ್ತ,बहुपदांची बेरीज
ಸಂಭವನೀಯತೆಗಳ ಮೊತ್ತ,संभाव्यतेची बेरीज
ವಾಹಕಗಳ ಮೊತ್ತ,वेक्टरची बेरीज
"ಯೋಗ ಪ್ರಮೇಯ, ಬೆರ್ರಿ ಸಿದ್ಧಾಂತ,","बेरीज प्रमेय, बेरी सिद्धांत"
ಸಂಯೋಜಕ ಗುಂಪು,मिश्रित गट
ಸಂಯೋಜಕ ವಿಲೋಮ,additive inverse
ಸೇರಿಸುವಿಕೆ,जोडणी
ಸೇರಿಸುವಿಕೆ,जोडणी
ಪಕ್ಕದ ಮ್ಯಾಟ್ರಿಕ್ಸ್,संलग्नता मॅट्रिक्स
"ಪಕ್ಕದ, ಪಕ್ಕದ, ಪಕ್ಕದ","समीप, समीप, समीप"
ಪಕ್ಕದ ಕೋನ,समीप कोन
ಪಕ್ಕದ ಶೃಂಗ,समीप शिरोबिंदू
ಸಂಯೋಜಿಸಲು,संबद्ध करणे
"ಲಗತ್ತಿಸಲಾದ ಸುತ್ತುವರಿದ,",संलग्न संलग्न
ಸಾಮಾನ್ಯ ನಿರ್ಣಾಯಕ,सामान्य निर्धारक
ಲಗತ್ತಿಸಲಾದ ಭೇದಾತ್ಮಕ ಸಮೀಕರಣ,संलग्न विभेदक समीकरण
ಲಗತ್ತಿಸಲಾದ ಸಮೀಕರಣ,संलग्न समीकरण
ಏಕರೂಪದ ಮ್ಯಾಟ್ರಿಕ್ಸ್,एकसंध मॅट्रिक्स
ಮ್ಯಾಟ್ರಿಕ್ಸ್ ಒಗ್ಗಟ್ಟು,मॅट्रिक्स सहप्रसरण
ಏಕರೂಪದ ಮ್ಯಾಟ್ರಿಕ್ಸ್,एकसंध मॅट्रिक्स
ಸ್ವೀಕಾರಾರ್ಹ ನಿರ್ಧಾರ ಕಾರ್ಯ,स्वीकार्य निर्णय कार्य
ಸ್ವೀಕಾರಾರ್ಹ ಊಹೆ,स्वीकार्य गृहीतक
ವಾಯುಬಲವೈಜ್ಞಾನಿಕ ಶಕ್ತಿ,वायुगतिकीय शक्ती
ವಾಯುಬಲವಿಜ್ಞಾನ,वायुगतिकी
ಏಕರೂಪದ ಜ್ಯಾಮಿತಿ,एकसंध भूमिती
ಏಕರೂಪದ ಮ್ಯಾಪಿಂಗ್,एकसंध मॅपिंग
ಏಕರೂಪದ ರೂಪಾಂತರ,एकसंध परिवर्तन
ಒಟ್ಟು ವೇರಿಯಬಲ್,एकूण चल
"ಬೀಜಗಣಿತ, ಬೀಜಗಣಿತ, ಬೀಜಗಣಿತ, ಬೀಜಗಣಿತ","बीजगणित, बीजगणित, बीजगणित, बीजगणित"
"ಬೀಜದ ಮುಚ್ಚಿದ, ಬೀಜದ","बियाणे बंद, बीजारोपण"
ಬೀಜಗಣಿತದ ಸಮೀಕರಣ,बीजगणितीय समीकरण
ಬೀಜಗಣಿತದ ಅಭಿವ್ಯಕ್ತಿ,बीजगणितीय अभिव्यक्ती
ಬೀಜಗಣಿತದ ಏಕರೂಪತೆ,बीजगणितीय एकरूपता
ಬೀಜಗಣಿತದ ಕಾರ್ಯ,बीजगणितीय कार्य
ಬೀಜಗಣಿತದ ರೇಖಾಗಣಿತ,बीजगणितीय भूमिती
ಬೀಜಗಣಿತದ ಬಹುತ್ವ,बीजगणितीय बहुलता
ಬೀಜಗಣಿತ ವ್ಯವಸ್ಥೆ,बीजगणितीय प्रणाली
ಎಲ್ಲಾ ಪೂರ್ಣಾಂಕ ಸಮಸ್ಯೆ,सर्व-पूर्णांक समस्या
"ನಿಯೋಜನೆ ಸಮಸ್ಯೆ ವ್ಯಾಟ್ ಪ್ರಶ್ನೆ,",असाइनमेंट समस्या वॅट प्रश्न
ವರ್ಣಮಾಲೆಯ ಸಂಕೇತ,वर्णक्रमानुसार नोटेशन
ವರ್ಣಮಾಲೆಯ ಅಕ್ಷರ,वर्णमाला वर्ण
ಪರ್ಯಾಯ ಕೋನಗಳು,पर्यायी कोन
"ಪರ್ಯಾಯ ಏಕರೂಪದ ಪರ್ಯಾಯ ರೂಪ,",पर्यायी एकसंध पर्यायी फॉर्म
ಪರ್ಯಾಯ ಗುಂಪು,पर्यायी गट
ಪರ್ಯಾಯ ಮ್ಯಾಟ್ರಿಕ್ಸ್,पर्यायी मॅट्रिक्स
