Telugu,Gujarati
అబ్బే ఆఫ్ వెస్ట్‌మినిస్టర్,વેસ્ટમિન્સ્ટરના એબી
పదవీ విరమణ,ત્યાગી
బానిసత్వ నిర్మూలన,ગુલામી નાબૂદી
ఆదివాసి,એબોરિજિનલ
అబ్రహం యుగం,અબ્રાહમ યુગ
గైర్హాజరు భూస్వాములు,ગેરહાજર મકાનમાલિકો
అకాడమీ,એકેડમી
అక్ర సమావేశం,અકરા કોન્ફરન્સ
సంపాదన,સંસાધનો
సంస్కారము,સંવર્ધન
అసెల్డామా,એસેલડામા
అచెయన్ (=అచియన్),અચેઅન (=અચિયન)
అచీయన్ లీగ్ (=అచియన్ లీగ్),આચિયન લીગ (=એચિયન લીગ)
అక్రోపోలిస్,એક્રોપોલિસ
ఆక్టా డియుర్నా,એક્ટા દીર્ના
ఆక్టా సెనాటస్,એક્ટા સેનાટસ
యాక్టే అడిషనల్,એક્ટ એડિશનલ
యాక్టివ్ రికార్డ్ (=ప్రస్తుత రికార్డు),સક્રિય રેકોર્ડ (=વર્તમાન રેકોર્ડ)
సాధించేవారి చర్య,પ્રાપ્ત કરનારનું કાર્ય
నష్టపరిహారం మరియు ఉపేక్ష చట్టం,ક્ષતિપૂર્તિ અને વિસ્મૃતિનું કાર્ય
సెటిల్మెంట్ చట్టం,સમાધાનનો અધિનિયમ
ప్రకటన ఒప్పంద ముద్ర,જાહેરાત કરાર સીલ
అడుల్లామైట్స్,અદુલ્લામાઈટસ
విరోధి,વિરોધી
విరోధి,વિરોધી
అయాన్,એઓન
ఏరోరియం,એરેરિયમ
వైమానిక యుద్ధం,હવાઈ યુદ્ધ
ఏటోలియన్ లీగ్,એટોલિયન લીગ
వయస్సు,ઉંમર
వృద్ధాప్యం (=వృద్ధాప్యం),વૃદ્ધત્વ (=વૃદ્ધત્વ)
వృద్ధాప్య ప్రక్రియ,વૃદ્ધત્વ પ્રક્રિયા
అగెలై,અગેલાઈ
శౌర్య యుగం,શૌર્યની ઉંમર
జ్ఞానోదయం వయస్సు,જ્ઞાનની ઉંમર
పెరికిల్స్ వయస్సు,પેરિકલ્સની ઉંમર
కారణం వయస్సు,કારણની ઉંમર
వ్యవసాయం,કૃષિવાદ
వ్యవసాయ ఉద్యమం,કૃષિ આંદોલન
అల్బియాన్,એલ્બિયન
ఆల్బమ్,આલ્બમ
ఆల్డర్మాన్,એલ્ડરમેન
అల్లుడు చేతులు,મોહક શસ્ત્રો
సఖ్యత,સૌમ્યતા
యాంఫిక్యోనిక్ కౌన్సిల్,એમ્ફિક્ટિઓનિક કાઉન્સિલ
యాంఫిక్యోనిక్ లీగ్,એમ્ફિક્ટિઓનિક લીગ
యాంఫీ థియేటర్,એમ્ફીથિયેટર
అమ్రి నల్ గ్రూప్ (కుండల),અમરી નલ જૂથ (માટીના વાસણો)
అనాక్రోనిజం,અનાક્રોનિઝમ
అనాక్రోనిస్టిక్,એનાક્રોનિસ્ટિક
పూర్వీకుడు,પૂર્વજ
పూర్వీకుల ఆరాధన,પૂર્વજની પૂજા
పూర్వీకులు,વંશ
పూర్వీకులు,વંશ
పూర్వీకులు,વંશ
పూర్వీకులు,વંશ
ప్రాచీన పాలన,પ્રાચીન શાસન
ప్రాచీన,પ્રાચીન
పురాతన బల్లాడ్,પ્રાચીન લોકગીત
పురాతన నమ్మకం,પ્રાચીન માન્યતા
ప్రాచీన ఆచారం,પ્રાચીન રિવાજ
పురాతన చరిత్ర,પ્રાચીન ઇતિહાસ
పురాతన స్మారక చిహ్నాలు,પ્રાચીન સ્મારકો
ఉదంతము,ટુચકો
ఏంజెలోట్,એન્જેલોટ
ఏంజెలస్,એન્જલસ
అంజివిన్ (=అంజెవిన్),એન્જેવિન (=એન્જેવિન)
కోణాలు,ખૂણો
ఆంగ్లికన్,એંગ્લિકન
ఆంగ్లికన్ కమ్యూనియన్,એંગ્લિકન કોમ્યુનિયન
ఆంగ్లికనిజం,અંગ્રેજવાદ
ఆంగ్లో-ఫోబ్,એંગ્લો-ફોબ
ఆంగ్లో-ఫోబియా,એંગ્લો-ફોબિયા
ఆంగ్లో-సాక్సన్,એંગ્લો-સેક્સન
ఆంగ్లో-సాక్సోనిజం,એંગ્લો-સેક્સોનિઝમ
అన్నలిస్ట్,એનાલિસ્ટ
అన్నల్స్,ઇતિહાસ
అనుబంధం,જોડાણ
యాంటీ-బెల్లం,એન્ટિ-બેલમ
ముందు తేదీ,તારીખ પહેલાં
మత వ్యతిరేకత,ક્લેરિકલિઝમ વિરોધી
మతాధికారుల వ్యతిరేక చట్టం,કારકુની વિરોધી કાયદો
ప్రాచీనకాలం,પ્રાચીનકાળ
వ్యతిరేక అద్దె,વિરોધી ભાડા
వ్యతిరేక అద్దె,વિરોધી ભાડા
సెమిటిజం వ్యతిరేకత,વિરોધી સેમિટિઝમ
అంజాక్,એન્ઝેક
అపెల్లా,અપેલા
అరలు,અરાલુ
ఆర్చ్ బిషప్,આર્ક બિશપ
ఆర్చ్ డచీ,કમાન ડચી
ఆర్చ్ డ్యూక్,આર્ક ડ્યુક
