English,Punjabi
abacus,abacus
abnormal termination,ਅਸਧਾਰਨ ਸਮਾਪਤੀ
abort,ਅਧੂਰਾ ਛੱਡੋ
absolute,ਅਸੀਮ
absolute address,ਪੂਰਾ ਪਤਾ
absolute addressing,ਪੂਰਨ ਸੰਬੋਧਨ
absolute assembler,ਪੂਰਨ ਅਸੈਂਬਲਰ
absolute code,ਪੂਰਨ ਕੋਡ
absolute command,ਪੂਰਨ ਹੁਕਮ
absolute data,ਪੂਰਨ ਡਾਟਾ
absolute instruction,ਪੂਰਨ ਹਿਦਾਇਤ
absolute mode,ਪੂਰਨ ਮੋਡ
absolute path,ਪੂਰਨ ਮਾਰਗ
absolute programming,ਸੰਪੂਰਨ ਪ੍ਰੋਗਰਾਮਿੰਗ
abstract class,ਐਬਸਟਰੈਕਟ ਕਲਾਸ
abstract data type,ਸੰਖੇਪ ਡਾਟਾ ਕਿਸਮ
abstract machine,ਐਬਸਟਰੈਕਟ ਮਸ਼ੀਨ
abstract symbol,ਸੰਖੇਪ ਚਿੰਨ੍ਹ
abstract syntax,ਸੰਖੇਪ ਸੰਟੈਕਸ
acceptance testing,ਸਵੀਕ੍ਰਿਤੀ ਟੈਸਟਿੰਗ
access authentication,ਪਹੁੰਚ ਪ੍ਰਮਾਣਿਕਤਾ
access code,ਐਕਸੈਸ ਕੋਡ
access control,ਪਹੁੰਚ ਕੰਟਰੋਲ
access scan,ਐਕਸੈਸ ਸਕੈਨ
accessory,ਸਹਾਇਕ
account,ਖਾਤਾ
account ID,ਖਾਤਾ ID
accumulator,ਇਕੱਠਾ ਕਰਨ ਵਾਲਾ
accuracy,ਸ਼ੁੱਧਤਾ
acess,ਪਹੁੰਚ
acess control byte,ਐਕਸੈਸ ਕੰਟਰੋਲ ਬਾਈਟ
acess index,ਐਕਸੈਸ ਇੰਡੈਕਸ
acess key,ਪਹੁੰਚ ਕੁੰਜੀ
acess matrix,ਐਕਸੈਸ ਮੈਟ੍ਰਿਕਸ
acess mode,ਪਹੁੰਚ ਮੋਡ
acess privilege,ਪਹੁੰਚ ਵਿਸ਼ੇਸ਼ਤਾ
acess security,ਸੁਰੱਖਿਆ ਤੱਕ ਪਹੁੰਚ
acess server,ਪਹੁੰਚ ਸਰਵਰ
acess time,ਪਹੁੰਚ ਦਾ ਸਮਾਂ
acknowledgement,ਮਾਨਤਾ
acoustics,ਧੁਨੀ ਵਿਗਿਆਨ
acronym,ਸੰਖੇਪ ਸ਼ਬਦ
action message,ਕਾਰਵਾਈ ਸੁਨੇਹਾ
activation,ਸਰਗਰਮੀ
active server page (ASP),ਐਕਟਿਵ ਸਰਵਰ ਪੇਜ (ਏਐਸਪੀ)
active version,ਕਿਰਿਆਸ਼ੀਲ ਸੰਸਕਰਣ
acyclic,acyclic
acyclic graph,acyclic ਗ੍ਰਾਫ਼
Ada language,ਅਦਾ ਭਾਸ਼ਾ
adapter,ਅਡਾਪਟਰ
add,ਸ਼ਾਮਲ ਕਰੋ
add file,ਫਾਇਲ ਸ਼ਾਮਿਲ ਕਰੋ
add operation,ਕਾਰਵਾਈ ਸ਼ਾਮਲ ਕਰੋ
adder,ਜੋੜਨ ਵਾਲਾ
address,ਪਤਾ
address bus,ਪਤਾ ਬੱਸ
address file,ਐਡਰੈੱਸ ਫਾਈਲ
address format,ਪਤਾ ਫਾਰਮੈਟ
address generator,ਪਤਾ ਜਨਰੇਟਰ
address line,ਐਡਰੈੱਸ ਲਾਈਨ
address mapping,ਪਤਾ ਮੈਪਿੰਗ
address pointer,ਪਤਾ ਸੰਕੇਤਕ
address register,ਪਤਾ ਰਜਿਸਟਰ
address resolution,ਪਤਾ ਹੱਲ
address translation,ਪਤਾ ਅਨੁਵਾਦ
addressed memory,ਸੰਬੋਧਿਤ ਮੈਮੋਰੀ
addressing,ਸੰਬੋਧਨ
adequacy criteria,ਅਨੁਕੂਲਤਾ ਦੇ ਮਾਪਦੰਡ
adjoint,adjoint
administration,ਪ੍ਰਸ਼ਾਸਨ
administrator,ਪ੍ਰਬੰਧਕ
adobe acrobat,ਅਡੋਬ ਐਕਰੋਬੈਟ
adobe photoshop,ਅਡੋਬ ਫੋਟੋਸ਼ਾਪ
