Hindi,English
विफलन,Abort
विफलन कालद,Abort timer
निरपेक्ष पता,Absolute address
निरपेक्ष पताभिगमन,Absolute addressing
निरपेक्ष कोडांतरक,Absolute assembler
निरपेक्ष कूट,Absolute code
निरपेक्ष कूटलेखन,Absolute coding
निरपेक्ष समादेश,Absolute command
निरपेक्ष निर्देशांक,Absolute coordinate
निरपेक्ष आंकड़े,Absolute data
निरपेक्ष त्रुटि,Absolute error
निरपेक्ष व्यंजक,Absolute expression
निरपेक्ष अनुदेश,Absolute instruction
निरपेक्ष भारक,Absolute loader
निरपेक्ष आदेश,Absolute order
निरपेक्ष क्रमादेशन,Absolute programming
निरपेक्ष पद,Absolute term
निरपेक्ष मान,Absolute value
निरपेक्ष सदिश,Absolute vector
" सारांश , अमूर्त",Abstract
" सारांशन , अमूर्तकरण ,  साराहरण",Abstracting
अमूर्त प्रतीक,Abstract symbol
त्वरण अवधि,Acceleration period
त्वरण काल,Acceleration time
उच्चारण चिह्न,Accent
स्वीकरण परीक्षण,Acceptance test
अभिगम,Access
अभिगम बाहु,Access arm
अभिगम व्यवस्था,Access arrangement
अभिगम प्राधिकारक,Access authority
अभिगम शुल्क,Access charge
अभिगम वर्ग,Access class
अभिगम आँकड़ासंचय प्रबंध,Access data base management
अभिगम परिवेश,Access environment
अभिगम अंतराल,Access gap
अभिगम सूचक,Access index
अभिगम लाइन,Access line
अभिगम यांत्रिकत्व,Access mechanism
अभिगम विधि,Access method
अभिगम विधि नेमका,Access method routine
अभिगम विधा,Access mode
अभिगम अधिकार,Access right
अभिगम क्रमवीक्षण,Access scan
अभिगम काल,Access time
लेखा कार्य,Accounting
लेखाकार्य वित्त तंत्र,Accounting finance system
लेखा यंत्र,Accounting machine
खाता संख्या,Account number
संचयी पुनरुत्पादक,Accumulating reproducer
संचायक,Accumulator
संचायक पंजी,Accumulator register
संचायक विस्थापन अनुदेश,Accumulator shift instruction
परिशुद्धता,Accuracy
परिशुद्धता नियंत्रण संप्रतीक,Accuracy control character
परिशुद्धता नियंत्रण तंत्र,Accuracy control system
उत्कृष्ठ मार्गदर्शी,Ace pilot
पावती संप्रतीक,Acknowledge character
ध्वनिक युग्मक,Acoustic coupler
ध्वनिक युग्मन,Acoustic coupling
ध्वनिक विलंब लाइन,Acoustic delay line
ध्वनिक स्मृति,Acoustic memory
ध्वनिक मोडेम,Acoustic modem
ध्वनिक संकेत,Acoustic signal
ध्वनिक भंडारण,Acoustic storage
परिवर्णी शब्द,Acronym
क्रिया,Action
क्रिया चक्र,Action cycle
क्रिया लाइन,Action line
क्रिया संदेश,Action message
क्रिया विनिर्देश,Action specification
सक्रियण,Activation
सक्रिय,Active
सक्रिय संचिका,Active file
सक्रिय लाइन,Active line
सक्रिय कड़ी,Active link
सक्रिय प्रधान संचिका,Active master file
सक्रिय प्रधान मद,Active master item
सक्रिय उपग्रह,Active satellite
सक्रिय केन्द्र,Active station
सक्रिय भंडारण,Active storage
सक्रियता,Activity
सक्रियता स्तर,Activity level
सक्रियता भारण,Activity loading
सक्रियता अनुपात,Activity ratio
निरपेक्ष पता,Actual address (=absolute address)
निरपेक्ष कूट,Actual code (=absolute code)
वास्तविक आँकडा स्थानांतरण दर,Actual data transfer rate
वास्तविक दशमलव बिन्दु,Actual decimal point
प्रभावी अनुदेश,Actual instruction (=effective instruction)
वास्तविक कुंजी,Actual key
वास्तविक काल,Actual time
वास्तविक कार्य काल,Actual work time
प्रवर्तक संकेत,Actuating signal
अनुकूलनीयता,Adaptability
अनुकूलित्र,Adapter
अनुकूली प्रणाल नियतन,Adaptive channel allocation
अनुकूली समाकलन,Adaptive integration
अनुकूली अनुप्रस्थ तुल्यकारक,Adaptive transversal equalizer
योजित प्रविष्ट,Added entry
योज्य,Addend
योजक,Adder
योजक व्यवकलक,Adder subtracter
योजी संचिका,Add file
विशिष्ट संप्रतीक,Additional character (= special character)
योग अभिलेख,Addition recorder
योग सारणी,Addition table
योज्य गुण,Additive attribute
योग विधा,Add mode
योग संक्रिया,Add operation
पता,Address
पतायोग्यता माप,Addressability measure
