Gujarati,Malayalam
વેસ્ટમિન્સ્ટરના એબી,വെസ്റ്റ്മിൻസ്റ്ററിലെ ആബി
ત્યાગી,ഒഴിഞ്ഞുമാറുക
ગુલામી નાબૂદી,അടിമത്തം നിർത്തലാക്കൽ
એબોરિજિનલ,ആദിവാസികൾ
અબ્રાહમ યુગ,അബ്രഹാം യുഗം
ગેરહાજર મકાનમાલિકો,ഹാജരാകാത്ത ഭൂവുടമകൾ
એકેડમી,അക്കാദമി
અકરા કોન્ફરન્સ,അക്ര സമ്മേളനം
સંસાધનો,സമാഹരണങ്ങൾ
સંવર્ધન,സംസ്കരണം
એસેલડામા,അസെൽഡാമ
અચેઅન (=અચિયન),അച്ചായൻ (=അച്ചിയൻ)
આચિયન લીગ (=એચિયન લીગ),അച്ചിയൻ ലീഗ് (=അച്ചിയൻ ലീഗ്)
એક્રોપોલિસ,അക്രോപോളിസ്
એક્ટા દીર્ના,ആക്റ്റ ദിയുർന
એક્ટા સેનાટસ,ആക്റ്റ സെനറ്റസ്
એક્ટ એડિશનલ,ആക്റ്റ് അഡീഷണൽ
સક્રિય રેકોર્ડ (=વર્તમાન રેકોર્ડ),സജീവ റെക്കോർഡ് (=നിലവിലെ റെക്കോർഡ്)
પ્રાપ્ત કરનારનું કાર્ય,നേടിയെടുക്കുന്നവരുടെ പ്രവർത്തനം
ક્ષતિપૂર્તિ અને વિસ્મૃતિનું કાર્ય,നഷ്ടപരിഹാരത്തിന്റെയും മറവിയുടെയും പ്രവർത്തനം
સમાધાનનો અધિનિયમ,സെറ്റിൽമെന്റ് നിയമം
જાહેરાત કરાર સીલ,പരസ്യ കരാർ മുദ്ര
અદુલ્લામાઈટસ,അഡുല്ലമൈറ്റുകൾ
વિરોધી,എതിരാളി
વિરોધી,എതിരാളി
એઓન,അയോൺ
એરેરિયમ,എയറേറിയം
હવાઈ યુદ્ધ,ആകാശ യുദ്ധം
એટોલિયન લીગ,എറ്റോലിയൻ ലീഗ്
ઉંમર,വയസ്സ്
વૃદ્ધત્વ (=વૃદ્ધત્વ),വാർദ്ധക്യം (=വാർദ്ധക്യം)
વૃદ્ધત્વ પ્રક્રિયા,പ്രായമാകൽ പ്രക്രിയ
અગેલાઈ,അഗെലൈ
શૌર્યની ઉંમર,ധീരതയുടെ പ്രായം
જ્ઞાનની ઉંમર,എൻഗ്ലൈറ്റ്മെന്റ് പ്രായം
પેરિકલ્સની ઉંમર,പെരിക്കിൾസിന്റെ പ്രായം
કારણની ઉંમર,യുക്തിയുടെ പ്രായം
કૃષિવાદ,കാർഷികവാദം
કૃષિ આંદોલન,കാർഷിക പ്രസ്ഥാനം
એલ્બિયન,ആൽബിയോൺ
આલ્બમ,ആൽബം
એલ્ડરમેન,ആൽഡർമാൻ
મોહક શસ્ત્રો,വശീകരിക്കുന്ന ആയുധങ്ങൾ
સૌમ્યતા,അമിറ്റി
એમ્ફિક્ટિઓનિક કાઉન્સિલ,ആംഫിക്റ്റോണിക് കൗൺസിൽ
એમ્ફિક્ટિઓનિક લીગ,ആംഫിക്റ്റോണിക് ലീഗ്
એમ્ફીથિયેટર,ആംഫി തിയേറ്റർ
અમરી નલ જૂથ (માટીના વાસણો),അമ്രി നാൽ ഗ്രൂപ്പ് (മൺപാത്രങ്ങൾ)
અનાક્રોનિઝમ,അനാക്രോണിസം
