Hindi,Bengali
अपसामान्य,অস্বাভাবিক
विफलन,গর্ভপাত
" अपघर्षण , घिसाई",ঘর্ষণ
" असंलग्न , अचानक, सहसा   , विच्छिन्न",আকস্মিক
निरपेक्ष क्षेत्र सामर्थ्य,পরম ক্ষেত্র শক্তি
परम ताप,পরম তাপমাত্রা
निरपेक्ष मान,পরম মান
"अवशोषित करना, अवशोषण करना",শোষণ
अवशोषण गुणांक,শোষণ গুণাঙ্ক
अवशोषण हानि,শোষণ ক্ষতি
" अमूर्त , सारांश, सार, संक्षेप",বিমূর্ত
त्वरणमापी,অ্যাক্সিলোমিটার
स्वीकृति परीक्षण,স্বীকৃতি পরীক্ষা
अभिगम,অ্যাক্সেস
अभिगम नियंत्रण,প্রবেশাধিকার নিয়ন্ত্রণ
अभिगम बिंदु,এক্সেস পয়েন্ট
अभिगम काल,প্রবেশাধিকার সময়
अभिगम्यता,অ্যাক্সেসযোগ্যতা
संचायक सेल,একুমুলেটর সেল
यथार्थता,সঠিকতা
यथार्थ,নির্ভুল
अवर्णक लेन्स,অ্যাক্রোমেটিক লেন্স
"अम्ल, ऐसिड",অ্যাসিড
अम्लसह,অ্যাসিড প্রুফ
अम्लता,অম্লতা
"पावती द्वयंक, पावती बिट",স্বীকৃতি বিট
ध्वानिक,অ্যাকোস্টিক
ध्वानिक संचार,অ্যাকোস্টিক যোগাযোগ
ध्वानिक विसरण,অ্যাকোস্টিক প্রসারণ
ध्वानिक समकारी,অ্যাকোস্টিক ইকুয়ালাইজার
"ध्वानिक पुनर्भरण, ध्वानिक पुनर्निवेश",অ্যাকোস্টিক প্রতিক্রিয়া
"ध्वानिक फिल्टर, ध्वानिक निस्यंदक",অ্যাকোস্টিক ফিল্টার
ध्वानिक प्रतिबाधा,শব্দের সংরোধ
"ध्वानिक आवरण, ध्वानिक प्रच्छादन",অ্যাকোস্টিক মাস্কিং
ध्वानिक षक्ति,অ্যাকোস্টিক শক্তি
ध्वानिक गुणधर्म,অ্যাকোস্টিক সম্পত্তি
ध्वानिक प्रतिघात,অ্যাকোস্টিক রিঅ্যাক্ট্যান্স
ध्वानिक प्रतिवर्त,অ্যাকোস্টিক রিফ্লেক্স
ध्वानिक टाइल,অ্যাকোস্টিক টাইল
ध्वानिक तरंग,অ্যাকোস্টিক তরঙ্গ
ध्वानिक अवशोषण गुणांक,শাব্দিক শোষণ
ध्वानिक                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            क्षीणनांक,শাব্দিক মনোযোগ ধ্রুবক
ध्वानिक अवमंदन,শাব্দিক স্যাঁতসেঁতে
ध्वानिक विलंब लाइन,শাব্দিক বিলম্ব লাইন
ध्वानिक विरूपण,শাব্দিক বিকৃতি
ध्वनि-वाहिनी,শাব্দিক নালী
ध्वानिक ऊर्जा,শাব্দিক শক্তি
ध्वानिक पुनर्निवेश,শাব্দিক প্রতিক্রিয়া
"ध्वानिक फिल्टर, ध्वानिक  निस्यंदक",শাব্দিক ফিল্টার
ध्वानिक प्रतिबाधा,শাব্দিক প্রতিবন্ধকতা
ध्वानिक संचरण नियतांक,শাব্দিক প্রচার ধ্রুবক
ध्वानिक प्रतिरोध,শাব্দিক প্রতিরোধের
ध्वानिकतः रुद्ध,শাব্দিকভাবে অন্তরক
"ध्वानिकी, ध्वनि विज्ञान",অ্যাকোস্টিকস
"अधिग्रहण, अर्जन, उपार्जन",অধিগ্রহণ
