Odiya,Telugu
ୱେଷ୍ଟମିନିଷ୍ଟରର ଆବି |,అబ్బే ఆఫ్ వెస్ట్‌మినిస్టర్
ଅବକ୍ଷୟ,పదవీ విరమణ
ଦାସତ୍ୱ ରଦ୍ଦ,బానిసత్వ నిర్మూలన
ଆଦିବାସୀ,ఆదివాసి
ଅବ୍ରହାମ ଏରା,అబ్రహం యుగం
ଅନୁପସ୍ଥିତ ଜମିଦାରମାନେ |,గైర్హాజరు భూస్వాములు
ଏକାଡେମୀ |,అకాడమీ
ଆକ୍ରା ସମ୍ମିଳନୀ |,అక్ర సమావేశం
ଆକ୍ରୁଏଲ୍ |,సంపాదన
ଆକଲଚ୍ୟୁଚର୍,సంస్కారము
ଆକେଲଡାମା |,అసెల్డామా
ଆଖିଆନ୍ (= ଆଚିଆନ୍),అచెయన్ (=అచియన్)
ଆଚିଆନ୍ ଲିଗ୍ (= ଆଚିଆନ୍ ଲିଗ୍),అచీయన్ లీగ్ (=అచియన్ లీగ్)
ଆକ୍ରୋପଲିସ୍ |,అక్రోపోలిస్
ଆକ୍ଟା ଡିଆର୍ନା |,ఆక్టా డియుర్నా
ଆକ୍ଟା ସେନାଟସ୍ |,ఆక్టా సెనాటస్
ଆକ୍ଟ ଆଡେଲ୍ |,యాక్టే అడిషనల్
ସକ୍ରିୟ ରେକର୍ଡ (= ସାମ୍ପ୍ରତିକ ରେକର୍ଡ),యాక్టివ్ రికార్డ్ (=ప్రస్తుత రికార్డు)
ଆଟେଣ୍ଡର୍ ଆକ୍ଟ |,సాధించేవారి చర్య
କ୍ଷତିପୂରଣ ଏବଂ ବିସ୍ମୟର ନିୟମ |,నష్టపరిహారం మరియు ఉపేక్ష చట్టం
ସମାଧାନ ନିୟମ,సెటిల్మెంట్ చట్టం
ବିଜ୍ଞାପନ ଚୁକ୍ତି ସିଲ୍ |,ప్రకటన ఒప్పంద ముద్ర
ଆଡୁଲାମାଇଟ୍ସ |,అడుల్లామైట్స్
ଶତ୍ରୁ,విరోధి
ଶତ୍ରୁ,విరోధి
ଆଓନ୍,అయాన్
ଏରାରିୟମ୍ |,ఏరోరియం
ବାୟୁ ଯୁଦ୍ଧ |,వైమానిక యుద్ధం
ଆଟୋଲିଆନ୍ ଲିଗ୍ |,ఏటోలియన్ లీగ్
ବୟସ,వయస్సు
ବାର୍ଦ୍ଧକ୍ୟ (= ବାର୍ଦ୍ଧକ୍ୟ),వృద్ధాప్యం (=వృద్ధాప్యం)
ବାର୍ଦ୍ଧକ୍ୟ ପ୍ରକ୍ରିୟା |,వృద్ధాప్య ప్రక్రియ
ଆଗେଲାଇ |,అగెలై
Ival ିଭାଲିର ବୟସ |,శౌర్య యుగం
ଜ୍ଞାନର ବୟସ |,జ్ఞానోదయం వయస్సు
ପେରିକଲ୍ସର ବୟସ |,పెరికిల్స్ వయస్సు
କାରଣର ବୟସ |,కారణం వయస్సు
କୃଷିବାଦ,వ్యవసాయం
କୃଷି ଆନ୍ଦୋଳନ |,వ్యవసాయ ఉద్యమం
ଆଲବିଅନ୍ |,అల్బియాన్
ଆଲବମ୍,ఆల్బమ్
ଆଲଡରମ୍ୟାନ୍ |,ఆల్డర్మాన్
ଭ୍ରାନ୍ତ ବାହୁ |,అల్లుడు చేతులు
ବନ୍ଧୁତା,సఖ్యత
ଆମ୍ଫିକ୍ଟୋନିକ୍ ପରିଷଦ |,యాంఫిక్యోనిక్ కౌన్సిల్
ଆମ୍ଫିକ୍ଟୋନିକ୍ ଲିଗ୍ |,యాంఫిక్యోనిక్ లీగ్
ଆମ୍ଫିଥେଟର,యాంఫీ థియేటర్
ଅମ୍ରି ନାଲ୍ ଗୋଷ୍ଠୀ (କୁମ୍ଭାରର),అమ్రి నల్ గ్రూప్ (కుండల)
ଆନାକ୍ରୋନିଜିମ୍ |,అనాక్రోనిజం
ଆନାକ୍ରୋନିଷ୍ଟିକ୍ |,అనాక్రోనిస్టిక్
ପୂର୍ବପୁରୁଷ,పూర్వీకుడు
ପୂର୍ବପୁରୁଷ ପୂଜା |,పూర్వీకుల ఆరాధన
ପିତୃପୁରୁଷ,పూర్వీకులు
ପିତୃପୁରୁଷ,పూర్వీకులు
ପିତୃପୁରୁଷ,పూర్వీకులు
ପିତୃପୁରୁଷ,పూర్వీకులు
ପ୍ରାଚୀନ ଶାସନ,ప్రాచీన పాలన
ପ୍ରାଚୀନ,ప్రాచీన
ପ୍ରାଚୀନ ବାଲାଡ୍ |,పురాతన బల్లాడ్
ପ୍ରାଚୀନ ବିଶ୍ୱାସ,పురాతన నమ్మకం
ପ୍ରାଚୀନ ପ୍ରଥା,ప్రాచీన ఆచారం
ପ୍ରାଚୀନ ଇତିହାସ,పురాతన చరిత్ర
ପ୍ରାଚୀନ ସ୍ମାରକୀ,పురాతన స్మారక చిహ్నాలు
ଉପନ୍ୟାସ,ఉదంతము
ଆଞ୍ଜେଲଟ୍ |,ఏంజెలోట్
ଆଞ୍ଜେଲସ୍ |,ఏంజెలస్
ଆଞ୍ଜେଭିନ୍ (= ଆଞ୍ଜେଭିନ୍),అంజివిన్ (=అంజెవిన్)
କୋଣ,కోణాలు
ଅଙ୍ଗଲିକାନ୍ |,ఆంగ్లికన్
ଅଙ୍ଗଲିକାନ୍ ଯୋଗାଯୋଗ |,ఆంగ్లికన్ కమ్యూనియన్
ଅଙ୍ଗଲିକାନିଜିମ୍ |,ఆంగ్లికనిజం
ଆଙ୍ଗ୍ଲୋ-ଫୋବେ |,ఆంగ్లో-ఫోబ్
ଆଙ୍ଗ୍ଲୋ-ଫୋବିୟା |,ఆంగ్లో-ఫోబియా
ଆଙ୍ଗ୍ଲୋ-ସାକ୍ସନ୍ |,ఆంగ్లో-సాక్సన్
ଆଙ୍ଗ୍ଲୋ-ସାକ୍ସୋନିଜିମ୍ |,ఆంగ్లో-సాక్సోనిజం
ଆନ୍ନାଲିଷ୍ଟ |,అన్నలిస్ట్
ବାର୍ଷିକ,అన్నల్స్
ସଂଲଗ୍ନ,అనుబంధం
ଆଣ୍ଟେ-ବେଲମ୍ |,యాంటీ-బెల్లం
ଆଣ୍ଟେ ତାରିଖ |,ముందు తేదీ
ଧର୍ମ-ବିରୋଧୀ,మత వ్యతిరేకత
ଧର୍ମ-ବିରୋଧୀ ନିୟମ,మతాధికారుల వ్యతిరేక చట్టం
ପ୍ରାଚୀନତା,ప్రాచీనకాలం
ଆଣ୍ଟି-ଭଡା,వ్యతిరేక అద్దె
ଆଣ୍ଟି-ଭଡା,వ్యతిరేక అద్దె
ବିରୋଧୀ ଦଳ,సెమిటిజం వ్యతిరేకత
ଅଞ୍ଜାକ |,అంజాక్
ଆପେଲା |,అపెల్లా
ଅରୁଲୁ |,అరలు
ଆର୍ ବିଶପ୍ |,ఆర్చ్ బిషప్
ଆର୍ ଡୁଚି |,ఆర్చ్ డచీ
ଆର୍ ଡ୍ୟୁକ୍ |,ఆర్చ్ డ్యూక్
ଆର୍କିଫ୍ (= ଅଭିଲେଖାଗାର ସଂଗ୍ରହ),ఆర్కైఫ్ (=ఆర్కైవల్ సేకరణ)
ଆର୍କିପିସ୍କୋପେଟ୍ |,ఆర్కిపిస్కోపేట్
ଆଭିମୁଖ୍ୟ,దొర
ଆରିଷ୍ଟୋକ୍ରାଟ୍ |,దొర
