Malayalam,Kannada
ശീതീകരണം,ದಾಟುವುದು
ചുരുക്കല്,ಸಂಕ್ಷಿಪ್ತ ರೂಪ
പിടിച്ചുകൊണ്ടുപോകല്,ಅಪಹರಣ
Aveyne,ನಿರುತ್ಸಾಹಗೊಳಿಸುವಿಕೆ
കഴിവ്,ಸಾಮರ್ಥ್ಯ
Ab initio,ಎಬಿ ಇನಿಶಿಯೋ
കഴിവുള്ള,ಸಮರ್ಥ
വിലക്ഷണമായ,ಅಸಹಜ
നിർത്തലാക്കൽ,ನಿರ್ಮೂಲನ
നിർത്തലാക്കൽ പോസ്റ്റ്,ರದ್ದುಮಾಡುವಿಕೆ
മുകളിൽ സൂചിപ്പിച്ച,ಮೇಲೆ ತಿಳಿಸಿದ
മുകളിൽ ഉദ്ധരിച്ചത്,ಮೇಲೆ ಉಲ್ಲೇಖಿಸಲಾಗಿದೆ
മുകളിൽ പറഞ്ഞത്,ಮೇಲೆ ಹೇಳಿದರು
അസാന്നിദ്ധം,ಅನುಪಸ್ಥಿತಿ
ഹാജരാകാത്ത,ಗೈರುಹಾಜರಿ
ഹാജരാകാത്തീയത,ಗೈರುಹಾಜರಿ
ഹാജരാകാതിരിക്കുക,ಗೈರುಹಾಜರಿ ಹೇಳಿಕೆ
കേശവം,ಸಂಪೂರ್ಣ
കേവല കുത്തക,ಸಂಪೂರ್ಣ ಏಕಸ್ವಾಮ್ಯ
കേവല ഉടമസ്ഥാവകാശം,ಸಂಪೂರ್ಣ ಮಾಲೀಕತ್ವ
ആഗിരണം,ಹೀರುವಿಕೆ
വേര്പെട്ടുനില്ക്കുന്ന,ಅಮೂರ್ತ
അനുഗമിക്കുന്നു,ಅಮೂರ್ತತೆ
അസംബന്ധം,ಅಸಂಬದ್ಧ
സമൃദ്ധി,ಹೇರಳವಾಗಿರುವುದು
അധികാര ദുരുപയോഗം,ಅಧಿಕಾರದ ದುರುಪಯೋಗ
അധിക്ഷേപകരമായ ഭാഷ,ನಿಂದಕ ಭಾಷೆ
പണ്ഡിതോചിതമായ,ಶೈಕ್ಷಣಿಕ
അക്കാദമിക് ചർച്ച,ಶೈಕ್ಷಣಿಕ ಚರ್ಚೆ
അക്കാദമിക് അവധി,ಶೈಕ್ಷಣಿಕ ರಜೆ
വിദ്യാഭ്യാസ യോഗ്യത,ಶೈಕ್ಷಣಿಕ ಅರ್ಹತೆ
അക്കാദമിക് റെക്കോർഡ്,ಶೈಕ್ಷಣಿಕ ದಾಖಲೆ
നിര്വഹിക്കുക,ತಪ್ಪೊಟ್ಟು
അംഗീകരിക്കുക,ಒಪ್ಪಿಕೊಳ್ಳಿ
കൈക്കൊള്ളല്,ಸ್ವೀಕಾರಾರ್ಹತೆ
ഓഫീസിന്റെ സ്വീകാര്യത,ಕಚೇರಿಯ ಸ್ವೀಕಾರ
ടെണ്ടർ സ്വീകാര്യത,ಟೆಂಡರ್ ಸ್ವೀಕಾರ
പ്രവേശനം,ಪ್ರವೇಶ
അപേക്ഷ,ಪ್ರವೇಶ
ഉപസാധനം,ಪರಿಕರ
ആകസ്മികത,ಅಪಘಾತ
ACCLIMATIES,ಒಗ್ಗೂಡಿಸುವಿಕೆ
സ്ഥലസൗകരം,ಸೌಕರ್ಯ
അനുഗമിച്ചു,ಜೊತೆಗಾರ
അക്കോര്,ಸ ೦ ಗೀತ
അഭാവം,ಪ್ರೇಕ್ಷಕ
അക്കാരണത്താല്,ಹಾಗೆಯೇ
കണക്ക്,ಖಾತೆ
ഉത്തരവാദിത്തം,ಹೊಣೆಗಾರಿಕೆ
ഉത്തരവാദിയായ,ಹೊಣೆಗಾರ
അക്കൗണ്ടൻസി,ಹೊಣೆ
കണക്കെഴുത്തുകാരി,ಲೆಕ್ಕಪರಿಶೋಧಕ
അക്കൗണ്ട്,ಇದಕ್ಕೆ ಖಾತೆ
അക്കൗണ്ട് തല,ಖಾತೆ
വർദ്ധിച്ച ആനുകൂല്യം,ಸಂಚಿತ ಲಾಭ
വർദ്ധിച്ച പെൻഷൻ,ಸಂಚಿತ ಪಿಂಚಣಿ
കൂന്വാരം,ಸಂಗ್ರಹಣೆ
കൃതത,ನಿಖರತೆ
സൂക്ഷ്മമായ,ನಿಖರವಾದ
ബോധിപ്പിക്കുന്ന,ಆರೋಪಿಸು
കുറ്റക്കാരന്,ಆರೋಪಿ
നേട്ടം,ಸಾಧನೆ
അംഗീകാരം,ಸ್ವೀಕೃತಿ
അംഗീകാരത്തിന്റെ,ಸ್ವೀಕೃತಿ ಕಾರಣ
പരിചയം,ಪರಿಚಯ
കൈവശപ്പെടുത്തൽ,ಸ್ವಾಧೀನಪಡಿಸಿಕೊಳ್ಳುವುದು
കുറ്റപാട്വിൽപ്പന,ಸ್ವಾಧೀನಪಡಿಸಿಕೊಳ್ಳುವುದು
പവര്ത്തിക്കുക,ಕಯ
അഭിനയ അലവൻസ്,ನಟನಾ ಭತ್ಯೆ
പവര്ത്തി,ಕ್ರಿಯಾಶೀಲತೆ
പ്രവർത്തന പദ്ധതി,ಕಾರ್ಯ ತಂತ್ರ
സജീവമായ,ಸಕ್ರಿಯ
സജീവമായി,ಸಕ್ರಿಯವಾಗಿ
ചുറുചുറുക്കുള്ളവള്,ಕಾರ್ಯಕರ್ತ
ദൈവിക പ്രവൃത്തി,ಭಗವಂತನ ಆಟ
ദുരാചാരത്തിന്റെ പ്രവർത്തനം,ದುಷ್ಕೃತ್ಯದ ಕ್ರಿಯೆ
കമ്മീഷന്റെയും ഒഴിവാക്കലിന്റെയും നിയമം,ಆಯೋಗ ಮತ್ತು ಲೋಪದ ಕ್ರಿಯೆ
യഥാര്ത്ഥത്തിലുള്ള,ನಿಜವಾದ
വാസ്തവങ്ങൾ,ವಾಸ್ತವಿಕ
പൊരുത്തപ്പെടുത്തൽ,ರೂಪಾಂತರ
കൂട്ടല്,ಸೇರ್ಪಡೆ
അധിക നിരക്ക്,ಹೆಚ್ಚುವರಿ ಶುಲ್ಕ
അധിക ഫണ്ട്,ಹೆಚ್ಚುವರಿ ನಿಧಿ
അധിക ഗ്രാന്റ്,ಹೆಚ್ಚುವರಿ ಅನುದಾನ
അധിക വിവരം,ಹೆಚ್ಚುವರಿ ಮಾಹಿತಿ
അധിക വേതനം,ಹೆಚ್ಚುವರಿ ವೇತನ
കൂട്ടിച്ചേർക്കലും മാറ്റവും,ಸೇರ್ಪಡೆ ಮತ್ತು ಬದಲಾವಣೆ
അഭിസംബോധന ചെയ്യുക,ಭಾಷಣ
വിലാസശാല,ವಿಳಾಸದಾರ
സ്വാഗത വിലാസം,ಸ್ವಾಗತದ ವಿಳಾಸ
പരാപ്തമായ,ಸಮರ್ಪಕ
ഇത് പാലിക്കുക,ಅಂಟಿಕೊಳ್ಳಿ
ആഡ് ഹോക്ക്,ತಾತ್ಕಾಲಿಕ
AD HOC ക്ലെയിം,ತಾತ್ಕಾಲಿಕ ಹಕ್ಕು
താൽക്കാലിക സമിതി,ತಾತ್ಕಾಲಿಕ ಸಮಿತಿ
താൽക്കാലിക വർദ്ധനവ്,ತಾತ್ಕಾಲಿಕ ಹೆಚ್ಚಳ
പരസ്യ ഹോക് പേയ്മെന്റ്,ತಾತ್ಕಾಲಿಕ ಪಾವತಿ
തൊട്ടുകിടക്കുന്ന,ಪಕ್ಕದ
തൊട്ടടുത്ത് (= തുടർച്ചയായ),ಪಕ್ಕದ (= ಸಮೀಪ)
വചലിക്കുക,ಮುಂದೂಡಿಕೆ
നീരസം ചലനം,ಮುಂದೂಡುವ ಚಲನೆ
Cakudgge,ತೀರ್ಪು
ശിക്ഷിക്കപ്യം,ತೀರ್ಮಾನಿಸು
വിധിന്യായ,ಯಜಮಾನ
Adjudication,ತೀರ್ಪುಗಾರ
കമപ്പെടുത്തല്,ಹೊಂದಾಣಿಕೆ
രാജംഭരിക്കുക,ನಿರ್ವಹಿಸು
സത്യപ്രതിഷേധിക്കുന്നു,ಪ್ರಮಾಣವಚನ ಸ್ವೀಕರಿಸಿ
ഭരണകൂടം,ಆಡಳಿತ
നീതിയുടെ ഭരണം,ನ್ಯಾಯದ ಆಡಳಿತ
ഭരണപരമായത്,ಆಡಳಿತಕಾರಿಯಾದ
അഡ്മിനിസ്ട്രേറ്റീവ് പ്രവർത്തനം,ಆಡಳಿತಾಧಿಕಾರಿ ಕ್ರಿಯೆ
അഡ്മിനിസ്ട്രേറ്റീവ് മൂല്യനിർണ്ണയം,ಆಡಳಿತಾಧಿಕಾರಿ ಮೌಲ್ಯಮಾಪನ
അഡ്മിനിസ്ട്രേറ്റീവ് അംഗീകാരം,ಆಡಳಿತಾಧಿಕಾರಿ ಅನುಮೋದನೆ
അഡ്മിനിസ്ട്രേറ്റീവ് അതോറിറ്റി,ಆಡಳಿತ ಪ್ರಾಧಿಕಾರದ
അഡ്മിനിസ്ട്രേറ്റീവ് നിയന്ത്രണം,ಆಡಳಿತ ನಿಯಂತ್ರಣ
അഡ്മിനിസ്ട്രേറ്റീവ് തീരുമാനം,ಆಡಳಿತಾತ್ಮಕ ನಿರ್ಧಾರ
അഡ്മിനിസ്ട്രേറ്റീവ് വകുപ്പ്,ಆಡಳಿತ ಇಲಾಖೆ
അഡ്മിനിസ്ട്രേറ്റീവ് ഹെഡ്,ಆಡಳಿತಾಧಿಕಾರಿ
അഡ്മിനിസ്ട്രേറ്റീവ് ആസ്ഥാനം,ಆಡಳಿತ ಕೇಂದ್ರ ಕಚೇರಿ
ഭരണപരമായ നടപടികൾ,ಆಡಳಿತಾತ್ಮಕ ಕ್ರಮಗಳು
ഭരണപരമായ ശക്തി,ಆಡಳಿತ ಅಧಿಕಾರ
ഭരണപരമായ അനുമതി,ಆಡಳಿತಾಧಿಕಾರಿ ಅನುಮೋದನೆ
അഡ്മിനിസ്ട്രേറ്റീവ് രീതി,ಆಡಳಿತ ತಂತ್ರ
അഡ്മിനിസ്ട്രേറ്റീവ് ട്രൈബ്യൂണൽ,ಆಡಳಿತ ನ್ಯಾಯಸಮ್ಮತ
അനഭാക്ഷ്യം,ಪ್ರವೇಶಸಾಧ್ಯತೆ
അനുവദനീയമായ ചെലവ്,ಸ್ವೀಕಾರಾರ್ಹ ಖರ್ಚು
സമ്മതിക്കുക,ಒಪ್ಪಿಸು
അഡ്മിറ്റ് കാർഡ്,ಪ್ರವೇಶ ಕಾರ್ಡ್
പ്രവേശിപ്പിച്ചു,ಒಪ್ಪಿಕೊಂಡ
ഉപദേഷ്ടാപ്പ്,ಕವಲೊಡೆಯು
ദന്തം,ಅಳವಡಿಕೆದಾರ
ച്ചക്കല്,ರೋಗಿ
ദത്ത്,ದತ್ತು
പായപൂര്ത്തിയായി,ವಯಸ್ಕ
മായം,ವ್ಯಭಿಚಾರ
വഭിചാരം,ವ್ಯಭಿಚಾರ
മുതിർന്നവർക്കുള്ള ഫ്രാഞ്ചൈസി,ವಯಸ್ಕರ ಫ್ರ್ಯಾಂಚೈಸ್
പരസ്യ മൂല്യനിർണ്ണയം,ಜಾಹೀರಾತು ಶೌರ್ಯ ಕರ್ತವ್ಯ
മുന്നേറുക,ಮುನ್ನಡೆ
അഡ്വാൻസ് ബുക്കിംഗ്,ಮುಂಗಡ ಬುಕಿಂಗ್
അഡ്വാൻസ് കോപ്പി,ಮುನ್ನಡೆ
അഡ്വാൻസ് ഇൻക്രിമെന്റ്,ಮುಂಗಡ ಹೆಚ್ಚಳ
അഡ്വാൻസ് പേയ്മെന്റ്,ಮುಂಗಡ ಪಾವತಿ
പ്രതികൂല പ്രവേശനം,ಪ್ರತಿಕೂಲ ಪ್ರವೇಶ
പ്രതികൂല പരാമർശങ്ങൾ,ಪ್ರತಿಕೂಲ ಟೀಕೆಗಳು
പ്രതികൂല റിപ്പോർട്ട്,ಪ್ರತಿಕೂಲ ವರದಿ
വിജ്ഞാപനം,ಆಯ್ಕೆ
ഉപദേശം,ಸಲಹೆ
പേയ്മെന്റിന്റെ ഉപദേശം,ಪಾವತಿಯ ಸಲಹೆ
ഉപദേശക സമിതി,ಸಲಹಾ ಸಮಿತಿ
ഉപദേശക സമിതി,ಸಲಹಾ ಮಂಡಳಿ
വാദിക്കുക,ಪ್ರತಿಪಾದಿಸು
കാര്യങ്ങൾ,ವ್ಯವಹಾರ
സതവാങ്മൂലം,ಅಫಿಡವಿಟ್
ബന്ധം,ಉಪಶಮನ
സ്ഥിരീകരണം,ದೃ ir ೀಕರಣ
ഉറപ്പിക്കുന്ന,ದೃ irf ೀಕರಣದ
ഉളവാക്കുക,ಆತುರಿಸು
മേൽപ്പറഞ്ഞ,ಈನಟ
ശെറെഷ്,ಹೊಸದಾಗಿ
എതിരായി,ವಿರುದ್ಧವಾಗಿ
വയസ്സ്,ವಯಸ್ಸು
പ്രായപരിധി,ವಯಸ್ಸಾದ ಪ್ರಮಾಣಪತ್ರ
വോട്ടവകാശത്തിനുള്ള പ്രായം,ಮತದಾರರ ವಯಸ್ಸು
പ്രായപരിധി,ವಯಸ್ಸಿಗೆ
നിര്വ്വഹണം,ವಾಗ್ದಾನ
കാരപരിപാടി,ಕಾಗಾರ
വിരമിക്കലിന്റെ പ്രായം,ನಿವೃತ್ತಿಯ ವಯಸ್ಸು
അപാദന പ്രായം,ಮೇಲ್ವಿಚಾರಣೆಯ ವಯಸ್ಸು
അഗ്രഗേഷൻ,ಒಟ್ಟುಗೂಡಿಸುವಿಕೆ
ദു ved ഖിച്ചു,ದುಃಖಿಸಿದ
പ്രക്ഷോഭക്തി,ಆಂದೋಲನ
AGM,ಅವಾತ
കരാര്,ಒಪ್ಪಂದ
കരാർ ഫോം,ಒಪ್ಪಂದದ ರೂಪ
കൃഷിപ്പണി,ಕೃಷಿ
കാർഷിക വ്യവസായം,ಕೃಷಿ ಉದ್ಯಮ
സഹായം,ನೆರವು
ആപല്സൂചന,ಎಚ್ಚರಿಕೆ
ജാല്തചിഹ്നം,ಜಾಗರೂಕತೆ
അപരാഭിധാനം,ಅಲಿಯಾಸ್
കുറ്റാരോപണം,ಆರೋಪಣೆ
മേല്ക്കോയ്മയോട് ഭക്തി,ನಿಷ್ಠೆ
സഖം,ಮೈತ್ರಿ
അനുബന്ധ സേവനങ്ങൾ,ಮಿತ್ರ ಸೇವೆಗಳು
എല്ലാം ഉൾക്കൊള്ളുന്ന ചെലവ്,ಎಲ್ಲಾ ಅಂತರ್ಗತ ವೆಚ್ಚ
അഖിലേന്ത്യാ സേവനങ്ങൾ,ಅಖಿಲ ಭಾರತ ಸೇವೆಗಳು
പങ്കുവയ്ക്കല്,ಮನವಸಿಕೆ
അനുവദിച്ചതുക,ಹಂಚಿಕೆ
അലോട്ട്മെന്റ് കത്ത്,ಹಂಚಿಕೆ ಪತ್ರ
അല്ലോട്ടി,ಹಂಚುವವ
അനുവദനീയം,ಅನುಮತಿಸುವ
അനുവദനീയമായ ചെലവുകൾ,ಅನುಮತಿಸುವ ವೆಚ್ಚಗಳು
ഒരു അപ്പീൽ അനുവദിക്കുക,ಮನವಿಯನ್ನು ಅನುಮತಿಸಿ
അനുമതി നല്കുക,ಭತ್ಯೆ
എല്ലാ അവകാശങ്ങളും നിക്ഷിപ്തം,ಎಲ್ಲ ಹಕ್ಕುಗಳನ್ನು ಕಾಯ್ದಿರಿಸಲಾಗಿದೆ
അക്ഷരമാല ഓർഡർ,ವರ್ಣಮಾಲೆ
വാസസ്ഥലമായ,ವಾಗ್ವಾದ
ഏകാന്തരക്രമത്തിൽ,ಪರ್ಯಾಯ
ബദൽ,ಬದಲಕ
സംയോജനം,ಸಂಯೋಗ
ഭേദഗതി ചെയ്ത ഡ്രാഫ്റ്റ്,ತಿದ್ದುಪಡಿ ಮಾಡಿದ ಕರಡು
ഭേദഗതി,ತಿದ್ದುಪಡಿ
സഖ്യം,ಸೌಕರ್ಯ
മിതഭാവമുള്ള,ಸೌಹಾರ್ದಯುತ
വെടിക്കോപ്പ്,ಮದ್ದುಗುಂಡು
കടത്തിന്റെ പവിത്രത,ಸಾಲದ ಭೋಗ್ಯ
സംഖ,ಮೊತ್ತ
പെൻഷന്റെ തുക,ಪಿಂಚಣಿ ಪ್ರಮಾಣ
അനലോഗസ് പോസ്റ്റ്,ಸಾದೃಶ್ಯದ ಹುದ್ದೆ
വിശകലനം,ವಿಶ್ಲೇಷಣೆ
അനലിറ്റിക്കൽ പഠനം,ವಿಶ್ಲೇಷಣಾತ್ಮಕ ಅಧ್ಯಯನ
പൂര്വ്വികന്,ಪೂರ್ವಜ
അനുബന്ധ വ്യവസായം,ಪೂರಕ ಉದ್ಯಮ
ബദ്ധവൈരം,ದ್ವೇಷ
അനുബന്ധം,ಅನುಬಂಧ
വാര്ഷികദിനം,ವಾರ್ಷಿಕೋತ್ಸವ
അറിയിപ്പ്,ಪ್ರಕಟಿಸುವುದು
ഉപദവം,ಕಿರಿಕಿರಿಯ
വാർഷിക സാമ്പത്തിക പ്രസ്താവന,ವಾರ್ಷಿಕ ಹಣಕಾಸು ಹೇಳಿಕೆ
വാർഷിക റിപ്പോർട്ട്,ವಾರ್ಷಿಕ ವರದಿ
ആന്വിറ്റി,ವರ್ಷಾಶನ
പേരറിയാത്ത,ಅನಾಮಿಕ
അജ്ഞാത പരാതി,ಅನಾಮಧೇಯ ದೂರು
ഉത്തരവിദ്ധി,ಉತ್ತರಾಧಿಕಾರಿಯಾಗದಿರುವಿಕೆ
ഉത്തരക്കടലാസ്,ಉತ್ತರ ಪತ್ರಿಕೆ
ശതാപകന്,ವಿರೋಧಿ
മുൻഗാമികൾ,ಪೂರ್ವಸಿದ್ಧತೆಗಳು
പ്രതീക്ഷിച്ച ചെലവ്,ನಿರೀಕ್ಷಿತ ಖರ್ಚು
പ്രതീക്ഷിച്ച വരുമാനം,ನಿರೀಕ್ಷಿತ ಆದಾಯ
മുന്തോന്നല്,ನಿರೀಕ್ಷಣೆ
മുൻകൂട്ടി ജാമ്യം,ನಿರೀಕ್ಷಿತ ಜಾಮೀನು
അഴിമതി വിരുദ്ധ നടപടി,ಭ್ರಷ್ಟಾಚಾರ ವಿರೋಧಿ
വിരുദ്ധ ഡമ്പിംഗ്,ಡಂಪಿಂಗ್ ವಿರೋಧಿ
പഴക്കം ചെന്ന,ಪ್ರಾಚೀನ
വർത്തിഡ്,ವರ್ಣಭೇದ
അപരാഭിചികം,ನಿರಾಸಕ್ತಿ
അപെക്സ് ബോഡി,ತುದಿ ದೇಹ
ക്ഷമാപണം,ಕ್ಷಮೆ
പുനര്വിചാരണയ്ക്ക് അപേക്ഷിക്കുക,ಮನವಿಯನ್ನು
കാഴ്ച,ಗೋಚರತೆ
വിശേഷണം,ಸಮಾಧಾನ
അപ്പീലേറ്റ് ട്രൈബ്യൂണൽ,ಮೊದಲೇ ನ್ಯಾಯಮಂಡಣಿ
അനുബന്ധം,ಅನುಬಂಧ
ഉപകരണം,ಉಪಕರಣ
പയോഗക്ഷമമായ,ಅನ್ವಯಿಸುವ
അപേക്ഷക,ಅರ್ಜಿದಾರ
അപേക്ഷ,ಅನ್ವಯಿಸು
അപേക്ഷാ ഫോറം,ಅರ್ಜಿ
പ്രയോഗിച്ചു,ಅನ್ವಯಿಕ
അപേക്ഷിക്കുക,ಅನ್ವಯಿಸು
നിയമിത,ನೇಮಕಾತಿ
അധികാരം നിയമിക്കുന്നു,ಅಧಿಕಾರವನ್ನು ನೇಮಿಸುವುದು
നിയമനം,ನೇಮಕ
നിയമന പത്രിക,ನೇಮಕಾತಿ ಪತ್ರ
മന്ത്രിസഭയുടെ നിയമന സമിതി,ಕ್ಯಾಬಿನೆಟ್ನ ನೇಮಕಾತಿ ಸಮಿತಿ
വേതനത്തെ വിഭവങ്ങൾ,ವೇತನದ ಹಂಚಿಕೆ
വിലനിശ്ചയിക്കല്,ಮೌಲ್ಯಮಾಪಕ
വിലഹരവാദി,ಮೌಲ್ಯಮಾಪಕ
അഭിനന്ദനം,ಮೆಚ್ಚುಗೆ
അവബോധം,ಭಯ
തൊഴില്പരിശീലക,ಅಪ್ರೆಂಟಿಸ್
സമീപിക്കുക,ಸಮೀಪಿಸು
അനുഗുണമായ,ಸೂಕ್ತ
ഉചിതമായ പ്രവർത്തനം,ಸೂಕ್ತ ಕ್ರಮ
ഉചിതമായ തല,ಸೂಕ್ತ ತಲೆ
വിനിയോഗം,ಸ್ವಾಧೀನಪಡಿಸಿಕೊಳ್ಳುವುದು
അംഗീകരിക്കല്,ಅನುಮೋದನೆ
ഏകദേശമായ,ಅಂದಾಜು
ആപ്റ്റിറ്റ്യൂഡ് ടെസ്റ്റ്,ಆಪ್ಟಿಟ್ಯೂಡ್ ಪರೀಕ್ಷೆ
സേച്ഛാചാരിയായ,ಅನಿಯಂತ್ರಿತ
മാദ്ധസ്ഥം വഹിക്കുക,ನಿಣಿಸು
മാദ്ധസ്ഥം,ಮಧ್ಯಸ್ಥಿಕೆ
മാദ്ധ്യസ്ഥതാ ട്രിബ്യൂണൽ,ಮಧ್ಯಸ್ಥಿಕೆ ನ್ಯಾಯಮಂಡಳ
മദ്ധസ്ഥന്,ಮಧ್ಯಸ್ಥ
വാസ്തുവിദ,ವಾಸ್ತುಶಿಲ್ಪಿ
ഗന്ഥരക്ഷാലയം,ಆರ್ಕೈವ್ಸ್
പദേശം,ಪ್ರದೇಶ
ഏരിയസ്ഥാനം,ಪ್ರದೇಶದ ಪ್ರದೇಶ
വാദം,ವಾದ
എഴുന്നേല്ക്കുക,ಹುಳು
സായുധ സേന,ಸಶಸ್ತ್ರ ಪಡೆ
കമീകരണം,ಜೋಡಣೆ
ഊരി,ಬಾಕಿ
അരീയർ പ്രസ്താവന,ಬಾಕಿ ಹೇಳಿಕೆ
വരവ് റിപ്പോർട്ട്,ಆಗಮನ ವರದಿ
ധിക്കാരം,ಅಸ್ತವ್ಯಸ್ತತೆ
ആയുധശാല,ಸ ೦ ತಾನು
പദാര്ത്ഥം,ಲೇಖನ
അസോസിയേഷന്റെ ലേഖനങ്ങൾ,ಸಂಘದ ಲೇಖನಗಳು
ലേഖനങ്ങൾ,ಲೇಖನಗಳು
ആരോഹണ ക്രമം,ಆರೋಹಣ
നിർണ്ണയിക്കുന്ന,ಒತ್ತಿಹೇಳಿಸು
എവിടെയാണ്,ಎಲ್ಲಿದೆ
വശം,ಆಕಾರ
കയറിയ,ಆಪಾದನೆ
രാഷ്ടീയക്കൊല,ಹತ್ಯೆ
കയ്യേറ്റം നടത്തുക,ದಾಳಿ
സംയോജിപ്പിക്കുക,ಜೋಡಿಸು
നിയമനിര്മ്മാണസഭ,ಸಭೆ
അനുമതി,ಒಪ್ಪು
ഉറപ്പുപറയുക,ಪ್ರತಿಪಾದಿಸು
വിലയിരുത്തുന്ന,ಮೌಲ್ಯಮಾಪಕ
നികുതിചുമത്തല്,ಮೌಲ್ಯಮಾಪನ
വിലയിരുത്തൽ വർഷം,ಮೌಲ್ಯಮಾಪನ ವರ್ಷ
അസര്യാകം,ಮೌಲ್ಯಮಾಪಕ
ആസ്തി,ಸ್ವಸಮಾನಗಳು
നിയമനിക,ನಿಯೋಗಿ
ചുമതല,ನಿಯೋಜನೆ
യാസ,ನಿಯೋಜಕ
സഹായം,ಸಹಾಯ
തോഴന്,ಜೊತೆಗಾರ
ചങ്ങാത്തം,ಸಂಘ
ചാർജ് അനുമാനം,ಚಾರ್ಜ್ನ umption ಹೆ
ഉറപ്പുനല്കല്,ಭರವಸೆ
അഷ്വറൻസ് കമ്പനി,ಅಶ್ಯೂರೆನ್ಸ್ ಕಂಪನಿ
ഉറപ്പുതരുന്നു,ಭರವಸೆ ಕೊಡು
കിഴിവിൽ,ರಿಯಾಯಿತಿಯಲ್ಲಿ
ആറ്റോമിക് പവർ,ಪರಮಾಣು ಶಕ್ತಿ
തുല്യത്തിൽ,ಸಮನಾಗಿ
പ്രീമിയത്തിൽ,ಪ್ರೀಮಿಯಂನಲ್ಲಿ
ഘടിപ്പിക്കുക,ಲಗತ್ತಿಸು
അറ്റാച്ചുചെയ്ത ഓഫീസ്,ಲಗತ್ತಿಸಲಾದ ಕಚೇರಿ
ബന്ധം,ಬಾಂಧಾಣ
അറ്റാച്ചുമെന്റ് ഓർഡർ,ಲಗತ್ತು ಆದೇಶ
നേട്ടം,ಸಾಧನೆ
പരിശമം,ಪ್ರಯತ್ನ
ഹാജർ,ಹಾಜರಾತಿ
