Assamese,Tamil
abeli গ্ৰুপ,அபேலி குழு
abeli গ্ৰুপ,அபேலி குழு
হাত,கை
"নিৰপেক্ষ, নিৰপেক্ষ, ধ্ৰুৱক, নিখুঁত","முழுமையான, முழுமையான, நிலையான, துல்லியமான"
নিৰপেক্ষ অভিসৰণ,முழுமையான ஒருங்கிணைப்பு
নিৰপেক্ষ ভুল,முழுமையான பிழை
পৰম পৰম,உச்ச உச்ச
নিৰপেক্ষ সৰ্বনিম্ন,முற்றிலும் குறைந்த
নিৰপেক্ষ মূল্য,துல்லியமான மதிப்பு
নিৰপেক্ষ বেগ,முழுமையான வேகம்
বিমূৰ্ত বীজগণিত,சுருக்க இயற்கணிதம்
বিমূৰ্ত গোট তত্ত্ব,சுருக்க குழு கோட்பாடு
বেগ বৃদ্ধি,முடுக்கம்
মহাকৰ্ষণীয় ত্বৰণ,ஈர்ப்பு முடுக்கம்
গ্ৰহণযোগ্য নিৰ্বাচক,ஏற்றுக்கொள்ளக்கூடிய தேர்வாளர்
গ্ৰহণযোগ্য গুণগত মানৰ স্তৰ,ஏற்றுக்கொள்ளக்கூடிய தர நிலை
গ্ৰহণযোগ্য চৌহদ,ஏற்றுக்கொள்ளக்கூடிய வளாகம்
বৈধ নিৰ্ভৰযোগ্যতা স্তৰ,சரியான நம்பகத்தன்மை நிலை
গ্ৰহণযোগ্যতা নমুনা সংগ্ৰহ কৰা,ஏற்பு மாதிரி
সঞ্চিত ভুল,திரட்டப்பட்ட பிழை
শুদ্ধতা,துல்லியம்
প্ৰয়োগ কৰা বল,பயன்படுத்தப்படும் சக்தி
"কাৰ্য্য, কাৰ্য্য","செயல், செயல்"
ক্ৰিয়া আৰু প্ৰতিক্ৰিয়া,செயல் மற்றும் எதிர்வினை
বীমা বিজ্ঞান,காப்பீட்டு அறிவியல்
তীব্ৰ ত্ৰিভুজ,கடுமையான முக்கோணம்
অচক্ৰীয়,அசைக்ளிக்
সামৰণিত,மொத்தத்தில்
adder,சேர்ப்பான்
"যোগফল, যোগ, যোগফল (c.), যোগ (v.)","தொகை, கூட்டல், கூட்டுத்தொகை (c.), கூட்டல் (v.)"
যোগৰ সূত্ৰ,யோகா சூத்திரம்
জটিল সংখ্যাৰ যোগফল,கலப்பு எண்களின் கூட்டுத்தொகை
ফলনৰ যোগফল,செயல்பாடுகளின் கூட்டுத்தொகை
মেট্ৰিক্সৰ যোগফল,மெட்ரிக்குகளின் கூட்டுத்தொகை
বহুপদৰ যোগফল,பல்லுறுப்புக்கோவைகளின் தொகை
সম্ভাৱনাৰ যোগফল,நிகழ்தகவுகளின் கூட்டுத்தொகை
ভেক্টৰৰ যোগফল,திசையன்களின் தொகை
"যোগ উপপাদ্য, বেৰী তত্ত্ব,","தொகை தேற்றம், பெர்ரி கோட்பாடு"
যোগকৰণ গোট,சேர்க்கை குழு
যোগকৰণৰ বিপৰীত,தலைகீழ் சேர்க்கை
যোগযোগ্যতা,சேர்க்கை
যোগযোগ্যতা,சேர்க்கை
সংলগ্নতা মেট্ৰিক্স,அருகாமை அணி
"কাষৰীয়া, কাষৰীয়া, কাষৰীয়া","அருகாமை, அருகாமை, அருகாமை"
কাষৰীয়া কোণ,அருகில் உள்ள கோணம்
কাষৰীয়া শিখৰ,அருகில் உள்ள உச்சி
to associate,தொடர்புபடுத்த
