Odiya,Punjabi
ପରିତ୍ୟାଗ,ਅਧੂਰਾ ਛੱਡਣਾ
ଟାଇମର୍ ପରିତ୍ୟାଗ କରନ୍ତୁ |,ਅਧੂਰਾ ਛੱਡੋ
ସଂପୂର୍ଣ୍ଣ ଠିକଣା,निरपेक्ष an s
ସଂପୂର୍ଣ୍ଣ ଠିକଣା,ਪੂਰਨ ਪਤਾ
ସଂପୂର୍ଣ୍ଣ ଏକତ୍ରିତ ବ୍ୟକ୍ତି |,ਸੰਪੂਰਨ ਸੰਜਮ
ସଂପୂର୍ଣ୍ଣ କୋଡ୍,ਸੰਪੂਰਨ ਕੋਡ
ସଂପୂର୍ଣ୍ଣ କୋଡିଂ |,ਸੰਪੂਰਨ ਕੋਡਿੰਗ
ସଂପୂର୍ଣ୍ଣ ନିର୍ଦ୍ଦେଶ,ਸੰਪੂਰਨ ਕਮਾਂਡ
ସଂପୂର୍ଣ୍ଣ ସଂଯୋଜନା |,ਸੰਪੂਰਨ ਕੋਆਰਡੀਨੇਟ
ସଂପୂର୍ଣ୍ଣ ତଥ୍ୟ |,ਸੰਪੂਰਨ ਡੇਟਾ
ସଂପୂର୍ଣ୍ଣ ତ୍ରୁଟି |,ਪੂਰੀ ਗਲਤੀ
ସଂପୂର୍ଣ୍ଣ ଅଭିବ୍ୟକ୍ତି |,ਪੂਰਨ ਸਮੀਕਰਨ
ସଂପୂର୍ଣ୍ଣ ନିର୍ଦ୍ଦେଶନାମା,ਪੂਰਨ ਹਦਾਇਤ
ସଂପୂର୍ଣ୍ଣ ଲୋଡର୍ |,ਸੰਪੂਰਨ ਲੋਡਰ
ସଂପୂର୍ଣ୍ଣ କ୍ରମ,ਸੰਪੂਰਨ ਕ੍ਰਮ
ସଂପୂର୍ଣ୍ଣ ପ୍ରୋଗ୍ରାମିଂ |,ਸੰਪੂਰਨ ਪ੍ਰੋਗਰਾਮਿੰਗ
ସଂପୂର୍ଣ୍ଣ ଶବ୍ଦ,ਸੰਪੂਰਨ ਅਵਧੀ
ସଂପୂର୍ଣ୍ଣ ମୂଲ୍ୟ,ਸਹੀ ਮੁੱਲ
ସଂପୂର୍ଣ୍ଣ ଭେକ୍ଟର |,ਸੰਪੂਰਨ ਵੈਕਟਰ
ବିସ୍ତୃତ,ਸਾਰ
ବିସ୍ତୃତ,ਐਬਸਟ੍ਰੈਕਟਿੰਗ
ବିସ୍ତୃତ ପ୍ରତୀକ |,ਸੰਖੇਪ ਪ੍ਰਤੀਕ
ତ୍ୱରଣ ସମୟ,ਪ੍ਰਵੇਗ ਦੀ ਮਿਆਦ
ତ୍ୱରାନପୂର୍ଣ୍ଣ ସମୟ |,ਪ੍ਰਵੇਗ ਟਾਈਮ
ଉଚ୍ଚାରଣ,ਲਹਿਜ਼ਾ
ଗ୍ରହଣ ପରୀକ୍ଷା,ਪ੍ਰਵਾਨਗੀ ਟੈਸਟ
ପ୍ରବେଶ,ਪਹੁੰਚ
ଆକ୍ସେସ୍ ବାହୁ,ਐਗ ਬਾਂਹ ਨੂੰ ਐਕਸੈਸ ਕਰੋ
ପ୍ରବେଶ ବ୍ୟବସ୍ଥା,ਐਕਸੈਸ ਪ੍ਰਬੰਧ
ପ୍ରବେଶ କର ପ୍ରାଧିକରଣ,ਪਹੁੰਚ ਅਥਾਰਟੀ
ପ୍ରବେଶ ଚାର୍ଜ,ਐਕਸੈਸ ਚਾਰਜ
ଶ୍ରେଣୀ ଶ୍ରେଣୀ,ਐਕਸੈਸ ਕਲਾਸ
