Malayalam,Gujarati
"1.അബാക്കസ്, 2. എണ്ണുന്നു","1.એબેકસ, 2. ગણતરી"
അസാധാരണമായ അവസാനം,અસામાન્ય અંત
തടസ്സപ്പെടുത്തുക,ઇન્ટરસેપ્ટ
"1. കേവലം, 2. പരമോന്നത","1. સંપૂર્ણ, 2. સર્વોચ્ચ"
സമ്പൂർണ്ണ വിലാസം,સંપૂર્ણ સરનામું
സമ്പൂർണ്ണ വിലാസക്ഷമത,સંપૂર્ણ સંબોધનક્ષમતા
കേവല അസംബ്ലർ,સંપૂર્ણ એસેમ્બલર
"1. കേവല കോഡ്, 2. കേവല കോഡ്","1. સંપૂર્ણ કોડ, 2. સંપૂર્ણ કોડ"
സമ്പൂർണ്ണ കമാൻഡ്,સંપૂર્ણ આદેશ
"1. കേവല കണക്കുകൾ, 2. സമ്പൂർണ്ണ ഡാറ്റ","1. સંપૂર્ણ આંકડા, 2. સંપૂર્ણ ડેટા"
സമ്പൂർണ്ണ നിർദ്ദേശം,સંપૂર્ણ સૂચના
കേവല മോഡ്,સંપૂર્ણ મોડ
കേവല പാത,સંપૂર્ણ માર્ગ
"1. സമ്പൂർണ്ണ പ്രോഗ്രാമിംഗ്, 2. സമ്പൂർണ്ണ പ്രോഗ്രാമിംഗ്","1. સંપૂર્ણ પ્રોગ્રામિંગ, 2. સંપૂર્ણ પ્રોગ્રામિંગ"
അമൂർത്ത ക്ലാസ്,અમૂર્ત વર્ગ
അമൂർത്ത ഡാറ്റ തരം,અમૂર્ત ડેટા પ્રકાર
അമൂർത്ത യന്ത്രം,અમૂર્ત મશીન
അമൂർത്ത ചിഹ്നം,અમૂર્ત પ્રતીક
അമൂർത്തമായ വാക്യഘടന,અમૂર્ત વાક્યરચના
സ്വീകാര്യത പരിശോധന,સ્વીકૃતિ કસોટી
പ്രവേശന സർട്ടിഫിക്കേഷൻ,પ્રવેશ પ્રમાણપત્ર
"1. ആക്സസ് കോഡ്, 2. പ്രവേശന കോഡ്","1. એક્સેસ કોડ, 2. ઍક્સેસ કોડ"
പ്രവേശന നിയന്ത്രണം,વપરાશ નિયંત્રણ
ആക്സസ് സ്കാനിംഗ്,ઍક્સેસ સ્કેનિંગ
സാധനങ്ങൾ,એસેસરીઝ
അക്കൌണ്ടിംഗ്,નામું
"1. അക്കൗണ്ട് ഐഡി, 2. അക്കൗണ്ടിംഗ് തിരിച്ചറിയൽ","1. એકાઉન્ટ ID, 2. એકાઉન્ટિંગ ઓળખ"
ശേഖരണം,સંચયક
"1. കൃത്യത, 2. കൃത്യത","1. ચોકસાઈ, 2. ચોકસાઈ"
പ്രവേശനം,ઍક્સેસ
ആക്സസ് കൺട്രോൾ ബൈറ്റുകൾ,એક્સેસ કંટ્રોલ બાઇટ્સ
പ്രവേശന സൂചകം,ઍક્સેસ સૂચક
ആക്സസ് കീ,ઍક્સેસ કી
"1. ആക്സസ് മാട്രിക്സ്, 2. ആക്സസ് മാട്രിക്സ്","1. એક્સેસ મેટ્રિક્સ, 2. એક્સેસ મેટ્રિક્સ"
ആക്സസ് മോഡ്,ઍક્સેસ મોડ
പ്രവേശനാവകാശങ്ങൾ,ઍક્સેસ વિશેષાધિકારો
ആക്സസ് സുരക്ഷ,ઍક્સેસ સુરક્ષા
"1. ആക്സസ് സെർവർ, 2. ആക്സസ് സെർവർ","1. એક્સેસ સર્વર, 2. સર્વર ઍક્સેસ કરો"
പ്രവേശന സമയം,ઍક્સેસ સમય
അംഗീകാരം,સ્વીકૃતિ
ശബ്ദശാസ്ത്രം,ધ્વનિશાસ્ત્ર
