Marathi,Kannada
Uptement,ದಾಟುವುದು
संक्षेप,ಸಂಕ್ಷಿಪ್ತ ರೂಪ
अपहरण,ಅಪಹರಣ
अबाधित,ನಿರುತ್ಸಾಹಗೊಳಿಸುವಿಕೆ
क्षमता,ಸಾಮರ್ಥ್ಯ
अब इनिशिओ,ಎಬಿ ಇನಿಶಿಯೋ
सक्षम,ಸಮರ್ಥ
असामान्य,ಅಸಹಜ
निर्मूलन,ನಿರ್ಮೂಲನ
रद्दबातल पोस्ट,ರದ್ದುಮಾಡುವಿಕೆ
वर दिल्याप्रमाणे,ಮೇಲೆ ತಿಳಿಸಿದ
वर उद्धृत,ಮೇಲೆ ಉಲ್ಲೇಖಿಸಲಾಗಿದೆ
वरील म्हणाले,ಮೇಲೆ ಹೇಳಿದರು
अनुपस्थिती,ಅನುಪಸ್ಥಿತಿ
अनुपस्थित,ಗೈರುಹಾಜರಿ
अनुपस्थिति,ಗೈರುಹಾಜರಿ
अनुपस्थित विधान,ಗೈರುಹಾಜರಿ ಹೇಳಿಕೆ
परिपूर्ण,ಸಂಪೂರ್ಣ
परिपूर्ण मक्तेदारी,ಸಂಪೂರ್ಣ ಏಕಸ್ವಾಮ್ಯ
परिपूर्ण मालकी,ಸಂಪೂರ್ಣ ಮಾಲೀಕತ್ವ
शोषण,ಹೀರುವಿಕೆ
गोषवारा,ಅಮೂರ್ತ
अमूर्त स्टेटमेंट,ಅಮೂರ್ತತೆ
बेशुद्ध,ಅಸಂಬದ್ಧ
विपुलता,ಹೇರಳವಾಗಿರುವುದು
शक्तीचा गैरवापर,ಅಧಿಕಾರದ ದುರುಪಯೋಗ
अपमानास्पद भाषा,ನಿಂದಕ ಭಾಷೆ
शैक्षणिक,ಶೈಕ್ಷಣಿಕ
शैक्षणिक चर्चा,ಶೈಕ್ಷಣಿಕ ಚರ್ಚೆ
शैक्षणिक रजा,ಶೈಕ್ಷಣಿಕ ರಜೆ
शैक्षणिक पात्रता,ಶೈಕ್ಷಣಿಕ ಅರ್ಹತೆ
शैक्षणिक नोंद,ಶೈಕ್ಷಣಿಕ ದಾಖಲೆ
प्रवेश,ತಪ್ಪೊಟ್ಟು
स्वीकारा,ಒಪ್ಪಿಕೊಳ್ಳಿ
स्वीकृती,ಸ್ವೀಕಾರಾರ್ಹತೆ
कार्यालय स्वीकारणे,ಕಚೇರಿಯ ಸ್ವೀಕಾರ
निविदा स्वीकारणे,ಟೆಂಡರ್ ಸ್ವೀಕಾರ
प्रवेश,ಪ್ರವೇಶ
