Bengali,Kannada
অস্বাভাবিক,ಅಸಹಜ
গর্ভপাত,ಸ್ಥಗಿತಗೊಳಿಸು
ঘর্ষণ,ಸವೆದುಹೋಗುವಿಕೆ
আকস্মিক,ಹಠಾತ್ತಾಗಿ
পরম ক্ষেত্র শক্তি,ಸಂಪೂರ್ಣ ಕ್ಷೇತ್ರ ಶಕ್ತಿ
পরম তাপমাত্রা,ಸಂಪೂರ್ಣ ತಾಪಮಾನ
পরম মান,ಸಂಪೂರ್ಣ ಮೌಲ್ಯ
শোষণ,ಹೀರಿಕೊಳ್ಳಿ
শোষণ গুণাঙ্ক,ಹೀರಿಕೊಳ್ಳುವ ಸಹ-ಸಮರ್ಥ
শোষণ ক্ষতি,ಹೀರಿಕೊಳ್ಳುವ ನಷ್ಟ
বিমূর্ত,ಅಮೂರ್ತ
অ্যাক্সিলোমিটার,ವೇಗವರ್ಧಕ ಮಾಪಕ
স্বীকৃতি পরীক্ষা,ಸ್ವೀಕಾರ ಪರೀಕ್ಷೆ
অ্যাক্সেস,ಪ್ರವೇಶ
প্রবেশাধিকার নিয়ন্ত্রণ,ಪ್ರವೇಶ ನಿಯಂತ್ರಣ
এক্সেস পয়েন্ট,ಪ್ರವೇಶ
প্রবেশাধিকার সময়,ಪ್ರವೇಶ ಸಮಯ
অ্যাক্সেসযোগ্যতা,ಪ್ರವೇಶಿಸುವಿಕೆ
একুমুলেটর সেল,ಸಂಚಯಕ ಕೋಶ
সঠিকতা,ನಿಖರತೆ
নির্ভুল,ನಿಖರವಾದ
অ্যাক্রোমেটিক লেন্স,ವರ್ಣರಂಜಿತ ಮಸೂರದ
অ্যাসিড,ಆಮ್ಲ
অ্যাসিড প্রুফ,ಆಮ್ಲ ಪುರಾವೆ
অম্লতা,ಅಚ್ಚುಕಟ್ಟಾಗಿತ್ವ
স্বীকৃতি বিট,ಸ್ವೀಕೃತ ಬಿಟ್
অ্যাকোস্টিক,Acೇಳ್ಳರದ
অ্যাকোস্টিক যোগাযোগ,ಅಕೌಸ್ಟಿಕ್ ಸಂವಹನ
অ্যাকোস্টিক প্রসারণ,ಅಕೌಸ್ಟಿಕ್ ಪ್ರಸರಣ
অ্যাকোস্টিক ইকুয়ালাইজার,ಅಕೌಸ್ಟಿಕ್ ಸಮೀಕರಣ
অ্যাকোস্টিক প্রতিক্রিয়া,ಅಕೌಸ್ಟಿಕ್ ಪ್ರತಿಕ್ರಿಯೆ
অ্যাকোস্টিক ফিল্টার,ಕೊಳೆತ ಫಿಲ್ಟರ್
শব্দের সংরোধ,ಸಕಲಿಯ ಪ್ರತಿರೋಧ
অ্যাকোস্টিক মাস্কিং,ಅಕೌಸ್ಟಿಕ್ ಮರೆಮಾಚುವ
অ্যাকোস্টিক শক্তি,ಅಕೌಸ್ಟಿಕ್ ಶಕ್ತಿ
অ্যাকোস্টিক সম্পত্তি,ಅಕೌಸ್ಟಿಕ್ ಆಸ್ತಿ
অ্যাকোস্টিক রিঅ্যাক্ট্যান্স,ಅಕೌಸ್ಟಿಕ್ ಪ್ರತಿಕ್ರಿಯೆ
অ্যাকোস্টিক রিফ্লেক্স,ಅಕೌಸ್ಟಿಕ್ ರಿಫ್ಲೆಕ್ಸ್
অ্যাকোস্টিক টাইল,ಅಕೌಸ್ಟಿಕ್ ಟೈಲ್
অ্যাকোস্টিক তরঙ্গ,ಸ ೦ ವರ ತರಂಗ
শাব্দিক শোষণ,ಅಕೌಸ್ಟಿಕ್ ಹೀರಿಕೊಳ್ಳುವಿಕೆ
