Bengali,Marathi
A B শ্রেণীর পরিবর্ধক,A B वर्ग अॅम्प्लीफायर
বিকৃতি,विकृती
অস্বাভাবিক সংক্রমণ,असामान्य प्रसार
"অসংলগ্ন, সাধারণত, পিট করা, অঙ্গচ্ছেদ করা, ভাঙা","जोडलेले, सहसा, खड्डे पडलेले, विच्छेदन केलेले, फ्रॅक्चर केलेले"
অনুপস্থিত বর্ণালী,गहाळ स्पेक्ट्रम
"পরম, পরম, ধ্রুবক, নিখুঁত","निरपेक्ष, निरपेक्ष, स्थिर, परिपूर्ण"
পরম আর্দ্রতা,परिपूर्ण आर्द्रता
পরম গতি,परिपूर्ण गती
পরম পর্যবেক্ষণ,परिपूर्ण निरीक्षण
পরম তাপমাত্রা,परिपूर्ण तापमान
পরম শূন্য,पूर्ण शून्य
শোষণ করা,शोषून घेणे
"শোষক, শোষক","शोषक, शोषक"
শোষণ ক্ষমতা,शोषण क्षमता
শোষণ,शोषण
শোষক,शोषक
শোষণ,शोषकता
বহুগুণ অনুপাত,गुणोत्तर गुणोत्तर
ত্বরান্বিত করা,गती वाढवणे
তাড়াতাড়ি,घाई केली
ত্বরণ,प्रवेग
অভিকর্ষের ত্বরণ,गुरुत्वाकर्षणाचा प्रवेग
এক্সিলারেটর,प्रवेगक
এক্সিলারেটর,प्रवेगक
অ্যাক্সিলোমিটার,प्रवेगमापक
prestresser,prestresser
গ্রহণযোগ্য পরীক্ষা,स्वीकार्य चाचणी
গ্রহণকারী,स्वीकारणारा
দাতা অণু,दाता रेणू
"অ্যাক্সেস, অপেক্ষা, অ্যাক্সেসযোগ্যতা","प्रवेश, प्रतीक्षा, प्रवेशयोग्यता"
অ্যাক্সেসযোগ্যতা,प्रवेशयोग्यता
"অতিরিক্ত, আনুষঙ্গিক, আনুষঙ্গিক (v.), আনুষাঙ্গিক (সম্পাদনা)","सुटे, ऍक्सेसरी, ऍक्सेसरी (v.), ऍक्सेसरी (सं.)"
প্রবেশাধিকার সময়,प्रवेश वेळ
ভিজিটর ত্রুটি,अभ्यागत त्रुटी
সমন্বয়,समायोजन
পুঞ্জীভূত,जमा
"accumulation, accumulation","जमा करणे, जमा करणे"
সঞ্চয়কারী,संचयक
সঠিকতা,अचूकता
বাস্তবতা,वास्तव
অ্যাক্রোমেটিক লেন্স,अॅक्रोमॅटिक लेन्स
অ্যাক্রোমেটিক,अक्रोमॅटिक
বর্ণহীনতা,अक्रोमॅटिकता
শাব্দিক,ध्वनिक
শব্দরোধী,ध्वनीरोधक
শাব্দিক ফোনন,ध्वनिक फोनन
শব্দ ইউনিট,ध्वनी युनिट
শাব্দিক,ध्वनिक
শব্দ জেনারেটর,ध्वनी जनरेटर
কর্ম এবং প্রতিক্রিয়া,क्रिया आणि प्रतिक्रिया
সক্রিয়করণ,सक्रियकरण
অ্যাক্টিভেশন শক্তি,सक्रियता ऊर्जा
"সক্রিয়কারী, সক্রিয়কারী","सक्रिय करणारा, सक्रिय करणारा"
সক্রিয়,सक्रिय
সক্রিয়তা,सक्रियता
প্রকৃত চাপ,वास्तविक ताण
ফিসফিস,कुजबुजणे
যোগফল,बेरीज करणे
"যোগফল, যোগ, সমষ্টি (সম্পাদনা), যোজক (v.)","बेरीज, बेरीज, एकत्रित (सं.), बेरीज (v.)"
"সংযোজক স্বর, অতিরিক্ত স্বর (স্বর)","संयुक्त स्वर, अतिरिक्त स्वर (स्वर)"
সংযোজনকারী,additive
আনুগত্য,आसंजन
আঠালো শক্তি,चिकट ऊर्जा
adiabat,adiabat
adiabatic,adiabatic
তাপ নিরোধক,उष्णता इन्सुलेट
সংযুক্তি,संलग्नक
সামঞ্জস্যযোগ্য,बदलानुकारी
অনুপ্রবেশ,प्रवेश
শোষণ,शोषण
এগিয়ে,पुढे
প্রগতিশীল,प्रगतीशील
"আকাশী, ভাইভা (v.), বায়বীয় (ed.)","आकाशी, वायु (वि.), हवाई (सं.)"
অ্যান্টেনা প্রবাহ,अँटेना प्रवाह
বায়বীয় জরিপ,हवाई सर्वेक्षण
বায়ু বেগ,हवेचा वेग
এরোডাইনামিক সহগ,वायुगतिकीय गुणांक
এরোডাইনামিক,वायुगतिकीय
বায়ুগতিবিদ্যা,वायुगतिकी
বৈমানিক,वैमानिक
বৈমানিক,वैमानिक
বায়ু নাড়ি,हवेची नाडी
"বায়ুমণ্ডল, গ্যাসোস্ফিয়ার","वातावरण, वायूमंडल"
ফোকাস সিস্টেম,फोकस सिस्टम
পিছনে ইগনিশন,परत प्रज्वलन
পিছনের আলো,परत प्रकाश
আঘাত,आघात
"বয়স, বয়স, বয়স, যুগ (সম্পাদনা), সময়কে প্রভাবিত করতে (ভার।), সময়, সময়ের দ্বারা প্রভাবিত হওয়া","वय, वय, वय, युग (सं.), वेळेवर परिणाम करणे (व्हेर.), वेळ, काळाने प्रभावित होणे"
সময় প্রভাবিত,वेळ प्रभावित
"বার্ধক্য, বার্ধক্য","वृद्धत्व, वृद्धत्व"
সময়ের প্রভাব,वेळेचा प्रभाव
সময় প্রভাব পরীক্ষা,वेळ प्रभाव चाचणी
মাধ্যাকর্ষণহীন,गुरुत्वाकर्षणरहित
পুনর্মিলন,समेट
"বায়ুবাহিত রাডার, বায়বীয় রাডার","हवाई रडार, हवाई रडार"
"বায়বীয় লক্ষ্য, বায়বীয় লক্ষ্য","हवाई लक्ष्य, हवाई लक्ष्य"
বায়ু শ্বাসযন্ত্র,हवा श्वसन यंत्र
এয়ার কন্ডিশনিং,वातानुकुलीत
এয়ারক্রু ট্রান্সফরমার,विंडप्रूफ ट्रान्सफॉर्मर
বিমান,विमान
প্রান্তিককরণ,संरेखन
প্রান্তিককরণ ত্রুটি,संरेखन त्रुटी
লাইভ সার্কিট,थेट सर्किट
সম্পূর্ণ কাচের টিউব,पूर्ण काचेची ट्यूब
পুরো ধাতব টিউব,संपूर्ण धातूची नळी
ঠিক করতে,निराकरण
"মিসরাতু (সম্পাদনা), মিশ্রাতভান (ক্রি.)","मिश्रातु (सं.), मिश्रत्व (क्र.)"
mishratvan,मिश्रत्व
সর্বব্যাপী মাধ্যম,सर्वव्यापी माध्यम
ওমনি অ্যান্টেনা,सर्व अँटेना
পঞ্জিকা,पंचांग
আলফা,अल्फा
আলফা-ক্রিয়াকলাপ,अल्फा क्रियाकलाप
আলফানিউমেরিক,अल्फान्यूमेरिक
আলফা রশ্মি,अल्फा किरण
পরিবর্তন,बदला
"বিকল্প, বিকল্প","पर्यायी, पर्यायी"
বিকল্প,अल्टरनेटर
altimeter,अल्टिमीटर
altimeter,अल्टिमीटर
অলটাইমেট্রি,altimetry
"উচ্চতা, উচ্চতা, উচ্চতা, উচ্চতা","उंची, उंची, उंची, उंची"
অ্যারিথমেটিক রিজনিং ইউনিট (ALU),अंकगणित तर्क युनिट (ALU)
amaget নিয়ম,amaget नियम
পরিবেশ,वातावरण
অ্যামিক্রন,amicron
অ্যামিটার,ammeter
অ্যাম্পিয়ার,अँपिअर
অ্যাম্পিয়ার-ল,अँपिअर-लॉ
উভচর আয়ন,उभयचर आयन
পরিবর্ধন,प्रवर्धन
পরিবর্ধক,अॅम्प्लीफायर
"কোণ, মাত্রা","कोन, परिमाण"
ক এম.উ. (পারমাণবিক ভর একক),a एम. यू. (अणु वस्तुमान एकक)
উপযুক্ত,सुसंगत
সাদৃশ্য,साधर्म्य
বিশ্লেষক,विश्लेषक
বিশ্লেষণ,विश्लेषण
বিশ্লেষণাত্মক,विश्लेषणात्मक
অ-বিন্দু,नॉन पॉइंट
অস্বাভাবিক,विसंगत
এবং দরজা,आणि दरवाजा
অ শাব্দিক,गैर-ध्वनी
অস্বাভাবিক স্থিতিস্থাপকতা,विसंगत लवचिकता
নির্জল,निर्जल
কোণ,कोन
অ্যাংস্ট্রম ইউনিট,अँग्स्ट्रोम युनिट
কৌণিক,टोकदार
প্রটেক্টর ভার্নিয়ার,protractor vernier
বিতর্কিত,विवादास्पद
অসম্মান,अनादर
অ্যাক্রোম্যাটিক চুম্বকীয়করণ,अक्रोमॅटिक चुंबकीकरण
শিথিল,सुस्त
anion,anion
অপ্রতিসম,असममित
আইসোট্রপিক,समस्थानिक
আইসোট্রপিজম,isotropism
মুছে ফেলা,हटवणे
বর্ণনাকারী,कटकारस्थान
অ্যানোড,एनोड
anodization,anodization
অসামঞ্জস্যপূর্ণ,विसंगत
অপটিক্যাল সিস্টেম,ऑप्टिकल प्रणाली
অ্যান্টেনা,अँटेना
antiberion,अँटीबेरियन
বিরোধী বন্ধন সম্পত্তি,अँटी-बॉन्डिंग गुणधर्म
পাল্টা বন্ড,काउंटर बाँड
বিপরীত শক্তি,उलट शक्ती
ডায়ম্যাগনেটিক,डायमॅग्नेटिक
ডায়ম্যাগনেটিক উপাদান,डायमॅग्नेटिक सामग्री
প্রদাহ বিরোধী,विरोधी दाहक
বিরোধী মাধ্যাকর্ষণ,गुरुत्वाकर्षण
antilamda কণা,antilamda कण
এলিলেপ্টন,ऍलेलेप्टन
ডায়ম্যাগনেটিক,डायमॅग्नेटिक
প্রতিপদার্থ,प्रतिपदार्थ
ক্ষেপণাস্ত্র বিরোধী,क्षेपणास्त्र विरोधी
অ্যান্টিনিউট্রন,अँटीन्यूट्रॉन
স্পন্দনশীল,pulsating
অ্যান্টিনিউক্লিয়ন,अँटीन्यूक्लिओन
প্রতিকণা,प्रतिकण
অ্যান্টিপ্রোটন,अँटीप्रोटॉन
প্রতিফলক,परावर्तक
প্রতিসম,विषमताविरोधी
অ পুনরাবৃত্ত,आवर्ती नाही
anachronism,अनाक्रोनिझम
ছিদ্রযুক্ত স্ক্যানিং ডিস্ক,छिद्रित स्कॅनिंग डिस्क
দ্বারক,द्वारक
"শীর্ষ, শীর্ষ, সামনে","वर, वर, समोर"
"সূর্য উচ্চ, সূর্য উচ্চ, অপ্সর","उच्च सूर्य, उच्च सूर्य"
উদাসীন লেইস,उदासीन लेस
অ করুণ,गैर-दयनीय
অ-অক্ষমতা,अपंगत्व नसणे
খুব অ্যাক্রোমেটিক,अतिशय वर्णवर्धक
"land-high, apogee","जमीन-उंच, apogee"
"nonpolar, circumpolar","nonpolar, circumpolar"
parapolarity,parapolarity
যন্ত্র,साधन
"ভার্চুয়াল, ভিজ্যুয়াল","आभासी, दृश्य"
দৃশ্যমান সূর্য,दृश्यमान सूर्य
চাক্ষুষ সময়,दृश्य वेळ
উদ্ভূত চেহারা,उदयोन्मुख देखावा
আবেদন,अर्ज
প্রযোজ্যতা,लागू
প্রয়োগ করা,लागू
পর্যবেক্ষণযোগ্য,निरीक्षण करण्यायोग्य
পন্থা,दृष्टीकोन
"কাছাকাছি, প্রায়","जवळ, अंदाजे"
অনুমান,अंदाजे
বাষ্পের চাপ,बाष्प दाब
স্বেচ্ছায়,ऐच्छिक
"চাপ চুল্লি, চাপ চুল্লি","चाप भट्टी, चाप भट्टी"
আর্কিমিডিসের আইন,आर्किमिडीजचा कायदा
স্থাপত্য শাব্দবিদ্যা,आर्किटेक्चरल ध्वनीशास्त्र
চাপ বাতি,चाप दिवा
আর্ক-স্পেকট্রাম,आर्क-स्पेक्ट्रम
"এলাকা, এলাকা","क्षेत्र, क्षेत्र"
"আঞ্চলিক, আঞ্চলিক","प्रादेशिक, प्रादेशिक"
"হাত, বাহু, শাখা","हात, हात, शाखा"
অপেশাদার,हौशी
"অ্যারে, অ্যারে","अॅरे, अॅरे"
রিসিভার,प्राप्तकर्ता
উচ্চারণ স্বচ্ছতা,उच्चार स्पष्टता
সিন্থেটিক,सिंथेटिक
কৃত্রিম রূপান্তর,कृत्रिम संक्रमण
আরোহী,चढत्या
আরোহণ,आरोहण
আরোহণ,चढणे
আগলি,अगोली
সমষ্টি,एकत्रीकरण
এর সেট,संच
"সমাবেশ, সমাবেশ","एकत्र करणे, एकत्र करणे"
"একত্রিত করা, একত্রিত করা, একত্রিত করা","एकत्र करणे, एकत्र करणे, एकत्र करणे"
নির্ভুল অনুমান,अचूक अंदाज
নির্দিষ্ট (কোয়ান্টাম সংখ্যার) স্পেসিফিকেশন,निर्दिष्ट (क्वांटम संख्यांची) वैशिष्ट्ये
"সম্পর্কিত, সহযোগী, সংঘবদ্ধ","संबंधित, सहयोगी, संयुग्मित"
স্বরধ্বনি,स्वराचा उच्चार
স্বয়ংক্রিয় মাল্টিভাইব্রেটর,स्वयंचलित मल्टीव्हायब्रेटर
অ্যাস্থেনিক,अस्थेनिक
"পরিহার, দৃষ্টিভঙ্গি","संयम, दृष्टिवैषम्य"
মহাকাশ ভ্রমণ ইলেকট্রনিক্স,अंतराळ प्रवास इलेक्ट्रॉनिक्स
জ্যোতির্পদার্থবিদ্যা,खगोल भौतिकशास्त्र
মহাকাশচারী,अंतराळवीर
জ্যোতির্বিজ্ঞানী,खगोलशास्त्रज्ञ
স্বর্গীয়,आकाशीय
জ্যোতির্বিদ্যা,खगोलशास्त्र
জ্যোতির্পদার্থবিদ্যা,खगोल भौतिकशास्त्र
অপ্রতিসম,असममित
অ্যাসিম্পোটিক,लक्षणे नसलेला
উত্তেজক,त्रासदायक
অ্যাসিঙ্ক্রোনাস,असिंक्रोनस
"বায়ুমণ্ডল, বায়ুমণ্ডল","वातावरण, वातावरण"
বায়ুমণ্ডলীয়,वातावरणीय
বায়ু অশান্তি,वारा अशांतता
পারমাণবিক,आण्विक
পারমাণবিক,अणू
পারমাণবিকতা,आण्विकता
পারমাণবিক ভর,आण्विक वस्तुमान
পারমাণবিক সংখ্যা,अणुक्रमांक
"পারমাণবিক চুল্লি, পারমাণবিক গাদা","आण्विक अणुभट्टी, आण्विक ढीग"
পারমাণবিক,अणू
কণা,कण
কণা,कण
