Hindi,Marathi
रुद्ध-वृद्धि अंग,गर्भपात केलेला अवयव
रुद्ध वृद्धि बीज,गर्भपात बियाणे
"गर्भपात, गर्भस्राव, वृद्धि विरोध",गर्भपात
"अवांछित अपतृण, पूर्ण खरपतवार",परिपूर्ण तण
अवशोषित धनायन,शोषून घेतलेले केशन
अवशोषण,शोषण
ऐबिसिनी सरसों,अ‍ॅबिसिनियन मोहरी
"एकेरेसनाशी, चिचड़ीनाशी",एकरिसाइड
अकेंद्री,उच्चारण
प्रवर्धन (कोशिका),उच्चारण (सेल)
स्वीकृत सहायता,स्वीकारलेले सहिष्णुता
"अतिरिक्त, सहायक, गौण",Ory क्सेसरी
पर्यनुकूलन,सहनशीलता
संचय,संचय
"यथार्थता, परिशुद्धता",अचूकता
"एसर्वुलस, बीजाणुपात्र",अ‍ॅसर्व्हुलस
"ऐसीटीकरण, सिरका बनाना",एसीटिफिकेशन
"अम्लीकरण, अम्लन",आम्लता
"अम्लतामापी, एसिडीमीटर",अ‍ॅसिडिमीटर
अम्लता,आंबटपणा
अम्लरागी,अ‍ॅसिडोफिलिक
अम्लीकृत रॉक फॉस्फेट,अ‍ॅसिड्युलेटेड रॉक फॉस्फेट
अम्लसह,अ‍ॅसिड्यूरिक
जलभृत,जलचर
अधिग्रहण,संपादन
एकड़,एकर
"क्षेत्रफल, रकबा",एकर क्षेत्र
उपांत बिंदु क्रोमोसोम,अ‍ॅक्रोसेन्ट्रिक गुणसूत्र
अग्राभिसारी,अ‍ॅक्रोपेटल
ऐक्रोसोम,अ‍ॅक्रोसोम
एक्टिनोमाइसिटीज,अ‍ॅक्टिनोमाइसेट्स
सक्रिय मूलक्षेत्र,सक्रिय रूट झोन
"उग्र, तीव्र",तीव्र
अनुकूलनशीलता,अनुकूलता
अनुकूलन,रुपांतर
"आसंजन, अभिलाग, बन्ध",आसंजन
वसामय,Ip डिपोज
समायोजन समीकरण,समायोजन समीकरण
ऐडोब मृदा,अ‍ॅडोब माती
अपमिश्रक,व्यभिचारी
अपस्थानिक,साहसी
"एसीडियोस्पोर, एसीडियम बीजाणु",एसीडिओस्पोर
वातोढ़ प्रक्रिया,आयओलियन प्रक्रिया
वातोढ़,आयओलियन
वातन करना,वायुवीजन
"वायव, आकाशी",हवाई
"ऐरोमीटर, वायुमापी, वायुघनत्वमाप",एरोमीटर
ऐरोसॉल,एरोसोल
"पुष्पदलविन्यास, ग्रीष्मनिष्क्रियता",एस्टिवेशन
"रोग हेतु विज्ञान, व्याधिनिदान विज्ञान",एटिओलॉजी (एटिओलॉजी)
वनरोपण,वनीकरण
"विलोडन, प्रक्षोभन",आंदोलन
"ऐगमार्क, कृष्यंक",अ‍ॅगमार्क
"भूमी संबंधी, कृषि संबंधी",कृषी
कृषि निदानालय,कृषी क्लिनिक
"कृषि श्रम, खेतिहर मजदूर",कृषी कामगार
कृषि विपणन,कृषी विपणन
कृषि प्रद्योगिकी,कृषी तंत्रज्ञान
"कृषि, खेतीबारी, कृषि विज्ञान",शेती
कृषि वनवर्धन,कृषी सांस्कृतिक
