Bengali,English
অস্বাভাবিক,Abnormal
গর্ভপাত,Abort
ঘর্ষণ,Abrasion
আকস্মিক,Abrupt
পরম ক্ষেত্র শক্তি,Absolute field strength
পরম তাপমাত্রা,Absolute temperature
পরম মান,Absolute value
শোষণ,Absorb
শোষণ গুণাঙ্ক,Absorption co-efficient
শোষণ ক্ষতি,Absorption loss
বিমূর্ত,Abstract
অ্যাক্সিলোমিটার,Accelerometer
স্বীকৃতি পরীক্ষা,Acceptance test
অ্যাক্সেস,Access
প্রবেশাধিকার নিয়ন্ত্রণ,Access control
এক্সেস পয়েন্ট,Access point
প্রবেশাধিকার সময়,Access time
অ্যাক্সেসযোগ্যতা,Accessibility
একুমুলেটর সেল,Accumulator cell
সঠিকতা,Accuracy
নির্ভুল,Accurate
অ্যাক্রোমেটিক লেন্স,Achromatic lens
অ্যাসিড,Acid
অ্যাসিড প্রুফ,Acid proof
অম্লতা,Acidity
স্বীকৃতি বিট,Acknowledgement bit
অ্যাকোস্টিক,Acoustic
অ্যাকোস্টিক যোগাযোগ,Acoustic communication
অ্যাকোস্টিক প্রসারণ,Acoustic diffusion
অ্যাকোস্টিক ইকুয়ালাইজার,Acoustic equalizer
অ্যাকোস্টিক প্রতিক্রিয়া,Acoustic feedback
অ্যাকোস্টিক ফিল্টার,Acoustic filter
শব্দের সংরোধ,Acoustic impedance
অ্যাকোস্টিক মাস্কিং,Acoustic masking
অ্যাকোস্টিক শক্তি,Acoustic power
অ্যাকোস্টিক সম্পত্তি,Acoustic property
অ্যাকোস্টিক রিঅ্যাক্ট্যান্স,Acoustic reactance
অ্যাকোস্টিক রিফ্লেক্স,Acoustic reflex
অ্যাকোস্টিক টাইল,Acoustic tile
অ্যাকোস্টিক তরঙ্গ,Acoustic wave
শাব্দিক শোষণ,Acoustical absorption
শাব্দিক মনোযোগ ধ্রুবক,Acoustical attenuation constant
শাব্দিক স্যাঁতসেঁতে,Acoustical damping
শাব্দিক বিলম্ব লাইন,Acoustical delay line
শাব্দিক বিকৃতি,Acoustical distortion
শাব্দিক নালী,Acoustical duct
শাব্দিক শক্তি,Acoustical energy
শাব্দিক প্রতিক্রিয়া,Acoustical feedback
শাব্দিক ফিল্টার,Acoustical filter
শাব্দিক প্রতিবন্ধকতা,Acoustical impedance
শাব্দিক প্রচার ধ্রুবক,Acoustical propagation constant
শাব্দিক প্রতিরোধের,Acoustical resistance
শাব্দিকভাবে অন্তরক,Acoustically insulated
অ্যাকোস্টিকস,Acoustics
অধিগ্রহণ,Acquisition
সংক্ষিপ্ত বিবরণ,Acronym
অ্যাকশন এরিয়া,Action area
সক্রিয় ফিলামেন্ট,Activated filament
সক্রিয়,Active
সক্রিয় এলাকা,Active area
সক্রিয় উইন্ডো,Active window
অভিযোজনযোগ্যতা,Adaptability
অ্যাডাপ্টার (অ্যাডাপ্টার),Adapter (adaptor)
অভিযোজিত ডিফারেনশিয়াল পালস কোড মড্যুলেশন,Adaptive differential pulse code modulation
ঠিকানা বই,Address book
ঠিকানা বাস,Address bus
ঠিকানা রেজোলিউশন,Address resolution
সংলগ্ন চ্যানেল হস্তক্ষেপ,Adjacent channel interference
সংলগ্ন চ্যানেল নির্বাচন,Adjacent channel selectivity
সংলগ্ন ফ্রিকোয়েন্সি,Adjacent frequency
সংলগ্ন ফ্রিকোয়েন্সি চ্যানেল,Adjacent frequency channel
সংলগ্ন ছবি ক্যারিয়ার,Adjacent picture carrier
সংলগ্ন সাউন্ড ক্যারিয়ার,Adjacent sound carrier
সংলগ্ন স্টেশন,Adjacent station
সামঞ্জস্যযোগ্য,Adjustable
সামঞ্জস্যযোগ্য কনডেন্সার,Adjustable condenser
সামঞ্জস্য চাপ,Adjusting pressure
সামঞ্জস্য করা রেঞ্চ,Adjusting wrench
সামঞ্জস্য,Adjustment
প্রশাসক,Administrator
উন্নত প্রযুক্তি,Advanced technology
এরিয়াল,Aerial
এরিয়াল অ্যারে,Aerial array
এরিয়াল বুস্টার,Aerial booster
এরিয়াল কারেন্ট,Aerial current
এরিয়াল আর্থিং সুইচ,Aerial earthing switch
বায়বীয় দক্ষতা,Aerial efficiency
বায়বীয় প্রতিবন্ধকতা,Aerial impedance
এরিয়াল ইন্ডাক্ট্যান্স,Aerial inductance
এরিয়াল ইনসুলেটর,Aerial insulator
এরিয়াল লোডিং কয়েল,Aerial loading coil
আকাশ থেকে ছবি তোলা,Aerial photography
বায়বীয় শক্তি,Aerial power
বায়বীয় বিকিরণ পুনর্নির্মাণ,Aerial radiation reistance
বায়বীয় বিক্রিয়া,Aerial reactance
এয়ারোডাইনামিক্স,Aerodynamics
এজেন্সি,Agency
বায়ু সংকোচকারী,Air compressor
এয়ার কনডেন্সার,Air condenser
ঠান্ডা বাতাস,Air cooled
বায়ু কর্ড কয়েল,Air cored coil
এয়ারকন্ডিশনিং,Airconditioning
আলবেডো,Albedo
অ্যালগরিদম,Algorithm
এলিয়াসিং,Aliasing
সারিবদ্ধ,Aligning
প্রান্তিককরণ,Alignment
সমস্ত তরঙ্গ বিমান,All wave aerial
বরাদ্দ,Allocation
বর্ণমালা,Alphabetic
বর্ণমালা,Alphanumeric
আলফানিউমেরিক চরিত্র,Alphanumeric character
আলফানিউমেরিক তথ্য,Alphanumeric information
বিকল্প বর্তমান (এ.সি.),Alternating current (a.c.)
বিকল্প,Alternation
বিকল্প,Alternator
উচ্চতা,Altitude
অপোজির উচ্চতা,Altitude of the apogee
পেরিগির উচ্চতা,Altitude of the perigee
অপেশাদার রেডিও যোগাযোগ,Amateur radio communication
পরিবেশ,Ambience
পরিবেশ মাইক্রোফোন,Ambience microphone
পরিবেষ্টিত অবস্থা,Ambient condition
পরিবেষ্টনকারী আলো,Ambient lighting
পরিবেষ্টিত শব্দ,Ambient noise
পরিবেষ্টিত তাপমাত্রা,Ambient temperature
আমেরিকান স্ট্যান্ডার্ড কোড,American standard code
অ্যাম্পিয়ার,Ampere
অ্যাম্পের মিটার,Ampere meter
পরিবর্ধন,Amplification
প্রশস্তকরণ ফ্যাক্টর,Amplification factor
পরিবর্ধক,Amplifier
পরিবর্ধক লাভ,Amplifier gain
পরিবর্ধক শব্দ,Amplifier noise
পরিবর্ধক সরঞ্জাম,Amplifying equipment
ক্লাইস্ট্রনকে প্রশস্তকরণ,Amplifying klystron
পরিবর্ধক ইউনিট,Amplifying unit
প্রশস্ততা,Amplitude
প্রশস্ততা বিকৃতি,Amplitude distortion
প্রশস্ততা ভ্রমণ,Amplitude excursion
প্রশস্ততা ফ্যাক্টর,Amplitude factor
প্রশস্ততা সীমাবদ্ধ,Amplitude limiter
প্রশস্ততা মোডুলেটেড,Amplitude modulated
প্রশস্ততা মড্যুলেশন,Amplitude modulation
অ্যানালগ (অ্যানালগ),Analog (analogue)
অ্যানালগ সার্কিট,Analog circuit
অ্যানালগ কম্পিউটার,Analog computer
অ্যানালগ রেডিও ফ্রিকোয়েন্সি চ্যানেল,Analog radio frequency channel
অ্যানালগ উপস্থাপনা,Analog representation
এনালগ সংকেত,Analog signal
ডিজিটাল অ্যানালগ,Analog to digital
ডিজিটাল কনভার্টারে অ্যানালগ,Analog to digital converter
অ্যানালগ ভিডিও,Analog video
সাদৃশ্য,Analogous
উপমা,Analogy
বিশ্লেষণ,Analysis
ডেটা বিশ্লেষণ,Analysis of data
বিশ্লেষণাত্মক ঘনত্ব,Analytical density
বিশ্লেষণ করুন,Analyze
বিশ্লেষক,Analyzer
আনুষঙ্গিক সরঞ্জাম,Ancilliary equipment
এবং গেট,AND Gate
কলিমেশন কোণ,Angle of collimation
মেরুকরণের কোণ,Angle of polarization
ঘূর্ণনের কোণ,Angle of rotation
অ্যাংস্ট্রোম (Å),Angstrom (Å)
কৌণিক,Angular
কৌণিক ত্বরণ,Angular acceleration
কৌণিক সমন্বয়,Angular co-ordinates
কৌণিক ডিফ্লেশন,Angular deflection
কৌণিক বিচ্ছুরণ,Angular dispersion
কৌণিক স্থানচ্যুতি,Angular displacement
কৌণিক ত্রুটি,Angular error
কৌণিক কম্পাংক,Angular frequency
কৌণিক ভরবেগ,Angular momentum
কৌণিক গতি,Angular motion
কৌণিক বেগ,Angular velocity
অ্যানিমেশন,Animation
আনোড,Anode
আনোড ব্যাটারি,Anode battery
অ্যানোড বৈশিষ্ট্য,Anode characteristic
আনোড সার্কিট,Anode circuit
অ্যানোড অপচয়,Anode dissipation
আনোড দক্ষতা,Anode efficiency
আনোড ইনপুট শক্তি,Anode input power
অ্যানোড মড্যুলেশন,Anode modulation
অ্যান্টেনা,Antenna
অ্যান্টেনা বিমউইথ,Antenna beamwidth
অ্যান্টেনা বুস্টার,Antenna booster
অ্যান্টেনা চেঞ্জওভার সুইচ,Antenna changeover switch
অ্যান্টেনা কয়েল,Antenna coil
অ্যান্টেনা কনফিগারেশন,Antenna configuration
অ্যান্টেনা কাপলার,Antenna coupler
অ্যান্টেনা ক্রস পোলার প্যাটার্ন,Antenna cross polar pattern
