Kannada,Tamil
ಅಬೆಲಿ ಗುಂಪು,அபேலி குழு
ಅಬೆಲಿ ಗುಂಪು,அபேலி குழு
ಕೈ,கை
"ಸಂಪೂರ್ಣ, ಸಂಪೂರ್ಣ, ಸ್ಥಿರ, ನಿಖರ","முழுமையான, முழுமையான, நிலையான, துல்லியமான"
ಸಂಪೂರ್ಣ ಒಮ್ಮುಖ,முழுமையான ஒருங்கிணைப்பு
ಸಂಪೂರ್ಣ ದೋಷ,முழுமையான பிழை
ಸರ್ವೋಚ್ಚ ಸರ್ವೋಚ್ಚ,உச்ச உச்ச
ಸಂಪೂರ್ಣ ಕಡಿಮೆ,முற்றிலும் குறைந்த
ಸಂಪೂರ್ಣ ಮೌಲ್ಯ,துல்லியமான மதிப்பு
ಸಂಪೂರ್ಣ ವೇಗ,முழுமையான வேகம்
ಅಮೂರ್ತ ಬೀಜಗಣಿತ,சுருக்க இயற்கணிதம்
ಅಮೂರ್ತ ಗುಂಪು ಸಿದ್ಧಾಂತ,சுருக்க குழு கோட்பாடு
ವೇಗವರ್ಧನೆ,முடுக்கம்
ಗುರುತ್ವಾಕರ್ಷಣೆಯ ವೇಗವರ್ಧನೆ,ஈர்ப்பு முடுக்கம்
ಸ್ವೀಕಾರಾರ್ಹ ಆಯ್ಕೆಗಾರ,ஏற்றுக்கொள்ளக்கூடிய தேர்வாளர்
ಸ್ವೀಕಾರಾರ್ಹ ಗುಣಮಟ್ಟದ ಮಟ್ಟ,ஏற்றுக்கொள்ளக்கூடிய தர நிலை
ಸ್ವೀಕಾರಾರ್ಹ ಆವರಣ,ஏற்றுக்கொள்ளக்கூடிய வளாகம்
ಮಾನ್ಯವಾದ ವಿಶ್ವಾಸಾರ್ಹತೆಯ ಮಟ್ಟ,சரியான நம்பகத்தன்மை நிலை
ಸ್ವೀಕಾರ ಮಾದರಿ,ஏற்பு மாதிரி
ಸಂಚಿತ ದೋಷ,திரட்டப்பட்ட பிழை
ನಿಖರತೆ,துல்லியம்
ಅನ್ವಯಿಸಿದ ಬಲ,பயன்படுத்தப்படும் சக்தி
"ಕ್ರಿಯೆ, ಕಾರ್ಯ","செயல், செயல்"
ಕ್ರಿಯೆ ಮತ್ತು ಪ್ರತಿಕ್ರಿಯೆ,செயல் மற்றும் எதிர்வினை
ವಿಮಾ ವಿಜ್ಞಾನ,காப்பீட்டு அறிவியல்
ತೀವ್ರ ತ್ರಿಕೋನ,கடுமையான முக்கோணம்
ಅಸೈಕ್ಲಿಕ್,அசைக்ளிக்
ಒಟ್ಟುಗೂಡಿಸಲು,மொத்தத்தில்
ಸೇರಿಸುವವನು,சேர்ப்பான்
"ಮೊತ್ತ, ಸಂಕಲನ, ಸಂಕಲನ (ಸಿ.), ಸಂಯೋಜಕ (ವಿ.)","தொகை, கூட்டல், கூட்டுத்தொகை (c.), கூட்டல் (v.)"
ಯೋಗದ ಸೂತ್ರ,யோகா சூத்திரம்
ಸಂಕೀರ್ಣ ಸಂಖ್ಯೆಗಳ ಮೊತ್ತ,கலப்பு எண்களின் கூட்டுத்தொகை
ಕಾರ್ಯಗಳ ಮೊತ್ತ,செயல்பாடுகளின் கூட்டுத்தொகை
ಮ್ಯಾಟ್ರಿಕ್ಸ್ ಮೊತ್ತ,மெட்ரிக்குகளின் கூட்டுத்தொகை
ಬಹುಪದಗಳ ಮೊತ್ತ,பல்லுறுப்புக்கோவைகளின் தொகை
ಸಂಭವನೀಯತೆಗಳ ಮೊತ್ತ,நிகழ்தகவுகளின் கூட்டுத்தொகை
ವಾಹಕಗಳ ಮೊತ್ತ,திசையன்களின் தொகை
"ಯೋಗ ಪ್ರಮೇಯ, ಬೆರ್ರಿ ಸಿದ್ಧಾಂತ,","தொகை தேற்றம், பெர்ரி கோட்பாடு"
ಸಂಯೋಜಕ ಗುಂಪು,சேர்க்கை குழு
ಸಂಯೋಜಕ ವಿಲೋಮ,தலைகீழ் சேர்க்கை
ಸೇರಿಸುವಿಕೆ,சேர்க்கை
ಸೇರಿಸುವಿಕೆ,சேர்க்கை
ಪಕ್ಕದ ಮ್ಯಾಟ್ರಿಕ್ಸ್,அருகாமை அணி
"ಪಕ್ಕದ, ಪಕ್ಕದ, ಪಕ್ಕದ","அருகாமை, அருகாமை, அருகாமை"
ಪಕ್ಕದ ಕೋನ,அருகில் உள்ள கோணம்
ಪಕ್ಕದ ಶೃಂಗ,அருகில் உள்ள உச்சி
ಸಂಯೋಜಿಸಲು,தொடர்புபடுத்த
"ಲಗತ್ತಿಸಲಾದ ಸುತ್ತುವರಿದ,",இணைக்கப்பட்ட உறை
ಸಾಮಾನ್ಯ ನಿರ್ಣಾಯಕ,பொதுவான தீர்மானிப்பான்
