Malayalam,Gujarati
ശീതീകരണം,ખર્ચ
ചുരുക്കല്,સંક્ષેપ
പിടിച്ചുകൊണ്ടുപോകല്,અપહરણ
Aveyne,સ્થગ
കഴിവ്,ક્ષમતા
Ab initio,આરંભ
കഴിവുള്ള,કઠોર
വിലക്ഷണമായ,અસામાન્ય
നിർത്തലാക്കൽ,નાબૂદી
നിർത്തലാക്കൽ പോസ്റ്റ്,નાબૂદી પોસ્ટ
മുകളിൽ സൂചിപ്പിച്ച,ઉપર ઉલ્લેખ કર્યો છે
മുകളിൽ ഉദ്ധരിച്ചത്,ઉપર જણાવેલ
മുകളിൽ പറഞ്ഞത്,ઉપર જણાવ્યું હતું કે
അസാന്നിദ്ധം,ગેરહાજરી
ഹാജരാകാത്ത,ગેરહાજર
ഹാജരാകാത്തീയത,ગેરહાજરી
ഹാജരാകാതിരിക്കുക,અનુપસ્થિત નિવેદનો
കേശവം,અબાધિત
കേവല കുത്തക,અબાધિત ઈજારો
കേവല ഉടമസ്ഥാവകാശം,અબાધિત માલિકી
ആഗിരണം,સમાવેશ
വേര്പെട്ടുനില്ക്കുന്ന,નિષ્ક્રિય
അനുഗമിക്കുന്നു,અખબારો
അസംബന്ധം,વાહિયાત
സമൃദ്ധി,વિપુલતા
അധികാര ദുരുപയോഗം,સત્તાનો દુરુપયોગ
അധിക്ഷേപകരമായ ഭാഷ,અપશબ્દો
പണ്ഡിതോചിതമായ,શૈક્ષણિક
അക്കാദമിക് ചർച്ച,શૈક્ષણિક ચર્ચા
അക്കാദമിക് അവധി,શૈક્ષણિક રજા
വിദ്യാഭ്യാസ യോഗ്യത,શૈક્ષણિક લાયકાત
അക്കാദമിക് റെക്കോർഡ്,વિદ્યા
നിര്വഹിക്കുക,સહયોગ કરવો
അംഗീകരിക്കുക,સ્વીકારવું
കൈക്കൊള്ളല്,સ્વીકૃતિ
ഓഫീസിന്റെ സ്വീകാര്യത,પદની સ્વીકૃતિ
ടെണ്ടർ സ്വീകാര്യത,પ્રતિજ્ ofા
പ്രവേശനം,પ્રવેશ
അപേക്ഷ,સંચાર
ഉപസാധനം,સહાયક
ആകസ്മികത,અકસ્માત
ACCLIMATIES,સ્વાર્થીકરણ
സ്ഥലസൗകരം,આવાસ
അനുഗമിച്ചു,સંલગ્ન
അക്കോര്,સંલગ્ન
അഭാവം,અનુસાર
അക്കാരണത്താല്,તદનુસાર
കണക്ക്,હિસાબ
ഉത്തരവാദിത്തം,જવાબદારી
ഉത്തരവാദിയായ,જવાબદાર
അക്കൗണ്ടൻസി,હિસાબની સંખ્યા
കണക്കെഴുത്തുകാരി,હિસાબ રાખનાર
അക്കൗണ്ട്,માટે એકાઉન્ટ
അക്കൗണ്ട് തല,હિસાબનું માથું
വർദ്ധിച്ച ആനുകൂല്യം,ઉપાર્જિત લાભ
വർദ്ധിച്ച പെൻഷൻ,ઉપાર્જિત પેન્શન
കൂന്വാരം,સંચય
കൃതത,ચોકસાઈ
സൂക്ഷ്മമായ,ચોક્કસ
ബോധിപ്പിക്കുന്ന,આક્ષેપ કરવો
കുറ്റക്കാരന്,આરોપી
നേട്ടം,સિદ્ધિ
അംഗീകാരം,સ્વીકૃતિ
അംഗീകാരത്തിന്റെ,સ્વીકૃતિ
പരിചയം,પરિચય
കൈവശപ്പെടുത്തൽ,સંપાદન
കുറ്റപാട്വിൽപ്പന,મુક્તિ
പവര്ത്തിക്കുക,કૃત્ય
അഭിനയ അലവൻസ്,કાર્યકારી ભથ્થું
പവര്ത്തി,ક્રિયા
പ്രവർത്തന പദ്ധതി,કાર્ય યોજના
സജീവമായ,સક્રિય
സജീവമായി,સક્રિયપણે
ചുറുചുറുക്കുള്ളവള്,સક્રિયકાર્ય
ദൈവിക പ്രവൃത്തി,ભગવાનનો કૃત્ય
ദുരാചാരത്തിന്റെ പ്രവർത്തനം,ગેરવર્તન
കമ്മീഷന്റെയും ഒഴിവാക്കലിന്റെയും നിയമം,કમિશન અને કમિશન અને બાદબાકી
യഥാര്ത്ഥത്തിലുള്ള,વાસ્તવિક
വാസ്തവങ്ങൾ,વાસ્તવિક
പൊരുത്തപ്പെടുത്തൽ,અનુકૂલન
കൂട്ടല്,વધારા
അധിക നിരക്ക്,વધારાનો ખર્ચ
അധിക ഫണ്ട്,વધારાના નિધિ
അധിക ഗ്രാന്റ്,વધારાની અનુદાન
അധിക വിവരം,વધારાની માહિતી
അധിക വേതനം,વધારાનો પગાર
കൂട്ടിച്ചേർക്കലും മാറ്റവും,ઉમેરો અને ફેરફાર
അഭിസംബോധന ചെയ്യുക,સંબોધન
വിലാസശാല,સંબોધન કરનાર
സ്വാഗത വിലാസം,સ્વાગતનું સરનામું
പരാപ്തമായ,પૂરતું
ഇത് പാലിക്കുക,ને અનુરૂપ બનાવવું
ആഡ് ഹോക്ക്,તદર્થ
AD HOC ക്ലെയിം,તદર્થપત્ર
താൽക്കാലിക സമിതി,તદર્થ સમિતિ
താൽക്കാലിക വർദ്ധനവ്,તદર્થ વધારો
പരസ്യ ഹോക് പേയ്മെന്റ്,તદ્દન ચુકવણી
തൊട്ടുകിടക്കുന്ന,અડીને
തൊട്ടടുത്ത് (= തുടർച്ചയായ),અડીને (= સુસંગત)
വചലിക്കുക,મોકૂફી
നീരസം ചലനം,મોકૂફીની દરખાસ્ત
Cakudgge,ન્યાયનિર્ણય કરવો
ശിക്ഷിക്കപ്യം,ન્યાયનિર્ણય કરવો
വിധിന്യായ,ન્યાયનિર્ણય
Adjudication,ન્યાયનિધીકરણ કરનાર
കമപ്പെടുത്തല്,સમાયોજન
രാജംഭരിക്കുക,સંચાલન કરવું
സത്യപ്രതിഷേധിക്കുന്നു,સોગંદ કરવો
ഭരണകൂടം,વહીવટ
നീതിയുടെ ഭരണം,ન્યાય પ્રણાલી
ഭരണപരമായത്,વહીવટી
അഡ്മിനിസ്ട്രേറ്റീവ് പ്രവർത്തനം,વહીવટી પગલાં
അഡ്മിനിസ്ട്രേറ്റീവ് മൂല്യനിർണ്ണയം,વહીવટી મૂલ્યાંકન
അഡ്മിനിസ്ട്രേറ്റീവ് അംഗീകാരം,વહીવટી મંજૂરી
