Marathi,Hindi
अजैविक पुनरुत्पादन,अजीवात् जनन
अलौकिक,अपसामान्य
1. चौथे पोट 2. इवोमासोम,1. चतुर्थ आमाशय 2. ऐवोमैसम
रंध्र वाढीचा अवयव,रुद्ध-वृद्धि अंग
वाढ खुंटलेले बीज,रुद्ध वृद्धि बीज
1. गर्भपात 2. गर्भपात 3. वाढीचा प्रतिकार,1. गर्भपात 2. गर्भस्राव 3. वृद्धि विरोध
1. अवांछित तण 2. पूर्ण तण,1. अवांछित अपतृण 2. पूर्ण खरपतवार
शोषलेले केशन,अवशोषित धनायन
शोषण,अवशोषण
Abyssinian मोहरी,ऐबिसिनी सरसों
1. ऍकेरिसाइड,1.एकेरेसनाशी 2. चिचड़ीनाशी
केंद्राभिमुख,अकेंद्री
प्रवर्धन (सेल),प्रवर्धन (कोशिका)
मंजूर सहिष्णुता,स्वीकृत सह्यता
1.अतिरिक्त 2.अॅक्सेसरी 3.अॅक्सेसरी,1.अतिरिक्त 2. सहायक 3. गौण
रुपांतर,पर्यनुकूलन
जमा,संचय
1. अचूकता 2. अचूकता,1.vयथार्थता 2. परिशुद्धता
1. एसरव्हुलस 2. स्पोरोफाइट,1. एसर्वुलस 2. बीजाणुपात्र
1. एसिटायझेशन 2. व्हिनेगर बनवणे 3. एसिटिलीन,1. ऐसीटीकरण 2. सिरका बनाना 3. ऐसीटीलन
1. आम्लीकरण 2. आम्लीकरण,1. अम्लीकरण 2. अम्लन
1. ऍसिडोमीटर 2. ऍसिडीमीटर,1.अम्लतामापी 2. एसिडीमीटर
आंबटपणा,अम्लता
ऍसिडोफाइल,अम्लरागी
ऍसिडिफाइड रॉक फॉस्फेट,अम्लीकृत रॉक फॉस्फेट
आम्लीकृत,अम्लसह
जलचर,जलभृत
संपादन,अधिग्रहण
एकर,एकड़
1. क्षेत्रफळ 2. क्षेत्रफळ,1.क्षेत्रफल 2. रकबा
अंतिम बिंदू गुणसूत्र,उपांत बिंदु क्रोमोसोम
पुढे दिसणारा,अग्राभिसारी
acrosome,ऐक्रोसोम
actinomycetes,एक्टिनोमाइसिटीज
सक्रिय कोर,सक्रिय मूलक्षेत्र
1. उग्र 2. तीव्र,1.उग्र 2. तीव्र
अनुकूलता,अनुकूलनशीलता
सानुकूलन,अनुकूलन
1. आसंजन 2. आसंजन,1. आसंजन 2. अभिलाग
सेबेशियस,वसामय
समायोजन समीकरण,समायोजन समीकरण
adobe माती,ऐडोब मृदा
भेसळ करणारा,अपमिश्रक
एक्टोपिक,अपस्थानिक
Isidiospore Isidium बीजाणू,इसीडियोस्पोर इसीडियम बीजाणु
वायुगतिकीय प्रक्रिया,वातोढ़ प्रक्रिया
वेंट्रल,वातोढ़
वायुवीजन करणे,वातन करना
1. हवा 2. आकाशी,1. वायव 2. आकाशी
1. एरोमीटर 2. एरोमीटर 3. एरोमीटर,1. ऐरोमीटर 2. वायुमापी 3. वायुघनत्वमाप
एरोसोल,ऐरोसोल
1. फुलणे 2. उन्हाळी सुप्तता,1. पुष्पदलविन्यास 2. ग्रीष्मनिष्क्रियता
रोग विज्ञान,रोग हेतु विज्ञान
वनीकरण,वनरोपण
1. आंदोलन 2. अशांतता,1. विलोडन 2. प्रक्षोभन
Agmark,ऐगमार्क
1. जमिनीशी संबंधित 2. कृषी,1. भूमि संबंधी 2. कृषि संबंधी
कृषी चिकित्सालय,कृषि निदानालय
1. शेतमजूर 2. शेतमजूर,1. कृषि श्रम 2. खेतिहर मजदूर
कृषी विपणन,कृषि विपणन
कृषी तंत्रज्ञान,कृषि प्रद्योगिकी
1. शेती 2. शेती 3. कृषी विज्ञान,1. कृषि 2. खेतीबारी 3. कृषि विज्ञान
कृषी वनीकरण,कृषि वनवर्धन
कृषी जैवविविधता,कृषि जैविक विविधता
कृषी सेंद्रिय दोष,कृषि जैविक दोष
कृषी जीवशास्त्र,कृषि जैविकी
कृषी-हवामान विविधता,कृषि जलवायुवीय विविधता
