Bengali,Gujarati
"1.অ্যাবাকাস, 2. গণনা","1.એબેકસ, 2. ગણતરી"
অস্বাভাবিক সমাপ্তি,અસામાન્ય અંત
পথিমধ্যে রোধ করা,ઇન્ટરસેપ્ટ
"1. পরম, 2. সর্বোচ্চ","1. સંપૂર્ણ, 2. સર્વોચ્ચ"
পরম ঠিকানা,સંપૂર્ણ સરનામું
পরম ঠিকানাযোগ্যতা,સંપૂર્ણ સંબોધનક્ષમતા
পরম সংযোজনকারী,સંપૂર્ણ એસેમ્બલર
"1. পরম কোড, 2. পরম কোড","1. સંપૂર્ણ કોડ, 2. સંપૂર્ણ કોડ"
পরম আদেশ,સંપૂર્ણ આદેશ
"1. পরম পরিসংখ্যান, 2. পরম তথ্য","1. સંપૂર્ણ આંકડા, 2. સંપૂર્ણ ડેટા"
পরম নির্দেশ,સંપૂર્ણ સૂચના
পরম মোড,સંપૂર્ણ મોડ
পরম পথ,સંપૂર્ણ માર્ગ
"1. পরম প্রোগ্রামিং, 2. পরম প্রোগ্রামিং","1. સંપૂર્ણ પ્રોગ્રામિંગ, 2. સંપૂર્ણ પ્રોગ્રામિંગ"
বিমূর্ত ক্লাস,અમૂર્ત વર્ગ
বিমূর্ত তথ্য প্রকার,અમૂર્ત ડેટા પ્રકાર
বিমূর্ত মেশিন,અમૂર્ત મશીન
বিমূর্ত প্রতীক,અમૂર્ત પ્રતીક
বিমূর্ত বাক্য গঠন,અમૂર્ત વાક્યરચના
স্বীকৃতি পরীক্ষা,સ્વીકૃતિ કસોટી
অ্যাক্সেস সার্টিফিকেশন,પ્રવેશ પ્રમાણપત્ર
"1. অ্যাক্সেস কোড, 2. প্রবেশাধিকার কোড","1. એક્સેસ કોડ, 2. ઍક્સેસ કોડ"
প্রবেশাধিকার নিয়ন্ত্রণ,વપરાશ નિયંત્રણ
অ্যাক্সেস স্ক্যানিং,ઍક્સેસ સ્કેનિંગ
আনুষাঙ্গিক,એસેસરીઝ
অ্যাকাউন্টিং,નામું
"1. অ্যাকাউন্ট আইডি, 2। অ্যাকাউন্টিং সনাক্তকরণ","1. એકાઉન્ટ ID, 2. એકાઉન્ટિંગ ઓળખ"
সঞ্চয়কারী,સંચયક
"1. নির্ভুলতা, 2. সঠিকতা","1. ચોકસાઈ, 2. ચોકસાઈ"
অ্যাক্সেস,ઍક્સેસ
অ্যাক্সেস নিয়ন্ত্রণ বাইট,એક્સેસ કંટ્રોલ બાઇટ્સ
অ্যাক্সেস সূচক,ઍક્સેસ સૂચક
অ্যাক্সেস কী,ઍક્સેસ કી
"1. অ্যাক্সেস ম্যাট্রিক্স, 2. অ্যাক্সেস ম্যাট্রিক্স","1. એક્સેસ મેટ્રિક્સ, 2. એક્સેસ મેટ્રિક્સ"
অ্যাক্সেস মোড,ઍક્સેસ મોડ
সুযোগ সুবিধা,ઍક્સેસ વિશેષાધિકારો
অ্যাক্সেস নিরাপত্তা,ઍક્સેસ સુરક્ષા
"1. অ্যাক্সেস সার্ভার, 2. অ্যাক্সেস সার্ভার","1. એક્સેસ સર્વર, 2. સર્વર ઍક્સેસ કરો"
প্রবেশাধিকার সময়,ઍક્સેસ સમય
স্বীকৃতি,સ્વીકૃતિ
ধ্বনিবিদ্যা,ધ્વનિશાસ્ત્ર
"1. আদ্যক্ষর, 2. সংক্ষিপ্ত রূপ, 3. থেকে সংক্ষিপ্ত","1. ટૂંકાક્ષર, 2. સંક્ષેપ, 3. થી ટૂંકું"
কর্ম বার্তা,ક્રિયા સંદેશ
সক্রিয়করণ,સક્રિયકરણ
সক্রিয় সার্ভার পৃষ্ঠা,સક્રિય સર્વર પૃષ્ઠ
সক্রিয় সংস্করণ,સક્રિય સંસ્કરણ
অ্যাসাইক্লিক,એસાયક્લિક
"1. অ্যাসাইক্লিক গ্রাফ, 2. অ্যাসাইক্লিক গ্রাফ","1. એસાયક્લિક ગ્રાફ, 2. એસાયક્લિક ગ્રાફ"
অ্যাডা কম্পিউটার ল্যাঙ্গুয়েজ,અદા કોમ્પ્યુટર ભાષા
"1. অপ্টিমাইজার, 2. অপ্টিমাইজার","1. ઑપ્ટિમાઇઝર, 2. ઑપ્ટિમાઇઝર"
যোগ করা),સરવાળે)
সমষ্টি ফাইল,સરવાળો ફાઇલ
"1. সংযোজন অপারেশন, 2. যোগফল অপারেশন","1. એડિશન ઓપરેશન, 2. સરવાળો કામગીરી"
যোগকারী,ઉમેરનાર
জানি,જાણો
ঠিকানা বাস,સરનામું બસ
ঠিকানা ফাইল,સરનામું ફાઇલ
ঠিকানা বিন্যাস,સરનામું ફોર્મેટ
ঠিকানা জেনারেটর,સરનામું જનરેટર
ঠিকানা লাইন,એડ્રેસ લાઇન
ঠিকানা ম্যাপিং,સરનામું મેપિંગ
ঠিকানা নির্দেশক,સરનામું સૂચક
ঠিকানা রেজিস্টার,સરનામું રજીસ્ટર
ঠিকানা ভাঙ্গন,સરનામું ભંગાણ
ঠিকানা অনুবাদ,સરનામા અનુવાદ
"1. ঠিকানাযোগ্য স্মৃতি, 2. ঠিকানাযোগ্য মেমরি","1. એડ્રેસેબલ મેમરી, 2. એડ્રેસેબલ મેમરી"
সম্বোধন,સંબોધન
"1. পর্যাপ্ততার মানদণ্ড, 2. পর্যাপ্ততার মানদণ্ড","1. પર્યાપ્તતા માપદંડ, 2. પર્યાપ્તતા માપદંડ"
সংযুক্তি,જોડાણ
