Bengali,Gujarati
অ্যাসিডয়েড,એસિડોઇડ
বায়বীয় মাটি,એઓલિયન માટી
সমষ্টি,એકંદર
সমষ্টি,એકત્રીકરણ
কৃষিবিদ্যা,કૃષિશાસ્ત્ર
কৃষিবিদ্যা,કૃષિવિજ્ઞાન
A- দিগন্ত,A-ક્ષિતિજ
আও-দিগন্ত,Ao-ક્ષિતિજ
আও-দিগন্ত,Aoo-ક્ષિતિજ
মাটির বায়ু ক্ষমতা,માટીની હવા ક્ષમતા
মাটির বায়ু উপাদান,જમીનની હવાની સામગ્રી
এয়ার পিকনোমিটার,એર પિકનોમીટર
অ্যালিটিক মাটি,એલિટિક માટી
পলিমাটি,કાંપવાળી માટી
অ্যামফোলাইটয়েড,એમ્ફોલિટોઇડ
অ্যানিয়ন,આયન
"আপাত নির্দিষ্ট মাধ্যাকর্ষণ আয়তনের ওজন বা বাল্ক নির্দিষ্ট মাধ্যাকর্ষণ,&quot;","દેખીતી ચોક્કસ ગુરુત્વાકર્ષણ વોલ્યુમ વજન અથવા બલ્ક ચોક્કસ ગુરુત્વાકર્ષણ,&quot;"
আরিস,એરિસ
আশলার সূক্ষ্ম গাঁথনি,Ashlar દંડ ચણતર
আশলার রাজমিস্ত্রি,Ashlar ચણતર
অ্যাজোনাল মাটি,એઝોનલ માટી
পেছনের অভিনেতা,પાછળનો અભિનેતા
পিছনের খিলান,પાછળની કમાન
ব্যাক ব্যান্ড,બેક બેન્ડ
পিছনের ব্রাশ,પાછળ બ્રશ
ফিরে চেক,બેક ચેક
পিছনে কাউন্টার,બેક કાઉન્ટર
পিছনে কাটা,પાછળ કટીંગ
ব্যাক ড্রাফ্ট ড্যাম্পার,બેક ડ્રાફ્ટ ડેમ્પર
পিছনের ড্রেন,બેક ડ્રેઇન
ব্যাকড্রপ,બેક ડ્રોપ
ব্যাক ফিল,પાછળ ભરો
ব্যাক ফিললেট,બેક ફીલેટ
পিছনে ফ্ল্যাপ কবজা,બેક ફ્લૅપ મિજાગરું
পিছনে প্রবাহ সংযোগ,બેક ફ્લો કનેક્શન
পিছনে প্রবাহ প্রতিরোধক,બેક ફ્લો નિવારક
ব্যাক গেজ,બેક ગેજ
পিছনে নর্দমা,પાછળ ગટર
পিছনের চুলা,બેક હર્થ
ব্যাকিং,બેકિંગ
ব্যাকিং বোর্ড,બેકિંગ બોર્ડ
ফিরতি চাপ,પાછળ ધકેલાતું દબાણ
পিছনে প্রপ,બેક પ્રોપ
পিছনের দৃষ্টি,પાછળની દૃષ્ટિ
পিঠের জল,પાછું પાણી
বিভ্রান্ত,બેફલ
ব্যাগওয়ার্ক,બેગવર્ક
ব্যালাস্ট,બેલાસ્ટ
বল কাদামাটি,બોલ માટી
বল শঙ্কু বাতা,બોલ શંકુ ક્લેમ્બ
কাঁটাতার,કાંટાળો તાર
বার কুকুর,બાર કૂતરો
বার্জ বোর্ড,બાર્જ બોર્ડ
বেরিয়াম সালফেট পরীক্ষা,બેરિયમ સલ્ફેટ ટેસ્ટ
ব্যারেজ,બેરેજ
ব্যারেট,બેરેટ
বেস,પાયો
বেস বিনিময়,આધાર વિનિમય
বেস লাইন,બેઝ લાઇન
বেসমেন্ট,ભોંયરું
বেসমেন্ট প্রাচীর,ભોંયરું દિવાલ
বেস প্লেট,બેઝ પ્લેટ
"বেস প্লেট, নিয়মিত","બેઝ પ્લેટ, એડજસ્ટેબલ"
বেস স্যাচুরেশন,આધાર સંતૃપ્તિ
বেসয়েড,બેસોઇડ
ব্যাট,બેટ
স্নান এবং WC,સ્નાન અને WC
ব্যাটার পেগ,સખત મારપીટ
ব্যাটার পিয়ার,સખત મારપીટ પિયર
ব্যাটারের নিয়ম,સખત મારપીટનો નિયમ
বাল্ক (বাল্ক),બૉલ્ક (બાલ્ક)
বে,ખાડી
বহনকারী,ધારક
ভারবহন ক্ষমতা,બેરિંગ ક્ષમતા
ভারবহন গাদা,બેરિંગ ખૂંટો
ভারবহন স্তর,બેરિંગ સ્ટ્રેટમ
বিছানা,પથારી
বেডিং প্লেন,પથારીનું વિમાન
বেড জয়েন্ট,બેડ સંયુક્ત
বিছানা শিলা,બેડ રોક
শয়নকক্ষ,બેડ રૂમ
মোম,મીણ
বেল বক্স,બેલ બોક્સ
বেলিং বালতি,બેલિંગ ડોલ
বেলোফ্রাম,બેલોફ્રેમ
বেঞ্চড ফাউন্ডেশন,બેન્ચ્ડ ફાઉન્ડેશન
বেঞ্চিং,બેન્ચિંગ
মাপকাঠি,બેન્ચ માર્ક
বেনিফিট খরচ বিশ্লেষণ,લાભ ખર્ચ વિશ્લેષણ
বারম,બેર્મ
বেভেলড ক্লোজার,બેવેલ્ડ બંધ
"বি-দিগন্ত,&quot;বি-","B-ક્ષિતિજ,&quot;B-"
বিয়াট,બાયટ
বাইন্ডার,બાઈન્ડર
বাঁধাই উপাদান,બંધનકર્તા સામગ્રી
বায়োটের তত্ত্ব,બાયોટનો સિદ્ધાંત
বিটুমেন,બીટુમેન
কালো তুলার মাটি,કાળી કપાસની માટી
কালো পৃথিবী,કાળી પૃથ્વી
কালো টার্ফ মাটি,કાળી જડિયાંવાળી જમીન
ব্লেড,બ્લેડ
ব্লাস্ট ফার্নেস স্ল্যাগ সিমেন্ট,બ્લાસ્ટ ફર્નેસ સ્લેગ સિમેન્ટ
অবরুদ্ধ কাঠামো,બ્લોકી માળખું
বগি প্রতিরোধ,બોગી પ્રતિકાર
বগ-লোহা আকরিক,બોગ-આયર્ન ઓર
বন্ধন,બોન્ડ
বন্ডেড সদস্য,બંધાયેલા સભ્ય
বন্ধন পোস্ট উত্তেজনা,બોન્ડેડ પોસ્ટ ટેન્શનિંગ
বন্ড পাথর,બોન્ડ પથ્થર
আবদ্ধ জল,બંધાયેલ પાણી
বক্স নর্দমা,બોક્સ ગટર
বন্ধনী,તાણવું
ইট-অন-এজ,ઈંટ પર ધાર
লাগাম,બ્રિડલ
উজ্জ্বলতা,તેજ
বাদামী মাটি,બ્રાઉન માટી
বিল্ডিং,બિલ્ડીંગ
বিল্ডিং সার্ভেয়ার,બિલ્ડીંગ સર્વેયર
বাফার,બફર
বাফার বক্ররেখা,બફર વળાંક
বাফারিং,બફરિંગ
বাফার ক্ষমতা,બફરિંગ ક્ષમતા
বান্দর,બંદર
বাট্রেস,બટ્રેસ
সি-দিগন্ত,સી-ક્ષિતિજ
তারের,કેબલ
তারের ছাঁচনির্মাণ,કેબલ મોલ્ડિંગ
ক্যাবলিং,કેબલિંગ
কেবিন,કેબિન
কেবিন হুক,કેબિન હૂક
মন্ত্রিসভা,કેબિનેટ
ক্যাবল্টের পদত্যাগ,કેબોલ્ટે છોડી દીધું
ক্যাফেটারিয়া,કાફેટેરિયા
খাঁচা,કેજ
খাঁচা নির্মাণ,પાંજરાનું બાંધકામ
কেইনের সূত্র,કાઈનનું સૂત્ર
কাইসন,કેસોન
ক্যাসন রোগ,કેસોન રોગ
ক্যাসন ফাউন্ডেশন,કેસોન ફાઉન્ડેશન
Caisson pile,Caisson ખૂંટો
চুনযুক্ত ইট,કેલ્કેરિયસ ઈંટ
চুনযুক্ত কাদামাটি,કેલ્કેરિયસ માટી
চুনযুক্ত ভূত্বক,કેલ્કેરિયસ પોપડો
ক্যালসিফিকেশন,કેલ્સિફિકેશન
ক্যালসিনেশন,કેલ્સિનેશન
ক্যালসিন,કેલ્સિન
ক্যালসাইট,કેલ્સાઇટ
ক্যালসিয়াম-অ্যালুমিনেট সিমেন্ট,કેલ્શિયમ-એલ્યુમિનેટ સિમેન્ટ
ক্যালসিয়াম-সিলিকেট ইট,કેલ્શિયમ-સિલિકેટ ઈંટ
ক্যালসিয়াম-সিলিকেট হাইড্রেট,કેલ્શિયમ-સિલિકેટ હાઇડ્રેટ
ক্যালিছে,કેલિચે
ক্যালিফোর্নিয়া ভারবহন অনুপাত,કેલિફોર્નિયા બેરિંગ રેશિયો
ক্যালিপার,કેલિપર
ক্যালোরিমিটার,કેલરીમીટર
ক্যাম্বার,કેમ્બર
খাল,કેનાલ
ক্যানোপি,કેનોપી
ক্যান্টিলিভার ফুটিং,કેન્ટિલવર ફૂટિંગ
ক্যাপ,કેપ
ক্ষমতা,ક્ષમતા
