Odiya,Gujarati
AC ସମାନ ସର୍କିଟ |,એસી સમકક્ષ સર્કિટ
ସାଂଖ୍ୟିକ ରୂପାନ୍ତରକାରୀ ସହିତ ଅନୁରୂପ |,આંકડાકીય કન્વર્ટર માટે એનાલોગ
ସଂପୂର୍ଣ୍ଣ ଶୂନ,સંપૂર્ણ શૂન્ય
ଶୋଷଣ ଗୁଣବତ୍ତା,શોષણ ગુણાંક
ଅବଶୋଷଣ ସ୍ପେକ୍ଟ୍ରମ୍ |,શોષણ સ્પેક્ટ્રમ
ରିସେପ୍ଟର ପରମାଣୁ |,રીસેપ્ટર અણુ
ବ current କଳ୍ପିକ ସାମ୍ପ୍ରତିକ ଯୋଡି |,વૈકલ્પિક વર્તમાન જોડાણ
ଇଲେକ୍ଟ୍ରନ୍ ଅମଳ,ઇલેક્ટ્રોન લણણી
ଗର୍ତ୍ତ ସଂରକ୍ଷଣ,છિદ્ર સંગ્રહ
ସକ୍ରିୟ ଶକ୍ତି,સક્રિયકરણ ઊર્જા
ସକ୍ରିୟ ଏମ୍ପ୍ଲିଫାୟର୍ |,સક્રિય એમ્પ્લીફાયર
ସକ୍ରିୟ ଡାୟୋଡ୍ ସର୍କିଟ୍ |,સક્રિય ડાયોડ સર્કિટ
ସକ୍ରିୟ ଫିଲ୍ଟର୍ |,સક્રિય ફિલ્ટર
ସକ୍ରିୟ ହାଇ ଫ୍ରିକ୍ୱେନ୍ସି ପାର୍କେଟ୍ ଫିଲ୍ଟର୍ |,સક્રિય ઉચ્ચ આવર્તન લાકડું ફિલ્ટર
ସକ୍ରିୟ ଭାର,સક્રિય લોડ
ସକ୍ରିୟ ନିମ୍ନ ଫ୍ରିକ୍ୱେନ୍ସି ପାର୍ସ ଫିଲ୍ଟର୍ |,સક્રિય ઓછી આવર્તન પાર્સ ફિલ્ટર
ସକ୍ରିୟ କ୍ଷେତ୍ର |,સક્રિય વિસ્તાર
ଆଡାପ୍ଟିଭ୍ ଇଲେକ୍ଟ୍ରୋନିକ୍ସ |,અનુકૂલનશીલ ઇલેક્ટ્રોનિક્સ
ଆଡର୍,ઉમેરનાર
ଆଡଜଷ୍ଟେବଲ୍ ବ୍ୟାଣ୍ଡ ଏକ୍ସଟେନ୍ସନ୍ |,એડજસ્ટેબલ બેન્ડ એક્સ્ટેંશન
ଅନୁପ୍ରବେଶ,પ્રવેશ
ଆରିଏଲ,એરિયલ
ପେପ୍ ଫ୍ରିକ୍ୱେନ୍ସି |,pep આવર્તન
ଶିତତାପ ନିୟନ୍ତ୍ରଣକାରି,એર કન્ડીશનર
ଶ୍ରେଣୀବଦ୍ଧତା |,ગોઠવણી
ଆଲଗୋରିଦମ |,અલ્ગોરિધમ
ସମସ୍ତ ପାସ୍ ଫିଲ୍ଟର୍ |,બધા પાસ ફિલ્ટર
ମିଶ୍ରିତ ଜଙ୍କସନ |,એલોય જંકશન
ଆଘାତ,એટેન્યુએશન
ବ current କଳ୍ପିକ କରେଣ୍ଟ୍ |,વૈકલ્પિક પ્રવાહ
ପରିବେଶର ତାପମାତ୍ରା |,આસપાસનું તાપમાન
ଦ୍ୱିପାକ୍ଷିକ,દ્વિધ્રુવી
ବୃଦ୍ଧି,એમ્પ્લીફિકેશન
ଏମ୍ପ୍ଲିଫାୟର୍,એમ્પ્લીફાયર
ଏମ୍ପ୍ଲିଫାୟର୍ ଦକ୍ଷତା |,એમ્પ્લીફાયર કાર્યક્ષમતા
ପରିମାପ,પરિમાણો
ପ୍ରଶସ୍ତତା ଆଘାତ,કંપનવિસ્તાર એટેન્યુએશન
ବିସ୍ତାର ମଡ୍ୟୁଲେଡ୍ ଏମ୍ ଓସିଲେଟର,કંપનવિસ્તાર મોડ્યુલેટેડ AM ઓસિલેટર
