Tamil,Hindi
உயிரற்ற இனப்பெருக்கம்,अजीवात् जनन
அமானுஷ்ய,अपसामान्य
1. நான்காவது வயிறு 2. எவோமாசோம்,1. चतुर्थ आमाशय 2. ऐवोमैसम
வயிற்று வளர்ச்சி உறுப்பு,रुद्ध-वृद्धि अंग
வளர்ச்சி குன்றிய விதை,रुद्ध वृद्धि बीज
1. கருக்கலைப்பு 2. கருச்சிதைவு 3. வளர்ச்சி எதிர்ப்பு,1. गर्भपात 2. गर्भस्राव 3. वृद्धि विरोध
1. தேவையற்ற களைகள் 2. முழுமையான களைகள்,1. अवांछित अपतृण 2. पूर्ण खरपतवार
உறிஞ்சப்பட்ட கேஷன்,अवशोषित धनायन
உறிஞ்சுதல்,अवशोषण
அபிசீனிய கடுகு,ऐबिसिनी सरसों
1. காரக்கொல்லி,1.एकेरेसनाशी 2. चिचड़ीनाशी
மையவிலக்கு,अकेंद्री
பெருக்கம் (செல்),प्रवर्धन (कोशिका)
அனுமதிக்கப்பட்ட சகிப்புத்தன்மை,स्वीकृत सह्यता
1.கூடுதல் 2.துணை 3.துணை,1.अतिरिक्त 2. सहायक 3. गौण
தழுவல்,पर्यनुकूलन
திரட்சி,संचय
1.vacuracy 2. துல்லியம்,1.vयथार्थता 2. परिशुद्धता
1. அசெர்வலஸ் 2. ஸ்போரோஃபைட்,1. एसर्वुलस 2. बीजाणुपात्र
1. அசிடைசேஷன் 2. வினிகர் தயாரித்தல் 3. அசிட்டிலின்,1. ऐसीटीकरण 2. सिरका बनाना 3. ऐसीटीलन
1. அமிலமயமாக்கல் 2. அமிலமயமாக்கல்,1. अम्लीकरण 2. अम्लन
1. அமிலமானி 2. அமிலமானி,1.अम्लतामापी 2. एसिडीमीटर
அமிலத்தன்மை,अम्लता
அமிலத்தன்மை,अम्लरागी
அமிலமாக்கப்பட்ட ராக் பாஸ்பேட்,अम्लीकृत रॉक फॉस्फेट
அமிலமாக்கப்பட்ட,अम्लसह
நீர்நிலை,जलभृत
கையகப்படுத்தல்,अधिग्रहण
ஏக்கர்,एकड़
1. பகுதி 2. பகுதி,1.क्षेत्रफल 2. रकबा
இறுதி புள்ளி குரோமோசோம்,उपांत बिंदु क्रोमोसोम
முன்னோக்கு,अग्राभिसारी
குரோசோம்,ऐक्रोसोम
ஆக்டினோமைசீட்ஸ்,एक्टिनोमाइसिटीज
