Marathi,English
असामान्य,Abnormal
गर्भपात,Abort
घर्षण,Abrasion
अचानक,Abrupt
परिपूर्ण फील्ड सामर्थ्य,Absolute field strength
परिपूर्ण तापमान,Absolute temperature
परिपूर्ण मूल्य,Absolute value
शोषून घ्या,Absorb
शोषण सह-कार्यक्षम,Absorption co-efficient
शोषण तोटा,Absorption loss
गोषवारा,Abstract
एक्सेलरोमीटर,Accelerometer
स्वीकृती चाचणी,Acceptance test
प्रवेश,Access
प्रवेश नियंत्रण,Access control
प्रवेश बिंदू,Access point
प्रवेश वेळ,Access time
प्रवेशयोग्यता,Accessibility
संचयक सेल,Accumulator cell
अचूकता,Accuracy
अचूक,Accurate
अ‍ॅक्रोमॅटिक लेन्स,Achromatic lens
आम्ल,Acid
आम्ल पुरावा,Acid proof
आंबटपणा,Acidity
पावती बिट,Acknowledgement bit
ध्वनिक,Acoustic
ध्वनिक संप्रेषण,Acoustic communication
ध्वनिक प्रसार,Acoustic diffusion
ध्वनिक समतुल्य,Acoustic equalizer
ध्वनिक अभिप्राय,Acoustic feedback
ध्वनिक फिल्टर,Acoustic filter
ध्वनिक प्रतिबाधा,Acoustic impedance
ध्वनिक मास्किंग,Acoustic masking
ध्वनिक शक्ती,Acoustic power
ध्वनिक मालमत्ता,Acoustic property
ध्वनिक प्रतिक्रिया,Acoustic reactance
ध्वनिक प्रतिक्षेप,Acoustic reflex
ध्वनिक टाइल,Acoustic tile
ध्वनिक लाट,Acoustic wave
ध्वनिक शोषण,Acoustical absorption
ध्वनीविषयक क्षीणन स्थिर,Acoustical attenuation constant
ध्वनिकी ओलसर,Acoustical damping
ध्वनिक विलंब रेखा,Acoustical delay line
ध्वनिक विकृती,Acoustical distortion
ध्वनिक नलिका,Acoustical duct
ध्वनिक ऊर्जा,Acoustical energy
ध्वनिक अभिप्राय,Acoustical feedback
ध्वनिक फिल्टर,Acoustical filter
ध्वनीविषयक प्रतिबाधा,Acoustical impedance
ध्वनीविषयक प्रसार स्थिर,Acoustical propagation constant
ध्वनिक प्रतिकार,Acoustical resistance
ध्वनिकरित्या इन्सुलेटेड,Acoustically insulated
ध्वनिकी,Acoustics
संपादन,Acquisition
परिवर्णी शब्द,Acronym
कृती क्षेत्र,Action area
सक्रिय फिलामेंट,Activated filament
सक्रिय,Active
सक्रिय क्षेत्र,Active area
सक्रिय विंडो,Active window
अनुकूलता,Adaptability
अ‍ॅडॉप्टर (अ‍ॅडॉप्टर),Adapter (adaptor)
