Bengali,Gujarati
অ্যাম্পিয়ার (একক),એમ્પીયર (એકમ)
অ্যাংস্ট্রাম,એંગસ્ટ્રમ
A-শ্রেণীর পরিবর্ধক,એ-ક્લાસ એમ્પ્લીફાયર
এএন রেডিও সহায়,એએન રેડિયો સહાય
একটি-স্ক্যানিং উপস্থাপনা,a-સ્કેનીંગ પ્રસ્તુતિ
a-দর্শ,a-દર્શ
A-স্কোপ কর্মক্ষমতা,A-સ્કોપ કામગીરી
A-T বাঁকা স্ফটিক,A-T વક્ર ક્રિસ્ટલ
"এসি ডিসি উপকারিতা, ক. সিডি। সি.লাভী, এ. সিডি। গ. পরিবর্ধন","એસી ડીસી લાભો, એ. સીડી. સી.લાભી, એ. સીડી. c. એમ્પ્લીફિકેશન"
am,છું
এএমইউ (পারমাণবিক ভর একক),AMU (અણુ સમૂહ એકમ)
আর্ড-ওয়ার্ক*,આર્ડ-વાર્ક*
ab-ampere,એબ-એમ્પીયર
A-B শ্রেণীর পরিবর্ধক,A-B વર્ગ એમ્પ્લીફાયર
adah,અદાહ
A-B শক্তি পিটক,A-B શક્તિ પિટક
abc = প্রান্তিককরণ চার্ট = নোমোগ্রাফ,abc = ગોઠવણી ચાર્ટ = નોમોગ્રાફ
আবে নম্বর (আবে ধ্রুবক),અબે નંબર (અબે સતત)
abe রিফ্র্যাক্টোমিটার,અબે રીફ્રેક્ટોમીટર
অ্যাবে সাইন স্টেট,અબે સાઈન સ્ટેટ
স্বয়ংক্রিয় পক্ষপাত ক্ষতিপূরণ,આપોઆપ પૂર્વગ્રહ વળતર
abcoulom,abcoulom
"aberration, aberration",વિકૃતિ
বিকৃতি সংশোধনকারী লেন্স,વિકૃતિ સુધારક લેન્સ
আকাশ বিকৃতি,આકાશ વિકૃતિ
আবফারদ,અફરદ
ইবেনরি,એબેનરી
আবলুস প্রভাব,ઇબોની અસર
অস্বাভাবিক মেরুকরণ,અસામાન્ય ધ્રુવીકરણ
অস্বাভাবিক সংক্রমণ,અસામાન્ય ટ્રાન્સમિશન
অলৌকিক প্রতিফলন,પેરાનોર્મલ પ્રતિબિંબ
অস্বাভাবিক প্রতিসরণ*,અસામાન્ય રીફ્રેક્શન*
অস্বাভাবিক প্রতিরোধ,પેરાનોર્મલ પ્રતિકાર
ab-om,ab-om
"preponderance, ব্যর্থতা","પ્રબળતા, નિષ્ફળતા"
"সংযুক্ত, সাধারণত, দাঁড়ানো, বিচ্ছিন্ন, খণ্ডিত","જોડાયેલ, સામાન્ય રીતે, સ્થાયી, વિચ્છેદિત, ખંડિત"
প্রায়ই লাফ দেয়,ઘણી વાર કૂદકો
হাত*,હાથ*
হারিয়ে যাওয়া প্রতিফলন,પ્રતિબિંબ ગુમાવ્યું
অনুপস্থিত বর্ণালী,ગુમ થયેલ સ્પેક્ટ્રમ
"পরম, পরম, ধ্রুবক, নিখুঁত","નિરપેક્ષ, નિરપેક્ષ, અચળ, સંપૂર્ણ"
পরম ত্বরণ,સંપૂર્ણ પ્રવેગક
পরম বাস্তবতা,સંપૂર્ણ વાસ્તવિકતા
পরম ঠিকানা,સંપૂર્ણ સરનામું
ভূ-আপেক্ষিক উচ্চতা মিটার,જિયો-રિલેટિવ અલ્ટીમીટર
ভূতাত্ত্বিক উচ্চতা,ભૌગોલિક ઊંચાઈ
পরম অ্যাম্পিয়ার,સંપૂર્ણ એમ્પીયર
পরম ফুটন্ত বিন্দু,સંપૂર્ણ ઉત્કલન બિંદુ
