Gujarati,English
A B વર્ગ એમ્પ્લીફાયર,A B amplifier
વિકૃતિ,aberration
અસામાન્ય ટ્રાન્સમિશન,abnormal propagation
"જોડાણ વિનાનું, સામાન્ય રીતે, ખાડો, અંગવિચ્છેદન, અસ્થિભંગ",abrupt
ગુમ થયેલ સ્પેક્ટ્રમ,absent spectrum
"નિરપેક્ષ, નિરપેક્ષ, અચળ, સંપૂર્ણ",absolute
સંપૂર્ણ ભેજ,absolute humidity
સંપૂર્ણ ગતિ,absolute motion
સંપૂર્ણ અવલોકન,absolute observation
સંપૂર્ણ તાપમાન,absolute temperature
સંપૂર્ણ શૂન્ય,absolute zero
શોષી લેવું,absorb
"શોષક, શોષક",absorber
શોષણ ક્ષમતા,absorbing power
શોષણ,absorptance
શોષક,absorptive
શોષકતા,absorptivity
ગુણાકાર ગુણોત્તર,abundance ratio
વેગ આપો,accelerate
ઉતાવળ કરી,accelerated
પ્રવેગ,acceleration
ગુરુત્વાકર્ષણ પ્રવેગક,acceleration of gravity
પ્રવેગક,accelerative
પ્રવેગક,accelerator
એક્સેલરોમીટર,accelerometer
prestresser,accentuator
સ્વીકાર્ય પરીક્ષણ,acceptance test
સ્વીકારનાર,acceptor
દાતા પરમાણુ,acceptor molecule
"પ્રવેશ, રાહ, સુલભતા",access
ઉપલ્બધતા,accessibility
"ફાજલ, સહાયક, સહાયક (v.), ઉપસાધનો (ed.)",accessory
ઍક્સેસ સમય,access time
મુલાકાતી ભૂલ,accidental error
ગોઠવણ,accommodation
સંચિત,accumulated
"સંચય, સંચય",accumulation
સંચયક,accumulator
ચોકસાઈ,accuracy
વાસ્તવિકતા,accurate
વર્ણહીન લેન્સ,achromat
વર્ણહીન,achromatic
વર્ણહીનતા,achromatism
એકોસ્ટિક,acoustical
સાઉન્ડપ્રૂફ,acoustically insulated
એકોસ્ટિક ફોનોન,acoustical phonon
ધ્વનિ એકમ,acoustical unit
એકોસ્ટિક,acoustic
અવાજ જનરેટર,acoustic generator
