Kannada,Marathi
ಎ ಬಿ ವರ್ಗದ ಆಂಪ್ಲಿಫಯರ್,A B वर्ग अॅम्प्लीफायर
ವಿಪಥನ,विकृती
ಅಸಹಜ ಪ್ರಸರಣ,असामान्य प्रसार
"ಜೋಡಿಸದ, ಸಾಮಾನ್ಯವಾಗಿ, ಹೊಂಡ, ಕತ್ತರಿಸಿದ, ಮುರಿತ","जोडलेले, सहसा, खड्डे पडलेले, विच्छेदन केलेले, फ्रॅक्चर केलेले"
ಸ್ಪೆಕ್ಟ್ರಮ್ ಕಾಣೆಯಾಗಿದೆ,गहाळ स्पेक्ट्रम
"ಸಂಪೂರ್ಣ, ಸಂಪೂರ್ಣ, ನಿರಂತರ, ಪರಿಪೂರ್ಣ","निरपेक्ष, निरपेक्ष, स्थिर, परिपूर्ण"
ಸಂಪೂರ್ಣ ಆರ್ದ್ರತೆ,परिपूर्ण आर्द्रता
ಸಂಪೂರ್ಣ ವೇಗ,परिपूर्ण गती
ಸಂಪೂರ್ಣ ವೀಕ್ಷಣೆ,परिपूर्ण निरीक्षण
ಸಂಪೂರ್ಣ ತಾಪಮಾನ,परिपूर्ण तापमान
ಸಂಪೂರ್ಣ ಶೂನ್ಯ,पूर्ण शून्य
ಹೀರಿಕೊಳ್ಳುತ್ತವೆ,शोषून घेणे
"ಹೀರಿಕೊಳ್ಳುವ, ಹೀರಿಕೊಳ್ಳುವ","शोषक, शोषक"
ಹೀರಿಕೊಳ್ಳುವ ಸಾಮರ್ಥ್ಯ,शोषण क्षमता
ಹೀರಿಕೊಳ್ಳುವಿಕೆ,शोषण
ಹೀರಿಕೊಳ್ಳುವ,शोषक
ಹೀರಿಕೊಳ್ಳುವಿಕೆ,शोषकता
ಬಹುಸಂಖ್ಯೆಯ ಅನುಪಾತ,गुणोत्तर गुणोत्तर
ವೇಗವನ್ನು,गती वाढवणे
ಆತುರಪಟ್ಟರು,घाई केली
ವೇಗವರ್ಧನೆ,प्रवेग
ಗುರುತ್ವಾಕರ್ಷಣೆಯ ವೇಗವರ್ಧನೆ,गुरुत्वाकर्षणाचा प्रवेग
ವೇಗವರ್ಧಕ,प्रवेगक
ವೇಗವರ್ಧಕ,प्रवेगक
ವೇಗವರ್ಧಕ,प्रवेगमापक
ಪ್ರಿಸ್ಟ್ರೆಸರ್,prestresser
ಸ್ವೀಕಾರಾರ್ಹ ಪರೀಕ್ಷೆ,स्वीकार्य चाचणी
ಸ್ವೀಕರಿಸುವವರು,स्वीकारणारा
ದಾನಿ ಅಣು,दाता रेणू
"ಪ್ರವೇಶ, ಕಾಯುವಿಕೆ, ಪ್ರವೇಶಿಸುವಿಕೆ","प्रवेश, प्रतीक्षा, प्रवेशयोग्यता"
ಪ್ರವೇಶಿಸುವಿಕೆ,प्रवेशयोग्यता
"ಹೆಚ್ಚುವರಿ, ಪರಿಕರ, ಪರಿಕರ (ವಿ.), ಪರಿಕರಗಳು (ಸಂ)","सुटे, ऍक्सेसरी, ऍक्सेसरी (v.), ऍक्सेसरी (सं.)"
ಪ್ರವೇಶ ಸಮಯ,प्रवेश वेळ
ಸಂದರ್ಶಕರ ದೋಷ,अभ्यागत त्रुटी
ಹೊಂದಾಣಿಕೆ,समायोजन
ಸಂಗ್ರಹಿಸಲಾಗಿದೆ,जमा
"ಶೇಖರಣೆ, ಶೇಖರಣೆ","जमा करणे, जमा करणे"
ಸಂಚಯಕ,संचयक
ನಿಖರತೆ,अचूकता
ರಿಯಾಲಿಟಿ,वास्तव
ವರ್ಣರಹಿತ ಮಸೂರ,अॅक्रोमॅटिक लेन्स
ವರ್ಣರಹಿತ,अक्रोमॅटिक
ವರ್ಣರಹಿತತೆ,अक्रोमॅटिकता
ಅಕೌಸ್ಟಿಕ್,ध्वनिक
ಧ್ವನಿ ನಿರೋಧಕ,ध्वनीरोधक
ಅಕೌಸ್ಟಿಕ್ ಫೋನಾನ್,ध्वनिक फोनन
ಧ್ವನಿ ಘಟಕ,ध्वनी युनिट
ಅಕೌಸ್ಟಿಕ್,ध्वनिक
ಧ್ವನಿ ಜನರೇಟರ್,ध्वनी जनरेटर
ಕ್ರಿಯೆ ಮತ್ತು ಪ್ರತಿಕ್ರಿಯೆ,क्रिया आणि प्रतिक्रिया
ಸಕ್ರಿಯಗೊಳಿಸುವಿಕೆ,सक्रियकरण
ಸಕ್ರಿಯಗೊಳಿಸುವ ಶಕ್ತಿ,सक्रियता ऊर्जा
