Malayalam,Punjabi
"1.അബാക്കസ്, 2. എണ്ണുന്നു","1. ਅਬੈਕਸ, 2. ਗਿਣਤੀ"
അസാധാരണമായ അവസാനം,ਅਸਧਾਰਨ ਅੰਤ
തടസ്സപ്പെടുത്തുക,ਰੁਕਾਵਟ
"1. കേവലം, 2. പരമോന്നത","1. ਸੰਪੂਰਨ, 2. ਸੁਪਰੀਮ"
സമ്പൂർണ്ണ വിലാസം,ਪੂਰਾ ਪਤਾ
സമ്പൂർണ്ണ വിലാസക്ഷമത,ਸੰਪੂਰਨ ਪਤਾਯੋਗਤਾ
കേവല അസംബ്ലർ,ਪੂਰਨ ਅਸੈਂਬਲਰ
"1. കേവല കോഡ്, 2. കേവല കോഡ്","1. ਸੰਪੂਰਨ ਕੋਡ, 2. ਪੂਰਨ ਕੋਡ"
സമ്പൂർണ്ണ കമാൻഡ്,ਪੂਰਨ ਹੁਕਮ
"1. കേവല കണക്കുകൾ, 2. സമ്പൂർണ്ണ ഡാറ്റ","1. ਸੰਪੂਰਨ ਅੰਕੜੇ, 2. ਪੂਰਨ ਡਾਟਾ"
സമ്പൂർണ്ണ നിർദ്ദേശം,ਪੂਰਨ ਹਦਾਇਤ
കേവല മോഡ്,ਪੂਰਨ ਮੋਡ
കേവല പാത,ਪੂਰਨ ਮਾਰਗ
"1. സമ്പൂർണ്ണ പ്രോഗ്രാമിംഗ്, 2. സമ്പൂർണ്ണ പ്രോഗ്രാമിംഗ്","1. ਸੰਪੂਰਨ ਪ੍ਰੋਗਰਾਮਿੰਗ, 2. ਸੰਪੂਰਨ ਪ੍ਰੋਗਰਾਮਿੰਗ"
അമൂർത്ത ക്ലാസ്,ਐਬਸਟਰੈਕਟ ਕਲਾਸ
അമൂർത്ത ഡാറ്റ തരം,ਸੰਖੇਪ ਡਾਟਾ ਕਿਸਮ
അമൂർത്ത യന്ത്രം,ਐਬਸਟਰੈਕਟ ਮਸ਼ੀਨ
അമൂർത്ത ചിഹ്നം,ਸੰਖੇਪ ਚਿੰਨ੍ਹ
അമൂർത്തമായ വാക്യഘടന,ਸੰਖੇਪ ਸੰਟੈਕਸ
സ്വീകാര്യത പരിശോധന,ਸਵੀਕ੍ਰਿਤੀ ਟੈਸਟ
പ്രവേശന സർട്ടിഫിക്കേഷൻ,ਪਹੁੰਚ ਪ੍ਰਮਾਣੀਕਰਣ
"1. ആക്സസ് കോഡ്, 2. പ്രവേശന കോഡ്","1. ਪਹੁੰਚ ਕੋਡ, 2. ਐਕਸੈਸ ਕੋਡ"
പ്രവേശന നിയന്ത്രണം,ਪਹੁੰਚ ਕੰਟਰੋਲ
